"Week" "Month" "Day" "Year" "CHIEF" "DALLE" "JDAYY" "MCNAR" "PRIRA" "RISLA" "ROCKY" "WANAP" "WELLS"
1 8 5 1979 103.01473554578 0.598189147275673 2415.22803470352 2410.92802675999 82.4401820400955 516.460560069942 404.047958938571 3.77359615550753 1583.3468901313
2 8 12 1979 141.297075037762 64.5280583651655 2025.13641732247 1959.19682081766 79.7687482042643 514.142519623978 792.288844420655 2.78462402898479 1326.67281862409
3 8 19 1979 72.6286612132755 0.523952438444809 769.855253416109 669.128726903752 0 448.349426784478 203.532847805194 0 547.034646380082
4 8 26 1979 21.0692430109571 0 1179.88512825894 747.726271817202 0 432.632781108861 382.919280659948 3.77359615550753 1016.5156482475
5 9 2 1979 129.107922788953 0 873.054220736832 799.671177943912 74.9574051782363 428.008692838727 493.436279290573 0 272.545242678383
6 9 9 1979 81.267862438383 0 337.226350333059 453.900346070791 0 39.8942266922817 84.5212603902056 0 439.697543112061
7 9 16 1979 10.1837247438511 31.4132674996498 496.974844584033 239.283255293299 0 39.2669841183106 199.410183279 0 448.338404602789
8 9 23 1979 11.5873117903609 33.1147908655156 858.18721354123 122.601972530222 0 674.713825375887 212.253952392602 6.4813077047054 733.864870337066
9 9 30 1979 147.794143098044 0 312.850350411739 270.617506262697 76.5563984754843 284.838837107063 153.258399091905 0 533.833930841857
10 10 7 1979 10.861805412535 0 360.042710096182 712.710525377154 0 129.66322229874 541.567430692345 0 329.39423606709
11 10 14 1979 64.5346129200128 0.598189147275673 350.159867042142 349.175267498885 0 33.9571381355585 80.6955143324113 0 17.1842005490879
12 10 21 1979 0 0 161.564279823658 59.5692884731744 0 236.389417353804 53.4074289779118 0 97.5334713149805
13 10 28 1979 0 0 0 0 0 0 0 0 0
14 11 4 1979 0 0 0 0 0 0 0 0 0
15 11 11 1979 0 0 0 0 0 0 0 0 0
16 11 18 1979 0 0 0 0 0 0 0 0 0
17 11 25 1979 0 0 0 0 0 0 0 0 0
18 12 2 1979 0 0 0 0 0 0 0 0 0
19 12 9 1979 0 0 0 0 0 0 0 0 0
20 12 16 1979 0 0 0 0 0 0 0 0 0
21 12 23 1979 0 0 0 0 0 0 0 0 0
22 12 30 1979 0 0 0 0 0 0 0 0 0
23 1 6 1980 0 0 0 0 0 0 0 0 0
24 1 13 1980 0 0 0 0 0 0 0 0 0
25 1 20 1980 0 0 0 0 0 0 0 0 0
26 1 27 1980 0 0 0 0 0 0 0 0 0
27 2 3 1980 0 0 0 0 0 0 0 0 0
28 2 10 1980 0 0 0 0 0 0 0 0 0
29 2 17 1980 0 0 0 0 0 0 0 0 0
30 2 24 1980 0 0 0 0 0 0 0 0 0
31 3 2 1980 0 0 0 211.000839456987 0 0 0 0 0
32 3 9 1980 0 0 119.046198240562 12.6373819293081 0 0 0 0 0
33 3 16 1980 0 0 0 0 0 0 0 0 0
34 3 23 1980 0 0 0 0 0 0 0 0 0
35 3 30 1980 0 0 10.9216425989728 0 0 0 0 0 0
36 4 6 1980 0 0 20.7113955020347 172.94881075307 0 0 0 0 0
37 4 13 1980 0 0 33.1928963489142 100.875038867919 0 0 0 0 38.7070695449324
38 4 20 1980 0 0 467.289236882516 435.199940906549 0 0 0 0 0
39 4 27 1980 0 0 221.355376278898 567.724114057273 0 0 0 0 0
40 5 4 1980 0 0 896.397451981268 781.914754374362 0 0 0 0 22.3494774587827
41 5 11 1980 10.885518267106 0 1158.16921824213 1006.93238793516 0 8.35911910133017 0 0 33.3636999370822
42 5 18 1980 9.41960796731577 0 1528.27126695821 1503.29349104938 0 232.530231199576 8.58454769983619 2.41696927086392 79.1009527782225
43 5 25 1980 10.962008611881 33.1147908655156 2326.88441505228 1788.62925657525 0 65.5458331731379 79.5191056626202 0 174.156048922529
44 6 1 1980 0 0 578.604486057962 448.602919105017 72.2049545678628 321.64234848349 50.7119652545019 0 57.3042275492707
45 6 8 1980 0 0.565706240321033 2153.64808853481 1644.04359263677 0 155.602951354728 178.115212202556 3.77359615550753 249.260044947267
46 6 15 1980 74.2262638884472 61.2634853864312 1836.7265096625 1350.55245572468 66.3484605320594 695.78963756295 574.308333258788 2.54886200920939 707.700566372944
47 6 22 1980 120.560111800493 0 2722.96047076021 2621.7166217302 0 199.184055780807 264.140471663386 0 829.760422948546
48 6 29 1980 18.6247019297508 0 2275.62973825026 2242.05659729533 0 586.666828821546 338.107970466439 3.62905296987832 841.829211031712
49 7 6 1980 235.232979661217 32.0927753668436 3182.35930950322 2720.51266547792 70.965477897301 459.637102535855 586.228040312019 2.68808699619136 1138.96342127162
50 7 13 1980 10.6158525690562 0 2760.87649461455 2743.84768272476 0 527.633635151852 472.272337016652 3.77359615550753 1052.21791340806
51 7 20 1980 226.171358676735 0 3074.89482762727 2830.64576094284 78.6549082439586 773.585674709771 589.832315156671 2.85254959579122 1267.77383307603
