"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS" "LUCKY" "AMERI" "MINAD" "THOMF" "CHELA" "BOXCA" "JLAKE" "IPARK" "RIRDM" "PAYHS" "MILNE" "OWYHE" "PELTO" "BoiseSys" "Minidoka" "Owyhee" "UpSnake" "Payette" "SNKHE" "HFORK" "LIMEP"
1 8 6 1950 128.831878481514 82.9465405854339 80.3807830565559 3598.71831934542 10.0664647076754 339129.134912803 0 480.857557345071 0 1770.39240177403 5380.39654301532 0 0 4590.05013835577 0 157737.315875446 3148.98885881167 4092.31269972576 36930.6958546731 262.363072069623 14.7877932874196 25171.4565411244 3707.80211829443 76200.6995033003 50.5746967672147 0 0 2519.14459449707 3311.8615700052 0 2918.9194356324 2626.69333949751 581.947581567853 12623.9263568931 1224.11310713809 121990.079989126 21697.6259940319 12651.0871149909 436.397922037435 0 0 0 1201.17934547994 1757.64962911715 46475.6455208601 3815.07126328575 9383.60694909207 59909.0625376191 194911.100056654 23075.9103302451 79200.5615856169 27104.6810262463 3881.45908231412 40109.2386666751 9796.07583875655
2 8 13 1950 152.667058685419 75.6054125082526 12.5384809259416 7459.988276537 10.0664647076754 219780.713149173 0 381.001279096369 0 845.967252484205 4230.91870883394 0 0 402.637742521098 0 108161.953654416 2846.87720647513 3353.7000793614 33404.3157775213 164.83185626209 14.7877932874196 12471.031234239 3078.8193178258 76052.1088710723 0 0 0 3005.65657323787 3078.70910146437 0 3257.42302585143 2384.20301800295 720.357909888376 9729.00489569663 727.287188988458 69832.4311328553 19402.4678334803 16386.4199912957 426.604515402941 0 0 0 1721.71090890583 387.454880898754 45913.4675486454 4663.76064501681 5952.82034051654 36683.6724524353 164722.190646152 12040.5470560519 45077.0560634369 12804.1228903893 3924.81286930658 22552.2731090176 2674.16442374329
3 8 20 1950 449.696154216132 80.5709097303844 40.2503018497311 7646.46522332032 10.0664647076754 238816.184262028 0 494.587945284271 0 2907.02895958292 5164.15764330573 0 0 1243.06498195951 0 113645.759750619 467.736246694393 1973.27118023516 36827.3488345828 741.828738586812 14.7877932874196 25632.133466047 2701.36531498558 79059.9713775919 298.666759905223 125.005843503351 0 6775.00944489074 2107.76931970319 0 1994.91554590871 3183.65421141818 627.319325893253 9022.56741087792 53.1674628792589 138880.955219598 26492.4721587607 29791.1427444083 5.64498683664685 0 0 0 1943.98403716764 639.087289337339 38569.9867490437 3226.13463018912 7539.40621453228 33628.0054643672 159015.556166548 19562.3345739169 89001.4483931762 15185.0056499301 10381.1902933326 41442.3005702574 8685.75330511449
4 8 27 1950 140.750693241683 183.522041821262 67.5635533526997 3089.17922024781 10.0664647076754 233689.336105058 0 369.901392307671 0 2240.41912912034 8365.98756390467 0 0 5148.06746747413 0 99588.009869574 3052.91276983957 3019.00195050918 33588.5938058741 328.780169889958 14.7877932874196 29086.5366902191 1733.53724984269 61631.6985819674 0 0 0 5328.50645149007 1149.04656203015 0 3445.17017190319 1782.13350048486 914.286244714026 8557.84261826645 737.891738615612 142705.660785912 21437.9225833614 35666.2391280025 438.272584708732 0 0 0 1233.63755718023 480.802402087066 28652.5291266888 3407.02628827006 11805.8819694621 34344.3340525108 115139.813154245 17399.2003230606 103102.74735991 18887.0187801221 2858.05486952804 37978.4961136544 14205.5418227393
5 9 3 1950 124.535667412239 77.1693122012719 60.9969198534219 10958.4535591115 7.61482194961193 201616.274181315 0 334.52564642963 0 1441.07956914037 2364.57582189024 0 0 4650.90519009885 0 101169.765393522 1866.05073721851 1595.30953003336 21175.5103302414 279.8702378169 100.34738085061 25039.0018716674 2031.66545091298 53561.929909982 0 0 0 3206.04691172923 2275.00937413559 0 1496.64535240275 3167.09969473546 748.729524612561 8322.02497236212 1391.21776783891 82325.7851807747 8289.69725691015 40021.5647212685 402.412492068682 0 0 0 761.023200279359 180.1117387567 11981.292628918 4046.10514356654 15825.253762911 36258.3438051937 79313.4183910239 11534.0493485769 55851.3078812421 13528.1589102285 4094.48555369463 23141.0149461174 11874.215566972
6 9 10 1950 124.535667412239 177.924794998242 33.7817766763499 3554.24200336888 7.61482194961193 125410.610636356 0 315.009270841921 0 466.567274127412 1465.13333944184 0 0 2893.40524089986 0 62374.8911947743 287.046149242928 1872.77299802396 19586.7071433393 18.1115763539234 10.8099731569757 16856.7771519747 2780.92292202176 39884.2879537299 0 0 0 4181.84685960576 1967.96939944296 0 1954.25665091826 942.130093085071 570.445323149866 8424.99725233019 680.474242612744 33023.4273950094 5910.25019832077 12647.8374733954 35.3924629640885 0 0 0 1468.60964468657 171.321149249458 9920.95050053769 2990.76784258185 7391.87378168711 21976.2845369893 63600.5838873237 4268.0099567539 21600.3682023553 7479.19067081804 1781.59236130703 11110.0764760337 13199.6201498785
7 9 17 1950 112.61685265207 73.6101542799835 0 2186.70186980519 7.61482194961193 39172.3570510144 0 231.177646272838 0 518.518096193912 2235.56344665178 0 0 1765.25419450484 0 44103.1039650529 0 1220.93154615059 9433.81674567105 436.142013416514 10.8099731569757 6244.76788769503 2245.72697010861 29204.1218847495 0 0 0 49.7759564465534 1338.87128737996 0 2452.81565053489 1570.37077930872 200.912243142813 5143.46912193422 0 10911.1903099183 2866.28533686941 13876.6479887776 390.570882221322 0 0 0 274.953473162737 14.5997045864094 2823.11810529506 1097.99965251958 1571.04243028351 9181.64333536955 15340.6268604798 2943.51570825352 3921.07192735714 7038.89048396335 532.168662452484 6732.9031932714 3481.55868818168
8 9 24 1950 112.61685265207 64.6580008336679 0 1971.94772002348 7.61482194961193 127085.861418207 0 149.641579019301 0 1107.54554752483 2317.5384620388 0 0 700.374292402819 0 54066.9518414444 1170.66068911412 231.287203293376 11778.569540525 241.638096511794 10.8099731569757 16734.9821102654 1926.17329963378 25060.4125225912 0 0 0 2880.02366875006 1333.61814199157 0 894.552800886873 1495.92933036404 309.789281619678 5843.31120391159 12.9869092050067 32817.3836380692 9869.20424239208 23903.4681154977 51.8062813379532 0 0 0 577.5418950525 291.008307045857 14605.9668311432 2654.05221521438 1045.24467795985 28260.7437210761 55412.4800764221 13701.3454221228 23011.5230269757 15443.3901343064 886.270053541979 9497.13245260396 6684.55810988707
9 10 1 1950 55.7666362322324 4.71199205006695 62.3620482052685 3571.78443975553 3.46924973569725 101763.824998449 0 376.599865409899 0 720.625660351687 1790.97538463288 0 0 1375.73094864744 0 51354.2239625129 255.932096732008 405.915436936772 4943.93800895515 0 4.23513418713859 17634.1619140752 560.976985167771 29380.5621708849 0 0 0 2965.84614008319 1681.66691862593 0 1721.44714294418 907.710830700915 444.163350409019 5025.2465119846 0 35994.0472813655 8276.43127907004 21028.3906943946 32.1392548281876 0 0 0 1081.06713654136 1652.51104179519 8011.70203892888 2867.89406629823 4048.54231260211 20260.3348835942 39959.5284720782 7483.73750346954 29472.5021320118 9805.34240234936 1004.61248918414 6597.99979671087 6120.6617693244
10 10 8 1950 355.696930580988 55.8809525723228 0 2817.80965896436 3.46924973569725 92711.0885782578 0 260.545839954095 0 581.20219056296 4477.43031695354 0 0 1956.86099056628 0 22244.8964417168 90.7054463864387 942.04837022042 3585.40036978504 0 4.23513418713859 10266.5914601638 1099.22507513164 23152.3378952504 0 0 0 5051.81204063058 1204.98903918549 0 1217.70148672274 835.269637614744 754.990450720803 2822.70464527745 673.434326900914 41133.9932588205 6769.07619714857 18449.6047694743 21.4182427930583 0 0 0 758.820796378773 449.307147956544 5520.59777385319 945.875727255262 4105.31092740332 11987.1408801875 46140.9283780862 1791.41365354655 35637.9882782525 4271.15465431633 106.733525285165 6148.09225166158 5400.21635310096
11 10 15 1950 67.6854509924011 0 29.0088429126638 464.499632099002 3.46924973569725 58626.2867413658 0 98.9374205949496 0 159.952804724442 1724.40748326398 0 0 950.007061325866 0 12985.178103583 45.7093770018774 195.625556533175 3931.67049001261 0 4.23513418713859 6690.03188124878 747.636201577279 11789.8416017611 0 0 0 3062.99976902797 471.888728097441 0 643.586089704351 477.137821998086 308.840750124438 2276.58027649591 573.312461882694 37624.4971093402 4354.3058480645 13904.3647963733 330.131907477826 0 0 0 473.153616091581 506.288536594563 3915.34974321851 1282.98577175142 2447.35674823929 6410.79462145931 34214.5687264622 455.765722349676 32653.8983820622 1578.64859413593 381.471299064811 5062.28104430477 3418.34112188446
12 10 22 1950 55.7666362322324 0 0 2394.34253551476 3.46924973569725 49478.8134549167 0 19.7264169361895 0 373.04829679537 764.095342296481 0 0 840.418235021803 0 5914.34119006863 3035.87130016455 473.158495037003 5578.26736841473 0 4.23513418713859 4626.43660127479 568.163361558111 7795.65717733633 0 0 0 2009.20723062202 430.822778097104 0 122.32208388848 530.739282905043 209.501159568238 1248.5184754326 563.153556682162 29107.520828125 1862.91335875334 4246.18341196406 0 0 0 0 637.092262197612 183.289189324568 2716.89951218118 1824.76562625497 5614.31276246485 3844.12567910607 31440.8332381059 316.748395553848 25823.2096132665 2918.92428913209 52.4853615730663 3868.91811548315 2439.30953536014
13 10 29 1950 55.7666362322324 0 0 2181.91360428541 3.46924973569725 25680.4733510269 0 14.0852912995483 0 12.3485929182608 470.930847080436 0 0 67.7455718838996 0 8752.85839792342 916.523231678795 262.685293632927 3978.28801294793 0 4.23513418713859 3863.29388817853 686.175214117114 6516.67478398926 0 0 0 1908.7960873232 440.007433524256 0 680.324194149075 337.68370520881 166.268450097952 940.920898092371 0 13472.8631821186 1894.62081625291 7184.24287627741 0 0 0 0 0 367.465330482962 5074.59180849544 1324.15687302568 2074.21580246651 1227.09967967475 16777.9333155906 130.227150754933 10433.0177309569 1207.43373400975 295.646704089526 2744.19874707211 1319.11085052011
14 11 5 1950 43.7135645758341 0 0 31.0483944484799 1.83683883608514 34.7706100948651 0 139.990437687122 0 0 3.36097628051987 0 0 0 0 1641.15399968619 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 2270.04825093919 0 0 0 0 70.1982344235928 0 111.638548055445 45.893397096746 80.9454987445551 75.6978674183504 0 0 0 332.912512059129 0 0 0 0 0 0 0 0 0 0 0 0 0 34.7706100948651 0 0 0
15 11 12 1950 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 11 19 1950 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 11 26 1950 43.7135645758341 0 0 31.0483944484799 1.83683883608514 0 0 1.96841676155451 0 0 3.36097628051987 0 0 0 0 708.797206038255 0 4.5743047766738 57.8266865045689 0 1.38770351618956 4.2057448797743 73.285286928388 742.7887961901 0 0 0 0 70.1982344235928 0 111.638548055445 14.9241966932515 80.9454987445551 38.7869698573712 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 12 3 1950 31.7878745800058 0 0 24.5500610988269 1.47654402784372 0 0 1.27859815540121 0 0 2.53201174820803 0 0 0 0 520.797975190501 0 3.65867963377734 39.7651847173565 0 0.96072680407473 2.96167133252059 48.369369481685 556.469858674697 0 0 0 0 52.9614469652959 0 90.2912988023776 10.561480574498 61.1572579489627 27.5442807219773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 12 10 1950 31.7878745800058 0 0 24.5500610988269 1.47654402784372 0 0 1.27859815540121 0 0 2.53201174820803 0 0 0 0 520.797975190501 0 3.65867963377734 39.7651847173565 0 0.96072680407473 2.96167133252059 48.369369481685 556.469858674697 0 0 0 0 52.9614469652959 0 90.2912988023776 10.561480574498 61.1572579489627 27.5442807219773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20 12 17 1950 31.7878745800058 0 0 24.5500610988269 1.47654402784372 0 0 1.27859815540121 0 0 2.53201174820803 0 0 0 0 520.797975190501 0 3.65867963377734 39.7651847173565 0 0.96072680407473 2.96167133252059 48.369369481685 556.469858674697 0 0 0 0 52.9614469652959 0 90.2912988023776 10.561480574498 61.1572579489627 27.5442807219773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 12 24 1950 31.7878745800058 0 0 24.5500610988269 1.47654402784372 0 0 1.27859815540121 0 0 2.53201174820803 0 0 0 0 520.797975190501 0 3.65867963377734 39.7651847173565 0 0.96072680407473 2.96167133252059 48.369369481685 556.469858674697 0 0 0 0 52.9614469652959 0 90.2912988023776 10.561480574498 61.1572579489627 27.5442807219773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 12 31 1950 31.7878745800058 0 0 24.5500610988269 1.47654402784372 0 0 1.27859815540121 0 0 2.53201174820803 0 0 0 0 520.797975190501 0 3.65867963377734 39.7651847173565 0 0.96072680407473 2.96167133252059 48.369369481685 556.469858674697 0 0 0 0 52.9614469652959 0 90.2912988023776 10.561480574498 61.1572579489627 27.5442807219773 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
23 1 7 1951 45.1743622432551 0 0 32.1752653009104 1.85802014608 0 0 1.96916691048944 0 0 3.27341135454229 0 0 0 0 713.819763509079 0 4.34453965458412 50.9526131833411 0 1.2051747679966 3.68690252822007 61.9288138297889 704.050385089366 0 0 0 0 69.2325524094985 0 111.985625778961 14.1964895221466 79.5341255056474 39.508310427194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
