"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS" "LUCKY" "AMERI" "MINAD" "THOMF" "CHELA" "BOXCA" "JLAKE" "IPARK" "RIRDM" "PAYHS" "MILNE" "OWYHE" "PELTO" "BoiseSys" "Minidoka" "Owyhee" "UpSnake" "Payette" "SNKHE" "HFORK" "LIMEP"
1 8 6 2006 357.794468340265 122.628733046092 32.9954990678525 8408.76888990278 10.0664647076754 242157.05300251 0 301.763300887029 0 1945.21179699378 2774.91957824603 0 0 4434.69071712942 0 118514.120385033 1938.1840511267 2037.15832844975 24573.5816920267 208.510552496723 100.07012115426 25139.7948268909 2132.3465674902 67620.8681698086 0 0 0 4742.61148457237 2174.05184329521 0 2903.90545858191 3313.30356610143 621.569588708773 9638.8559063528 1392.26961884788 138121.488330651 18597.8688014688 42869.4966583198 352.446755438634 0 0 0 1100.90778651975 815.823049020372 18887.7543352857 3840.52292679458 15036.4045983797 38600.1958533606 94507.3854000295 15356.8588281971 101016.651360929 16360.736026727 3473.04829158915 34732.6964646527 14539.3983594511
2 8 13 2006 199.089884729802 163.645108022505 29.9081543459203 9341.70174964846 10.0664647076754 164214.599793659 0 345.829631883035 0 1407.89997577443 5330.92360170709 0 0 4536.55763485174 0 90486.1036179672 1797.58054072944 2979.714036308 25734.0978607162 494.026449005878 14.7877932874196 32930.4319386467 4274.05448626438 58182.7554110821 0 0 0 2332.32135189475 2609.13715156732 0 3202.52773156439 2940.95843326868 997.175738827014 12382.3091830213 887.853406060764 56218.7453655285 8642.19337972045 26891.999947022 117.145537018558 0 0 0 1657.88373021982 189.116608885505 13930.1419969622 5187.97397395564 3224.48694410087 18216.8799590582 84756.1650013718 4254.33168310325 40790.1842486792 9189.92263821749 2623.75540007755 14462.6894469916 17217.4997814527
3 8 20 2006 128.831878481514 4.74778854839328 0 3069.89866944334 10.0664647076754 163288.540053272 0 286.48682147675 0 252.001190353278 4095.81094006306 0 0 2216.28387180059 0 62193.6111423577 274.633301004061 694.878110929355 17524.6139481615 514.622230112333 14.7877932874196 20393.7495497678 1842.07142530471 34681.2521031796 0 0 0 8295.16923992647 1397.99227914301 0 971.773596628791 1122.51799566856 378.022121014991 5760.92661946112 493.879557707969 44760.8556207175 13390.5501737302 24050.9977253389 414.522070221335 0 0 0 1276.15845380141 1497.64056113917 20008.6638113645 4075.79152536028 3033.44515536493 35714.517524217 83352.3522833604 14160.8292034733 21819.6770518678 16425.9109299474 3096.15322291168 21121.1837997395 10746.3158343053
4 8 27 2006 128.831878481514 3.7639898222925 33.7817766763499 3094.124103318 10.0664647076754 168983.158954619 0 480.088679691458 0 1454.47607940202 5696.86415132964 0 0 637.113675292866 0 72109.0253825994 381.522989817809 953.324653209119 10231.4030427738 0 96.3915798728902 13828.3227353626 1852.45094598627 32444.5979137545 0 0 0 5860.6410836492 1475.43393570252 0 3258.36713055294 1582.75602812029 617.632325613711 6848.38104469586 0 49151.1799883472 13548.1213230078 23748.5397464213 6.13147065399635 0 0 0 1111.08001442717 350.151725992555 14691.215492079 2294.44190917717 6580.51907257162 38502.8839270154 60991.4126706214 11523.5205094486 39727.1867664921 18963.6275227102 890.966976337199 9644.10625994509 5925.09388745102
5 9 3 2006 112.61685265207 0 0 3232.8179756157 7.61482194961193 101993.938058654 0 131.048980849463 0 0 1754.51705554525 0 0 0 0 25731.2012693489 928.505452451905 173.184374356824 2821.20286207903 0 10.8099731569757 7599.02641428123 1283.75536221915 22313.4045413744 0 0 0 6275.0741902331 1176.18157736907 0 961.862048405856 1307.67380666169 530.183134001682 1019.61929699502 673.434326900914 52716.9797481237 5964.42284195078 3937.7621252448 309.016021902044 0 0 0 746.828254873278 865.307683889003 4557.05126270392 2131.22439056299 3324.44345973604 18566.2385105369 45128.0288040031 4720.54171608988 45824.5739396112 8997.60024116403 429.46893633502 7209.76512705076 6800.99412608662
6 9 10 2006 112.61685265207 63.8286001050812 50.3789662481008 3965.56172654954 7.61482194961193 116836.831097861 0 162.470022341943 0 464.052738162363 5381.34741232603 0 0 1816.74533957787 0 23024.2408761249 857.989698016663 890.016142855666 14133.8955134046 0 10.8099731569757 16245.9577178353 2042.15029526985 44118.4093252973 0 0 0 8510.60149087142 1833.49787250668 0 976.794350140843 1044.31009683902 725.131499746059 4207.25203417832 1346.86865380183 53387.3853873413 5334.43545612869 16618.4887243719 81.5273674273246 0 0 0 746.780580965229 1165.88199701662 7286.31381003179 4122.25931695054 9526.2516911182 7684.53123136057 69490.9739330305 1050.11870469942 42879.8567894334 3485.96197364586 1082.026878031 10172.2823008422 10341.2331060779
7 9 17 2006 136.454482172407 0 0 4124.78037650567 7.61482194961193 97075.943682326 0 167.74938794043 0 490.115676219983 3344.02103252398 0 0 2453.90895886483 0 28314.6813082175 692.277961739611 375.721588660577 12119.7349481657 18.1115763539234 10.8099731569757 12632.7467757564 2513.90727726742 29511.3064963905 0 0 0 5864.74605434172 868.262758466565 0 1911.4003617627 945.139348265875 211.150261884735 3755.22310911937 673.434326900914 32063.7831522257 10751.9532583167 13276.0377989304 50.443226939261 0 0 0 1274.18452439522 411.227089331873 14665.1691739802 2841.90173708911 6811.65740117401 5686.01794393853 60396.9225354582 5223.21503234447 23305.4673752374 6923.81081949516 1626.86943451161 8405.63086687186 6676.42839853986
8 9 24 2006 124.535667412239 4.14366440069394 0 5074.50358477558 7.61482194961193 136319.900394598 0 136.726564140111 0 826.580321631218 3067.91570046206 0 0 1333.05475940773 0 51804.8810608726 3029.49907568262 1211.40785612915 7619.11985157792 107.872477687453 10.8099731569757 19200.4972018187 1481.58372437884 30664.9800091657 0 96.8360158616968 0 4875.15593716864 863.783294558998 0 1173.11469994004 1604.88479910705 270.903950620161 4023.49007763821 0 51338.7984801622 13995.3603815631 18051.8332256324 329.231664568279 0 0 0 731.137909986727 186.802058931781 19649.4619225356 5547.994139304 10373.8263870048 23545.7884356455 60270.0696788544 11927.1407119092 42682.3471166472 14228.3301757508 1780.10023971153 7607.48903379022 10811.7043232847
9 10 1 2006 67.5948322437795 57.2898294923101 0 3734.22820693413 3.46924973569725 118018.714221661 0 390.642704412034 0 1124.07377884039 1498.48770884152 0 0 657.797922900387 0 49925.7212769219 1931.01788168653 1239.30297134171 9226.14425818944 18.1115763539234 4.23513418713859 17486.6849501785 2373.35762360456 25751.7613573417 0 0 0 4796.91621212409 1530.1243086915 0 681.200842378584 1001.25764016812 661.713890658786 4328.93727155583 673.434326900914 53259.3962695536 7798.3441971885 33215.1026413865 5.31166724546026 0 0 0 946.354906091215 179.626318393665 5606.5887009053 1526.45955508619 10864.4111466783 13118.2738833334 34910.3806397149 3456.12987039561 46176.1142286127 8692.40504137281 615.010032381488 7414.6269146507 6955.7216888669
10 10 8 2006 340.094225779065 4.28683284569252 59.9474855827935 3191.77367065636 3.46924973569725 96969.4955490646 0 82.1341946002139 0 502.658892421288 3723.87486341033 0 0 1328.93914761144 0 27340.1689822336 90.7054463864387 334.215951184269 11080.2270009185 150.31368805364 90.0348554682375 23021.5333221452 1096.02090393126 24329.3925860755 0 0 0 2379.26289010472 1054.44421163308 0 1283.90244188968 209.96237950676 203.336579213916 2958.00357609458 673.434326900914 52899.9346508227 4921.87979844027 25650.5195392936 0 0 0 0 1294.08218462057 250.614893483286 4581.83295767586 2631.4949002442 4486.8043109317 18277.2595792047 40315.2023983901 2265.93977427396 47820.5318957541 5126.54182983328 761.109090430995 5612.37584925821 11088.5221464243
