"Week" "Month" "Day" "Year" "CHIEF" "DALLE" "JDAYY" "MCNAR" "PRIRA" "RISLA" "ROCKY" "WANAP" "WELLS"
1 8 6 1950 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
2 8 13 1950 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
3 8 20 1950 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
4 8 27 1950 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
5 9 3 1950 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
6 9 10 1950 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
7 9 17 1950 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
8 9 24 1950 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
9 10 1 1950 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
10 10 8 1950 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
11 10 15 1950 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
12 10 22 1950 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
13 10 29 1950 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
14 11 5 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
15 11 12 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
16 11 19 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
17 11 26 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
18 12 3 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
19 12 10 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
20 12 17 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
21 12 24 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
22 12 31 1950 416514 833028 833028 833028 971866 416514 416514 416514 416514
23 1 7 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
24 1 14 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
25 1 21 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
26 1 28 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
27 2 4 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
28 2 11 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
29 2 18 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
30 2 25 1951 416514 833028 833028 833028 971866 416514 416514 416514 416514
