"Week" "Month" "Day" "Year" "CHIEF" "DALLE" "JDAYY" "MCNAR" "PRIRA" "RISLA" "ROCKY" "WANAP" "WELLS"
1 8 6 2006 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
2 8 13 2006 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
3 8 20 2006 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
4 8 27 2006 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
5 9 3 2006 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
6 9 10 2006 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
7 9 17 2006 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
8 9 24 2006 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
9 10 1 2006 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
10 10 8 2006 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
11 10 15 2006 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
12 10 22 2006 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
13 10 29 2006 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
14 11 5 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
15 11 12 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
16 11 19 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
17 11 26 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
18 12 3 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
19 12 10 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
20 12 17 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
21 12 24 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
22 12 31 2006 416514 833028 833028 833028 971866 416514 416514 416514 416514
23 1 7 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
24 1 14 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
25 1 21 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
26 1 28 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
27 2 4 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
28 2 11 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
29 2 18 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
30 2 25 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
31 3 4 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
32 3 11 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
33 3 18 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
34 3 25 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
35 4 1 2007 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
36 4 8 2007 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
37 4 15 2007 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
38 4 22 2007 833028 2221408 2082570 2082570 971866 833028 833028 833028 833028
39 4 29 2007 1249542 2776760 2776760 2776760 1527218 1527218 1388380 1527218 1388380
40 5 6 2007 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
41 5 13 2007 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
42 5 20 2007 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
43 5 27 2007 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
44 6 3 2007 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
45 6 10 2007 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
46 6 17 2007 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
47 6 24 2007 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
48 7 1 2007 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
49 7 8 2007 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
50 7 15 2007 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
51 7 22 2007 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
52 7 29 2007 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
1 8 5 2007 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
2 8 12 2007 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
3 8 19 2007 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
4 8 26 2007 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
5 9 2 2007 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
6 9 9 2007 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
7 9 16 2007 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
8 9 23 2007 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
9 9 30 2007 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
10 10 7 2007 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
11 10 14 2007 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
12 10 21 2007 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
13 10 28 2007 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
14 11 4 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
15 11 11 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
16 11 18 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
17 11 25 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
18 12 2 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
19 12 9 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
20 12 16 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
21 12 23 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
22 12 30 2007 416514 833028 833028 833028 971866 416514 416514 416514 416514
23 1 6 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
24 1 13 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
25 1 20 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
26 1 27 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
27 2 3 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
28 2 10 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
29 2 17 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
30 2 24 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
31 3 2 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
32 3 9 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
33 3 16 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
34 3 23 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
35 3 30 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
36 4 6 2008 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
37 4 13 2008 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
38 4 20 2008 833028 2221408 2082570 2082570 971866 833028 833028 833028 833028
39 4 27 2008 1249542 2776760 2776760 2776760 1527218 1527218 1388380 1527218 1388380
40 5 4 2008 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
41 5 11 2008 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
42 5 18 2008 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
43 5 25 2008 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
44 6 1 2008 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
45 6 8 2008 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
46 6 15 2008 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
47 6 22 2008 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
48 6 29 2008 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
49 7 6 2008 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
50 7 13 2008 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
51 7 20 2008 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
52 7 27 2008 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
1 8 3 2008 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
2 8 10 2008 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
3 8 17 2008 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
4 8 24 2008 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
5 8 31 2008 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
6 9 7 2008 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
7 9 14 2008 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
8 9 21 2008 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
9 9 28 2008 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
10 10 5 2008 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
11 10 12 2008 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
12 10 19 2008 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
13 10 26 2008 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
14 11 2 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
15 11 9 2008 416514 833028 833028 833028 971866 416514 416514 416514 416514
