"Week" "Month" "Day" "Year" "CHIEF" "DALLE" "JDAYY" "MCNAR" "PRIRA" "RISLA" "ROCKY" "WANAP" "WELLS"
1 8 6 1950 75.9567218753364 0 2895.63667598583 2338.5408885698 82.7730844482944 532.918479123441 733.653565151478 0 1477.1044415698
2 8 13 1950 148.147701326028 33.1147908655156 2139.40655506433 1873.24844791396 0 670.710760352493 372.134318455777 3.77359615550753 1477.3596120825
3 8 20 1950 90.2316089261678 0.582369118052608 2178.06353501033 2214.00507355139 85.1449482383754 689.897522981604 898.027472473713 0 882.460948554642
4 8 27 1950 160.90527578132 31.4132674996498 1676.84338222875 1626.17103835728 0 439.260688016453 253.854971747591 6.55817534630308 1088.4623763769
5 9 3 1950 89.8602566986655 0 1530.45378850636 1617.02382585815 82.3634584315446 503.577897329892 767.850359132778 0 950.272616503332
6 9 10 1950 153.73406665677 33.1147908655156 1395.67245279977 1128.18380724606 0 487.684380651056 197.272633765128 3.77359615550753 1260.73423233409
7 9 17 1950 63.700335331025 0 492.886233768412 620.932620482551 0 475.718535266321 266.88228788856 0 285.746078062189
8 9 24 1950 35.7647437892611 0 614.994325850062 333.195772404482 0 172.311638527896 523.122713304269 0 844.715979684659
9 10 1 1950 152.736454685337 0 176.458342769476 260.333357114774 80.7288092609593 254.379204118319 116.069660679284 2.70042055404608 598.919789002579
10 10 8 1950 10.8808755052667 32.0114566469255 240.484274593727 318.84829011426 0 226.89546150026 176.13265129939 0 86.9678761478522
11 10 15 1950 10.1837247438511 0 145.803616485937 107.164531027686 0 125.217092128691 140.575099641387 0 237.215923948776
12 10 22 1950 0.437008347483469 0 567.174291244593 151.44058550992 0 0 99.3258599943682 3.77359615550753 277.320553714897
13 10 29 1950 0 0 99.9980698865101 146.13801761209 0 0 25.868830405255 0 77.0792943912985
14 11 5 1950 54.3347723529793 0 0 0 0 0 12.2743192850843 0 0
15 11 12 1950 0 0 0 0 0 0 0 0 0
16 11 19 1950 0 0 0 0 0 0 0 0 0
17 11 26 1950 0 0 0 0 0 0 0 0 0
18 12 3 1950 0 0 0 0 0 0 0 0 0
19 12 10 1950 0 0 0 0 0 0 0 0 0
20 12 17 1950 0 0 0 0 0 0 0 0 0
21 12 24 1950 0 0 0 0 0 0 0 0 0
22 12 31 1950 0 0 0 0 0 0 0 0 0
23 1 7 1951 0 0 0 0 0 0 0 0 0
24 1 14 1951 0 0 0 0 0 0 0 0 0
25 1 21 1951 0 0 0 0 0 0 0 0 0
26 1 28 1951 0 0 0 0 0 0 0 0 0
27 2 4 1951 0 0 0 0 0 0 0 0 0
28 2 11 1951 0 0 0 0 0 0 0 0 0
29 2 18 1951 0 0 0 0 0 0 0 0 0
30 2 25 1951 0 0 0 0 0 0 0 0 0
31 3 4 1951 0 0 29.532596471703 158.829914547011 0 0 0 0 0
32 3 11 1951 0 0 108.027145844172 0 0 0.710489534354494 0 0 0
33 3 18 1951 0 0 0 0 0 0 0 0 0
34 3 25 1951 0 0 0 0 0 0 1.19704326614283 0 0
35 4 1 1951 0 0 13.0556467424468 28.156195627568 0 0 0 0 0
36 4 8 1951 10.885518267106 0 23.7289245243811 226.750847276889 0 0 0 0 35.793202531251
37 4 15 1951 0 31.4132674996498 32.0459475250439 30.1730481293312 0 0 0 0 8.08819211341422
38 4 22 1951 0 0 95.3646608186276 130.016993497296 0 0 0 0 0
39 4 29 1951 0 0 26.764882117969 40.2577468461259 0 0 0 0 0
40 5 6 1951 0 0 51.2800491264385 363.730789548688 0 0 0 0 0
41 5 13 1951 0 0 921.435866961526 1072.2862747361 0 0 0 0 13.0229851464536
