"Week" "Month" "Day" "Year" "CHIEF" "DALLE" "JDAYY" "MCNAR" "PRIRA" "RISLA" "ROCKY" "WANAP" "WELLS"
1 8 6 2006 86.5290694970463 0 1690.49355352983 1753.87457181399 0 611.700946734822 939.02017281462 3.77359615550753 1290.92550519472
2 8 13 2006 193.690837628962 0 1635.71096784436 1733.03506224225 84.6215955297535 927.84813063726 856.667912358433 0 1419.67686242705
3 8 20 2006 64.0878358000126 0 711.915812242037 511.884997598337 0 101.717885900329 114.131267028541 2.68450446600705 529.756517885474
4 8 27 2006 156.02800938071 65.1262475124411 551.127482937011 134.657018305318 0 590.972578383538 193.318271800526 3.77359615550753 940.611918859114
5 9 3 2006 0 0 250.922555701199 269.130660148792 75.2361514504341 293.369569368905 324.491440350997 0 346.36934348102
6 9 10 2006 11.4294713388663 0 902.58358964646 577.249061049382 0 148.174745925395 393.503458145321 0 224.248904755671
7 9 17 2006 59.9038983000549 0.534000221551598 629.161801520433 503.637574735501 0 124.86692036662 142.184623345809 0 543.576732720089
8 9 24 2006 45.7403778289476 0 350.20587482702 386.122223493349 0 540.827695684683 215.411627991598 3.77359615550753 660.851957908556
9 10 1 2006 148.0429559458 33.1147908655156 488.568343922561 533.040112955059 81.9769387713379 20.329555234619 238.789826805446 2.69924477096573 324.465109515323
10 10 8 2006 10.8192303832601 31.4132674996498 775.772916168881 279.554174006473 0 264.329346085239 26.971090964464 0 677.58735932096
11 10 15 2006 0 0 222.991210322281 222.169163976416 0 549.735786774286 556.901597978016 0 252.492279628858
12 10 22 2006 64.6260206141911 0 156.953876916451 153.662132738935 0 37.9586899076373 31.862185349946 0 436.83072726424
13 10 29 2006 0 0 288.584315414889 78.3911689934958 0 36.7956471450324 45.8573649833244 0 48.8883366182776
14 11 5 2006 0 0 0 0 0 8.16971226710496 0 0 0
15 11 12 2006 0 0 0 0 0 0 0 0 0
16 11 19 2006 0 0 0 0 0 0 0 0 0
17 11 26 2006 0 0 0 0 0 0 0 0 0
18 12 3 2006 0 0 0 0 0 0 0 0 0
19 12 10 2006 0 0 0 0 0 0 0 0 0
20 12 17 2006 0 0 0 0 0 0 0 0 0
21 12 24 2006 0 0 0 0 0 0 0 0 0
22 12 31 2006 0 0 0 0 0 0 0 0 0
23 1 7 2007 0 0 0 0 0 0 0 0 0
24 1 14 2007 0 0 0 0 0 0 0 0 0
25 1 21 2007 0 0 0 0 0 0 0 0 0
26 1 28 2007 0 0 0 0 0 0 0 0 0
27 2 4 2007 0 0 0 0 0 0 0 0 0
28 2 11 2007 0 0 0 0 0 0 0 0 0
29 2 18 2007 0 0 0 0 0 0 0 0 0
30 2 25 2007 0 0 0 0 0 0 0 0 0
31 3 4 2007 0 0 119.046198240562 223.638221386294 0 0 0 0 0
32 3 11 2007 0 0 18.5135440753127 0 0 0 0 0 0
33 3 18 2007 0 0 0 0 0 0.301995695959024 0 0 0
34 3 25 2007 0 0 12.6358970126382 0 0 0.298969827652733 0 0 0
35 4 1 2007 2.90313510262724 31.4132674996498 64.0805301476054 205.770420947651 0 0 0 0 46.3488804733718
36 4 8 2007 0 0 317.91753670395 125.716420710983 0 0 0 0 0
37 4 15 2007 0 0 41.116430204189 0 0 0 0 0 0
38 4 22 2007 0 0 99.8238980970622 147.625696203013 0 0 0 0 0
39 4 29 2007 0 0 568.756551985455 573.225386182318 0 0 0 0 0
40 5 6 2007 0 0 302.331076371963 415.715849719844 0 0 0 0 0
41 5 13 2007 0 0 748.232552826467 759.367632705983 0 0 0 0 31.5499190034237
42 5 20 2007 10.885518267106 0 1618.83055074702 1410.25126287874 0 10.0130318860142 0 0 64.7283827482541
43 5 27 2007 18.6057434219716 33.1147908655156 1865.39914046557 1460.34066996707 0 268.402080559949 15.4951059495827 2.65875080285339 257.478023077702
44 6 3 2007 35.2876500055425 0 2641.97963481221 1980.40215886719 85.2664546415688 124.744099706588 107.568432396502 0 227.748990227308
45 6 10 2007 21.771036534212 65.0951984249932 3868.49200171927 3227.03972815078 0 616.255537573428 240.929513998398 6.49112626913298 1032.81808451251
46 6 17 2007 67.4178088692713 0 2835.24116868758 2202.35701257752 77.893513763256 307.508151179659 420.22403795019 0 1199.40963805787
47 6 24 2007 153.364435296005 0.512578390239956 2860.36748890166 2709.18197328554 0 794.496925436015 537.040173267471 0 368.491045664906
48 7 1 2007 21.0692430109571 33.1147908655156 2683.16696476723 1748.78360204167 77.1908815124338 373.80521232707 229.318677305273 6.48957679529852 890.340263098335
