"Weeks_final" "Months" "Days" "Years" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "LUCKY" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS" "SNKHE" "HFORK" "LIMEP"
1 8 6 1950 215349.218664634 141493.346769533 459545.563290958 107352.10966328 1930195.1848012 217850.809879504 226260.548290759 582717.854067297 218147.996175901 15463.8095505738 1001368.01714164 28344.1480969811 200249.900023662 1906496.06020318 35808.0053067514 11453.2816094882 59957.1000202125 6793.33197184919 917967.805044531 583938.616933977 657151.753987979 5306.80415498065 1823883.61437587 5565.4552924773 98581.4688465097 713917.662814792 717153.856513779 723660.496043599 6097.3054274959 1731480.99478315 237402.54886123 152752.676490068 141669.463960866 206478.513392483 33705.7354098152 582717.854067297 45644.6390660468 9716.36909739614 81526.1864714649 1117106.35139857 412419.783624184 1094.75305126344 1084550.82286516 1058911.94359962 212640.053528828 1067651.93036745 1035085.21910626 64505.7239062347 26766.2415480319 670257.205102803
2 8 13 1950 225335.86141631 161807.732143036 462223.073707679 123300.409636932 1836017.29690515 221950.829375825 235110.050367437 577482.835310423 247988.485566487 13812.4118196962 957374.675558333 56092.2231910558 228554.786921703 1836020.33251088 66515.2997977053 15783.0255892205 93767.0206864705 10204.6072961442 885635.900856481 578875.489133569 658553.521736879 6085.514860549 1760290.52465962 6184.19372759821 118909.723214379 722714.701944192 728879.708833082 729862.5760137 5720.71677974729 1672933.56174209 256382.698495406 175850.401430423 161983.596454175 237891.740051653 34906.4223677407 577482.835310423 49858.3124968691 9031.3383214903 78906.9421526445 1049150.56514898 395697.271148701 995.938386189388 1022375.5842013 1002279.63181111 248261.967872748 1003330.0083429 987662.971883852 71041.4154308256 29772.0458219446 661058.936762473
3 8 20 1950 234243.589629556 132077.465649289 498842.120165792 117535.30202279 1836660.7162768 239591.112375207 248073.460427105 539390.679888064 225522.688317107 12786.8377012636 1176816.97626273 28625.0794205878 238542.288468322 1863835.54662251 57501.3357612138 11112.2821821966 60159.3226842958 6185.75435391723 1079057.12481753 543042.477178653 630101.900469193 4707.29983406189 1810025.12230178 4619.88471655933 102642.357395094 677131.44090313 675967.814762727 691524.958014379 5199.16064483932 1763703.10181623 257227.911973951 147554.877094537 134774.930692066 209835.200859553 30815.6303198335 539390.679888064 39589.7271100909 8192.50346733203 69936.8077681876 1244722.93939006 371503.791589162 793.829583329222 1228800.80285278 1216220.59930183 210903.848184686 1197610.06819727 1213050.69636878 55258.4279956362 24514.1551006151 617114.875262389
4 8 27 1950 179699.043356598 121262.809870451 343164.797013762 85217.4158032155 1797607.73901168 181570.67750341 189216.049405763 490263.643674236 183108.449997189 12030.2516594448 835874.801942551 21243.0180197773 164977.894258526 1772416.70293515 37910.2259043601 9107.62580515137 45853.3810484283 5062.1972878199 754836.904149396 491979.996759824 551870.852970329 4573.18204435333 1691085.89520926 4229.74597226918 78100.4653052618 598712.111918798 600356.16767025 607911.518842221 4826.47741688825 1554491.18291055 224611.749749588 136138.701556468 124537.557146103 173116.240973207 28887.4766778738 490263.643674236 36010.8139076008 7771.28593909975 62495.1868831503 973740.566260639 299520.131458411 648.893874037432 922355.427818039 899955.609569452 177475.269648053 922226.473821538 869917.913947092 49814.2200011033 23397.7166115926 555533.48434362
5 9 3 1950 164226.817862184 114623.889282972 289845.560068928 77418.7791720106 1414009.56994483 165204.779809592 169885.978223786 485714.966497655 161085.595641537 9410.0391752108 719798.325278122 19409.9494198337 146439.946694185 1432446.19918506 29841.194311365 6762.00418599932 37252.8482986872 4164.18786734456 659585.712125783 493057.206526495 517796.48467622 4822.54894029236 1365094.90685859 3914.56218553913 73495.6115787591 559199.23470867 560985.037826312 566128.614724603 4835.67681362231 1292571.20729496 179049.714846864 128059.400602198 117368.50054171 152132.927650559 17984.2687788027 485714.966497655 34330.1541839588 7885.71299108713 62040.3086465914 791640.262203278 252289.792915066 821.113123866136 770544.405162914 757517.860001678 157329.2499364 757383.390539686 744401.459324627 46793.1280633158 23644.9778272061 540369.352791041
6 9 10 1950 144093.818338019 107294.501905598 234793.646233261 67563.8954027669 1269124.37863007 144571.675783504 145119.813353052 487998.868245664 131635.470885509 6459.39487914713 607260.612354503 17038.7029069352 127586.449570467 1310549.26356009 22489.9989271587 4252.59704740168 25695.1736697244 3598.69891443322 558929.005054949 504161.38229637 490123.925735323 4531.29673128531 1234199.27677342 3723.01234711381 65740.9543858418 524759.366068502 526272.849030863 529711.655033058 5478.73616460055 1162344.76832906 127946.935603641 118142.883666966 108747.432051982 124103.550933964 4794.16556766719 487998.868245664 32244.0181702893 8779.94157715174 66866.2578593108 673960.879537728 210270.852185759 1096.68306155831 653762.491674787 640835.573375998 130616.726336043 643887.678165528 627771.299825695 42881.3077943501 22834.8024741595 532835.59843426
7 9 17 1950 156911.416897495 158627.065781433 237667.160841262 62614.7396467745 1308020.07724459 156323.731253223 157679.393092473 693391.809295936 145588.423753181 6447.6612809977 589063.470144294 21858.5021793364 122028.886156589 1380260.79589274 26098.4419064998 6285.39810095204 30734.4127250633 4874.30588554269 549347.352668032 707235.290157717 622105.709100119 5373.67383941148 1304874.4328698 5462.71376316117 60469.8878278852 694215.860799061 709507.588258754 686452.793575996 8892.82500367355 1249230.05857275 124580.227362886 187006.826142818 161586.483140696 137272.301643554 7497.31229554895 693391.809295936 51187.2084738734 14547.1628370095 87864.5654712277 643015.019398769 196440.944808121 1225.45186857079 625904.822683764 615972.342120747 144426.831079303 614457.936452785 608894.447276124 70096.6927802312 27910.1745777998 723271.2896283
8 9 24 1950 146227.200845618 107523.889831866 226379.228484975 62322.1001865032 1410130.17399314 146774.624287238 147343.922154248 538298.475090789 133094.559291404 5998.86754739744 616665.709903349 19101.3858876374 118756.633343639 1455095.68644539 21931.6711522285 4334.01972374668 27409.6279225941 3583.75237089454 562586.256460149 562712.063238881 590884.627954973 4268.8798046329 1369428.5595185 3754.51712116133 60528.0360433321 607958.585324665 598384.319779187 627742.877389459 4974.41933552019 1275825.3175301 119456.79735472 121046.764528788 110132.431420584 125178.335508036 4741.11861848521 538298.475090789 33214.2873055932 8061.94981465495 66615.3001999021 688927.562635947 182428.730337816 761.160975997012 669167.470321335 658403.726451674 131259.360318951 658666.620432437 644735.584827183 44154.4040504653 21786.1831435521 593352.270779206
9 10 1 1950 130083.935300646 107394.035716194 225207.036951464 55561.3138617144 1150030.36603251 131119.775231335 131639.115085791 453390.219415088 118141.371688964 5262.53018539223 535581.485329451 14755.1458643341 109432.74437943 1173390.23637328 23716.3826124852 4139.82914542138 21197.4690548477 2991.27643584754 493306.271871029 466792.064364969 459822.995503497 4425.72329136504 1098708.47726526 3668.87321309812 54781.6672106912 489140.806687535 489811.729752736 493860.980439709 4656.62844482626 1032933.75214049 112875.165881302 120017.541620376 108851.906570835 112162.072999298 4363.80023548424 453390.219415088 32381.8327715211 7472.81943883105 57273.833335138 586532.975829779 168464.756140484 688.147392555142 571529.468603965 563724.158723795 118946.213445216 561046.855031314 555854.459326389 43674.252602587 22332.8790402436 496244.723114393
10 10 8 1950 111468.619750089 91372.0319275138 112988.910292715 46405.7285565296 981993.713219542 115946.3641364 116360.002526979 435195.349945743 94679.5942286646 3289.42327759256 351419.21744032 10873.3850295109 76550.4850517561 962718.527789893 11583.7596399045 6611.10601016974 10775.4815505233 2392.64956413064 315535.531494143 445990.366012545 507846.71931184 3844.58474369946 876076.163586498 2885.96290678472 48788.4842747839 530685.921233233 527410.553607445 532724.166691713 5450.57618980052 845839.166858243 63996.8577202185 117994.617749716 97493.0520672097 94240.9669627601 4567.09363428373 435195.349945743 25610.560282193 8002.61242249198 64252.613052019 396341.682823393 92548.8434106276 1358.58031883708 380687.715905566 372517.250600552 105583.931107426 375979.486418016 364328.058793928 35010.7730717501 17526.668094249 526479.501933594
