"Weeks_final" "Months" "Days" "Years" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "LUCKY" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS" "SNKHE" "HFORK" "LIMEP"
1 8 6 2006 247331.27404756 141105.9047301 627747.231076312 218805.002512986 2473969.18786919 258361.774803795 269553.305886672 610091.328662992 226432.404716564 14258.2321645324 1498698.32610112 52907.2782513652 388260.212202855 2376792.61235899 66707.4325972969 16413.2533041022 97172.543730969 15566.9625382938 1369642.21331262 614698.265177055 760210.030822609 5191.27288986059 2300319.9594293 6713.15658654753 206669.00167151 797266.565749728 800482.482469818 799262.700420513 8632.45468103984 2278750.10747192 400032.474346684 159439.924137327 149305.305668291 218144.907832097 18336.055591426 610091.328662992 47599.9131082103 13465.7974032824 87347.847960775 1566965.74575884 534634.920141449 968.28608120006 1556628.32047281 1539785.61791642 223036.134542981 1535726.46427904 1523450.55018497 65392.656028172 29298.9327750105 731822.892608877
2 8 13 2006 225051.756571885 138389.10992608 547412.331908409 170497.192913584 2207304.82666768 233984.669738721 247479.40874948 577901.941500621 206615.35725545 13061.1851261028 1312613.09097151 44933.4700280899 313760.080050882 2112601.62632654 56782.6670246041 16644.459390141 86907.3449335586 13514.3897347859 1192906.87889029 582518.504534722 705144.851749237 5358.72722273823 2051219.1868928 6247.39940906496 160254.822328148 743252.82967913 747399.779763946 744503.570401304 8074.2421363264 2034085.44677215 365056.307214069 156062.428382592 145568.347947586 199068.112951853 19186.0737364131 577901.941500621 46882.9865066536 11963.9588973468 82915.8320431438 1381930.25771154 481892.963093263 754.955117542264 1367285.70718727 1353476.09678964 204008.234165029 1353491.43041034 1335843.18374917 64259.6267915257 30089.5198966433 682435.620388026
3 8 20 2006 219622.831891747 139674.848448834 517372.488143729 140169.460470057 1964611.4173564 228250.664202307 241502.292846446 560657.768790814 202129.640438318 12236.9143635271 1195072.41766356 40828.7327566509 266592.553478825 1885847.84956849 44963.7966815353 15163.4330513271 80584.1387657098 12588.7214070531 1090387.63840557 563855.105297236 676392.005753254 5322.6299945283 1832742.87527117 5768.40065266532 131380.536761675 712034.244012209 715483.211161488 713840.955489524 7527.14426950883 1832938.23189484 343697.041311996 158156.055738998 146970.401835783 194240.353457924 18041.4320596499 560657.768790814 45228.9047461003 11360.5531583699 76206.5527673755 1236722.19739896 443199.09941804 636.195388580814 1234091.88173708 1225948.84692686 198124.60823812 1215225.85638275 1216039.42085279 62372.5049861777 29909.3832795918 657255.031904503
4 8 27 2006 203334.970672131 133846.720769759 469145.252130625 115138.693124512 1814796.99958135 211558.194350846 223660.742083676 519632.86048931 187702.438710192 11476.6751564752 1052734.49308973 35086.9418468063 221441.230110613 1740544.60126397 36620.6522262881 13778.3532293434 71997.6480843113 11742.5406216538 960280.104067281 523996.323110772 631097.026978119 5433.86201015323 1690542.42373594 6130.15356019102 107077.557007174 662985.664672125 665427.817809709 665310.037453973 6944.05103944882 1677201.04566202 328141.825912425 146969.450735989 137911.15954886 180698.906216488 16450.0360523408 519632.86048931 48344.7518269728 10746.5796187033 68423.1147937195 1094749.03060149 412742.209151395 556.161480797198 1088706.69795669 1081211.68596686 184862.381779071 1074035.32686066 1071940.68755446 64503.218889017 30653.7579344797 614709.474693711
5 9 3 2006 196893.793832876 128576.793597311 360982.098718142 98457.2473122433 1628746.44286842 200110.878913515 212551.543991817 547506.797143256 180263.25732963 9181.22567036987 865996.302490717 31452.4114926189 172510.095326496 1585824.47232536 30111.9948458679 9447.49270182128 60468.308671237 10505.4114373584 785332.455319333 556502.696191472 601305.470517368 5403.41491396681 1527655.10319462 5432.86218854967 89971.3683191733 641281.714168222 645687.741153064 640543.427630585 7351.60792225904 1495579.13176473 246511.071995883 148189.326868973 134867.108439469 175628.575497132 10628.5723142156 547506.797143256 41279.5076795371 10981.4908728366 72344.6904363087 928959.456317228 327451.188789891 827.439377089255 910782.877361891 899568.178715894 178439.218940391 902942.462421887 883119.29113463 56130.3877907806 28534.0295041434 620481.636903453
6 9 10 2006 194264.648066464 120419.799425413 296901.870764466 87556.1494277881 1488536.63684612 192546.313660524 204991.865715382 564017.481189627 170321.27859309 6566.70285405424 687626.178637145 24115.8669261255 132084.627768987 1475018.8265901 23758.8183872752 3802.80113820001 43689.1206704972 8619.163597262 626574.104886417 580830.458627018 584314.03400736 5054.53522000259 1402342.70794159 4780.64208550984 78863.88983196 622227.764370385 623579.64687664 624747.773738846 7561.15987653751 1330129.89758584 182944.571884295 137422.29158528 123563.583730679 167666.300258832 3164.4305829915 564017.481189627 36515.6948470222 11411.9091314473 78913.3260973715 754837.166297298 270240.946935201 1165.55271286937 727465.798946052 714039.832508022 167806.634274191 723351.051702941 698545.885002273 50922.136150332 26283.3310549579 623105.369735397
7 9 17 2006 181691.614303246 105305.704234615 283049.358566689 80255.0335454934 1395479.24031504 179815.711105167 191591.427548539 521442.13954323 160869.383204097 6307.02577469038 641380.905991527 22428.0737330198 122824.384619069 1383196.74899936 24289.1732594175 3616.3707256424 40535.7229631169 8072.04272204707 584461.477306772 538624.58734333 550919.580954624 4685.89344399824 1315474.82661591 4320.6215760761 72522.5806173273 585465.08094942 585592.452597589 588748.894746208 7144.2099632157 1247212.27872847 177964.784327792 118621.598508067 107621.579499823 158700.879221203 2951.14153541686 521442.13954323 32701.9586277542 10751.098910819 72918.4729173739 704572.07501136 253052.222144346 1010.18024233508 679346.209614269 667411.115124005 159210.675317693 675273.115864999 652879.428795644 44867.4176841115 24188.6240643268 582755.234139545
8 9 24 2006 177670.034456276 106399.434590477 272509.076496274 76632.704698342 1306957.16683326 175699.945070939 187307.457328107 490563.895978356 157661.800511935 5969.9083423314 626453.534074648 21924.5276642304 117760.314807162 1299624.75649806 20066.9015365196 3484.60861493529 39609.6623641288 7527.30728424627 571481.201521686 505616.447621508 511639.081405136 4811.17843747203 1239120.37638608 4282.07666454896 68772.330455937 546178.492269678 547718.141602399 547738.536538552 6866.00383569175 1184576.01784854 168206.78652546 118180.712509613 107642.148466284 155557.168062222 2759.82196310143 490563.895978356 34582.6039073555 10463.4699304689 67951.806677138 685206.702905966 234708.817422286 820.675265389373 662338.492223329 652271.542238645 156065.405200939 657306.52849962 640206.541157572 47313.4620709371 24161.3219232104 547220.176063801
9 10 1 2006 167299.361963863 102121.91031611 214590.114975359 70660.5873153891 1251014.12096376 166639.583642629 175967.379188998 475100.514699315 147288.284018374 5409.42808499243 552611.72178879 23178.9106824737 103761.638841583 1239751.45739534 15904.7851726278 4424.05802075111 37865.2876373612 7378.06003255594 499621.762211598 488994.020610336 501999.015570831 5156.70838791289 1174140.05168666 4895.12380590425 64561.5666943268 536407.890262431 538131.129538922 537249.851278841 6513.19844885126 1110396.65432604 148808.055340903 117381.154765697 105737.701926537 145767.161470398 2621.36019758613 475100.514699315 33154.3776448038 10245.0468942351 65621.2286337851 612193.526061254 202045.583088041 849.808035930369 588916.251885356 579003.958086924 147256.9748985 586292.493711927 565648.702640949 45005.8457226703 25026.8304845413 533137.267435008
10 10 8 2006 161628.272175714 98852.2319416662 152952.824470103 66446.1776711552 1143786.66056243 167695.104425817 167110.210855599 462865.084038639 130513.103450471 3552.50772525477 441725.488658383 19096.2085995441 94163.7312306997 1129982.48309217 14761.2468225585 9273.66737055918 27819.2866425601 6539.59851061161 388363.528538138 471731.153926007 548734.056072327 4316.50992973645 1039245.56902032 3516.37134168871 66034.8071572261 583571.724619541 584162.211375913 583633.856538735 6287.45284519108 982501.211337848 101888.935711435 130523.391029254 114512.890459542 127955.097427093 2708.42982256354 462865.084038639 30538.3718218598 11298.876953374 74378.9219575119 466311.818208834 141784.101100971 1269.56798100858 460169.246225836 454262.254968041 127542.362528346 450925.972048432 453476.361565646 42207.8074732761 22741.7988297504 548410.762066091
