week	MICAA	ARROW	DUNCA	DWORS	GCOUL	FLASF	LIBBY	BROWN	FLAPO	CORRA	ALBEN
1	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0
23	44826	90645	9441	0	806042	33045	70215	0	0	0	0
24	44826	90645	9441	0	806042	33045	70215	0	0	0	0
25	44826	90645	9441	0	806042	33045	70215	0	0	0	0
26	44826	90645	9441	0	806042	33045	70215	0	0	0	0
27	44826	90645	9441	0	806042	33045	70215	0	0	0	0
28	21620	34165	3223	0	368925	27818	18595	0	0	0	0
29	21620	34165	3223	0	368925	27818	18595	0	0	0	0
30	21620	34165	3223	0	368925	27818	18595	0	0	0	0
31	21620	34165	3223	0	368925	27818	18595	0	0	0	0
32	72992	153174	14975	0	424810	12198	95306	0	0	0	0
33	72992	153174	14975	0	424810	12198	95306	0	0	0	0
34	72992	153174	14975	0	424810	12198	95306	0	0	0	0
35	72992	153174	14975	0	424810	12198	95306	0	0	0	0
36	31389	105372	8628	0	380380	9719	6942	0	0	0	0
37	31389	105372	8628	0	380380	9719	6942	0	0	0	0
38	31389	105372	8628	0	380380	9719	6942	0	0	0	0
39	31389	105372	8628	0	380380	9719	6942	0	0	0	0
40	49666	74777	5831	0	143722	8688	4840	0	0	0	0
41	49666	74777	5831	0	143722	8688	4840	0	0	0	0
42	49666	74777	5831	0	143722	8688	4840	0	0	0	0
43	49666	74777	5831	0	143722	8688	4840	0	0	0	0
44	49666	74777	5831	0	143722	8688	4840	0	0	0	0
45	61785	150942	16513	0	1450958	53157	240595	0	0	0	0
46	61785	150942	16513	0	1450958	53157	240595	0	0	0	0
47	61785	150942	16513	0	1450958	53157	240595	0	0	0	0
48	61785	150942	16513	0	1450958	53157	240595	0	0	0	0
49	122430	170826	25537	0	1450958	53157	240595	0	0	0	0
50	122430	170826	25537	0	1450958	53157	240595	0	0	0	0
51	122430	170826	25537	0	1450958	53157	240595	0	0	0	0
52	122430	170826	25537	0	1450958	53157	240595	0	0	0	0



