Week Month Year MICAA ARROW DUNCA DWORS FLASF LIBBY ALBEN FLAPO CORRA BROWN GCOUL
1 8 1979 19553612 7116541 1347699 2896389 2956187.67466892 5770433 1540000 1792000 593600 1392402 9107400
2 8 1979 19814306 7221921 1386299 2782067 2933124.90438303 5671467 1540000 1792000 638280 1392402 9107400
3 8 1979 20075000 7327300 1424900 2667744 2910063.13409714 5572500 1540000 1792000 682960 1392402 9107400
4 8 1979 20073116 7321562 1423330 2553422 2887000.36381124 5473533 1540000 1792000 711282 1392402 9107400
5 9 1979 20071231 7315823 1421759 2439100 2863937.85657454 5374567 1540000 1792000 711282 1392402 9107400
6 9 1979 20040487 7239906 1410701 2387014 2840875.08628865 5275600 1482126 1792000 737712 1381394 9107400
7 9 1979 20009744 7163989 1399644 2334849 2817813.31600276 5176633 1424251 1792000 764141 1370386 9107400
8 9 1979 19979000 7088071 1388586 2282683 2794750.54571686 5077667 1366377 1792000 790571 1359377 9107400
9 9 1979 19948256 7012154 1377528 2230518 2726227 5414900 1308502 1792000 817000 1348369 9107400
10 10 1979 19891132 6937496 1361264 2230875 2735008 5647133 1199292 1792000 817000 1350789 9107400
11 10 1979 19834008 6862838 1344999 2231232 2743789 5654353 1090082 1792000 817000 1353209 9107400
12 10 1979 19776885 6788181 1328735 2231589 2752570 5661572 980873 1792000 817000 1355628 9107400
13 10 1979 19719761 6713523 1312470 2231946 2761350 5668792 871663 1792000 817000 1358048 9107400
14 11 1979 19662637 6638865 1296206 2232303 2770131 5676012 762453 1792000 817000 1360468 9107400
15 11 1979 19505348 6520799 1250437 2230568 2711956 5518822 696602 1790869 817000 1356104 9107400
16 11 1979 19348059 6402733 1204669 2228832 2653781 5361632 630751 1789739 817000 1351741 9107400
17 11 1979 19190769 6284667 1158900 2227097 2595605 5204442 564899 1788608 817000 1347377 9107400
18 12 1979 19033480 6166601 1113131 2225361 2537430 5047252 499048 1787477 817000 1343013 9107400
19 12 1979 18738836 5954816 1042470 2219460 2423590 4740955 499048 1769824 817000 1329179 9107400
20 12 1979 18444192 5743031 971809 2213560 2309751 4434658 499048 1752171 817000 1315344 9107400
21 12 1979 18149547 5531246 901148 2207659 2195911 4244400 499048 1734518 817000 1301510 9107400
22 12 1979 17854903 5319461 830487 2201758 2083480 3869400 499048 1716865 817000 1287675 9107400
23 1 1980 17566070 2967397.19466124 376536.357945874 2107940 2087089 3989400 499048 1657718 810693 1255979 9107400
24 1 1980 17277237 3168844.60584355 372558.040489484 2107940 2090699 4109400 499048 1598571 804386 1224283 9107400
25 1 1980 16988405 3369147.44972021 367431.100562892 2107940 2094309 4229400 499048 1539424 779185 1192587 9107400
