Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 7327300 7116541 227300 0 7327300 7327300 7116541 105380
2 8 13 1950 1951 7327300 7221921 227300 0 7327300 7327300 7221921 105379
3 8 20 1950 1951 7327300 7327300 227300 0 7327300 7327300 7327300 -5738
4 8 27 1950 1951 7327300 7321562 227300 0 7327300 7327300 7321562 -5739
5 9 3 1950 1951 7327300 7315823 227300 0 7327300 7327300 7315823 -75917
6 9 10 1950 1951 7327300 7239906 227300 0 7327300 7327300 7239906 -75917
7 9 17 1950 1951 7327300 7163989 227300 0 7327300 7327300 7163989 -75918
8 9 24 1950 1951 7327300 7088071 227300 0 7327300 7327300 7088071 -75917
9 10 1 1950 1951 7327300 7012154 227300 0 7327300 7327300 7012154 -74658
10 10 8 1950 1951 7277300 6937496 227300 0 7327300 7327300 6937496 -74658
11 10 15 1950 1951 7227300 6862838 227300 0 7327300 7327300 6862838 -74657
12 10 22 1950 1951 7177300 6788181 227300 0 7327300 7327300 6788181 -74658
13 10 29 1950 1951 7127300 6713523 227300 0 7327300 7327300 6713523 -74658
14 11 5 1950 1951 7077300 6638865 227300 0 7327300 7327300 6638865 -118066
15 11 12 1950 1951 7077300 6520799 227300 0 7327300 7327300 6520799 -118066
16 11 19 1950 1951 7077300 6402733 227300 0 7327300 7327300 6402733 -118066
17 11 26 1950 1951 7077300 6284667 227300 0 7327300 7327300 6284667 -118066
18 12 3 1950 1951 7077300 6166601 227300 0 7327300 7327300 6166601 -211785
19 12 10 1950 1951 6964800 5954816 594639 0 7327300 7327300 5954816 -211785
20 12 17 1950 1951 6852300 5743031 961977 0 7327300 7327300 5743031 -211785
21 12 24 1950 1951 6739800 5531246 1329316 0 7327300 7327300 5531246 -211785
22 12 31 1950 1951 6627300 5319461 1696654 0 7327300 7327300 5319461 -2380086.93544627
23 1 7 1951 1951 6404248.87245337 4916142 1998419 1249183 7327300 2939374.06455373 2939374.06455373 212199.648057791
24 1 14 1951 1951 6181197.74448633 4512824 2300184 1249183 7327300 3151573.71261152 3151573.71261152 209588.735940982
25 1 21 1951 1951 5958146.6169397 4109505 2601949 1249183 7327300 3361162.4485525 3361162.4485525 208476.809209907
26 1 28 1951 1951 5735095.48897265 3706187 2903714 1249183 7327300 3569639.25776241 3569639.25776241 -266771.257762406
27 2 4 1951 1951 5512044.36142603 3302868 3205479 1249183 7327300 3777384.65814542 3302868 -56827
28 2 11 1951 1951 5288993.23345898 2993348 3246041 1082274 7327300 4077340.49625687 3246041 40562
29 2 18 1951 1951 5065943.10549193 2683827 3286603 915366 7327300 4156395.68166176 3286603 40562
30 2 25 1951 1951 4842891.97752488 2374307 3327165 748457 7327300 4163851.54192468 3327165 40562
31 3 4 1951 1951 4619840.84997826 2064786 3367727 581548 7327300 4176755.88186318 3367727 27124
32 3 11 1951 1951 4396789.72201121 2002555 3394851 523135 7327300 4048902.42851929 3394851 27124
33 3 18 1951 1951 4173738.59446458 1940324 3421975 464722 7327300 3921246.29700151 3421975 27124
34 3 25 1951 1951 3950687.46649753 1878092 3449099 406308 7327300 3781808.71500098 3449099 27124
35 4 1 1951 1951 3727636.33895091 1815861 3476223 347895 7327300 3655708.22050061 3476223 80033
36 4 8 1951 1951 7327300 1526572 3556256 288589 7327300 3694642.98776087 3556256 80033
