Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 1420000 1392402 444700 0 1420000 1420000 1392402 0
2 8 13 1950 1951 1420000 1392402 444700 0 1420000 1420000 1392402 0
3 8 20 1950 1951 1420000 1392402 444700 0 1420000 1420000 1392402 0
4 8 27 1950 1951 1420000 1392402 444700 0 1420000 1420000 1392402 0
5 9 3 1950 1951 1420000 1392402 444700 0 1420000 1420000 1392402 -11008
6 9 10 1950 1951 1420000 1381394 444700 0 1420000 1420000 1381394 -11008
7 9 17 1950 1951 1420000 1370386 444700 0 1420000 1420000 1370386 -11009
8 9 24 1950 1951 1420000 1359377 444700 0 1420000 1420000 1359377 -11008
9 10 1 1950 1951 1420000 1348369 444700 0 1420000 1420000 1348369 2420
10 10 8 1950 1951 1420000 1350789 444700 0 1420000 1420000 1350789 2420
11 10 15 1950 1951 1420000 1353209 444700 0 1420000 1420000 1353209 2419
12 10 22 1950 1951 1420000 1355628 444700 0 1420000 1420000 1355628 2420
13 10 29 1950 1951 1420000 1358048 444700 0 1420000 1420000 1358048 2420
14 11 5 1950 1951 1420000 1360468 444700 0 1420000 1420000 1360468 -4364
15 11 12 1950 1951 1420000 1356104 444700 0 1420000 1420000 1356104 -4363
16 11 19 1950 1951 1420000 1351741 444700 0 1420000 1420000 1351741 -4364
17 11 26 1950 1951 1420000 1347377 444700 0 1420000 1420000 1347377 -4364
18 12 3 1950 1951 1420000 1343013 444700 0 1420000 1420000 1343013 -13834
19 12 10 1950 1951 1420000 1329179 444700 0 1420000 1420000 1329179 -13835
20 12 17 1950 1951 1420000 1315344 444700 0 1420000 1420000 1315344 -13834
21 12 24 1950 1951 1420000 1301510 444700 0 1420000 1420000 1301510 -13835
22 12 31 1950 1951 1420000 1287675 444700 0 1420000 1420000 1287675 -31696
23 1 7 1951 1951 1420000 1255979 444700 0 1420000 1420000 1255979 -31696
24 1 14 1951 1951 1420000 1224283 444700 0 1420000 1420000 1224283 -31696
25 1 21 1951 1951 1420000 1192587 444700 0 1420000 1420000 1192587 -31696
26 1 28 1951 1951 1420000 1160891 444700 0 1420000 1420000 1160891 -31696
27 2 4 1951 1951 1420000 1129195 444700 0 1420000 1420000 1129195 -11504
28 2 11 1951 1951 1334630.88098667 1117691 444700 0 1420000 1420000 1117691 -11504
29 2 18 1951 1951 1249261.76197334 1106187 444700 0 1420000 1420000 1106187 -11504
30 2 25 1951 1951 1163892.64296001 1094683 444700 0 1420000 1420000 1094683 -16159.476053325
31 3 4 1951 1951 1078523.52394668 1083179 444700 0 1420000 1420000 1078523.52394668 -21476.523946675
32 3 11 1951 1951 1083407.10630657 1057047 466568 0 1420000 1420000 1057047 -26132
33 3 18 1951 1951 1088290.68866647 1030915 488436 0 1420000 1420000 1030915 -26133
34 3 25 1951 1951 1093174.27102636 1004782 510303 0 1420000 1420000 1004782 -26132
35 4 1 1951 1951 1098057.85338626 978650 532171 0 1420000 1420000 978650 20033
36 4 8 1951 1951 1110565.41886519 998683 630650 0 1420000 1420000 998683 20033
37 4 15 1951 1951 1123072.98434413 1018716 729130 0 1420000 1420000 1018716 22413
38 4 22 1951 1951 1148083.49493634 1041129 827609 0 1420000 1420000 1041129 22413
39 4 29 1951 1951 1173094.00552856 1063542 926088 0 1420000 1420000 1063542 36972
40 5 6 1951 1951 1420000 1100514 979245 0 1420000 1420000 1100514 36972
41 5 13 1951 1951 1420000 1137486 1032402 0 1420000 1420000 1137486 36972
42 5 20 1951 1951 1420000 1174458 1085559 0 1420000 1420000 1174458 36972
43 5 27 1951 1951 1420000 1211430 1138716 0 1420000 1420000 1211430 36972
44 6 3 1951 1951 1420000 1248402 1191873 0 1420000 1420000 1248402 39471
45 6 10 1951 1951 1420000 1287873 1248930 0 1420000 1420000 1287873 39471
46 6 17 1951 1951 1420000 1327344 1305986 0 1420000 1420000 1327344 39471
47 6 24 1951 1951 1420000 1366815 1363043 0 1420000 1420000 1366815 53185
48 7 1 1951 1951 1420000 1406286 1420000 0 1420000 1420000 1420000 0
49 7 8 1951 1951 1420000 1402815 1420000 0 1420000 1420000 1420000 0
50 7 15 1951 1951 1420000 1399344 1420000 0 1420000 1420000 1420000 0
51 7 22 1951 1951 1420000 1395873 1420000 0 1420000 1420000 1420000 0
52 7 29 1951 1951 1420000 1392402 1420000 0 1420000 1420000 1420000 -27598
1 8 5 1951 1952 1420000 1392402 444700 0 1420000 1420000 1392402 0
2 8 12 1951 1952 1420000 1392402 444700 0 1420000 1420000 1392402 0
3 8 19 1951 1952 1420000 1392402 444700 0 1420000 1420000 1392402 0
4 8 26 1951 1952 1420000 1392402 444700 0 1420000 1420000 1392402 0
5 9 2 1951 1952 1420000 1392402 444700 0 1420000 1420000 1392402 -11008
6 9 9 1951 1952 1420000 1381394 444700 0 1420000 1420000 1381394 -11008
7 9 16 1951 1952 1420000 1370386 444700 0 1420000 1420000 1370386 -11009
8 9 23 1951 1952 1420000 1359377 444700 0 1420000 1420000 1359377 -11008
9 9 30 1951 1952 1420000 1348369 444700 0 1420000 1420000 1348369 2420
10 10 7 1951 1952 1420000 1350789 444700 0 1420000 1420000 1350789 2420
11 10 14 1951 1952 1420000 1353209 444700 0 1420000 1420000 1353209 2419
12 10 21 1951 1952 1420000 1355628 444700 0 1420000 1420000 1355628 2420
13 10 28 1951 1952 1420000 1358048 444700 0 1420000 1420000 1358048 2420
14 11 4 1951 1952 1420000 1360468 444700 0 1420000 1420000 1360468 -4364
15 11 11 1951 1952 1420000 1356104 444700 0 1420000 1420000 1356104 -4363
16 11 18 1951 1952 1420000 1351741 444700 0 1420000 1420000 1351741 -4364
17 11 25 1951 1952 1420000 1347377 444700 0 1420000 1420000 1347377 -4364
18 12 2 1951 1952 1420000 1343013 444700 0 1420000 1420000 1343013 -13834
19 12 9 1951 1952 1420000 1329179 444700 0 1420000 1420000 1329179 -13835
