Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 593600 711282 0 0 1540000 1540000 593600 44680
2 8 13 1950 1951 638280 711282 0 0 1540000 1540000 638280 44680
3 8 20 1950 1951 682960 711282 0 0 1540000 1540000 682960 28322
4 8 27 1950 1951 727640 711282 0 0 1540000 1540000 711282 0
5 9 3 1950 1951 772320 711282 0 0 1540000 1540000 711282 26430
6 9 10 1950 1951 817000 737712 0 0 1540000 1540000 737712 26429
7 9 17 1950 1951 817000 764141 0 0 1540000 1540000 764141 26430
8 9 24 1950 1951 817000 790571 0 0 1540000 1540000 790571 26429
9 10 1 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
10 10 8 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
11 10 15 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
12 10 22 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
13 10 29 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
14 11 5 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
15 11 12 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
16 11 19 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
17 11 26 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
18 12 3 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
19 12 10 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
20 12 17 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
21 12 24 1950 1951 817000 817000 0 0 1540000 1540000 817000 0
22 12 31 1950 1951 817000 817000 0 0 1540000 1540000 817000 -6307
23 1 7 1951 1951 816730 810693 0 0 1540000 1540000 810693 -6307
24 1 14 1951 1951 816730 804386 0 0 1540000 1540000 804386 -25201
25 1 21 1951 1951 779185 798078 0 0 1540000 1540000 779185 -37544
26 1 28 1951 1951 741641 791771 0 0 1540000 1540000 741641 -37545
27 2 4 1951 1951 704096 785464 0 0 1540000 1540000 704096 -34096
28 2 11 1951 1951 670000 741828 0 0 1540000 1540000 670000 -43625
29 2 18 1951 1951 626375 698192 0 0 1540000 1540000 626375 -43625
30 2 25 1951 1951 582750 654555 0 0 1540000 1540000 582750 -43625
31 3 4 1951 1951 539125 610919 0 0 1540000 1540000 539125 -43625
32 3 11 1951 1951 495500 529101 0 0 1540000 1540000 495500 -82325
33 3 18 1951 1951 413175 447283 0 0 1540000 1540000 413175 -82325
34 3 25 1951 1951 330850 365464 0 0 1540000 1540000 330850 -82325
35 4 1 1951 1951 248525 283646 0 0 1540000 1540000 248525 -82325
36 4 8 1951 1951 166200 283646 0 0 1540000 1540000 166200 25141
37 4 15 1951 1951 191341 283646 0 0 1540000 1540000 191341 25141
38 4 22 1951 1951 216482 283646 0 0 1540000 1540000 216482 25142
39 4 29 1951 1951 241624 283646 0 0 1540000 1540000 241624 25141
40 5 6 1951 1951 266765 283646 0 0 1540000 1540000 266765 16881
41 5 13 1951 1951 291906 283646 0 0 1540000 1540000 283646 0
42 5 20 1951 1951 317047 283646 0 0 1540000 1540000 283646 0
43 5 27 1951 1951 342188 283646 0 0 1540000 1540000 283646 0
44 6 3 1951 1951 367329 283646 0 0 1540000 1540000 283646 106909
45 6 10 1951 1951 392471 390555 0 0 1540000 1540000 390555 27057
46 6 17 1951 1951 417612 497464 0 0 1540000 1540000 417612 25141
47 6 24 1951 1951 442753 604373 0 0 1540000 1540000 442753 25141
48 7 1 1951 1951 467894 711282 0 0 1540000 1540000 467894 25141
49 7 8 1951 1951 493035 711282 0 0 1540000 1540000 493035 25141
50 7 15 1951 1951 518176 711282 0 0 1540000 1540000 518176 25142
51 7 22 1951 1951 543318 711282 0 0 1540000 1540000 543318 25141
52 7 29 1951 1951 568459 711282 0 0 1540000 1540000 568459 25141
1 8 5 1951 1952 593600 711282 0 0 1540000 1540000 593600 44680
2 8 12 1951 1952 638280 711282 0 0 1540000 1540000 638280 44680
3 8 19 1951 1952 682960 711282 0 0 1540000 1540000 682960 28322
4 8 26 1951 1952 727640 711282 0 0 1540000 1540000 711282 0
5 9 2 1951 1952 772320 711282 0 0 1540000 1540000 711282 26430
6 9 9 1951 1952 817000 737712 0 0 1540000 1540000 737712 26429
7 9 16 1951 1952 817000 764141 0 0 1540000 1540000 764141 26430
8 9 23 1951 1952 817000 790571 0 0 1540000 1540000 790571 26429
9 9 30 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
10 10 7 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
11 10 14 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
12 10 21 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
13 10 28 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
14 11 4 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
15 11 11 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
16 11 18 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
17 11 25 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
18 12 2 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
19 12 9 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
20 12 16 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
21 12 23 1951 1952 817000 817000 0 0 1540000 1540000 817000 0
22 12 30 1951 1952 817000 817000 0 0 1540000 1540000 817000 -6307
23 1 6 1952 1952 816730 810693 0 0 1540000 1540000 810693 -6307
24 1 13 1952 1952 816730 804386 0 0 1540000 1540000 804386 -25201
25 1 20 1952 1952 779185 798078 0 0 1540000 1540000 779185 -37544
26 1 27 1952 1952 741641 791771 0 0 1540000 1540000 741641 -37545
27 2 3 1952 1952 704096 785464 0 0 1540000 1540000 704096 -34096
28 2 10 1952 1952 670000 741828 0 0 1540000 1540000 670000 -43625
29 2 17 1952 1952 626375 698192 0 0 1540000 1540000 626375 -43625
