Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 1424900 1347699 25000 0 1424900 1424900 1347699 38600
2 8 13 1950 1951 1424900 1386299 25000 0 1424900 1424900 1386299 38601
3 8 20 1950 1951 1424900 1424900 25000 0 1424900 1424900 1424900 -1570
4 8 27 1950 1951 1424900 1423330 87182 0 1424900 1424900 1423330 -1571
5 9 3 1950 1951 1424900 1421759 149364 0 1424900 1424900 1421759 -11058
6 9 10 1950 1951 1424900 1410701 182240 0 1424900 1424900 1410701 -11057
7 9 17 1950 1951 1424900 1399644 215116 0 1424900 1424900 1399644 -11058
8 9 24 1950 1951 1424900 1388586 247992 0 1424900 1424900 1388586 -11058
9 10 1 1950 1951 1424900 1377528 280868 0 1424900 1424900 1377528 -16264
10 10 8 1950 1951 1424900 1361264 293046 0 1424900 1424900 1361264 -16265
11 10 15 1950 1951 1424900 1344999 305225 0 1424900 1424900 1344999 -16264
12 10 22 1950 1951 1424900 1328735 317403 0 1424900 1424900 1328735 -16265
13 10 29 1950 1951 1424900 1312470 329582 0 1424900 1424900 1312470 -16264
14 11 5 1950 1951 1424900 1296206 341760 0 1424900 1424900 1296206 -45769
15 11 12 1950 1951 1424900 1250437 350438 0 1424900 1424900 1250437 -45768
16 11 19 1950 1951 1424900 1204669 359115 0 1424900 1424900 1204669 -45769
17 11 26 1950 1951 1424900 1158900 367793 0 1424900 1424900 1158900 -45769
18 12 3 1950 1951 1424900 1113131 376471 0 1424900 1424900 1113131 -70661
19 12 10 1950 1951 1324900 1042470 382024 0 1424900 1424900 1042470 -70661
20 12 17 1950 1951 1224900 971809 387578 0 1424900 1424900 971809 -70661
21 12 24 1950 1951 1124900 901148 393132 0 1424900 1424900 901148 -70661
22 12 31 1950 1951 1024900 830487 398686 0 1424900 1424900 830487 -347737.907575755
23 1 7 1951 1951 960587.538240763 776735 402732 123380 1424900 482749.092424245 482749.092424245 -8839.37430221215
24 1 14 1951 1951 896274.532405305 722983 406778 123380 1424900 473909.718122033 473909.718122033 -9653.23050683923
25 1 21 1951 1951 831961.614722288 669231 410824 123380 1424900 464256.487615194 464256.487615194 -10034.9582674988
26 1 28 1951 1951 767648.608886831 615479 414871 123380 1424900 454221.529347695 454221.529347695 -9763.45742645691
27 2 4 1951 1951 703336.147127593 561727 418917 123380 1424900 444458.071921238 444458.071921238 -3463.72441609378
