Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 3468000 2911906 1986353 0 2896389 3468000 2896389 -114322
2 8 13 1950 1951 3468000 2824105 1986353 0 2782067 3468000 2782067 -114323
3 8 20 1950 1951 3468000 2736303 1986353 0 2667744 3468000 2667744 -114322
4 8 27 1950 1951 3468000 2587741 1975543 0 2553422 3468000 2553422 -114322
5 9 3 1950 1951 3468000 2439179 1964733 0 2439100 3468000 2439100 -52086
6 9 10 1950 1951 3468000 2387014 1956006 0 2388825 3468000 2387014 -52165
7 9 17 1950 1951 3468000 2334849 1947279 0 2338550 3468000 2334849 -52166
8 9 24 1950 1951 3468000 2282683 1938552 0 2288275 3468000 2282683 -52165
9 10 1 1950 1951 3468000 2230518 1929824 0 2238000 3468000 2230518 357
10 10 8 1950 1951 3328000 2230875 1927762 0 3468000 3468000 2230875 357
11 10 15 1950 1951 3188000 2231232 1925699 0 3468000 3468000 2231232 357
12 10 22 1950 1951 3048000 2231589 1923636 0 3468000 3468000 2231589 357
13 10 29 1950 1951 2908000 2231946 1921573 0 3468000 3468000 2231946 357
14 11 5 1950 1951 2768000 2232303 1919510 0 3468000 3468000 2232303 -1735
15 11 12 1950 1951 2768000 2230568 1921097 0 3468000 3468000 2230568 -1736
16 11 19 1950 1951 2768000 2228832 1922684 0 3468000 3468000 2228832 -1735
17 11 26 1950 1951 2768000 2227097 1924271 0 3468000 3468000 2227097 -1736
18 12 3 1950 1951 2768000 2225361 1925857 0 3468000 3468000 2225361 -5901
19 12 10 1950 1951 2768000 2219460 1919362 0 3468000 3468000 2219460 -5900
20 12 17 1950 1951 2768000 2213560 1912866 0 3468000 3468000 2213560 -5901
21 12 24 1950 1951 2768000 2207659 1906370 0 3468000 3468000 2207659 -5901
22 12 31 1950 1951 2768000 2201758 1899874 0 3468000 3468000 2201758 -93818
23 1 7 1951 1951 2731060.64539146 2195173 1899676 2107940 3468000 1466637.45149784 2107940 0
24 1 14 1951 1951 2694121.29078291 2188588 1899477 2107940 3468000 1466594.1662704 2107940 0
25 1 21 1951 1951 2657181.93617437 2182002 1899279 2107940 3468000 1463582.97185202 2107940 0
26 1 28 1951 1951 2620242.58156582 2175417 1899081 2107940 3468000 1460042.62868557 2107940 0
27 2 4 1951 1951 2583303.22695728 2168832 1898882 2107940 3468000 1456469.52076268 2107940 -5554
28 2 11 1951 1951 2563608.81856611 2162188 1902403 2102386 3468000 1452987.41011785 2102386 -5553
29 2 18 1951 1951 2543914.41017495 2155543 1905924 2096833 3468000 1455373.8924787 2096833 -5554
30 2 25 1951 1951 2524220.00178378 2148899 1909444 2091279 3468000 1462407.75626722 2091279 -5554
31 3 4 1951 1951 2504525.59339262 2142254 1912965 2085725 3468000 1482444.89705154 2085725 10909
32 3 11 1951 1951 2538338.76567539 2163378 1964089 2096634 3468000 1523389.38659376 2096634 10909
33 3 18 1951 1951 2572151.93795815 2184502 2015213 2107543 3468000 1545302.33282758 2107543 10909
34 3 25 1951 1951 2605965.11024092 2205626 2066337 2118452 3468000 1554888.03878259 2118452 10909
35 4 1 1951 1951 2639778.28252368 2226750 2117461 2129361 3468000 1573145.97680888 2129361 57025
36 4 8 1951 1951 2719318.71278466 2248172 2255708 2186386 3468000 1634093.72009254 2186386 57025
37 4 15 1951 1951 2798859.14304563 2269593 2393956 2243411 3468000 1693033.91542829 2243411 -395305
38 4 22 1951 1951 3468000 2375015 2497890 1848106 3468000 1791483.43646797 1848106 3397.61479481938
39 4 29 1951 1951 3468000 2480436 2601824 1452800 3468000 1851503.61479482 1851503.61479482 62152.4547299978
40 5 6 1951 1951 3468000 2629434 2745149 0 3468000 1913656.06952482 1913656.06952482 157520.772709429
41 5 13 1951 1951 3468000 2778432 2888475 0 3468000 2071176.84223425 2071176.84223425 192479.450308149
42 5 20 1951 1951 3468000 2927431 3031800 0 3468000 2263656.2925424 2263656.2925424 242865.626445415
43 5 27 1951 1951 3468000 3076429 3175126 0 3468000 2506521.91898781 2506521.91898781 304106.307343896
44 6 3 1951 1951 3468000 3225427 3318451 0 3468000 2810628.22633171 2810628.22633171 255955.903429505
45 6 10 1951 1951 3468000 3286070 3355839 0 3468000 3066584.12976121 3066584.12976121 189888.211890761
46 6 17 1951 1951 3468000 3346714 3393226 0 3468000 3256472.34165197 3256472.34165197 126227.310956533
47 6 24 1951 1951 3468000 3407357 3430613 0 3468000 3382699.6526085 3382699.6526085 85300.347391495
48 7 1 1951 1951 3468000 3468000 3468000 0 3468000 3468000 3468000 -114322
49 7 8 1951 1951 3468000 3350927 3468000 0 3353678 3468000 3353678 -114322
50 7 15 1951 1951 3468000 3233854 3468000 0 3239356 3468000 3239356 -114323
51 7 22 1951 1951 3468000 3116781 3468000 0 3125033 3468000 3125033 -114322
52 7 29 1951 1951 3468000 2999708 3468000 0 3010711 3468000 3010711 -114322
1 8 5 1951 1952 3468000 2911906 1986353 0 2896389 3468000 2896389 -114322
2 8 12 1951 1952 3468000 2824105 1986353 0 2782067 3468000 2782067 -114323
3 8 19 1951 1952 3468000 2736303 1986353 0 2667744 3468000 2667744 -114322
4 8 26 1951 1952 3468000 2587741 1975543 0 2553422 3468000 2553422 -114322
5 9 2 1951 1952 3468000 2439179 1964733 0 2439100 3468000 2439100 -52086
6 9 9 1951 1952 3468000 2387014 1956006 0 2388825 3468000 2387014 -52165
7 9 16 1951 1952 3468000 2334849 1947279 0 2338550 3468000 2334849 -52166
8 9 23 1951 1952 3468000 2282683 1938552 0 2288275 3468000 2282683 -52165
9 9 30 1951 1952 3468000 2230518 1929824 0 2238000 3468000 2230518 357
10 10 7 1951 1952 3328000 2230875 1927762 0 3468000 3468000 2230875 357
11 10 14 1951 1952 3188000 2231232 1925699 0 3468000 3468000 2231232 357
12 10 21 1951 1952 3048000 2231589 1923636 0 3468000 3468000 2231589 357
13 10 28 1951 1952 2908000 2231946 1921573 0 3468000 3468000 2231946 357
14 11 4 1951 1952 2768000 2232303 1919510 0 3468000 3468000 2232303 -1735
15 11 11 1951 1952 2768000 2230568 1921097 0 3468000 3468000 2230568 -1736
16 11 18 1951 1952 2768000 2228832 1922684 0 3468000 3468000 2228832 -1735
17 11 25 1951 1952 2768000 2227097 1924271 0 3468000 3468000 2227097 -1736
18 12 2 1951 1952 2768000 2225361 1925857 0 3468000 3468000 2225361 -5901
19 12 9 1951 1952 2768000 2219460 1919362 0 3468000 3468000 2219460 -5900
20 12 16 1951 1952 2768000 2213560 1912866 0 3468000 3468000 2213560 -5901
21 12 23 1951 1952 2768000 2207659 1906370 0 3468000 3468000 2207659 -5901
22 12 30 1951 1952 2768000 2201758 1899874 0 3468000 3468000 2201758 -93818
23 1 6 1952 1952 2730415.64342841 2195173 1899676 2107940 3468000 1466124.35036813 2107940 0
24 1 13 1952 1952 2692831.28685682 2188588 1899477 2107940 3468000 1464782.51259881 2107940 0
25 1 20 1952 1952 2655246.93028523 2182002 1899279 2107940 3468000 1463029.70718045 2107940 0
26 1 27 1952 1952 2617662.57371364 2175417 1899081 2107940 3468000 1461169.27456352 2107940 0
27 2 3 1952 1952 2580078.21714205 2168832 1898882 2107940 3468000 1459284.81522194 2107940 -5554
28 2 10 1952 1952 2559792.55695142 2162188 1902403 2102386 3468000 1456137.17465641 2102386 -5553
29 2 17 1952 1952 2539506.8967608 2155543 1905924 2096833 3468000 1452800 2096833 -5554
30 2 24 1952 1952 2519221.23657017 2148899 1909444 2091279 3468000 1452800 2091279 -5554
31 3 2 1952 1952 2498935.57637955 2142254 1912965 2085725 3468000 1452800 2085725 10909
32 3 9 1952 1952 2532076.87161747 2163378 1964089 2096634 3468000 1452800 2096634 10909
33 3 16 1952 1952 2565218.1668554 2184502 2015213 2107543 3468000 1452800 2107543 10909
34 3 23 1952 1952 2598359.46209333 2205626 2066337 2118452 3468000 1452800 2118452 10909
35 3 30 1952 1952 2631500.75733125 2226750 2117461 2129361 3468000 1559248.28681172 2129361 57025
36 4 6 1952 1952 2710611.18628352 2248172 2255708 2186386 3468000 1623364.40752787 2186386 57025
37 4 13 1952 1952 2789721.6152358 2269593 2393956 2243411 3468000 1680831.6002481 2243411 -395305
38 4 20 1952 1952 3468000 2375015 2497890 1848106 3468000 1755534.19793314 1848106 33910.5520343038
39 4 27 1952 1952 3468000 2480436 2601824 1452800 3468000 1882016.5520343 1882016.5520343 153820.093857024
40 5 4 1952 1952 3468000 2629434 2745149 0 3468000 2035836.64589133 2035836.64589133 176401.806891182
41 5 11 1952 1952 3468000 2778432 2888475 0 3468000 2212238.45278251 2212238.45278251 210083.83405617
42 5 18 1952 1952 3468000 2927431 3031800 0 3468000 2422322.28683868 2422322.28683868 233349.209978694
43 5 25 1952 1952 3468000 3076429 3175126 0 3468000 2655671.49681737 2655671.49681737 205808.769024566
