Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 3071500 3071500 1983116 0 2979346 3071500 2979346 -18431
2 8 13 1950 1951 3071500 3071500 1983116 0 2960915 3071500 2960915 -18430
3 8 20 1950 1951 3071500 3071500 1983116 0 2942485 3071500 2942485 -18431
4 8 27 1950 1951 3071500 3049052 1985695 0 2924054 3071500 2924054 -18431
5 9 3 1950 1951 3071500 3026603 1988273 0 2905623 3071500 2905623 -18431
6 9 10 1950 1951 3071500 2951509 1989562 0 2887192 3071500 2887192 -18430
7 9 17 1950 1951 3071500 2876415 1990852 0 2868762 3071500 2868762 -67441
8 9 24 1950 1951 3071500 2801321 1992141 0 2850331 3071500 2801321 -75094
9 10 1 1950 1951 3071500 2726227 1993430 0 2831900 3071500 2726227 8781
10 10 8 1950 1951 3051500 2735008 1999856 0 3071500 3071500 2735008 8781
11 10 15 1950 1951 3031500 2743789 2006283 0 3071500 3071500 2743789 8781
12 10 22 1950 1951 3011500 2752570 2012709 0 3071500 3071500 2752570 8780
13 10 29 1950 1951 2991500 2761350 2019136 0 3071500 3071500 2761350 8781
14 11 5 1950 1951 2971500 2770131 2025562 0 3071500 3071500 2770131 -58175
15 11 12 1950 1951 2971500 2711956 2034537 0 3071500 3071500 2711956 -58175
16 11 19 1950 1951 2971500 2653781 2043513 0 3071500 3071500 2653781 -58176
17 11 26 1950 1951 2971500 2595605 2052488 0 3071500 3071500 2595605 -58175
18 12 3 1950 1951 2971500 2537430 2061463 0 3071500 3071500 2537430 -113840
19 12 10 1950 1951 2934000 2423590 2066967 0 3071500 3071500 2423590 -113839
20 12 17 1950 1951 2896500 2309751 2072471 0 3071500 3071500 2309751 -113840
21 12 24 1950 1951 2859000 2195911 2077975 0 3071500 3071500 2195911 -112431
22 12 31 1950 1951 2821500 2082072 2083480 0 3071500 3071500 2083480 -135048.051403799
23 1 7 1951 1951 2787218.66850538 1994852 2087089 227504 3071500 1948431.9485962 1948431.9485962 -31436.7373258453
24 1 14 1951 1951 2752937.33701077 1907632 2090699 227504 3071500 1916995.21127036 1916995.21127036 -31792.8314243504
25 1 21 1951 1951 2718656.00551615 1820412 2094309 227504 3071500 1885202.37984601 1885202.37984601 -32100.5912289063
26 1 28 1951 1951 2684374.67402154 1733192 2097919 227504 3071500 1853101.7886171 1853101.7886171 -32684.6427177843
