Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 9107400 9107400 3921900 0 9107400 9107400 9107400 0
2 8 13 1950 1951 9107400 9107400 3921900 0 9107400 9107400 9107400 0
3 8 20 1950 1951 9107400 9107400 3921900 0 9107400 9107400 9107400 -30702
4 8 27 1950 1951 9107400 9076698 3921900 0 9107400 9107400 9076698 -30703
5 9 3 1950 1951 9107400 9045995 3921900 0 9107400 9107400 9045995 -25537
6 9 10 1950 1951 9107400 9020458 3921900 0 9107400 9107400 9020458 -25537
7 9 17 1950 1951 9107400 8994921 3921900 0 9107400 9107400 8994921 -25538
8 9 24 1950 1951 9107400 8969383 3921900 0 9107400 9107400 8969383 -25537
9 10 1 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
10 10 8 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
11 10 15 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
12 10 22 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
13 10 29 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
14 11 5 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
15 11 12 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
16 11 19 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
17 11 26 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 0
18 12 3 1950 1951 9107400 8943846 3921900 0 9107400 9107400 8943846 -20430
19 12 10 1950 1951 9107400 8923416 3921900 0 9107400 9107400 8923416 -20429
20 12 17 1950 1951 9107400 8902987 3921900 0 9107400 9107400 8902987 -20430
21 12 24 1950 1951 9107400 8882557 3921900 0 9107400 9107400 8882557 -20430
22 12 31 1950 1951 9107400 8862127 3921900 0 9107400 9107400 8862127 -449360.367979564
23 1 7 1951 1951 9107400 8862127 4488260 7450294 9107400 8412766.63202044 8412766.63202044 -624699.959438923
24 1 14 1951 1951 9107400 8862127 5054620 7450294 9107400 7788066.67258151 7788066.67258151 -337772.672581513
25 1 21 1951 1951 9107400 8862127 5620980 7450294 9107400 7228020.21035666 7450294 0
26 1 28 1951 1951 9107400 8862127 6187339 7450294 9107400 6777203.3864498 7450294 0
27 2 4 1951 1951 9107400 8862127 6753699 7450294 9107400 6777258.72678856 7450294 -359206
28 2 11 1951 1951 9107400 8862127 6956311 7091088 9107400 7039811.58594789 7091088 -89344.681326462
29 2 18 1951 1951 9107400 8862127 7158922 6731882 9107400 7001743.31867354 7001743.31867354 -73668.3558179606
30 2 25 1951 1951 9107400 8862127 7361534 6372675 9107400 6928074.96285558 6928074.96285558 -56133.5080414312
31 3 4 1951 1951 9107400 8862127 7564145 6013469 9107400 6871941.45481415 6871941.45481415 -262594.528796737
32 3 11 1951 1951 8973050 8757288 7800574 5698197 9107400 6609346.92601741 6609346.92601741 -164730.315406129
33 3 18 1951 1951 8838800 8652450 8037004 5382924 9107400 6444616.61061128 6444616.61061128 -416120.244849442
34 3 25 1951 1951 8704550 8547611 8273434 5067652 9107400 6028496.36576184 6028496.36576184 -427186.61253278
35 4 1 1951 1951 8570300 8442772 8509863 4752379 9107400 5601309.75322906 5601309.75322906 -249579.421212239
36 4 8 1951 1951 8529550 8336161 8529202 4752379 9107400 5351730.33201682 5351730.33201682 -192743.787264677
37 4 15 1951 1951 8488800 8229549 8548541 4752379 9107400 5158986.54475214 5158986.54475214 489889.51356097
38 4 22 1951 1951 8448050 7596513 8540508 4752379 9107400 5648876.05831311 5648876.05831311 -160428.259420672
39 4 29 1951 1951 8407300 6963476 8532475 4752379 9107400 5488447.79889244 5488447.79889244 -567473.798892442
40 5 6 1951 1951 8407300 7048562 8632243 4920974 9107400 4273687.75844148 4920974 168595
41 5 13 1951 1951 8407300 7133648 8732012 5089569 9107400 3921900 5089569 168594
42 5 20 1951 1951 9107400 7218733 8831780 5258163 9107400 3921900 5258163 168595
43 5 27 1951 1951 9107400 7303819 8931549 5426758 9107400 3921900 5426758 1679315.24757778
44 6 3 1951 1951 9107400 7388905 9031317 5595353 9107400 7106073.24757778 7106073.24757778 1450183.37100874
45 6 10 1951 1951 9107400 7818529 9050338 6372675 9107400 8556256.61858653 8556256.61858653 513102.381413473
46 6 17 1951 1951 9107400 8248153 9069359 7149997 9107400 9107400 9069359 19020
47 6 24 1951 1951 9107400 8677776 9088379 7927318 9107400 9107400 9088379 19021
48 7 1 1951 1951 9107400 9107400 9107400 8704640 9107400 9107400 9107400 0
49 7 8 1951 1951 9107400 9107400 9107400 8805330 9107400 9107400 9107400 0
50 7 15 1951 1951 9107400 9107400 9107400 8906020 9107400 9107400 9107400 0
51 7 22 1951 1951 9107400 9107400 9107400 9006710 9107400 9107400 9107400 0
52 7 29 1951 1951 9107400 9107400 9107400 9107400 9107400 9107400 9107400 0
1 8 5 1951 1952 9107400 9107400 3921900 0 9107400 9107400 9107400 0
2 8 12 1951 1952 9107400 9107400 3921900 0 9107400 9107400 9107400 0
3 8 19 1951 1952 9107400 9107400 3921900 0 9107400 9107400 9107400 -30702
4 8 26 1951 1952 9107400 9076698 3921900 0 9107400 9107400 9076698 -30703
5 9 2 1951 1952 9107400 9045995 3921900 0 9107400 9107400 9045995 -25537
6 9 9 1951 1952 9107400 9020458 3921900 0 9107400 9107400 9020458 -25537
7 9 16 1951 1952 9107400 8994921 3921900 0 9107400 9107400 8994921 -25538
8 9 23 1951 1952 9107400 8969383 3921900 0 9107400 9107400 8969383 -25537
9 9 30 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
10 10 7 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
11 10 14 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
12 10 21 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
13 10 28 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
14 11 4 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
15 11 11 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
16 11 18 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
17 11 25 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 0
18 12 2 1951 1952 9107400 8943846 3921900 0 9107400 9107400 8943846 -20430
19 12 9 1951 1952 9107400 8923416 3921900 0 9107400 9107400 8923416 -20429
20 12 16 1951 1952 9107400 8902987 3921900 0 9107400 9107400 8902987 -20430
21 12 23 1951 1952 9107400 8882557 3921900 0 9107400 9107400 8882557 -20430
22 12 30 1951 1952 9107400 8862127 3921900 0 9107400 9107400 8862127 -1411833
23 1 6 1952 1952 9107400 8862127 4488260 7450294 9107400 6637322.22469494 7450294 0
