Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 5869400 5809367 4289467 0 5770433 5869400 5770433 -98966
2 8 13 1950 1951 5869400 5839383 4289467 0 5671467 5869400 5671467 -98967
3 8 20 1950 1951 5869400 5869400 4289467 0 5572500 5869400 5572500 -98967
4 8 27 1950 1951 5869400 5869004 4338558 0 5473533 5869400 5473533 -98966
5 9 3 1950 1951 5869400 5868607 4387649 0 5374567 5869400 5374567 -98967
6 9 10 1950 1951 5869400 5811434 4404633 0 5275600 5869400 5275600 -98967
7 9 17 1950 1951 5869400 5754260 4421616 0 5176633 5869400 5176633 -98966
8 9 24 1950 1951 5869400 5697087 4438600 0 5077667 5869400 5077667 562246
9 10 1 1950 1951 5869400 5639913 4455583 0 5641200 5869400 5639913 7220
10 10 8 1950 1951 5869400 5647133 4453996 0 5869400 5869400 5647133 7220
11 10 15 1950 1951 5869400 5654353 4452409 0 5869400 5869400 5654353 7219
12 10 22 1950 1951 5869400 5661572 4450823 0 5869400 5869400 5661572 7220
13 10 29 1950 1951 5869400 5668792 4449236 0 5869400 5869400 5668792 7220
14 11 5 1950 1951 5869400 5676012 4447649 0 5869400 5869400 5676012 -157190
15 11 12 1950 1951 5744400 5518822 4433542 0 5869400 5869400 5518822 -157190
16 11 19 1950 1951 5619400 5361632 4419434 0 5869400 5869400 5361632 -157190
17 11 26 1950 1951 5494400 5204442 4405327 0 5869400 5869400 5204442 -157190
18 12 3 1950 1951 5369400 5047252 4391219 0 5869400 5869400 5047252 -306297
19 12 10 1950 1951 4994400 4740955 4365905 0 5869400 5869400 4740955 -306297
20 12 17 1950 1951 4619400 4434658 4340591 0 5869400 5869400 4434658 -190258
21 12 24 1950 1951 4244400 4128360 4315277 0 5869400 5869400 4244400 -375000
22 12 31 1950 1951 3869400 3822063 4289963 0 5869400 5869400 3869400 -565861.409517875
23 1 7 1951 1951 3596309.42969423 3781561 4269871 2398527 5869400 3303538.59048213 3303538.59048213 -88786.9219045145
24 1 14 1951 1951 3323218.85938846 3741058 4249778 2398527 5869400 3214751.66857761 3214751.66857761 -164623.379494921
25 1 21 1951 1951 3050128.28908269 3700556 4229686 2398527 5869400 3122063.64147227 3050128.28908269 -273090.57030577
26 1 28 1951 1951 2777037.71877692 3660053 4209593 2398527 5869400 3027969.53771293 2777037.71877692 -273090.57030577
27 2 4 1951 1951 2503947.14847115 3619551 4189501 2398527 5869400 2933865.43353824 2503947.14847115 -236328.378149224
28 2 11 1951 1951 2267618.77032192 3565749 4163666 2212131 5869400 2890872.97985471 2267618.77032192 -236328.378149224
29 2 18 1951 1951 2031290.3921727 3511948 4137831 2025734 5869400 2848125.89625784 2031290.3921727 -236328.378149224
30 2 25 1951 1951 1794962.01402348 3458146 4111996 1839338 5869400 2808564.76827548 1794962.01402348 -236328.378149224
