Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 1950 1951 20075000 19553612 13176890 0 20075000 20075000 19553612 260694
2 8 13 1950 1951 20075000 19814306 13176890 0 20075000 20075000 19814306 260694
3 8 20 1950 1951 20075000 20075000 13176890 0 20075000 20075000 20075000 -1884
4 8 27 1950 1951 20075000 20073116 13754972 0 20075000 20075000 20073116 -1885
5 9 3 1950 1951 20075000 20071231 14333054 0 20075000 20075000 20071231 -30744
6 9 10 1950 1951 20075000 20040487 14631765 0 20075000 20075000 20040487 -30743
7 9 17 1950 1951 20075000 20009744 14930475 0 20075000 20075000 20009744 -30744
8 9 24 1950 1951 20075000 19979000 15229186 0 20075000 20075000 19979000 -30744
9 10 1 1950 1951 20075000 19948256 15527896 0 20075000 20075000 19948256 -57124
10 10 8 1950 1951 20035000 19891132 15598746 0 20075000 20075000 19891132 -57124
11 10 15 1950 1951 19995000 19834008 15669595 0 20075000 20075000 19834008 -57123
12 10 22 1950 1951 19955000 19776885 15740445 0 20075000 20075000 19776885 -57124
13 10 29 1950 1951 19915000 19719761 15811294 0 20075000 20075000 19719761 -57124
14 11 5 1950 1951 19875000 19662637 15882144 0 20075000 20075000 19662637 -157289
15 11 12 1950 1951 19875000 19505348 15914524 0 20075000 20075000 19505348 -157289
16 11 19 1950 1951 19875000 19348059 15946904 0 20075000 20075000 19348059 -157290
17 11 26 1950 1951 19875000 19190769 15979284 0 20075000 20075000 19190769 -157289
18 12 3 1950 1951 19875000 19033480 16011665 0 20075000 20075000 19033480 -294644
19 12 10 1950 1951 19827500 18738836 16019846 0 20075000 20075000 18738836 -294644
20 12 17 1950 1951 19780000 18444192 16028028 0 20075000 20075000 18444192 -294645
21 12 24 1950 1951 19732500 18149547 16036210 0 20075000 20075000 18149547 -294644
22 12 31 1950 1951 19685000 17854903 16044392 0 20075000 20075000 17854903 -288833
23 1 7 1951 1951 19401185.6932193 17566070 16042329 13919604 20075000 17765636.2904262 17566070 -288833
24 1 14 1951 1951 19117371.3868591 17277237 16040266 13919604 20075000 17717563.645685 17277237 -288832
25 1 21 1951 1951 18833557.0800785 16988405 16038203 13919604 20075000 17668783.3106757 16988405 -288833
26 1 28 1951 1951 18549741.7741386 16699572 16036141 13919604 20075000 17619553.5575373 16699572 -288833
27 2 4 1951 1951 18265927.467358 16410739 16034078 13919604 20075000 17570228.5884225 16410739 -325339
28 2 11 1951 1951 17982113.1609978 16085400 16007946 13758249 20075000 17543936.4386789 16085400 -103587
29 2 18 1951 1951 17698298.8542171 15760062 15981813 13596894 20075000 17517268.0281925 15981813 -26132
30 2 25 1951 1951 17414484.5478569 15434723 15955681 13435538 20075000 17490823.4298888 15955681 -26132
31 3 4 1951 1951 17130670.2410762 15109384 15929549 13274183 20075000 17467740.4340897 15929549 3372
32 3 11 1951 1951 16846854.9351364 14976938 15932921 13220530 20075000 17396465.6194233 15932921 3372
33 3 18 1951 1951 16563040.6283558 14844492 15936293 13166878 20075000 17323853.4695632 15936293 3372
34 3 25 1951 1951 16279226.3219955 14712046 15939665 13113225 20075000 17250288.2336514 15939665 3371
35 4 1 1951 1951 15995412.0152149 14579600 15943036 13059572 20075000 17178781.716161 15943036 -40264
36 4 8 1951 1951 20075000 14248559 15902772 13046481 20075000 17160584.3355492 15902772 -40264
37 4 15 1951 1951 20075000 13917518 15862508 13033390 20075000 17139683.5724803 15862508 -2182
38 4 22 1951 1951 20075000 13708758 15860326 10532795 20075000 17120849.3645186 15860326 -2182
39 4 29 1951 1951 20075000 13499997 15858144 8032200 20075000 17104150.4506842 15858144 79418
40 5 6 1951 1951 20075000 13630113 15937562 0 20075000 17130049.0290633 15937562 79418
41 5 13 1951 1951 20075000 13760228 16016980 0 20075000 17272331.9169061 16016980 79418
42 5 20 1951 1951 20075000 13890344 16096398 0 20075000 17537077.7336796 16096398 79418
43 5 27 1951 1951 20075000 14020459 16175816 0 20075000 17846952.6411052 16175816 79419
44 6 3 1951 1951 20075000 14150575 16255235 0 20075000 18248071.7883025 16255235 743900
45 6 10 1951 1951 20075000 14945054 16999135 0 20075000 18561298.7517165 16999135 743900
46 6 17 1951 1951 20075000 15739533 17743035 0 20075000 18737999.3520192 17743035 743900
47 6 24 1951 1951 20075000 16534011 18486935 0 20075000 18863453.5661211 18486935 743900
48 7 1 1951 1951 20075000 17328490 19230835 0 20075000 19388218.7101502 19230835 211042
49 7 8 1951 1951 20075000 17819597 19441877 0 20075000 19904577.8342415 19441877 211041
50 7 15 1951 1951 20075000 18310704 19652918 0 20075000 20075000 19652918 211041
51 7 22 1951 1951 20075000 18801811 19863959 0 20075000 20075000 19863959 211041
52 7 29 1951 1951 20075000 19292918 20075000 0 20075000 20075000 20075000 -521388
1 8 5 1951 1952 20075000 19553612 13176890 0 20075000 20075000 19553612 260694
2 8 12 1951 1952 20075000 19814306 13176890 0 20075000 20075000 19814306 260694
3 8 19 1951 1952 20075000 20075000 13176890 0 20075000 20075000 20075000 -1884
4 8 26 1951 1952 20075000 20073116 13754972 0 20075000 20075000 20073116 -1885
5 9 2 1951 1952 20075000 20071231 14333054 0 20075000 20075000 20071231 -30744
6 9 9 1951 1952 20075000 20040487 14631765 0 20075000 20075000 20040487 -30743
7 9 16 1951 1952 20075000 20009744 14930475 0 20075000 20075000 20009744 -30744
8 9 23 1951 1952 20075000 19979000 15229186 0 20075000 20075000 19979000 -30744
9 9 30 1951 1952 20075000 19948256 15527896 0 20075000 20075000 19948256 -57124
10 10 7 1951 1952 20035000 19891132 15598746 0 20075000 20075000 19891132 -57124
11 10 14 1951 1952 19995000 19834008 15669595 0 20075000 20075000 19834008 -57123
12 10 21 1951 1952 19955000 19776885 15740445 0 20075000 20075000 19776885 -57124
13 10 28 1951 1952 19915000 19719761 15811294 0 20075000 20075000 19719761 -57124
14 11 4 1951 1952 19875000 19662637 15882144 0 20075000 20075000 19662637 -157289
15 11 11 1951 1952 19875000 19505348 15914524 0 20075000 20075000 19505348 -157289
16 11 18 1951 1952 19875000 19348059 15946904 0 20075000 20075000 19348059 -157290
17 11 25 1951 1952 19875000 19190769 15979284 0 20075000 20075000 19190769 -157289
18 12 2 1951 1952 19875000 19033480 16011665 0 20075000 20075000 19033480 -294644
19 12 9 1951 1952 19827500 18738836 16019846 0 20075000 20075000 18738836 -294644
20 12 16 1951 1952 19780000 18444192 16028028 0 20075000 20075000 18444192 -294645
21 12 23 1951 1952 19732500 18149547 16036210 0 20075000 20075000 18149547 -294644
22 12 30 1951 1952 19685000 17854903 16044392 0 20075000 20075000 17854903 -634785.81219032
23 1 6 1952 1952 19403890.4629713 17566070 16042329 13919604 20075000 17220117.1878097 17220117.1878097 -42822.7588329054
24 1 13 1952 1952 19122780.9622428 17277237 16040266 13919604 20075000 17177294.4289768 17177294.4289768 -188889.428976774
25 1 20 1952 1952 18841671.4252141 16988405 16038203 13919604 20075000 17134113.9493023 16988405 -288833
26 1 27 1952 1952 18560560.9607859 16699572 16036141 13919604 20075000 17090517.564789 16699572 -288833
27 2 3 1952 1952 18279451.4237572 16410739 16034078 13919604 20075000 17044778.225404 16410739 -325339
28 2 10 1952 1952 17998341.9230288 16085400 16007946 13758249 20075000 17019800.6919534 16085400 -103587
29 2 17 1952 1952 17717232.386 15760062 15981813 13596894 20075000 16994434.3254128 15981813 -26132
30 2 24 1952 1952 17436122.8852716 15434723 15955681 13435538 20075000 16970533.6283192 15955681 -26132
31 3 2 1952 1952 17155013.3482428 15109384 15929549 13274183 20075000 16946845.5880866 15929549 3372
32 3 9 1952 1952 16873902.8838147 14976938 15932921 13220530 20075000 16875237.0195267 15932921 3372
33 3 16 1952 1952 16592793.346786 14844492 15936293 13166878 20075000 16803135.250943 15936293 3372
34 3 23 1952 1952 16311683.8460575 14712046 15939665 13113225 20075000 16752515.6089988 15939665 3371
35 3 30 1952 1952 16030574.3090288 14579600 15943036 13059572 20075000 16686963.057766 15943036 -40264
36 4 6 1952 1952 20075000 14248559 15902772 13046481 20075000 16682528.551546 15902772 -40264
37 4 13 1952 1952 20075000 13917518 15862508 13033390 20075000 16689873.9726175 15862508 -2182
38 4 20 1952 1952 20075000 13708758 15860326 10532795 20075000 16717837.2731625 15860326 -2182
39 4 27 1952 1952 20075000 13499997 15858144 8032200 20075000 16807753.42933 15858144 79418
40 5 4 1952 1952 20075000 13630113 15937562 0 20075000 17010242.8135487 15937562 79418
41 5 11 1952 1952 20075000 13760228 16016980 0 20075000 17108915.8363645 16016980 79418
42 5 18 1952 1952 20075000 13890344 16096398 0 20075000 17209273.6705033 16096398 79418
43 5 25 1952 1952 20075000 14020459 16175816 0 20075000 17396849.4142684 16175816 79419
44 6 1 1952 1952 20075000 14150575 16255235 0 20075000 17584418.5408011 16255235 743900
45 6 8 1952 1952 20075000 14945054 16999135 0 20075000 17705222.2553713 16999135 743900
46 6 15 1952 1952 20075000 15739533 17743035 0 20075000 18030537.2351293 17743035 511138.600926578
47 6 22 1952 1952 20075000 16534011 18486935 0 20075000 18254173.6009266 18254173.6009266 732780.478615057
48 6 29 1952 1952 20075000 17328490 19230835 0 20075000 18986954.0795416 18986954.0795416 379819.389195729
49 7 6 1952 1952 20075000 17819597 19441877 0 20075000 19366773.4687374 19366773.4687374 286144.531262636
50 7 13 1952 1952 20075000 18310704 19652918 0 20075000 19885761.4635679 19652918 211041
51 7 20 1952 1952 20075000 18801811 19863959 0 20075000 20010814.7933176 19863959 211041
52 7 27 1952 1952 20075000 19292918 20075000 0 20075000 20075000 20075000 -521388
1 8 3 1952 1953 20075000 19553612 13176890 0 20075000 20075000 19553612 260694
2 8 10 1952 1953 20075000 19814306 13176890 0 20075000 20075000 19814306 260694
3 8 17 1952 1953 20075000 20075000 13176890 0 20075000 20075000 20075000 -1884
4 8 24 1952 1953 20075000 20073116 13754972 0 20075000 20075000 20073116 -1885
5 8 31 1952 1953 20075000 20071231 14333054 0 20075000 20075000 20071231 -30744
6 9 7 1952 1953 20075000 20040487 14631765 0 20075000 20075000 20040487 -30743
7 9 14 1952 1953 20075000 20009744 14930475 0 20075000 20075000 20009744 -30744
8 9 21 1952 1953 20075000 19979000 15229186 0 20075000 20075000 19979000 -30744
9 9 28 1952 1953 20075000 19948256 15527896 0 20075000 20075000 19948256 -57124
10 10 5 1952 1953 20035000 19891132 15598746 0 20075000 20075000 19891132 -57124
11 10 12 1952 1953 19995000 19834008 15669595 0 20075000 20075000 19834008 -57123
12 10 19 1952 1953 19955000 19776885 15740445 0 20075000 20075000 19776885 -57124
13 10 26 1952 1953 19915000 19719761 15811294 0 20075000 20075000 19719761 -57124
14 11 2 1952 1953 19875000 19662637 15882144 0 20075000 20075000 19662637 -157289
15 11 9 1952 1953 19875000 19505348 15914524 0 20075000 20075000 19505348 -157289
16 11 16 1952 1953 19875000 19348059 15946904 0 20075000 20075000 19348059 -157290
17 11 23 1952 1953 19875000 19190769 15979284 0 20075000 20075000 19190769 -157289
18 11 30 1952 1953 19875000 19033480 16011665 0 20075000 20075000 19033480 -294644
19 12 7 1952 1953 19827500 18738836 16019846 0 20075000 20075000 18738836 -294644
20 12 14 1952 1953 19780000 18444192 16028028 0 20075000 20075000 18444192 -294645
21 12 21 1952 1953 19732500 18149547 16036210 0 20075000 20075000 18149547 -294644
22 12 28 1952 1953 19685000 17854903 16044392 0 20075000 20075000 17854903 -2798722.6964422
23 1 4 1953 1953 19401154 17566070 16042329 13919604 20075000 15056180.3035578 15056180.3035578 -27252.0832650084
24 1 11 1953 1953 19117308 17277237 16040266 13919604 20075000 15028928.2202928 15028928.2202928 -28028.7014918849
25 1 18 1953 1953 18833462 16988405 16038203 13919604 20075000 15000899.5188009 15000899.5188009 -28786.12870083
26 1 25 1953 1953 18549615 16699572 16036141 13919604 20075000 14972113.3901001 14972113.3901001 -31252.8617383335
27 2 1 1953 1953 18265769 16410739 16034078 13919604 20075000 14940860.5283617 14940860.5283617 -19271.1738311164
28 2 8 1953 1953 17981923 16085400 16007946 13758249 20075000 14921589.3545306 14921589.3545306 -19740.5300344359
29 2 15 1953 1953 17698077 15760062 15981813 13596894 20075000 14901848.8244962 14901848.8244962 -20184.8417171743
30 2 22 1953 1953 17414231 15434723 15955681 13435538 20075000 14881663.982779 14881663.982779 -20382.4092549738
