"Week_Number" "month" "day" "year" "ARRefillVol1" "ARRefillVol2" "BRRunoffAprJuly" "BRRefillCurve" "DallesJanJul" "DallesRunoffAprAug" "DallesRunoffAprSep" "ModDallesRunoffAprSep" "DARunoffJanApr" "DURefillVol" "DURefillVol1" "DURunoffAprAug" "DWRefillVol1" "DWRefillVol2" "DWRunoffAprJuly" "DWSumRunoffMarJun" "GCRefillVol1" "GCRefillVol2" "GCRunoffJanApr" "HHInQAprAug" "HHRefillVol" "HHRefillVol1" "HHSumAprAug" "HHSumAprJul" "HHSumMaySept" "LBRefillVol2" "LBRefillVol1" "LBSumAprAug" "LBSumMayAug" "MIRefillVol1" "MIRefillVol2" "MISumRunoffAprilAug" "MISumRunoffMayAug" "PriVICMI" "PriVICREV" "PriVICAR" "PriVICDU" "PriVICLB" "PriVICBONF" "PriVICCL" "PriVICCOL" "PriVICHH" "PriVICKE" "PriVICNOX" "PriVICCB" "PriVICAF" "PriVICBD" "PriVICGC" "PriVICCJ" "PriVICWE" "PriVICRR" "PriVICRI" "PriVICWA" "PriVICPR" "PriVICPAL" "PriVICMIL" "PriVICBR" "PriVICOX" "PriVICHC" "PriVICDW" "PriVICLG" "PriVICLIG" "PriVICLM" "PriVICIH" "PriVICMCN" "PriVICJD" "PriVICDA" "PriVICBON" "DemVICAF" "DemVICAR" "DemVICBONF" "DemVICBON" "DemVICBD" "DemVICBR" "DemVICCB" "DemVICCJ" "DemVICCOL" "DemVICCL" "DemVICDA" "DemVICDU" "DemVICDW" "DemVICKE" "DemVICHH" "DemVICGC" "DemVICHC" "DemVICIH" "DemVICJD" "DemVICLB" "DemVICLIG" "DemVICLG" "DemVICLM" "DemVICMCN" "DemVICMI" "DemVICMIL" "DemVICNOX" "DemVICOX" "DemVICPAL" "DemVICPR" "DemVICREV" "DemVICRI" "DemVICRR" "DemVICWA" "DemVICWE" "RetVICWA" "RetVICPR" "RetVICMCN" "IflowCJ" "IflowDA" "IflowJD" "IflowMCN" "IflowPR" "IflowRR" "IflowRI" "IflowWA" "IflowWE" "CurtVICCJ" "CurtVICDA" "CurtVICJD" "CurtVICMCN" "CurtVICPR" "CurtVICRR" "CurtVICRI" "CurtVICWA" "CurtVICWE"
1 8 5 1979 5680000 227340 5623811.91334286 0 95457605.1451714 85305837.3819429 90494721.6143143 90494721.6143143 32366379.9945857 227340 1146600 2051068.13485714 3128024.6252 2148571.36713407 2151784.84705714 2291407.35132857 8070288.4 3921900 16299969.8528571 1883883.31161429 2083448.88256761 3494155.234 1883883.31161429 1808586.76924286 1495339.11 900295.5 5466000 6049972.6506 5098471.65424286 17734446.226 15435529.4869472 10845849.8706429 9862676.80251428 474158.762357143 611115.481028571 700524.422614286 68491.2519 91221.8344714286 103467.787071429 220298.221157143 46240.6694142857 11375.2086428571 53079.6789 102245.968671429 121660.187014286 122037.046585714 124393.410642857 1061456.71847143 1092581.35212857 1117216.06727143 1134813.42578571 1147977.72565714 1149132.10602857 1090970.77332857 63556.2454007319 187875.454436136 112673.077971429 112673.077971429 116889.938228571 17565.6229714286 228882.6855 229315.082271429 231030.785057143 218445.658842857 1359626.02791429 1327210.15435714 1379553.96535714 1426814.13908571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29870.5775289134 71858.4557314721 176123.663192189 0 0 0 0 0 0 0 0 0 218.76098002474 22.7412870013297 1549.42177907187 1344.1544028665 178.317431685602 661.116585272123 1012.47277308468 4.02712712607284 1638.52268526671
2 8 12 1979 4260000 227340 3813765.30912857 0 102026120.698286 89179955.7597 93795227.9888143 93795227.9888143 33185377.1656286 227340 893200 2200578.2442 2788099.2504 2112069.91953703 2227815.27385714 2380526.70608571 7033176.8 3921900 16948713.7703571 2180081.05045714 2058217.38245651 3341230.468 2180081.05045714 2113638.72454286 1850021.48738571 900295.5 5072000 7517055.22662857 6976069.3449 16468810.262 15794072.6424903 12076232.9002714 11535542.5557857 497385.212785714 638868.213257143 730766.411485714 69504.8058 72914.3931857143 90089.2722857143 204626.8134 40500.5031 10103.8034571429 45578.1899571429 90527.6194714286 108430.432585714 113601.3426 114922.334571429 1076164.15911429 1099765.48564286 1121474.58042857 1136576.73188571 1148374.41994286 1147769.46115714 1055327.79175714 70648.0790841517 190665.481142162 82103.8163142857 82103.8163142857 85666.131 19035.3753 199995.407614286 195877.720928571 197664.828685714 182878.049185714 1238604.5187 1196923.8501 1248035.92534286 1291475.9331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29870.5775289134 71858.4557314721 176123.663192189 0 0 0 0 0 0 0 0 0 244.999075521777 32.4364486020741 1356.22961308273 845.488526652252 146.816082355938 771.229078780272 817.082111070933 3.14564240968868 1663.07829087688
3 8 19 1979 2840000 227340 9875529.69737143 0 132398443.477286 113895178.024371 120285038.338971 120285038.338971 42334293.8406857 227340 639800 2198624.52484286 2448173.8756 2075360.20743999 3465840.6189 3697129.25524286 5996065.2 3921900 16901404.0098429 2512625.90322857 2034080.75857398 3188305.702 2512625.90322857 2419964.0685 2372832.82041429 900295.5 4678000 6532146.621 6204655.65342857 15203174.298 16174291.1738049 12282785.6644286 12021439.5020571 519060.588557143 656911.852842857 771816.336171429 74390.0959285714 83264.1471 92495.2231285714 214274.418428571 41722.3215 11198.6796857143 46105.7933571429 93645.6365571429 110358.366814286 117873.740057143 118597.707128571 1139119.54225714 1172969.46565714 1198425.33797143 1214404.1838 1227564.51672857 1227905.67381429 1183811.12048571 78548.3564045325 233974.418520081 118202.996314286 118202.996314286 124613.575971429 18827.1108 252085.334271429 253307.152671429 255381.863785714 253707.8139 1460973.48402857 1423942.07245714 1478168.19784286 1528320.27291429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29870.5775289134 71858.4557314721 176123.663192189 0 0 0 0 0 0 0 0 0 149.462213903564 22.6216491718746 515.679171900513 243.258899927788 129.964434966708 469.265415835504 811.593383649104 3.14564240968868 1223.74787100139
4 8 26 1979 1420000 227340 10478917.5737143 0 120919512.171279 95930386.3866214 101038517.546721 101038517.546721 46755580.5806143 227340 386400 1992189.77723571 2108248.5008 2040094.46254295 2160145.17912857 2402313.15625714 4958953.6 3921900 18357510.0549857 1756117.99954286 2011685.62260574 3035380.936 1756117.99954286 1694126.58351429 1608398.9649 900295.5 4284000 5760601.02867857 5263334.82417857 13937538.334 16510795.9783052 10318481.5120071 9830979.93735 475346.861742857 601019.611457143 699506.901771429 69455.2190142857 75843.9804857143 88274.3959285714 197843.341114286 42698.1894428571 12940.1676 46563.9752571429 97237.7033142857 111584.152157143 120376.881 121420.186971429 1033144.6473 1072990.60482857 1099995.56832857 1115222.67848571 1126875.57312857 1127075.90374286 1022864.31488571 62439.0475180383 192063.073748272 146096.555014286 146096.555014286 151305.150985714 20271.078 270852.940928571 270190.461471429 272211.618857143 265005.667157143 1327505.6916 1297231.96718571 1354929.16757143 1406511.32554286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29870.5775289134 71858.4557314721 176123.663192189 0 0 0 0 0 0 0 0 0 102.440242201771 0.119637829455135 908.802359094965 520.980573872247 96.1189020099401 645.95592076734 590.922767064546 1.13207884665226 1197.42201842719
5 9 2 1979 0 227340 12666028.0469143 0 123345165.827571 102625037.830029 109378879.036071 109378879.036071 47759012.8259143 227340 133000 1897940.17362857 1768323.126 2027771.34310872 2868744.31392857 3020561.20054286 3921842 3921900 17327058.9618857 1766223.78647143 2021394.72891858 2882456.17 1766223.78647143 1716563.61231429 1562102.75828571 900295.5 3890000 5104140.41558571 4647846.78038571 12671902.37 16747595.641034 10021527.0788143 9534192.11575714 375641.719971429 494120.418814286 596566.7181 57810.2582571429 72642.6576 90965.9666571429 185654.909185714 37116.7008428571 11722.3161428571 42283.6439142857 95996.0502 103063.1589 123415.559228571 122737.212 958232.898385714 988599.845957143 1018096.04957143 1032989.93652857 1047477.21184286 1048318.20372857 950709.591257143 52549.4503146695 152708.543935158 114771.590742857 114771.590742857 121951.757314286 15445.2920142857 227403.015814286 229182.189685714 230973.264385714 225235.081542857 1220124.5154 1206765.83532857 1261186.34091429 1336423.37914286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29870.5775289134 71858.4557314721 176123.663192189 0 0 0 0 0 0 0 0 0 150.853977687983 16.3378621304922 920.416038231702 774.012733318947 94.1015927515863 456.453221199185 594.909112762983 2.89504827942058 851.493044125135
6 9 9 1979 0 227340 4917731.78725714 0 88304354.2810286 77051630.9493 83592169.6379143 83592169.6379143 31423277.0162571 227340 180750 1813924.29085714 1764058.687 2013123.5951602 2818887.7761 2999476.89925714 3921842 3921900 12192738.0450429 1989907.79335714 2027535.57013142 2860737.283 1989907.79335714 1930510.75795714 1785538.83124286 900295.5 3907500 4750100.68294286 4247322.41134286 13115481.9 16884265.6991057 9935144.91462857 9446038.71158571 275512.115314286 369052.627885714 455416.940828571 42918.3547714286 67356.7062428571 74282.9884714286 145235.728414286 31356.6998142857 8154.05104285714 35008.2707142857 82341.8328857143 88938.8588571429 104175.886371429 102995.720871429 726527.733042857 755341.622485714 782697.660428571 795074.522142857 805860.639771429 807177.6648 778808.072957143 46631.0288458146 126616.586204072 125857.212557143 125857.212557143 131930.602071429 13120.6635 219213.262285714 219814.254128571 221448.634585714 219881.692157143 1054984.6512 1043341.67391429 1103190.9408 1169071.9443 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40508.4360707469 109548.925256263 225086.041990515 0 0 0 0 0 0 0 0 0 60.6002713602607 0 390.429408376365 151.048525971701 65.0527979865517 125.962148888461 312.214411328955 1.13207884665226 567.511415846675
7 9 16 1979 0 227340 8780391.65057143 0 111598992.490371 85704511.1721428 90141929.4852 90141929.4852 48479330.3099143 227340 228500 2154960.38481429 1759794.248 1994941.30112597 1902692.57117143 2794026.94521429 3921842 3921900 18196993.6626857 1652943.76624286 2032337.56812998 2839018.396 1652943.76624286 1600074.33531429 1406854.4661 900295.5 3925000 6098686.70888571 5525707.43301429 13559061.43 17031142.7011488 12152903.9883429 11708441.7602143 285719.059285714 377063.868985714 447782.5593 45235.0494 56941.4977714286 68979.1858714286 144178.538142857 26044.9633285714 6815.20782857143 29428.7655857143 74447.6166 80578.5267857143 98887.9515428571 97834.7282142857 678400.7823 699326.405871429 721767.401614286 731843.436471428 740051.041242857 740100.628028571 684160.783328571 43848.4572141586 119540.875238331 150971.927785714 150971.927785714 156979.862742857 9586.11741428571 232768.306028571 233559.711128571 235085.000657143 228386.817642857 935742.315857143 916123.799957143 973616.702785714 1034658.036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40508.4360707469 109548.925256263 225086.041990515 0 0 0 0 0 0 0 0 0 62.0306950566006 0 553.038084769293 129.494663764459 96.1715993605044 397.426923403671 376.601539205714 2.01356356303642 390.947409064506
8 9 23 1979 0 236882.67327522 2593131.04157143 0 77040612.7655143 65145506.5091571 68762576.9071286 68762576.9071286 30300362.4355714 227340 276250 2000295.23322857 1755529.809 1977929.25523459 1452057.77995714 1776861.14374286 3921842 3978439.18375011 15290069.5072286 1387949.99991429 2035162.04511424 2817299.509 1387949.99991429 1332119.24614286 953653.062857143 900295.5 3942500 5033088.50207143 4240346.54232857 14002640.96 17132348.2900776 11165041.9937571 10496003.1966 240047.646171429 321556.421057143 377549.819485714 33838.0225714286 52042.3233428571 64320.0114857143 120973.9059 21808.2683571429 4837.68681428571 24902.4837857143 60372.9033428571 66119.0200714286 79761.3365571429 80999.0227285714 578673.822342857 597161.759528571 617220.606085714 626598.459 634581.9315 634986.559671429 591173.659285714 43049.9702689104 115564.8504152 151442.010514286 151442.010514286 156527.631257143 10756.3655571429 229810.950128571 229061.197928571 230507.1486 221779.874314286 837354.199114286 818285.1048 876142.966371429 934197.191614286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40508.4360707469 109548.925256263 225086.041990515 0 0 0 0 0 0 0 0 0 163.858101796275 19.8688745193094 643.704078671622 394.715957797838 72.7976730678854 361.312432960833 657.210291651537 2.01356356303642 1044.5354214716
9 9 30 1979 0 227340 2385214.71709451 0 73175434.5037846 65879425.2670418 69216909.4993846 69216909.4993846 24385708.1562429 227340 324000 2014559.90201868 1751265.37 1960558.20101464 1570384.66694835 1693593.0297 3921842 4012053.91885089 11974673.2127143 1394337.99851209 2039067.51402708 2795580.622 1394337.99851209 1368590.5558978 1117792.49458352 900295.5 3960000 4556687.8067011 4031758.12618681 14446220.49 17150045.7649207 10338313.4036604 9650570.47093187 156539.532085714 215264.170671429 254257.235485714 20128.2680571429 45609.9255 53089.5962571429 88595.7183 21280.6649571429 5918.67874285714 24442.3184142857 47942.4879 59077.6965 71561.6656714286 66604.9705714286 450140.906828571 457446.0321 472443.059571429 481501.573585714 489060.5832 490593.806614286 455143.221771429 46376.5780997164 122533.206438046 161861.185928571 161861.185928571 164925.649285714 10397.3572285714 239645.001471429 239625.166757143 240426.489214286 234363.017057143 744519.802371429 715098.970671429 774194.518414286 835035.521014286 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40508.4360707469 109548.925256263 225086.041990515 0 0 0 0 0 0 0 0 0 55.5482269348593 23.1057877291742 433.940913843684 536.514506463289 23.8122745700636 334.504768291888 325.717485191532 1.13207884665226 538.688528080138
10 10 7 1979 0 227340 4306059.69455893 0 92401652.3680607 82153259.7941893 86737859.6211321 86737859.6211321 36653217.1237286 227340 336200 1855617.35615357 1752852.138 1941693.59280898 2600392.53047143 2798640.49975714 3921842 4004507.65486596 16018543.0257429 2220129.81793929 2042679.42916849 2784274.9 2220129.81793929 2137601.53873929 1715298.65341071 900295.5 3958000 5609559.67939286 4811537.71870714 14516990.9 17168496.9589067 10764973.5752089 10021544.6821232 157293.251228571 212041.0296 242530.9524 26459.5088571429 44199.6773142857 48608.9343 87849.9330428571 19634.3836714286 5625.12497142857 23393.0620285714 55931.9108142857 67830.7559142857 85801.0070571429 82131.5849142857 408979.907742857 410582.552657143 423062.554885714 429397.762628571 434870.1603 434911.8132 389942.548971429 37727.9331221553 120198.384844236 183217.2228 183217.2228 185510.115771429 8903.80324285714 259023.517328571 259342.856228571 260203.682828571 259537.236428571 668848.3839 631789.203728571 691338.966428571 750121.125685714 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36985.9671158741 117298.365574925 216984.357649013 0 0 0 0 0 0 0 0 0 102.440242201771 9.93443725965468 381.7616563939 109.320323174802 13.0107244714306 347.798578282144 399.027530827788 0 843.10697786894
