week	Mica	Arrow	Duncan	Dworshak	GrandCoulee	HungryHorse	Libby	AF	Kerr	CL	Brownlee
1	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
2	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
3	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
4	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
5	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
6	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
7	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
8	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
9	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
10	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
11	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
12	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
13	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
14	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
15	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
16	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
17	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
18	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
19	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
20	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
21	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
22	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
23	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
24	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
25	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
26	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
27	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
28	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
29	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
30	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
31	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
32	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
33	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
34	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
35	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
36	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
37	3000	5000	100	1300	30000	400	4000	4000	3200	5000	5850
38	3000	5000	100	1300	30000	400	4000	4000	4100	5000	5850
39	3000	5000	100	1300	30000	400	4000	4000	5000	5000	5850
40	3000	5000	100	1300	30000	600	4000	4000	8850	5000	5850
41	3000	5000	100	1300	30000	600	4000	4000	12700	5000	5850
42	3000	5000	100	1300	30000	600	4000	4000	12700	5000	5850
43	3000	5000	100	1300	30000	600	4000	4000	12700	5000	5850
44	3000	5000	100	1300	30000	600	4000	4000	12700	5000	5850
45	20000	31000	1800	1300	30000	2200	10000	4000	12700	5000	5850
46	20000	31000	1800	1300	30000	2200	10000	4000	12700	5000	5850
47	20000	31000	1800	1300	30000	2200	10000	4000	12700	5000	5850
48	20000	31000	1800	1300	30000	2200	10000	4000	12700	5000	5850
49	27200	50000	2500	1300	30000	3300	15000	4000	9550	5000	5850
50	27200	50000	2500	1300	30000	3300	15000	4000	6400	5000	5850
51	27200	50000	2500	1300	30000	3300	15000	4000	4800	5000	5850
52	27200	50000	2500	1300	30000	3300	15000	4000	3200	5000	5850
