week Mica Arrow Duncan Dworshak GrandCoulee HungryHorse Libby AF Kerr CL Brownlee
1 15000 10000 100 1300 30000 650 7500 4000 3200 5000 5850
2 15000 10000 100 1300 30000 650 7500 4000 3200 5000 5850
3 15000 10000 100 1300 30000 650 7500 4000 3200 5000 5850
4 15000 10000 100 1300 30000 650 7500 4000 3200 5000 5850
5 15000 10000 100 1300 30000 650 7500 4000 3200 5000 5850
6 10000 10000 100 1300 30000 650 6000 4000 3200 5000 5850
7 10000 10000 100 1300 30000 650 6000 4000 3200 5000 5850
8 10000 10000 100 1300 30000 650 6000 4000 3200 5000 5850
9 10000 10000 100 1300 30000 650 6000 4000 3200 5000 5850
10 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
11 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
12 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
13 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
14 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
15 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
16 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
17 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
18 10000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
19 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
20 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
21 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
22 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
23 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
24 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
25 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
26 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
27 15000 10000 100 1300 30000 650 4000 4000 3200 5000 5850
28 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
29 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
30 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
31 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
32 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
33 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
34 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
35 15000 20000 100 1300 30000 650 4000 4000 3200 5000 5850
36 12000 15000 100 1300 30000 650 4000 4000 3200 5000 5850
37 12000 15000 100 1300 30000 650 4000 4000 3200 5000 5850
38 10000 11000 100 1300 30000 650 4000 4000 4100 5000 5850
39 10000 11000 100 1300 30000 650 4000 4000 5000 5000 5850
40 8000 7500 100 1300 30000 650 4000 4000 8850 5000 5850
41 8000 7500 100 1300 30000 650 4000 4000 12700 5000 5850
42 8000 7500 100 1300 30000 650 10238.282943234 4000 12700 5000 5850
43 8000 7500 100 1300 30000 650 10238.282943234 4000 12700 5000 5850
44 8000 7500 100 1300 30000 650 10238.282943234 4000 12700 5000 5850
45 8000 5000 100 1300 30000 650 10238.282943234 4000 12700 5000 5850
46 8000 5000 100 1300 30000 650 10238.282943234 4000 12700 5000 5850
47 8000 5000 100 1300 30000 650 10238.282943234 4000 12700 5000 5850
48 8000 5000 100 1300 30000 650 10238.282943234 4000 12700 5000 5850
49 10000 10000 100 1300 30000 650 10238.282943234 4000 9550 5000 5850
50 10000 10000 100 1300 30000 650 10238.282943234 4000 6400 5000 5850
51 10000 10000 100 1300 30000 650 10238.282943234 4000 4800 5000 5850
52 10000 10000 100 1300 30000 650 10238.282943234 4000 3200 5000 5850
