Week Month Year MICAA ARROW DUNCA DWORS FLASF LIBBY ALBEN FLAPO CORRA BROWN GCOUL
1 8 2006 19553612 7116541 1347699 2896389 2979346 5770433 1540000 1792000 593600 1392402 9107400
2 8 2006 19814306 7221921 1386299 2782067 2960915 5671467 1540000 1792000 638280 1392402 9107400
3 8 2006 20075000 7327300 1424900 2667744 2942485 5572500 1540000 1792000 682960 1392402 9107400
4 8 2006 20073116 7321562 1423330 2553422 2924054 5473533 1540000 1792000 711282 1392402 9107400
5 9 2006 20071231 7315823 1421759 2439100 2905623 5374567 1540000 1792000 711282 1392402 9107400
6 9 2006 20040487 7239906 1410701 2387014 2887192 5275600 1482126 1792000 737712 1381394 9107400
7 9 2006 20009744 7163989 1399644 2334849 2868762 5176633 1424251 1792000 764141 1370386 9107400
8 9 2006 19979000 7088071 1388586 2282683 2801321 5077667 1366377 1792000 790571 1359377 9107400
9 10 2006 19948256 7012154 1377528 2230518 2726227 5631619.90664652 1308502 1792000 817000 1348369 9107400
10 10 2006 19891132 6937496 1361264 2230875 2735008 5647133 1199292 1792000 817000 1350789 9107400
11 10 2006 19834008 6862838 1344999 2231232 2743789 5654353 1090082 1792000 817000 1353209 9107400
12 10 2006 19776885 6788181 1328735 2231589 2752570 5661572 980873 1792000 817000 1355628 9107400
13 10 2006 19719761 6713523 1312470 2231946 2761350 5668792 871663 1792000 817000 1358048 9107400
14 11 2006 19662637 6638865 1296206 2232303 2770131 5676012 762453 1792000 817000 1360468 9107400
15 11 2006 19505348 6520799 1250437 2230568 2711956 5518822 696602 1790869 817000 1356104 9107400
16 11 2006 19348059 6402733 1204669 2228832 2653781 5361632 630751 1789739 817000 1351741 9107400
17 11 2006 19190769 6284667 1158900 2227097 2595605 5204442 564899 1788608 817000 1347377 9107400
18 12 2006 19033480 6166601 1113131 2225361 2537430 5047252 499048 1787477 817000 1343013 9107400
19 12 2006 18738836 5954816 1042470 2219460 2423590 4740955 499048 1769824 817000 1329179 9107400
20 12 2006 18444192 5743031 971809 2213560 2309751 4434658 499048 1752171 817000 1315344 9107400
21 12 2006 18149547 5531246 901148 2207659 2195911 4244400 499048 1734518 817000 1301510 9107400
22 12 2006 17854903 5319461 830487 2201758 2083480 3869400 499048 1716865 817000 1287675 9107400
23 1 2007 16758141.0218471 1311425.66097278 379486.423244883 2107940 1912381.50720595 3693871.62450668 499048 1657718 810693 1255979 9107400
24 1 2007 16715773.1437973 1308391.90665139 377715.80711829 2107940 1878573.51774232 3518343.24901336 499048 1598571 804386 1224283 9107400
25 1 2007 16672985.9512165 1300324.69723647 374876.175633273 2107940 1844519.97976191 3342814.87352004 499048 1539424 779185 1192587 9107400
26 1 2007 16629640.1617242 1283354.71560013 368953.903467139 2107940 1810383.19367048 3167286.49802672 499048 1480277 741641 1160891 9107400
27 2 2007 16410739 1434081.15700631 362735.67302225 2107940 1776136.40768757 2991758.12253341 499048 1421130 704096 1129195 9107400
28 2 2007 16085400 1743101.0127647 365330.794453738 2102386 1747020.58957407 2836884.97483024 499048 1297560 670000 1117691 9107400
29 2 2007 15981813 1829028.71257457 365486.789984913 2096833 1717753.24270733 2682011.82712708 499048 1173990 626375 1106187 9107400
30 2 2007 15955681 1837212.40459848 303652.349948941 2091279 1688319.86247729 2527138.67942392 499048 1050419 582750 1094683 9107400
31 3 2007 15929549 1865809.7966402 213496.893692558 2085725 1660123.31048871 2372265.53172075 499048 926849 539125 1020000 9107400
32 3 2007 15932921 1817814.35222558 186001.845243889 2096634 1653133.84707319 2265795.3752652 499048 838337 495500 1004100.63076352 8898743.11852024
33 3 2007 15936293 1774780.51356056 158506.79679522 2107543 1673594.91558548 2159325.21880965 499048 749825 413175 988201.261527044 8690186.23704049
34 3 2007 15939665 1783964.0383593 158506.79679522 2118452 1705558.0204138 2159325.21880965 499048 661312 330850 972301.892290567 8481629.35556074
35 4 2007 15943036 1757714.02583072 158506.79679522 2129361 1705483.29109578 2159325.21880965 499048 572800 248525 956402.523054089 8273072.47408098
36 4 2007 15902772 1790872.74361276 354475.743776763 2186386 1707942.43793196 2159325.21880965 499048 572800 166200 931402.523054089 7695360.77433257
37 4 2007 15862508 1918002.62268364 365847.271690242 2243411 1738824.19482777 2159325.21880965 499048 572800 191341 906402.523054089 7117649.07458415
38 4 2007 15860326 1992379.87234087 376886.595153974 1937231.07517906 1763120.35412058 2159325.21880965 630751 592932 216482 899603.784581133 6539937.37483573
39 4 2007 15858144 2244369.64694162 412098.504567083 2162745.67565857 1888742.75233513 2159325.21880965 762453 613064 241624 892805.046108177 5962225.67508731
40 5 2007 15937562 2589544.64208567 464724.330044609 2378353.90727992 2044787.17083971 3519065.3871335 797600 774122 266765 1100514 5962225.67508731
41 5 2007 16016980 3237916.18032323 548304.150231097 2590258.19535022 2255054.6711235 3829572.10512989 832747 935180 283646 1137486 5962225.67508731
42 5 2007 16096398 4385656.48724066 648761 2807567.96165097 2468456.54620898 4317216.60922205 867894 1096237 283646 1174458 9107400
43 5 2007 16175816 5268307 693905 2977081.25053987 2622656.86997057 4601884 903041 1257295 283646 1211430 9107400
44 6 2007 16255235 5685114 739049 3130053.04487028 2816586.96324348 4776310 938188 1418353 283646 1248402 9107400
45 6 2007 16999135 6059766 828751 3251954.18658563 2942125.93568337 5004707 1088641 1511765 390555 1287873 9107400
46 6 2007 17743035 6044857.09838468 918454 3333537.28992457 3018735 5233103 1239094 1605177 417612 1327344 9107400
47 6 2007 18485177.5903474 5731708.99204537 1008156 3402050.27509342 3045090 5461500 1389547 1698588 442753 1366815 9107400
48 7 2007 18994444.2183858 5888178.97384026 1097859 3468000 3071500 5743053 1540000 1792000 467894 1420000 9107400
49 7 2007 19441877 7054419.28638128 1179619 3353678 3053069 5752127 1540000 1792000 493035 1420000 9107400
50 7 2007 19652918 7252329.66466174 1261379 3239356 3034638 5869400 1540000 1792000 518176 1420000 9107400
51 7 2007 19863959 7291406 1343140 3125033 3016208 5869400 1540000 1792000 543318 1420000 9107400
52 7 2007 20075000 7327300 1424900 3010711 2997777 5869400 1540000 1792000 568459 1420000 9107400
1 8 2007 19553612 7116541 1347699 2896389 2923313.47168482 5770433 1540000 1792000 593600 1392402 9107400
2 8 2007 19814306 7221921 1386299 2782067 2893675.71143841 5671467 1540000 1792000 638280 1392402 9107400
3 8 2007 20075000 7327300 1424900 2667744 2864038.951192 5572500 1540000 1792000 682960 1392402 9107400
4 8 2007 20073116 7321562 1423330 2553422 2834401.19094559 5473533 1540000 1792000 711282 1392402 9107400
5 9 2007 20071231 7315823 1421759 2439100 2804764.06715762 5374567 1540000 1792000 711282 1392402 9107400
6 9 2007 20040487 7239906 1410701 2387014 2775126.3069112 5275600 1482126 1792000 737712 1381394 9107400
7 9 2007 20009744 7163989 1399644 2334849 2745489.54666479 5176633 1424251 1792000 764141 1370386 9107400
8 9 2007 19979000 7088071 1388586 2282683 2715851.78641838 5077667 1366377 1792000 790571 1359377 9107400
9 9 2007 19948256 7012154 1377528 2230518 2686214.66263041 5639913 1308502 1792000 817000 1348369 9107400
10 10 2007 19891132 6937496 1361264 2230875 2735008 5647133 1199292 1792000 817000 1350789 9107400
11 10 2007 19834008 6862838 1344999 2231232 2743789 5654353 1090082 1792000 817000 1353209 9107400
12 10 2007 19776885 6788181 1328735 2231589 2752570 5661572 980873 1792000 817000 1355628 9107400
13 10 2007 19719761 6713523 1312470 2231946 2761350 5668792 871663 1792000 817000 1358048 9107400
14 11 2007 19662637 6638865 1296206 2232303 2770131 5676012 762453 1792000 817000 1360468 9107400
15 11 2007 19505348 6520799 1250437 2230568 2711956 5518822 696602 1790869 817000 1356104 9107400
16 11 2007 19348059 6402733 1204669 2228832 2653781 5361632 630751 1789739 817000 1351741 9107400
17 11 2007 19190769 6284667 1158900 2227097 2595605 5204442 564899 1788608 817000 1347377 9107400
18 12 2007 19033480 6166601 1113131 2225361 2537430 5047252 499048 1787477 817000 1343013 9107400
19 12 2007 18738836 5954816 1042470 2219460 2423590 4740955 499048 1769824 817000 1329179 9107400
20 12 2007 18444192 5743031 971809 2213560 2309751 4434658 499048 1752171 817000 1315344 9107400
21 12 2007 18149547 5531246 901148 2207659 2195911 4244400 499048 1734518 817000 1301510 9107400
22 12 2007 17854903 5319461 830487 2201758 2083480 3869400 499048 1716865 817000 1287675 9107400
23 1 2008 13919604 1249183 367813.394041693 2107940 2046808.92690556 2534846.67788549 499048 1657718 810693 1255979 9107400
24 1 2008 13919604 1249183 373608.383508297 2107940 2031686.73914219 2497208.86023695 499048 1598571 804386 1224283 9107400
25 1 2008 13919604 1249183 377689.076591357 2107940 2015675.45659286 2452900.15721539 499048 1539424 779185 1192587 9107400
26 1 2008 13919604 1249183 381462.900863189 2107940 1998615.17007003 2404988.30161673 499048 1480277 741641 1160891 9107400
27 2 2008 13919604 1249183 383986.984989704 2107940 1980519.24918885 2309400 499048 1421130 704096 1129195 9107400
28 2 2008 13783542.5671166 1082274 391353.225709734 2102386 1966507.30309753 2039400 499048 1297560 670000 1117691 9107400
29 2 2008 13794799.2222646 915366 398793.452862499 2096833 1951325.26798844 1769400 499048 1173990 626375 1106187 9107400
30 2 2008 13805208.3557634 958685.691624415 353372.501981735 2091279 1935741.7637586 1499400 499048 1050419 582750 1094683 9107400
31 3 2008 13815569.2287165 1013841.08845318 269432.064729452 2085725 1920698.05083254 1229400 499048 926849 539125 1083179 9107400
32 3 2008 13775978.9991468 989436.73146244 252813.299537957 2096634 1914364.62113654 1059400 499048 838337 495500 1057047 8973050
33 3 2008 13738657.6119492 985974.240693457 236194.534346461 2107543 1911941.25264449 889400 499048 749825 413175 1030915 8838800
34 3 2008 13734295.4092668 1090797.69430362 236194.534346461 2118452 1927818.20660421 889400 499048 661312 330850 1004782 8704550
35 3 2008 13707818.0987474 1150076.38756038 236194.534346461 2144627.64071276 1949869.09149265 889400 499048 572800 248525 978650 8570300
36 4 2008 13787243.896243 1258676.06882879 422306.090950535 2255708 2029660.09799397 889400 499048 572800 166200 998683 8425900.7501996
37 4 2008 13949485.6880209 1587022.89842566 466602.034754774 2393956 2142627.42901441 889400 499048 572800 191341 1018716 8281501.5003992
38 4 2008 14138017.7669364 2010877.1577788 501330 2497890 2207150.68037781 889400 630751 592932 216482 1041129 8137102.2505988
39 4 2008 14338753.376922 2500855.18894533 513330 2571248.48983955 2246370.04811279 889400 762453 613064 241624 1063542 7992703.0007984
40 5 2008 14540219.7394221 2992145.33138537 558474 2694323.08821135 2352414.58468929 3154118.89248013 797600 774122 266765 1100514 7992703.0007984
41 5 2008 14821713.6489017 3347073.80360967 603618 2824776.16662996 2525765.798025 3538580.97363276 832747 935180 283646 1137486 7992703.0007984
42 5 2008 15183318.1283188 3727173.66672126 648761 2906215.54299697 2614396.7642921 3911358.10977087 867894 1096237 283646 1174458 9107400
43 5 2008 15636911.9664608 4264007.54182284 693905 2953910.35874243 2679855.21197119 4299408.71007477 903041 1257295 283646 1211430 9107400
44 6 2008 16203322.1180762 4693746.73503487 739049 2977388.70226564 2715554.98427281 4679270.49021972 938188 1418353 283646 1248402 9107400
45 6 2008 16917770.4164077 5311491.99155025 828751 3207061.25680097 2952154.15337415 5004707 1088641 1511765 390555 1287873 9107400
46 6 2008 17374524.20468 5765931.75013898 918454 3363051.85248401 3018735 5233103 1239094 1605177 417612 1327344 9107400
47 6 2008 18112354.8160984 6214472.62563088 1008156 3430613 3045090 5461500 1389547 1698588 442753 1366815 9107400
48 6 2008 18625266.2595457 6549845.76545437 1097859 3468000 3071500 5743053 1540000 1792000 467894 1420000 9107400
49 7 2008 18727378.3287931 6687840.44659862 1179619 3353678 3041862.87621203 5752127 1540000 1792000 493035 1420000 9107400
50 7 2008 19163241.4269538 6913894.68622656 1261379 3239356 3012225.11596562 5869400 1540000 1792000 518176 1420000 9107400
51 7 2008 19617265.8388172 7219648.93817777 1343140 3125033 2982588.35571921 5869400 1540000 1792000 543318 1420000 9107400
