"Week" "Month" "Day" "Year" "CHIEF" "DALLE" "JDAYY" "MCNAR" "PRIRA" "RISLA" "ROCKY" "WANAP" "WELLS"
1 8 5 1979 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
2 8 12 1979 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
3 8 19 1979 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
4 8 26 1979 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
5 9 2 1979 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
6 9 9 1979 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
7 9 16 1979 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
8 9 23 1979 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
9 9 30 1979 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
10 10 7 1979 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
11 10 14 1979 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
12 10 21 1979 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
13 10 28 1979 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
14 11 4 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
15 11 11 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
16 11 18 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
17 11 25 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
18 12 2 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
19 12 9 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
20 12 16 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
21 12 23 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
22 12 30 1979 416514 833028 833028 833028 971866 416514 416514 416514 416514
23 1 6 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
24 1 13 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
25 1 20 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
26 1 27 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
27 2 3 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
28 2 10 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
29 2 17 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
30 2 24 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
31 3 2 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
32 3 9 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
33 3 16 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
34 3 23 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
35 3 30 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
36 4 6 1980 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
37 4 13 1980 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
38 4 20 1980 833028 2221408 2082570 2082570 971866 833028 833028 833028 833028
39 4 27 1980 1249542 2776760 2776760 2776760 1527218 1527218 1388380 1527218 1388380
40 5 4 1980 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
41 5 11 1980 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
42 5 18 1980 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
43 5 25 1980 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
44 6 1 1980 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
45 6 8 1980 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
46 6 15 1980 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
47 6 22 1980 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
48 6 29 1980 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
49 7 6 1980 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
50 7 13 1980 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
51 7 20 1980 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
52 7 27 1980 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
1 8 3 1980 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
2 8 10 1980 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
3 8 17 1980 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
4 8 24 1980 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
5 8 31 1980 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
6 9 7 1980 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
7 9 14 1980 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
8 9 21 1980 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
9 9 28 1980 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
10 10 5 1980 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
11 10 12 1980 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
12 10 19 1980 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
13 10 26 1980 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
14 11 2 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
15 11 9 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
16 11 16 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
17 11 23 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
18 11 30 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
19 12 7 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
20 12 14 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
21 12 21 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
22 12 28 1980 416514 833028 833028 833028 971866 416514 416514 416514 416514
23 1 4 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
24 1 11 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
25 1 18 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
26 1 25 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
27 2 1 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
28 2 8 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
29 2 15 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
30 2 22 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
31 3 1 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
32 3 8 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
33 3 15 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
34 3 22 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
35 3 29 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
36 4 5 1981 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
37 4 12 1981 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
38 4 19 1981 833028 2221408 2082570 2082570 971866 833028 833028 833028 833028
39 4 26 1981 1249542 2776760 2776760 2776760 1527218 1527218 1388380 1527218 1388380
40 5 3 1981 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
41 5 10 1981 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
42 5 17 1981 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
43 5 24 1981 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
44 5 31 1981 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
45 6 7 1981 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
46 6 14 1981 1110704 2776760 2776760 2776760 1527218 1527218 1527218 1527218 1527218
47 6 21 1981 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
48 6 28 1981 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
49 7 5 1981 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
50 7 12 1981 833028 1666056 1666056 1666056 1110704 1110704 1110704 1110704 1110704
51 7 19 1981 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
52 7 26 1981 1249542 1943732 1943732 1943732 1527218 1527218 1388380 1527218 1388380
1 8 2 1981 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
2 8 9 1981 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
3 8 16 1981 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
4 8 23 1981 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
5 8 30 1981 1180123 1666056 1666056 1666056 1318961 1318961 1249542 1318961 1249542
6 9 6 1981 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
7 9 13 1981 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
8 9 20 1981 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
9 9 27 1981 555352 1249542 1180123 833028 555352 555352 555352 555352 555352
10 10 4 1981 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
11 10 11 1981 416514 1249542 1180123 833028 555352 555352 485933 555352 485933
12 10 18 1981 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
13 10 25 1981 416514 1249542 1180123 833028 971866 555352 485933 555352 485933
14 11 1 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
15 11 8 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
16 11 15 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
17 11 22 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
18 11 29 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
19 12 6 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
20 12 13 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
21 12 20 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
22 12 27 1981 416514 833028 833028 833028 971866 416514 416514 416514 416514
23 1 3 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
24 1 10 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
25 1 17 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
26 1 24 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
27 1 31 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
28 2 7 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
29 2 14 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
30 2 21 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
31 2 28 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
32 3 7 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
33 3 14 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
34 3 21 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
35 3 28 1982 416514 833028 833028 833028 971866 416514 416514 416514 416514
36 4 4 1982 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
37 4 11 1982 694190 1666056 1388380 1388380 971866 833028 694190 833028 694190
38 4 18 1982 833028 2221408 2082570 2082570 971866 833028 833028 833028 833028
39 4 25 1982 833028 2221408 2082570 2082570 971866 833028 833028 833028 833028
40 5 2 1982 1388380 3054436 3054436 3054436 1804894 1804894 1596637 1804894 1596637
