name abbrev
ALBEN AF
AMERI AM
ARROW AR
BONFE BONF
BONNE BON
BOUND BD
BOXCA BC
BROWN BR
CABIN CB
CHELA CH
CHIEF CJ
COLFA COL
CORRA CL
DALLE DA
DUNCA DU
DWORS DW
FLAPO KE
FLASF HH
GCOUL GC
HCANY HC
ICEHA IH
IPARK IP
JDAYY JD
JLAKE JL
LIBBY LB
LGOOS LIG
LGRAN LG
LMONU LM
LUCKY LUC
MCNAR MCN
MICAA MI
MILNE MIL
MINAD MIN
NOXON NOX
OWYHE OWY
OXBOW OX
PALIS PAL
PAYHS PAY
PELTO PEL
PRIRA PR
REVEL REV
RIRDM RIR
RISLA RI
ROCKY RR
THOMF TF
WANAP WA 
WELLS WE


