ShortNM,LongNM,Efficiency
AF,AlbeniFalls,0.8
AR,Arrow,0.8
BON,Bonneville,0.8
BD,Boundary,0.8
BC,BoxCanyon,0.8
BR,Brownlee,0.8
CB,CabinetGorge,0.8
CH,Chelan,0.8
CJ,ChiefJoseph,0.8
CL,CorraLinn,0.8
DA,TheDalles,0.8
DU,Duncan,0.8
DW,Dworshak,0.8
KE,Kerr,0.8
HH,HungryHorse,0.8
GC,GrandCoulee,0.8
HC,HellsCanyon,0.8
IH,IceHarbor,0.8
JD,JohnDay,0.8
LB,Libby,0.8
LIG,LittleGooseFalls,0.8
LG,LowerGranite,0.8
LM,LowerMonumental,0.8
MCN,McNary,0.8
MI,Mica,0.8
NOX,NoxonRapids,0.8
OX,Oxbow,0.8
PEL,Pelton,0.8
PR,PriestRapids,0.8
Rev,Revelstoke,0.8
RI,RockIsland,0.8
RR,RockyReach,0.8
TF,ThomsonFalls,0.8
WA,Wanapum,0.8
WE,Wells,0.8
