Stn_ID all sw Fraction
CHIEF 1819.202679511 895.198675472 0.492082979842921
COLKE 105.956958012 105.956958012 1
DALLE 1233.857724927 1191.759467607 0.965880784737567
JDAYY 26715.255121095 26047.069634541 0.974988616671439
MCNAR 27674.159713232 23237.34280227 0.839676544583914
METPA 584.988452222 480.506901593 0.821395533138918
OKANA 1417.757251851 1231.148676913 0.868377626216077
OKANO 442.918166849 407.443224009 0.919906326957923
PRIRA 4766.02558785 3774.511909686 0.791962158010301
RISLA 845.258319439 358.281589301 0.423872301592716
ROCKY 4899.543206379 990.397436245 0.202140769971279
SIMNI 8132.710199854 7665.332757371 0.942531157388174
WALST 343.882727264 0 0
WANAP 116.088020718 49.440934776 0.425891788577406
WELLS 10069.487745043 7800.460687926 0.774663109527692
WENMO 295.685039486 267.019507209 0.903053829416495
WENPE 16.636871479 16.636871479 1
