Down	Up
BONNE	DALLE
DALLE	JDAYY
DALLE	PELTO
JDAYY	MCNAR
MCNAR	ICEHA
MCNAR	PRIRA
PRIRA	WANAP
WANAP	RISLA
RISLA	ROCKY
ROCKY	WELLS
ROCKY	CHELA
WELLS	CHIEF
CHIEF	GCOUL
GCOUL	CORRA
GCOUL	ARROW
GCOUL	BOUND
BOUND	BOXCA
BOXCA	ALBEN
ALBEN	CABIN
CABIN	NOXON
NOXON	THOMF
THOMF	FLAPO
FLAPO	COLFA
COLFA	FLASF
CORRA	DUNCA
CORRA	BONFE
BONFE	LIBBY
ARROW	REVEL
REVEL	MICAA
ICEHA	LMONU
LMONU	LGOOS
LGOOS	LGRAN
LGRAN	HCANY
LGRAN	DWORS
LIMEP	HCANY
HCANY	OXBOW
OXBOW	BROWN
BROWN	LUCKY
BROWN	MILNE
BROWN	OWYHE
BROWN	PAYHS
MILNE	MINAD
MINAD	AMERI
AMERI	PALIS
AMERI	IPARK
AMERI	RIRDM
HFORK	IPARK
SNKHE	PALIS
PALIS	JLAKE










