CellID GWFraction ReturnFlowFraction NumCrops Long Lat Area StnName StnID
242350 0.35 0 3 -116.15625 41.34375 36.2238077852904 OWYHE 65
242351 0.35 0 3 -116.09375 41.34375 36.2238077852904 OWYHE 65
243278 0.35 0 2 -116.15625 41.40625 36.1890188092445 OWYHE 65
243279 0.35 0 2 -116.09375 41.40625 36.1890188092445 OWYHE 65
247011 0.35 0 2 -114.84375 41.65625 36.0494327024262 BROWN 6
247914 0.35 0 2 -116.40625 41.71875 36.014428832682 OWYHE 65
247916 0.35 0 1 -116.28125 41.71875 36.014428832682 OWYHE 65
247939 0.35 0 2 -114.84375 41.71875 36.014428832682 BROWN 6
247940 0.35 0 2 -114.78125 41.71875 36.014428832682 BROWN 6
248842 0.35 0 1 -116.40625 41.78125 35.9793821089483 OWYHE 65
248864 0.35 0 2 -115.03125 41.78125 35.9793821089483 BROWN 6
249805 0.35 0 2 -114.21875 41.84375 35.9442925729276 MILNE 63
249806 0.35 0 2 -114.15625 41.84375 35.9442925729276 MILNE 63
249807 0.35 0 1 -114.09375 41.84375 35.9442925729276 MILNE 63
249813 0.35 0 2 -113.71875 41.84375 35.9442925729276 MINAD 51
250703 0.35 0 2 -116.09375 41.90625 35.9091602663735 OWYHE 65
250726 0.35 0 2 -114.65625 41.90625 35.9091602663735 BROWN 6
250733 0.35 0 2 -114.21875 41.90625 35.9091602663735 MILNE 63
250735 0.35 0 2 -114.09375 41.90625 35.9091602663735 MILNE 63
250741 0.35 0 2 -113.71875 41.90625 35.9091602663735 MINAD 51
251629 0.35 0 1 -116.21875 41.96875 35.8739852310902 OWYHE 65
251630 0.35 0 2 -116.15625 41.96875 35.8739852310902 OWYHE 65
251654 0.35 0 2 -114.65625 41.96875 35.8739852310902 BROWN 6
251664 0.35 0 2 -114.03125 41.96875 35.8739852310902 MILNE 63
251665 0.35 0 2 -113.96875 41.96875 35.8739852310902 MILNE 63
251670 0.35 0 3 -113.65625 41.96875 35.8739852310902 MINAD 51
251671 0.35 0 4 -113.59375 41.96875 35.8739852310902 MINAD 51
251672 0.35 0 4 -113.53125 41.96875 35.8739852310902 MINAD 51
251674 0.35 0 4 -113.40625 41.96875 35.8739852310902 MINAD 51
252557 0.35 0 2 -116.21875 42.03125 35.8387675089329 OWYHE 65
252558 0.35 0 3 -116.15625 42.03125 35.8387675089329 OWYHE 65
252593 0.35 0 2 -113.96875 42.03125 35.8387675089329 MILNE 63
252599 0.35 0 5 -113.59375 42.03125 35.8387675089329 MINAD 51
252600 0.35 0 2 -113.53125 42.03125 35.8387675089329 MINAD 51
252601 0.35 0 3 -113.46875 42.03125 35.8387675089329 MINAD 51
252602 0.35 0 3 -113.40625 42.03125 35.8387675089329 MINAD 51
252604 0.35 0 3 -113.28125 42.03125 35.8387675089329 MINAD 51
252605 0.35 0 2 -113.21875 42.03125 35.8387675089329 MINAD 51
253501 0.35 0 3 -115.21875 42.09375 35.8035071418077 BROWN 6
253526 0.35 0 2 -113.65625 42.09375 35.8035071418077 MINAD 51
253527 0.35 0 5 -113.59375 42.09375 35.8035071418077 MINAD 51
253528 0.35 0 2 -113.53125 42.09375 35.8035071418077 MINAD 51
253529 0.35 0 2 -113.46875 42.09375 35.8035071418077 MINAD 51
