Weeks_final Months Days Years
1 8 6 2006
2 8 13 2006
3 8 20 2006
4 8 27 2006
5 9 3 2006
6 9 10 2006
7 9 17 2006
8 9 24 2006
9 10 1 2006
10 10 8 2006
11 10 15 2006
12 10 22 2006
13 10 29 2006
14 11 5 2006
15 11 12 2006
16 11 19 2006
17 11 26 2006
18 12 3 2006
19 12 10 2006
20 12 17 2006
21 12 24 2006
22 12 31 2006
23 1 7 2007
24 1 14 2007
25 1 21 2007
26 1 28 2007
27 2 4 2007
28 2 11 2007
29 2 18 2007
30 2 25 2007
31 3 4 2007
32 3 11 2007
33 3 18 2007
34 3 25 2007
35 4 1 2007
36 4 8 2007
37 4 15 2007
38 4 22 2007
39 4 29 2007
40 5 6 2007
41 5 13 2007
42 5 20 2007
43 5 27 2007
44 6 3 2007
45 6 10 2007
46 6 17 2007
47 6 24 2007
48 7 1 2007
49 7 8 2007
50 7 15 2007
51 7 22 2007
52 7 29 2007
1 8 5 2007
2 8 12 2007
3 8 19 2007
4 8 26 2007
5 9 2 2007
6 9 9 2007
7 9 16 2007
8 9 23 2007
9 9 30 2007
10 10 7 2007
11 10 14 2007
12 10 21 2007
13 10 28 2007
14 11 4 2007
15 11 11 2007
16 11 18 2007
17 11 25 2007
18 12 2 2007
19 12 9 2007
20 12 16 2007
21 12 23 2007
22 12 30 2007
23 1 6 2008
24 1 13 2008
25 1 20 2008
26 1 27 2008
27 2 3 2008
28 2 10 2008
29 2 17 2008
30 2 24 2008
31 3 2 2008
32 3 9 2008
33 3 16 2008
34 3 23 2008
35 3 30 2008
36 4 6 2008
37 4 13 2008
38 4 20 2008
39 4 27 2008
40 5 4 2008
41 5 11 2008
42 5 18 2008
43 5 25 2008
44 6 1 2008
45 6 8 2008
46 6 15 2008
47 6 22 2008
48 6 29 2008
49 7 6 2008
50 7 13 2008
51 7 20 2008
52 7 27 2008
1 8 3 2008
2 8 10 2008
3 8 17 2008
4 8 24 2008
5 8 31 2008
6 9 7 2008
7 9 14 2008
8 9 21 2008
9 9 28 2008
10 10 5 2008
11 10 12 2008
12 10 19 2008
13 10 26 2008
14 11 2 2008
15 11 9 2008
16 11 16 2008
17 11 23 2008
18 11 30 2008
19 12 7 2008
20 12 14 2008
21 12 21 2008
22 12 28 2008
23 1 4 2009
24 1 11 2009
25 1 18 2009
26 1 25 2009
27 2 1 2009
28 2 8 2009
29 2 15 2009
30 2 22 2009
31 3 1 2009
32 3 8 2009
33 3 15 2009
34 3 22 2009
35 3 29 2009
36 4 5 2009
37 4 12 2009
38 4 19 2009
39 4 26 2009
40 5 3 2009
41 5 10 2009
42 5 17 2009
43 5 24 2009
44 5 31 2009
45 6 7 2009
46 6 14 2009
47 6 21 2009
48 6 28 2009
49 7 5 2009
50 7 12 2009
51 7 19 2009
52 7 26 2009
1 8 2 2009
2 8 9 2009
3 8 16 2009
4 8 23 2009
5 8 30 2009
6 9 6 2009
7 9 13 2009
8 9 20 2009
9 9 27 2009
10 10 4 2009
11 10 11 2009
12 10 18 2009
13 10 25 2009
14 11 1 2009
15 11 8 2009
16 11 15 2009
17 11 22 2009
18 11 29 2009
19 12 6 2009
20 12 13 2009
21 12 20 2009
22 12 27 2009
23 1 3 2010
24 1 10 2010
25 1 17 2010
26 1 24 2010
27 1 31 2010
28 2 7 2010
29 2 14 2010
30 2 21 2010
31 2 28 2010
32 3 7 2010
33 3 14 2010
34 3 21 2010
35 3 28 2010
36 4 4 2010
37 4 11 2010
38 4 18 2010
39 4 25 2010
40 5 2 2010
41 5 9 2010
42 5 16 2010
43 5 23 2010
44 5 30 2010
45 6 6 2010
46 6 13 2010
47 6 20 2010
48 6 27 2010
49 7 4 2010
50 7 11 2010
51 7 18 2010
52 7 25 2010
1 8 1 2010
2 8 8 2010
3 8 15 2010
4 8 22 2010
5 8 29 2010
6 9 5 2010
7 9 12 2010
8 9 19 2010
9 9 26 2010
10 10 3 2010
11 10 10 2010
12 10 17 2010
13 10 24 2010
14 10 31 2010
15 11 7 2010
16 11 14 2010
17 11 21 2010
18 11 28 2010
19 12 5 2010
20 12 12 2010
21 12 19 2010
22 12 26 2010
23 1 2 2011
24 1 9 2011
25 1 16 2011
26 1 23 2011
27 1 30 2011
28 2 6 2011
29 2 13 2011
30 2 20 2011
31 2 27 2011
32 3 6 2011
33 3 13 2011
34 3 20 2011
35 3 27 2011
36 4 3 2011
37 4 10 2011
38 4 17 2011
39 4 24 2011
40 5 1 2011
41 5 8 2011
42 5 15 2011
43 5 22 2011
44 5 29 2011
45 6 5 2011
