Weeks_final Months Days Years
1 8 6 1950
2 8 13 1950
3 8 20 1950
4 8 27 1950
5 9 3 1950
6 9 10 1950
7 9 17 1950
8 9 24 1950
9 10 1 1950
10 10 8 1950
11 10 15 1950
12 10 22 1950
13 10 29 1950
14 11 5 1950
15 11 12 1950
16 11 19 1950
17 11 26 1950
18 12 3 1950
19 12 10 1950
20 12 17 1950
21 12 24 1950
22 12 31 1950
23 1 7 1951
24 1 14 1951
25 1 21 1951
26 1 28 1951
27 2 4 1951
28 2 11 1951
29 2 18 1951
30 2 25 1951
31 3 4 1951
32 3 11 1951
33 3 18 1951
34 3 25 1951
35 4 1 1951
36 4 8 1951
37 4 15 1951
38 4 22 1951
39 4 29 1951
40 5 6 1951
41 5 13 1951
42 5 20 1951
43 5 27 1951
44 6 3 1951
45 6 10 1951
46 6 17 1951
47 6 24 1951
48 7 1 1951
49 7 8 1951
50 7 15 1951
51 7 22 1951
52 7 29 1951
1 8 5 1951
2 8 12 1951
3 8 19 1951
4 8 26 1951
5 9 2 1951
6 9 9 1951
7 9 16 1951
8 9 23 1951
9 9 30 1951
10 10 7 1951
11 10 14 1951
12 10 21 1951
13 10 28 1951
14 11 4 1951
15 11 11 1951
16 11 18 1951
17 11 25 1951
18 12 2 1951
19 12 9 1951
20 12 16 1951
21 12 23 1951
22 12 30 1951
23 1 6 1952
24 1 13 1952
25 1 20 1952
26 1 27 1952
27 2 3 1952
28 2 10 1952
29 2 17 1952
30 2 24 1952
31 3 2 1952
32 3 9 1952
33 3 16 1952
34 3 23 1952
35 3 30 1952
36 4 6 1952
37 4 13 1952
38 4 20 1952
39 4 27 1952
40 5 4 1952
41 5 11 1952
42 5 18 1952
43 5 25 1952
44 6 1 1952
45 6 8 1952
46 6 15 1952
47 6 22 1952
48 6 29 1952
49 7 6 1952
50 7 13 1952
51 7 20 1952
52 7 27 1952
1 8 3 1952
2 8 10 1952
3 8 17 1952
4 8 24 1952
5 8 31 1952
6 9 7 1952
7 9 14 1952
8 9 21 1952
9 9 28 1952
10 10 5 1952
11 10 12 1952
12 10 19 1952
13 10 26 1952
14 11 2 1952
15 11 9 1952
16 11 16 1952
17 11 23 1952
18 11 30 1952
19 12 7 1952
20 12 14 1952
21 12 21 1952
22 12 28 1952
23 1 4 1953
24 1 11 1953
25 1 18 1953
26 1 25 1953
27 2 1 1953
28 2 8 1953
29 2 15 1953
30 2 22 1953
31 3 1 1953
32 3 8 1953
33 3 15 1953
34 3 22 1953
35 3 29 1953
36 4 5 1953
37 4 12 1953
38 4 19 1953
39 4 26 1953
40 5 3 1953
41 5 10 1953
42 5 17 1953
43 5 24 1953
44 5 31 1953
45 6 7 1953
46 6 14 1953
47 6 21 1953
48 6 28 1953
49 7 5 1953
50 7 12 1953
51 7 19 1953
52 7 26 1953
1 8 2 1953
2 8 9 1953
3 8 16 1953
4 8 23 1953
5 8 30 1953
6 9 6 1953
7 9 13 1953
8 9 20 1953
9 9 27 1953
10 10 4 1953
11 10 11 1953
12 10 18 1953
13 10 25 1953
14 11 1 1953
15 11 8 1953
16 11 15 1953
17 11 22 1953
18 11 29 1953
19 12 6 1953
20 12 13 1953
21 12 20 1953
22 12 27 1953
23 1 3 1954
24 1 10 1954
25 1 17 1954
26 1 24 1954
27 1 31 1954
28 2 7 1954
29 2 14 1954
30 2 21 1954
31 2 28 1954
32 3 7 1954
33 3 14 1954
34 3 21 1954
35 3 28 1954
36 4 4 1954
37 4 11 1954
38 4 18 1954
39 4 25 1954
40 5 2 1954
41 5 9 1954
42 5 16 1954
43 5 23 1954
44 5 30 1954
45 6 6 1954
46 6 13 1954
47 6 20 1954
48 6 27 1954
49 7 4 1954
50 7 11 1954
51 7 18 1954
52 7 25 1954
1 8 1 1954
2 8 8 1954
3 8 15 1954
4 8 22 1954
5 8 29 1954
6 9 5 1954
7 9 12 1954
8 9 19 1954
9 9 26 1954
10 10 3 1954
11 10 10 1954
12 10 17 1954
13 10 24 1954
14 10 31 1954
15 11 7 1954
16 11 14 1954
17 11 21 1954
18 11 28 1954
19 12 5 1954
20 12 12 1954
21 12 19 1954
22 12 26 1954
23 1 2 1955
24 1 9 1955
25 1 16 1955
26 1 23 1955
27 1 30 1955
28 2 6 1955
29 2 13 1955
30 2 20 1955
31 2 27 1955
32 3 6 1955
33 3 13 1955
34 3 20 1955
35 3 27 1955
36 4 3 1955
37 4 10 1955
38 4 17 1955
39 4 24 1955
40 5 1 1955
41 5 8 1955
42 5 15 1955
43 5 22 1955
44 5 29 1955
45 6 5 1955
46 6 12 1955
47 6 19 1955
48 6 26 1955
49 7 3 1955
50 7 10 1955
51 7 17 1955
52 7 24 1955
52 7 31 1955
1 8 7 1955
2 8 14 1955
3 8 21 1955
4 8 28 1955
5 9 4 1955
6 9 11 1955
7 9 18 1955
8 9 25 1955
9 10 2 1955
10 10 9 1955
11 10 16 1955
12 10 23 1955
13 10 30 1955
14 11 6 1955
15 11 13 1955
16 11 20 1955
17 11 27 1955
18 12 4 1955
19 12 11 1955
20 12 18 1955
21 12 25 1955
22 1 1 1956
23 1 8 1956
24 1 15 1956
25 1 22 1956
26 1 29 1956
27 2 5 1956
28 2 12 1956
29 2 19 1956
30 2 26 1956
31 3 4 1956
32 3 11 1956
33 3 18 1956
34 3 25 1956
35 4 1 1956
36 4 8 1956
37 4 15 1956
38 4 22 1956
39 4 29 1956
40 5 6 1956
41 5 13 1956
42 5 20 1956
43 5 27 1956
44 6 3 1956
45 6 10 1956
46 6 17 1956
47 6 24 1956
48 7 1 1956
49 7 8 1956
50 7 15 1956
51 7 22 1956
52 7 29 1956
1 8 5 1956
2 8 12 1956
3 8 19 1956
4 8 26 1956
5 9 2 1956
6 9 9 1956
7 9 16 1956
8 9 23 1956
9 9 30 1956
10 10 7 1956
11 10 14 1956
12 10 21 1956
13 10 28 1956
14 11 4 1956
15 11 11 1956
16 11 18 1956
17 11 25 1956
18 12 2 1956
19 12 9 1956
20 12 16 1956
21 12 23 1956
22 12 30 1956
23 1 6 1957
24 1 13 1957
25 1 20 1957
26 1 27 1957
27 2 3 1957
28 2 10 1957
29 2 17 1957
30 2 24 1957
31 3 3 1957
32 3 10 1957
33 3 17 1957
34 3 24 1957
35 3 31 1957
36 4 7 1957
37 4 14 1957
38 4 21 1957
39 4 28 1957
40 5 5 1957
41 5 12 1957
42 5 19 1957
43 5 26 1957
44 6 2 1957
45 6 9 1957
46 6 16 1957
47 6 23 1957
48 6 30 1957
49 7 7 1957
50 7 14 1957
51 7 21 1957
52 7 28 1957
1 8 4 1957
2 8 11 1957
3 8 18 1957
4 8 25 1957
5 9 1 1957
6 9 8 1957
7 9 15 1957
8 9 22 1957
9 9 29 1957
10 10 6 1957
11 10 13 1957
12 10 20 1957
13 10 27 1957
14 11 3 1957
15 11 10 1957
16 11 17 1957
17 11 24 1957
18 12 1 1957
19 12 8 1957
20 12 15 1957
21 12 22 1957
22 12 29 1957
23 1 5 1958
24 1 12 1958
25 1 19 1958
26 1 26 1958
27 2 2 1958
28 2 9 1958
29 2 16 1958
30 2 23 1958
31 3 2 1958
32 3 9 1958
33 3 16 1958
34 3 23 1958
35 3 30 1958
36 4 6 1958
37 4 13 1958
38 4 20 1958
39 4 27 1958
40 5 4 1958
41 5 11 1958
42 5 18 1958
43 5 25 1958
44 6 1 1958
45 6 8 1958
46 6 15 1958
47 6 22 1958
48 6 29 1958
49 7 6 1958
50 7 13 1958
51 7 20 1958
52 7 27 1958
1 8 3 1958
2 8 10 1958
3 8 17 1958
4 8 24 1958
5 8 31 1958
6 9 7 1958
7 9 14 1958
8 9 21 1958
9 9 28 1958
10 10 5 1958
11 10 12 1958
12 10 19 1958
13 10 26 1958
14 11 2 1958
15 11 9 1958
16 11 16 1958
17 11 23 1958
18 11 30 1958
19 12 7 1958
20 12 14 1958
21 12 21 1958
22 12 28 1958
23 1 4 1959
24 1 11 1959
25 1 18 1959
26 1 25 1959
27 2 1 1959
28 2 8 1959
29 2 15 1959
30 2 22 1959
31 3 1 1959
32 3 8 1959
33 3 15 1959
34 3 22 1959
35 3 29 1959
36 4 5 1959
37 4 12 1959
38 4 19 1959
39 4 26 1959
40 5 3 1959
41 5 10 1959
42 5 17 1959
43 5 24 1959
44 5 31 1959
45 6 7 1959
46 6 14 1959
47 6 21 1959
48 6 28 1959
49 7 5 1959
50 7 12 1959
51 7 19 1959
52 7 26 1959
1 8 2 1959
2 8 9 1959
3 8 16 1959
4 8 23 1959
5 8 30 1959
6 9 6 1959
7 9 13 1959
8 9 20 1959
9 9 27 1959
10 10 4 1959
11 10 11 1959
12 10 18 1959
13 10 25 1959
14 11 1 1959
15 11 8 1959
16 11 15 1959
17 11 22 1959
18 11 29 1959
19 12 6 1959
20 12 13 1959
21 12 20 1959
22 12 27 1959
23 1 3 1960
24 1 10 1960
25 1 17 1960
26 1 24 1960
27 1 31 1960
28 2 7 1960
29 2 14 1960
30 2 21 1960
31 2 28 1960
32 3 6 1960
33 3 13 1960
34 3 20 1960
35 3 27 1960
36 4 3 1960
37 4 10 1960
38 4 17 1960
39 4 24 1960
40 5 1 1960
41 5 8 1960
42 5 15 1960
43 5 22 1960
44 5 29 1960
45 6 5 1960
46 6 12 1960
47 6 19 1960
48 6 26 1960
49 7 3 1960
50 7 10 1960
51 7 17 1960
52 7 24 1960
52 7 31 1960
1 8 7 1960
2 8 14 1960
3 8 21 1960
4 8 28 1960
5 9 4 1960
6 9 11 1960
7 9 18 1960
