Weeks_final Months Days Years
1 8 5 1979
2 8 12 1979
3 8 19 1979
4 8 26 1979
5 9 2 1979
6 9 9 1979
7 9 16 1979
8 9 23 1979
9 9 30 1979
10 10 7 1979
11 10 14 1979
12 10 21 1979
13 10 28 1979
14 11 4 1979
15 11 11 1979
16 11 18 1979
17 11 25 1979
18 12 2 1979
19 12 9 1979
20 12 16 1979
21 12 23 1979
22 12 30 1979
23 1 6 1980
24 1 13 1980
25 1 20 1980
26 1 27 1980
27 2 3 1980
28 2 10 1980
29 2 17 1980
30 2 24 1980
31 3 2 1980
32 3 9 1980
33 3 16 1980
34 3 23 1980
35 3 30 1980
36 4 6 1980
37 4 13 1980
38 4 20 1980
39 4 27 1980
40 5 4 1980
41 5 11 1980
42 5 18 1980
43 5 25 1980
44 6 1 1980
45 6 8 1980
46 6 15 1980
47 6 22 1980
48 6 29 1980
49 7 6 1980
50 7 13 1980
51 7 20 1980
52 7 27 1980
1 8 3 1980
2 8 10 1980
3 8 17 1980
4 8 24 1980
5 8 31 1980
6 9 7 1980
7 9 14 1980
8 9 21 1980
9 9 28 1980
10 10 5 1980
11 10 12 1980
12 10 19 1980
13 10 26 1980
14 11 2 1980
15 11 9 1980
16 11 16 1980
17 11 23 1980
18 11 30 1980
19 12 7 1980
20 12 14 1980
21 12 21 1980
22 12 28 1980
23 1 4 1981
24 1 11 1981
25 1 18 1981
26 1 25 1981
27 2 1 1981
28 2 8 1981
29 2 15 1981
30 2 22 1981
31 3 1 1981
32 3 8 1981
33 3 15 1981
34 3 22 1981
35 3 29 1981
36 4 5 1981
37 4 12 1981
38 4 19 1981
39 4 26 1981
40 5 3 1981
41 5 10 1981
42 5 17 1981
43 5 24 1981
44 5 31 1981
45 6 7 1981
46 6 14 1981
47 6 21 1981
48 6 28 1981
49 7 5 1981
50 7 12 1981
51 7 19 1981
52 7 26 1981
1 8 2 1981
2 8 9 1981
3 8 16 1981
4 8 23 1981
5 8 30 1981
6 9 6 1981
7 9 13 1981
8 9 20 1981
9 9 27 1981
10 10 4 1981
11 10 11 1981
12 10 18 1981
13 10 25 1981
14 11 1 1981
15 11 8 1981
16 11 15 1981
17 11 22 1981
18 11 29 1981
19 12 6 1981
20 12 13 1981
21 12 20 1981
22 12 27 1981
23 1 3 1982
24 1 10 1982
25 1 17 1982
26 1 24 1982
27 1 31 1982
28 2 7 1982
29 2 14 1982
30 2 21 1982
31 2 28 1982
32 3 7 1982
33 3 14 1982
34 3 21 1982
35 3 28 1982
36 4 4 1982
37 4 11 1982
38 4 18 1982
39 4 25 1982
40 5 2 1982
41 5 9 1982
42 5 16 1982
43 5 23 1982
44 5 30 1982
45 6 6 1982
46 6 13 1982
47 6 20 1982
48 6 27 1982
49 7 4 1982
50 7 11 1982
51 7 18 1982
52 7 25 1982
1 8 1 1982
2 8 8 1982
3 8 15 1982
4 8 22 1982
5 8 29 1982
6 9 5 1982
7 9 12 1982
8 9 19 1982
9 9 26 1982
10 10 3 1982
11 10 10 1982
12 10 17 1982
13 10 24 1982
14 10 31 1982
15 11 7 1982
16 11 14 1982
17 11 21 1982
18 11 28 1982
19 12 5 1982
20 12 12 1982
21 12 19 1982
22 12 26 1982
23 1 2 1983
24 1 9 1983
25 1 16 1983
26 1 23 1983
27 1 30 1983
28 2 6 1983
29 2 13 1983
30 2 20 1983
31 2 27 1983
32 3 6 1983
33 3 13 1983
34 3 20 1983
35 3 27 1983
36 4 3 1983
37 4 10 1983
38 4 17 1983
39 4 24 1983
40 5 1 1983
41 5 8 1983
42 5 15 1983
43 5 22 1983
44 5 29 1983
45 6 5 1983
46 6 12 1983
47 6 19 1983
48 6 26 1983
49 7 3 1983
50 7 10 1983
51 7 17 1983
52 7 24 1983
52 7 31 1983
1 8 7 1983
2 8 14 1983
3 8 21 1983
4 8 28 1983
5 9 4 1983
6 9 11 1983
7 9 18 1983
8 9 25 1983
9 10 2 1983
10 10 9 1983
11 10 16 1983
12 10 23 1983
13 10 30 1983
14 11 6 1983
15 11 13 1983
16 11 20 1983
17 11 27 1983
18 12 4 1983
19 12 11 1983
20 12 18 1983
21 12 25 1983
22 1 1 1984
23 1 8 1984
24 1 15 1984
25 1 22 1984
26 1 29 1984
27 2 5 1984
28 2 12 1984
29 2 19 1984
30 2 26 1984
31 3 4 1984
32 3 11 1984
33 3 18 1984
34 3 25 1984
35 4 1 1984
36 4 8 1984
37 4 15 1984
38 4 22 1984
39 4 29 1984
40 5 6 1984
41 5 13 1984
42 5 20 1984
43 5 27 1984
44 6 3 1984
45 6 10 1984
46 6 17 1984
47 6 24 1984
48 7 1 1984
49 7 8 1984
50 7 15 1984
51 7 22 1984
52 7 29 1984
1 8 5 1984
2 8 12 1984
3 8 19 1984
4 8 26 1984
5 9 2 1984
6 9 9 1984
7 9 16 1984
8 9 23 1984
9 9 30 1984
10 10 7 1984
11 10 14 1984
12 10 21 1984
13 10 28 1984
14 11 4 1984
15 11 11 1984
16 11 18 1984
17 11 25 1984
18 12 2 1984
19 12 9 1984
20 12 16 1984
21 12 23 1984
22 12 30 1984
23 1 6 1985
24 1 13 1985
25 1 20 1985
26 1 27 1985
27 2 3 1985
28 2 10 1985
29 2 17 1985
30 2 24 1985
31 3 3 1985
32 3 10 1985
33 3 17 1985
34 3 24 1985
35 3 31 1985
36 4 7 1985
37 4 14 1985
38 4 21 1985
39 4 28 1985
40 5 5 1985
41 5 12 1985
42 5 19 1985
43 5 26 1985
44 6 2 1985
45 6 9 1985
46 6 16 1985
47 6 23 1985
48 6 30 1985
49 7 7 1985
50 7 14 1985
51 7 21 1985
52 7 28 1985
1 8 4 1985
2 8 11 1985
3 8 18 1985
4 8 25 1985
5 9 1 1985
6 9 8 1985
7 9 15 1985
8 9 22 1985
9 9 29 1985
10 10 6 1985
11 10 13 1985
12 10 20 1985
13 10 27 1985
14 11 3 1985
15 11 10 1985
16 11 17 1985
17 11 24 1985
18 12 1 1985
19 12 8 1985
20 12 15 1985
21 12 22 1985
22 12 29 1985
23 1 5 1986
24 1 12 1986
25 1 19 1986
26 1 26 1986
27 2 2 1986
28 2 9 1986
29 2 16 1986
30 2 23 1986
31 3 2 1986
32 3 9 1986
33 3 16 1986
34 3 23 1986
35 3 30 1986
36 4 6 1986
37 4 13 1986
38 4 20 1986
39 4 27 1986
40 5 4 1986
41 5 11 1986
42 5 18 1986
43 5 25 1986
44 6 1 1986
45 6 8 1986
46 6 15 1986
47 6 22 1986
48 6 29 1986
49 7 6 1986
50 7 13 1986
51 7 20 1986
52 7 27 1986
1 8 3 1986
2 8 10 1986
3 8 17 1986
4 8 24 1986
5 8 31 1986
6 9 7 1986
7 9 14 1986
8 9 21 1986
9 9 28 1986
10 10 5 1986
11 10 12 1986
12 10 19 1986
13 10 26 1986
14 11 2 1986
15 11 9 1986
16 11 16 1986
17 11 23 1986
18 11 30 1986
19 12 7 1986
20 12 14 1986
21 12 21 1986
22 12 28 1986
23 1 4 1987
24 1 11 1987
25 1 18 1987
26 1 25 1987
27 2 1 1987
28 2 8 1987
29 2 15 1987
30 2 22 1987
31 3 1 1987
32 3 8 1987
33 3 15 1987
34 3 22 1987
35 3 29 1987
36 4 5 1987
37 4 12 1987
38 4 19 1987
39 4 26 1987
40 5 3 1987
41 5 10 1987
42 5 17 1987
43 5 24 1987
44 5 31 1987
45 6 7 1987
46 6 14 1987
47 6 21 1987
48 6 28 1987
49 7 5 1987
50 7 12 1987
51 7 19 1987
52 7 26 1987
1 8 2 1987
2 8 9 1987
3 8 16 1987
4 8 23 1987
5 8 30 1987
6 9 6 1987
7 9 13 1987
8 9 20 1987
9 9 27 1987
10 10 4 1987
11 10 11 1987
12 10 18 1987
13 10 25 1987
14 11 1 1987
15 11 8 1987
16 11 15 1987
17 11 22 1987
18 11 29 1987
19 12 6 1987
20 12 13 1987
21 12 20 1987
22 12 27 1987
23 1 3 1988
24 1 10 1988
25 1 17 1988
26 1 24 1988
27 1 31 1988
28 2 7 1988
29 2 14 1988
30 2 21 1988
31 2 28 1988
32 3 6 1988
33 3 13 1988
34 3 20 1988
35 3 27 1988
36 4 3 1988
37 4 10 1988
38 4 17 1988
39 4 24 1988
40 5 1 1988
41 5 8 1988
42 5 15 1988
43 5 22 1988
44 5 29 1988
45 6 5 1988
46 6 12 1988
47 6 19 1988
48 6 26 1988
49 7 3 1988
50 7 10 1988
51 7 17 1988
52 7 24 1988
52 7 31 1988
1 8 7 1988
2 8 14 1988
3 8 21 1988
4 8 28 1988
5 9 4 1988
6 9 11 1988
7 9 18 1988
8 9 25 1988
9 10 2 1988
10 10 9 1988
11 10 16 1988
12 10 23 1988
13 10 30 1988
14 11 6 1988
15 11 13 1988
16 11 20 1988
17 11 27 1988
18 12 4 1988
19 12 11 1988
20 12 18 1988
21 12 25 1988
22 1 1 1989
23 1 8 1989
24 1 15 1989
25 1 22 1989
26 1 29 1989
27 2 5 1989
28 2 12 1989
29 2 19 1989
30 2 26 1989
31 3 5 1989
32 3 12 1989
33 3 19 1989
34 3 26 1989
35 4 2 1989
36 4 9 1989
37 4 16 1989
38 4 23 1989
39 4 30 1989
40 5 7 1989
41 5 14 1989
42 5 21 1989
43 5 28 1989
44 6 4 1989
45 6 11 1989
46 6 18 1989
47 6 25 1989
48 7 2 1989
49 7 9 1989
50 7 16 1989
51 7 23 1989
52 7 30 1989
1 8 6 1989
2 8 13 1989
3 8 20 1989
4 8 27 1989
5 9 3 1989
6 9 10 1989
7 9 17 1989
8 9 24 1989
9 10 1 1989
10 10 8 1989
11 10 15 1989
12 10 22 1989
13 10 29 1989
14 11 5 1989
15 11 12 1989
16 11 19 1989
17 11 26 1989
18 12 3 1989
19 12 10 1989
20 12 17 1989
21 12 24 1989
22 12 31 1989
23 1 7 1990
24 1 14 1990
25 1 21 1990
26 1 28 1990
27 2 4 1990
28 2 11 1990
29 2 18 1990
30 2 25 1990
31 3 4 1990
32 3 11 1990
33 3 18 1990
34 3 25 1990
35 4 1 1990
36 4 8 1990
37 4 15 1990
38 4 22 1990
39 4 29 1990
40 5 6 1990
41 5 13 1990
42 5 20 1990
43 5 27 1990
44 6 3 1990
45 6 10 1990
46 6 17 1990
47 6 24 1990
48 7 1 1990
49 7 8 1990
50 7 15 1990
51 7 22 1990
52 7 29 1990
1 8 5 1990
2 8 12 1990
3 8 19 1990
4 8 26 1990
5 9 2 1990
6 9 9 1990
7 9 16 1990
8 9 23 1990
9 9 30 1990
10 10 7 1990
11 10 14 1990
12 10 21 1990
13 10 28 1990
14 11 4 1990
15 11 11 1990
16 11 18 1990
17 11 25 1990
18 12 2 1990
19 12 9 1990
20 12 16 1990
21 12 23 1990
22 12 30 1990
23 1 6 1991
24 1 13 1991
25 1 20 1991
26 1 27 1991
27 2 3 1991
28 2 10 1991
29 2 17 1991
30 2 24 1991
31 3 3 1991
32 3 10 1991
33 3 17 1991
34 3 24 1991
35 3 31 1991
36 4 7 1991
37 4 14 1991
38 4 21 1991
39 4 28 1991
40 5 5 1991
41 5 12 1991
42 5 19 1991
43 5 26 1991
44 6 2 1991
45 6 9 1991
46 6 16 1991
47 6 23 1991
48 6 30 1991
49 7 7 1991
50 7 14 1991
51 7 21 1991
52 7 28 1991
1 8 4 1991
2 8 11 1991
3 8 18 1991
4 8 25 1991
5 9 1 1991
6 9 8 1991
7 9 15 1991
8 9 22 1991
9 9 29 1991
10 10 6 1991
11 10 13 1991
12 10 20 1991
13 10 27 1991
14 11 3 1991
15 11 10 1991
16 11 17 1991
17 11 24 1991
18 12 1 1991
19 12 8 1991
20 12 15 1991
21 12 22 1991
22 12 29 1991
23 1 5 1992
24 1 12 1992
25 1 19 1992
26 1 26 1992
27 2 2 1992
28 2 9 1992
29 2 16 1992
30 2 23 1992
31 3 1 1992
32 3 8 1992
33 3 15 1992
34 3 22 1992
35 3 29 1992
36 4 5 1992
37 4 12 1992
38 4 19 1992
39 4 26 1992
40 5 3 1992
41 5 10 1992
42 5 17 1992
43 5 24 1992
44 5 31 1992
45 6 7 1992
46 6 14 1992
47 6 21 1992
48 6 28 1992
49 7 5 1992
50 7 12 1992
51 7 19 1992
52 7 26 1992
1 8 2 1992
2 8 9 1992
3 8 16 1992
4 8 23 1992
5 8 30 1992
6 9 6 1992
7 9 13 1992
8 9 20 1992
9 9 27 1992
10 10 4 1992
11 10 11 1992
12 10 18 1992
13 10 25 1992
14 11 1 1992
15 11 8 1992
16 11 15 1992
17 11 22 1992
18 11 29 1992
19 12 6 1992
20 12 13 1992
21 12 20 1992
22 12 27 1992
23 1 3 1993
24 1 10 1993
25 1 17 1993
26 1 24 1993
27 1 31 1993
28 2 7 1993
29 2 14 1993
30 2 21 1993
31 2 28 1993
32 3 7 1993
33 3 14 1993
34 3 21 1993
35 3 28 1993
36 4 4 1993
37 4 11 1993
38 4 18 1993
39 4 25 1993
40 5 2 1993
41 5 9 1993
42 5 16 1993
43 5 23 1993
44 5 30 1993
45 6 6 1993
46 6 13 1993
47 6 20 1993
48 6 27 1993
49 7 4 1993
50 7 11 1993
51 7 18 1993
52 7 25 1993
1 8 1 1993
2 8 8 1993
3 8 15 1993
4 8 22 1993
5 8 29 1993
6 9 5 1993
7 9 12 1993
8 9 19 1993
9 9 26 1993
10 10 3 1993
11 10 10 1993
12 10 17 1993
13 10 24 1993
14 10 31 1993
15 11 7 1993
16 11 14 1993
17 11 21 1993
18 11 28 1993
19 12 5 1993
20 12 12 1993
21 12 19 1993
22 12 26 1993
23 1 2 1994
24 1 9 1994
25 1 16 1994
26 1 23 1994
27 1 30 1994
28 2 6 1994
29 2 13 1994
30 2 20 1994
31 2 27 1994
32 3 6 1994
33 3 13 1994
34 3 20 1994
35 3 27 1994
36 4 3 1994
37 4 10 1994
38 4 17 1994
39 4 24 1994
40 5 1 1994
41 5 8 1994
42 5 15 1994
43 5 22 1994
44 5 29 1994
45 6 5 1994
46 6 12 1994
47 6 19 1994
48 6 26 1994
49 7 3 1994
50 7 10 1994
51 7 17 1994
52 7 24 1994
52 7 31 1994
1 8 7 1994
2 8 14 1994
3 8 21 1994
4 8 28 1994
5 9 4 1994
6 9 11 1994
7 9 18 1994
8 9 25 1994
9 10 2 1994
10 10 9 1994
11 10 16 1994
12 10 23 1994
13 10 30 1994
14 11 6 1994
15 11 13 1994
16 11 20 1994
17 11 27 1994
18 12 4 1994
19 12 11 1994
20 12 18 1994
21 12 25 1994
22 1 1 1995
23 1 8 1995
24 1 15 1995
25 1 22 1995
26 1 29 1995
27 2 5 1995
28 2 12 1995
29 2 19 1995
30 2 26 1995
31 3 5 1995
32 3 12 1995
33 3 19 1995
34 3 26 1995
35 4 2 1995
36 4 9 1995
37 4 16 1995
38 4 23 1995
39 4 30 1995
40 5 7 1995
41 5 14 1995
42 5 21 1995
43 5 28 1995
44 6 4 1995
45 6 11 1995
46 6 18 1995
47 6 25 1995
48 7 2 1995
49 7 9 1995
50 7 16 1995
51 7 23 1995
52 7 30 1995
1 8 6 1995
2 8 13 1995
3 8 20 1995
4 8 27 1995
5 9 3 1995
6 9 10 1995
7 9 17 1995
8 9 24 1995
9 10 1 1995
10 10 8 1995
11 10 15 1995
12 10 22 1995
13 10 29 1995
14 11 5 1995
15 11 12 1995
16 11 19 1995
17 11 26 1995
18 12 3 1995
19 12 10 1995
20 12 17 1995
21 12 24 1995
22 12 31 1995
23 1 7 1996
24 1 14 1996
25 1 21 1996
26 1 28 1996
27 2 4 1996
28 2 11 1996
29 2 18 1996
30 2 25 1996
31 3 3 1996
32 3 10 1996
33 3 17 1996
34 3 24 1996
35 3 31 1996
36 4 7 1996
37 4 14 1996
38 4 21 1996
39 4 28 1996
40 5 5 1996
41 5 12 1996
42 5 19 1996
43 5 26 1996
44 6 2 1996
45 6 9 1996
46 6 16 1996
47 6 23 1996
48 6 30 1996
49 7 7 1996
50 7 14 1996
51 7 21 1996
52 7 28 1996
1 8 4 1996
2 8 11 1996
3 8 18 1996
4 8 25 1996
5 9 1 1996
6 9 8 1996
7 9 15 1996
8 9 22 1996
9 9 29 1996
10 10 6 1996
11 10 13 1996
12 10 20 1996
13 10 27 1996
14 11 3 1996
15 11 10 1996
16 11 17 1996
17 11 24 1996
18 12 1 1996
19 12 8 1996
20 12 15 1996
21 12 22 1996
22 12 29 1996
23 1 5 1997
24 1 12 1997
25 1 19 1997
26 1 26 1997
27 2 2 1997
28 2 9 1997
29 2 16 1997
30 2 23 1997
31 3 2 1997
32 3 9 1997
33 3 16 1997
34 3 23 1997
35 3 30 1997
36 4 6 1997
37 4 13 1997
38 4 20 1997
39 4 27 1997
40 5 4 1997
41 5 11 1997
42 5 18 1997
43 5 25 1997
44 6 1 1997
45 6 8 1997
46 6 15 1997
47 6 22 1997
48 6 29 1997
49 7 6 1997
50 7 13 1997
51 7 20 1997
52 7 27 1997
1 8 3 1997
2 8 10 1997
3 8 17 1997
4 8 24 1997
5 8 31 1997
6 9 7 1997
7 9 14 1997
8 9 21 1997
9 9 28 1997
10 10 5 1997
11 10 12 1997
12 10 19 1997
13 10 26 1997
14 11 2 1997
15 11 9 1997
16 11 16 1997
17 11 23 1997
18 11 30 1997
19 12 7 1997
20 12 14 1997
21 12 21 1997
22 12 28 1997
23 1 4 1998
24 1 11 1998
25 1 18 1998
26 1 25 1998
27 2 1 1998
28 2 8 1998
29 2 15 1998
30 2 22 1998
31 3 1 1998
32 3 8 1998
33 3 15 1998
34 3 22 1998
35 3 29 1998
36 4 5 1998
37 4 12 1998
38 4 19 1998
39 4 26 1998
40 5 3 1998
41 5 10 1998
42 5 17 1998
43 5 24 1998
44 5 31 1998
45 6 7 1998
46 6 14 1998
47 6 21 1998
48 6 28 1998
49 7 5 1998
50 7 12 1998
51 7 19 1998
52 7 26 1998
1 8 2 1998
2 8 9 1998
3 8 16 1998
4 8 23 1998
5 8 30 1998
6 9 6 1998
7 9 13 1998
8 9 20 1998
9 9 27 1998
10 10 4 1998
11 10 11 1998
12 10 18 1998
13 10 25 1998
14 11 1 1998
15 11 8 1998
16 11 15 1998
17 11 22 1998
18 11 29 1998
19 12 6 1998
20 12 13 1998
21 12 20 1998
22 12 27 1998
23 1 3 1999
24 1 10 1999
25 1 17 1999
26 1 24 1999
27 1 31 1999
28 2 7 1999
29 2 14 1999
30 2 21 1999
31 2 28 1999
32 3 7 1999
33 3 14 1999
34 3 21 1999
35 3 28 1999
36 4 4 1999
37 4 11 1999
38 4 18 1999
39 4 25 1999
40 5 2 1999
41 5 9 1999
42 5 16 1999
43 5 23 1999
44 5 30 1999
45 6 6 1999
46 6 13 1999
47 6 20 1999
48 6 27 1999
49 7 4 1999
50 7 11 1999
51 7 18 1999
52 7 25 1999
1 8 1 1999
2 8 8 1999
3 8 15 1999
4 8 22 1999
5 8 29 1999
6 9 5 1999
7 9 12 1999
8 9 19 1999
9 9 26 1999
10 10 3 1999
11 10 10 1999
12 10 17 1999
13 10 24 1999
14 10 31 1999
15 11 7 1999
16 11 14 1999
17 11 21 1999
18 11 28 1999
19 12 5 1999
20 12 12 1999
21 12 19 1999
22 12 26 1999
23 1 2 2000
24 1 9 2000
25 1 16 2000
26 1 23 2000
27 1 30 2000
28 2 6 2000
29 2 13 2000
30 2 20 2000
31 2 27 2000
32 3 5 2000
33 3 12 2000
34 3 19 2000
35 3 26 2000
36 4 2 2000
37 4 9 2000
38 4 16 2000
39 4 23 2000
40 4 30 2000
41 5 7 2000
42 5 14 2000
43 5 21 2000
44 5 28 2000
45 6 4 2000
46 6 11 2000
47 6 18 2000
48 6 25 2000
49 7 2 2000
50 7 9 2000
51 7 16 2000
52 7 23 2000
52 7 30 2000
1 8 6 2000
2 8 13 2000
3 8 20 2000
4 8 27 2000
5 9 3 2000
6 9 10 2000
7 9 17 2000
8 9 24 2000
9 10 1 2000
10 10 8 2000
11 10 15 2000
12 10 22 2000
13 10 29 2000
14 11 5 2000
15 11 12 2000
16 11 19 2000
17 11 26 2000
18 12 3 2000
19 12 10 2000
20 12 17 2000
21 12 24 2000
22 12 31 2000
23 1 7 2001
24 1 14 2001
25 1 21 2001
26 1 28 2001
27 2 4 2001
28 2 11 2001
29 2 18 2001
30 2 25 2001
31 3 4 2001
32 3 11 2001
33 3 18 2001
34 3 25 2001
35 4 1 2001
36 4 8 2001
37 4 15 2001
38 4 22 2001
39 4 29 2001
40 5 6 2001
41 5 13 2001
42 5 20 2001
43 5 27 2001
44 6 3 2001
45 6 10 2001
46 6 17 2001
47 6 24 2001
48 7 1 2001
49 7 8 2001
50 7 15 2001
51 7 22 2001
52 7 29 2001
1 8 5 2001
2 8 12 2001
3 8 19 2001
