Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 2006 2007 1540000 1540000 384800 0 1540000 1540000 1540000 0
2 8 13 2006 2007 1540000 1540000 384800 0 1540000 1540000 1540000 0
3 8 20 2006 2007 1540000 1540000 384800 0 1540000 1540000 1540000 0
4 8 27 2006 2007 1540000 1540000 384800 0 1540000 1540000 1540000 0
5 9 3 2006 2007 1540000 1540000 384800 0 1540000 1540000 1540000 -57874
6 9 10 2006 2007 1540000 1482126 384800 0 1540000 1540000 1482126 -57875
7 9 17 2006 2007 1540000 1424251 384800 0 1540000 1540000 1424251 -57874
8 9 24 2006 2007 1540000 1366377 384800 0 1540000 1540000 1366377 -57875
9 10 1 2006 2007 1540000 1308502 384800 0 1540000 1540000 1308502 -109210
10 10 8 2006 2007 1493700 1199292 384800 0 1540000 1540000 1199292 -109210
11 10 15 2006 2007 1447400 1090082 384800 0 1540000 1540000 1090082 -109209
12 10 22 2006 2007 1401100 980873 384800 0 1540000 1540000 980873 -109210
13 10 29 2006 2007 1354800 871663 384800 0 1540000 1540000 871663 -109210
14 11 5 2006 2007 1308500 762453 384800 0 1540000 1540000 762453 -65851
15 11 12 2006 2007 1185067 696602 384800 0 1540000 1540000 696602 -65851
16 11 19 2006 2007 1061633 630751 384800 0 1540000 1540000 630751 -65852
17 11 26 2006 2007 938200 564899 384800 0 1540000 1540000 564899 -65851
18 12 3 2006 2007 938200 499048 384800 0 1540000 1540000 499048 0
19 12 10 2006 2007 938200 499048 384800 0 1540000 1540000 499048 0
20 12 17 2006 2007 938200 499048 384800 0 1540000 1540000 499048 0
21 12 24 2006 2007 938200 499048 384800 0 1540000 1540000 499048 0
22 12 31 2006 2007 938200 499048 384800 0 1540000 1540000 499048 0
23 1 7 2007 2007 1012260 499048 384800 0 1540000 1540000 499048 0
24 1 14 2007 2007 1086320 499048 384800 0 1540000 1540000 499048 0
25 1 21 2007 2007 1160380 499048 384800 0 1540000 1540000 499048 0
26 1 28 2007 2007 1234440 499048 384800 0 1540000 1540000 499048 0
27 2 4 2007 2007 1308500 499048 384800 0 1540000 1540000 499048 0
28 2 11 2007 2007 1308500 499048 384800 0 1540000 1540000 499048 0
29 2 18 2007 2007 1308500 499048 384800 0 1540000 1540000 499048 0
30 2 25 2007 2007 1308500 499048 384800 0 1540000 1540000 499048 0
31 3 4 2007 2007 1308500 499048 384800 0 1540000 1540000 499048 0
32 3 11 2007 2007 1215925 499048 384800 0 1540000 1540000 499048 0
33 3 18 2007 2007 1123350 499048 384800 0 1540000 1540000 499048 0
34 3 25 2007 2007 1030775 499048 384800 0 1540000 1540000 499048 0
35 4 1 2007 2007 938200 499048 384800 0 1540000 1540000 499048 0
36 4 8 2007 2007 938200 499048 384800 0 1540000 1540000 499048 0
37 4 15 2007 2007 938200 499048 384800 0 1540000 1540000 499048 131703
38 4 22 2007 2007 938200 630751 384800 0 1540000 1540000 630751 131702
39 4 29 2007 2007 938200 762453 384800 0 1540000 1540000 762453 35147
40 5 6 2007 2007 1058560 797600 384800 0 1540000 1540000 797600 35147
41 5 13 2007 2007 1178920 832747 384800 0 1540000 1540000 832747 35147
42 5 20 2007 2007 1299280 867894 384800 0 1540000 1540000 867894 35147
