Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 2006 2007 7327300 7116541 227300 0 7327300 7327300 7116541 105380
2 8 13 2006 2007 7327300 7221921 227300 0 7327300 7327300 7221921 105379
3 8 20 2006 2007 7327300 7327300 227300 0 7327300 7327300 7327300 -5738
4 8 27 2006 2007 7327300 7321562 227300 0 7327300 7327300 7321562 -5739
5 9 3 2006 2007 7327300 7315823 227300 0 7327300 7327300 7315823 -75917
6 9 10 2006 2007 7327300 7239906 227300 0 7327300 7327300 7239906 -75917
7 9 17 2006 2007 7327300 7163989 227300 0 7327300 7327300 7163989 -75918
8 9 24 2006 2007 7327300 7088071 227300 0 7327300 7327300 7088071 -75917
9 10 1 2006 2007 7327300 7012154 227300 0 7327300 7327300 7012154 -74658
10 10 8 2006 2007 7277300 6937496 227300 0 7327300 7327300 6937496 -74658
11 10 15 2006 2007 7227300 6862838 227300 0 7327300 7327300 6862838 -74657
12 10 22 2006 2007 7177300 6788181 227300 0 7327300 7327300 6788181 -74658
13 10 29 2006 2007 7127300 6713523 227300 0 7327300 7327300 6713523 -74658
14 11 5 2006 2007 7077300 6638865 227300 0 7327300 7327300 6638865 -118066
15 11 12 2006 2007 7077300 6520799 227300 0 7327300 7327300 6520799 -118066
16 11 19 2006 2007 7077300 6402733 227300 0 7327300 7327300 6402733 -118066
17 11 26 2006 2007 7077300 6284667 227300 0 7327300 7327300 6284667 -118066
18 12 3 2006 2007 7077300 6166601 227300 0 7327300 7327300 6166601 -211785
19 12 10 2006 2007 6964800 5954816 594639 0 7327300 7327300 5954816 -211785
20 12 17 2006 2007 6852300 5743031 961977 0 7327300 7327300 5743031 -211785
21 12 24 2006 2007 6739800 5531246 1329316 0 7327300 7327300 5531246 -211785
22 12 31 2006 2007 6627300 5319461 1696654 0 7327300 7327300 5319461 -4008035.33902722
23 1 7 2007 2007 6404223 4916142 1998419 1249183 7327300 1311425.66097278 1311425.66097278 -3033.75432138727
24 1 14 2007 2007 6181146 4512824 2300184 1249183 7327300 1308391.90665139 1308391.90665139 -8067.20941492193
25 1 21 2007 2007 5958069 4109505 2601949 1249183 7327300 1300324.69723647 1300324.69723647 -16969.9816363424
26 1 28 2007 2007 5734992 3706187 2903714 1249183 7327300 1283354.71560013 1283354.71560013 150726.441406178
27 2 4 2007 2007 5511915 3302868 3205479 1249183 7327300 1434081.15700631 1434081.15700631 309019.855758399
28 2 11 2007 2007 5288838 2993348 3246041 1082274 7327300 1743101.0127647 1743101.0127647 85927.6998098628
29 2 18 2007 2007 5065762 2683827 3286603 915366 7327300 1829028.71257457 1829028.71257457 8183.69202391244
30 2 25 2007 2007 4842685 2374307 3327165 748457 7327300 1837212.40459848 1837212.40459848 28597.3920417191
31 3 4 2007 2007 4619608 2064786 3367727 581548 7327300 1865809.7966402 1865809.7966402 -47995.444414618
32 3 11 2007 2007 4396531 2002555 3394851 523135 7327300 1817814.35222558 1817814.35222558 -43033.838665016
33 3 18 2007 2007 4173454 1940324 3421975 464722 7327300 1774780.51356056 1774780.51356056 9183.52479873504
34 3 25 2007 2007 3950377 1878092 3449099 406308 7327300 1783964.0383593 1783964.0383593 -26250.0125285799
35 4 1 2007 2007 3727300 1815861 3476223 347895 7327300 1757714.02583072 1757714.02583072 33158.7177820411
36 4 8 2007 2007 7327300 1526572 3556256 288589 7327300 1790872.74361276 1790872.74361276 127129.879070876
37 4 15 2007 2007 7327300 1237283 3636289 229283 7327300 1918002.62268364 1918002.62268364 74377.2496572309
38 4 22 2007 2007 7327300 1151101 3618686 228292 7327300 1992379.87234087 1992379.87234087 251989.774600748
39 4 29 2007 2007 7327300 1064919 3601082 227300 7327300 2244369.64694162 2244369.64694162 345174.99514405
40 5 6 2007 2007 7327300 1393540 4017889 0 7327300 2589544.64208567 2589544.64208567 648371.538237561
41 5 13 2007 2007 7327300 1722161 4434695 0 7327300 3237916.18032323 3237916.18032323 1147740.30691743
42 5 20 2007 2007 7327300 2050783 4851501 0 7327300 4385656.48724066 4385656.48724066 882650.512759339
43 5 27 2007 2007 7327300 2379404 5268307 0 7327300 5523817.89195614 5268307 416807
44 6 3 2007 2007 7327300 2708025 5685114 0 7327300 6424022.36562192 5685114 374652
45 6 10 2007 2007 7327300 3484653 6059766 0 7327300 6303147.5114196 6059766 -14908.9016153179
46 6 17 2007 2007 7327300 4261280 6434419 0 7327300 6044857.09838468 6044857.09838468 -313148.106339316
47 6 24 2007 2007 7327300 5037908 6809071 0 7327300 5731708.99204537 5731708.99204537 156469.981794893
48 7 1 2007 2007 7327300 5814535 7183724 0 7327300 5888178.97384026 5888178.97384026 1166240.31254102
49 7 8 2007 2007 7327300 6113692 7219618 0 7327300 7054419.28638128 7054419.28638128 197910.378280461
50 7 15 2007 2007 7327300 6412849 7255512 0 7327300 7252329.66466174 7252329.66466174 39076.3353382563
51 7 22 2007 2007 7327300 6712005 7291406 0 7327300 7327300 7291406 35894
52 7 29 2007 2007 7327300 7011162 7327300 0 7327300 7327300 7327300 -210759
1 8 5 2007 2008 7327300 7116541 227300 0 7327300 7327300 7116541 105380
2 8 12 2007 2008 7327300 7221921 227300 0 7327300 7327300 7221921 105379
3 8 19 2007 2008 7327300 7327300 227300 0 7327300 7327300 7327300 -5738
4 8 26 2007 2008 7327300 7321562 227300 0 7327300 7327300 7321562 -5739
5 9 2 2007 2008 7327300 7315823 227300 0 7327300 7327300 7315823 -75917
6 9 9 2007 2008 7327300 7239906 227300 0 7327300 7327300 7239906 -75917
7 9 16 2007 2008 7327300 7163989 227300 0 7327300 7327300 7163989 -75918
8 9 23 2007 2008 7327300 7088071 227300 0 7327300 7327300 7088071 -75917
9 9 30 2007 2008 7327300 7012154 227300 0 7327300 7327300 7012154 -74658
10 10 7 2007 2008 7277300 6937496 227300 0 7327300 7327300 6937496 -74658
11 10 14 2007 2008 7227300 6862838 227300 0 7327300 7327300 6862838 -74657
12 10 21 2007 2008 7177300 6788181 227300 0 7327300 7327300 6788181 -74658
13 10 28 2007 2008 7127300 6713523 227300 0 7327300 7327300 6713523 -74658
14 11 4 2007 2008 7077300 6638865 227300 0 7327300 7327300 6638865 -118066
15 11 11 2007 2008 7077300 6520799 227300 0 7327300 7327300 6520799 -118066
16 11 18 2007 2008 7077300 6402733 227300 0 7327300 7327300 6402733 -118066
17 11 25 2007 2008 7077300 6284667 227300 0 7327300 7327300 6284667 -118066
18 12 2 2007 2008 7077300 6166601 227300 0 7327300 7327300 6166601 -211785
19 12 9 2007 2008 6964800 5954816 594639 0 7327300 7327300 5954816 -211785
20 12 16 2007 2008 6852300 5743031 961977 0 7327300 7327300 5743031 -211785
21 12 23 2007 2008 6739800 5531246 1329316 0 7327300 7327300 5531246 -211785
22 12 30 2007 2008 6627300 5319461 1696654 0 7327300 7327300 5319461 -4070278
23 1 6 2008 2008 6404223 4916142 1998419 1249183 7327300 538741.89972916 1249183 0
24 1 13 2008 2008 6181146 4512824 2300184 1249183 7327300 590673.681661261 1249183 0
25 1 20 2008 2008 5958069 4109505 2601949 1249183 7327300 616692.024119145 1249183 0
26 1 27 2008 2008 5734992 3706187 2903714 1249183 7327300 631703.673865481 1249183 0
27 2 3 2008 2008 5511915 3302868 3205479 1249183 7327300 645731.816202359 1249183 -166909
28 2 10 2008 2008 5288838 2993348 3246041 1082274 7327300 847935.311454446 1082274 -166908
29 2 17 2008 2008 5065762 2683827 3286603 915366 7327300 905463.337410762 915366 43319.6916244153
30 2 24 2008 2008 4842685 2374307 3327165 748457 7327300 958685.691624415 958685.691624415 55155.3968287653
31 3 2 2008 2008 4619608 2064786 3367727 581548 7327300 1013841.08845318 1013841.08845318 -24404.3569907409
32 3 9 2008 2008 4396531 2002555 3394851 523135 7327300 989436.73146244 989436.73146244 -3462.49076898233
33 3 16 2008 2008 4173454 1940324 3421975 464722 7327300 985974.240693457 985974.240693457 104823.453610159
34 3 23 2008 2008 3950377 1878092 3449099 406308 7327300 1090797.69430362 1090797.69430362 59278.6932567651
35 3 30 2008 2008 3727300 1815861 3476223 347895 7327300 1150076.38756038 1150076.38756038 108599.681268407
36 4 6 2008 2008 7327300 1526572 3556256 288589 7327300 1258676.06882879 1258676.06882879 328346.829596869
37 4 13 2008 2008 7327300 1237283 3636289 229283 7327300 1587022.89842566 1587022.89842566 423854.259353145
38 4 20 2008 2008 7327300 1151101 3618686 228292 7327300 2010877.1577788 2010877.1577788 489978.031166523
39 4 27 2008 2008 7327300 1064919 3601082 227300 7327300 2500855.18894533 2500855.18894533 491290.142440046
40 5 4 2008 2008 7327300 1393540 4017889 0 7327300 2992145.33138537 2992145.33138537 354928.472224303
41 5 11 2008 2008 7327300 1722161 4434695 0 7327300 3347073.80360967 3347073.80360967 380099.863111583
42 5 18 2008 2008 7327300 2050783 4851501 0 7327300 3727173.66672126 3727173.66672126 536833.875101578
43 5 25 2008 2008 7327300 2379404 5268307 0 7327300 4264007.54182284 4264007.54182284 429739.193212032
44 6 1 2008 2008 7327300 2708025 5685114 0 7327300 4693746.73503487 4693746.73503487 617745.256515386
45 6 8 2008 2008 7327300 3484653 6059766 0 7327300 5311491.99155025 5311491.99155025 454439.758588731
46 6 15 2008 2008 7327300 4261280 6434419 0 7327300 5765931.75013898 5765931.75013898 448540.875491896
47 6 22 2008 2008 7327300 5037908 6809071 0 7327300 6214472.62563088 6214472.62563088 335373.139823491
48 6 29 2008 2008 7327300 5814535 7183724 0 7327300 6549845.76545437 6549845.76545437 137994.681144253
49 7 6 2008 2008 7327300 6113692 7219618 0 7327300 6687840.44659862 6687840.44659862 226054.239627935
50 7 13 2008 2008 7327300 6412849 7255512 0 7327300 6913894.68622656 6913894.68622656 305754.251951214
51 7 20 2008 2008 7327300 6712005 7291406 0 7327300 7219648.93817777 7219648.93817777 107651.061822226
52 7 27 2008 2008 7327300 7011162 7327300 0 7327300 7327300 7327300 -210759
1 8 3 2008 2009 7327300 7116541 227300 0 7327300 7327300 7116541 105380
2 8 10 2008 2009 7327300 7221921 227300 0 7327300 7327300 7221921 105379
3 8 17 2008 2009 7327300 7327300 227300 0 7327300 7327300 7327300 -5738
4 8 24 2008 2009 7327300 7321562 227300 0 7327300 7327300 7321562 -5739
5 8 31 2008 2009 7327300 7315823 227300 0 7327300 7327300 7315823 -75917
6 9 7 2008 2009 7327300 7239906 227300 0 7327300 7327300 7239906 -75917
7 9 14 2008 2009 7327300 7163989 227300 0 7327300 7327300 7163989 -75918
8 9 21 2008 2009 7327300 7088071 227300 0 7327300 7327300 7088071 -75917
9 9 28 2008 2009 7327300 7012154 227300 0 7327300 7327300 7012154 -74658
10 10 5 2008 2009 7277300 6937496 227300 0 7327300 7327300 6937496 -74658
11 10 12 2008 2009 7227300 6862838 227300 0 7327300 7327300 6862838 -74657
12 10 19 2008 2009 7177300 6788181 227300 0 7327300 7327300 6788181 -74658
13 10 26 2008 2009 7127300 6713523 227300 0 7327300 7327300 6713523 -74658
14 11 2 2008 2009 7077300 6638865 227300 0 7327300 7327300 6638865 -118066
15 11 9 2008 2009 7077300 6520799 227300 0 7327300 7327300 6520799 -118066
16 11 16 2008 2009 7077300 6402733 227300 0 7327300 7327300 6402733 -118066
17 11 23 2008 2009 7077300 6284667 227300 0 7327300 7327300 6284667 -118066
18 11 30 2008 2009 7077300 6166601 227300 0 7327300 7327300 6166601 -211785
19 12 7 2008 2009 6889800 5954816 594639 0 7327300 7327300 5954816 -211785
20 12 14 2008 2009 6702300 5743031 961977 0 7327300 7327300 5743031 -211785
21 12 21 2008 2009 6514800 5531246 1329316 0 7327300 7327300 5531246 -211785
22 12 28 2008 2009 6327300 5319461 1696654 0 7327300 7327300 5319461 -4070278
23 1 4 2009 2009 6047300 4916142 1998419 1249183 7327300 386311.457838134 1249183 0
24 1 11 2009 2009 5767300 4512824 2300184 1249183 7327300 352901.864586799 1249183 0
25 1 18 2009 2009 5487300 4109505 2601949 1249183 7327300 311846.882451732 1249183 0
26 1 25 2009 2009 5207300 3706187 2903714 1249183 7327300 276383.584299216 1249183 0
27 2 1 2009 2009 4927300 3302868 3205479 1249183 7327300 227300 1249183 -166909
28 2 8 2009 2009 4177300 2993348 3246041 1082274 7327300 227300 1082274 -166908
29 2 15 2009 2009 3427300 2683827 3286603 915366 7327300 227300 915366 -166909
30 2 22 2009 2009 2677300 2374307 3327165 748457 7327300 227300 748457 -166909
31 3 1 2009 2009 1927300 2064786 3367727 581548 7327300 248670.315321994 581548 -58413
32 3 8 2009 2009 1502300 2002555 3394851 523135 7327300 227300 523135 -58413
33 3 15 2009 2009 1077300 1940324 3421975 464722 7327300 227300 464722 -58414
34 3 22 2009 2009 652300 1878092 3449099 406308 7327300 227300 406308 -179008
35 3 29 2009 2009 227300 1815861 3476223 347895 7327300 227300 227300 61289
36 4 5 2009 2009 7327300 1526572 3556256 288589 7327300 227300 288589 -59306
37 4 12 2009 2009 7327300 1237283 3636289 229283 7327300 227300 229283 -991
38 4 19 2009 2009 7327300 1151101 3618686 228292 7327300 227300 228292 -992
39 4 26 2009 2009 7327300 1064919 3601082 227300 7327300 227300 227300 0
40 5 3 2009 2009 7327300 1393540 4017889 0 7327300 227300 227300 0
41 5 10 2009 2009 7327300 1722161 4434695 0 7327300 227300 227300 702571.290259273
42 5 17 2009 2009 7327300 2050783 4851501 0 7327300 929871.290259273 929871.290259273 708740.477862132
43 5 24 2009 2009 7327300 2379404 5268307 0 7327300 1638611.76812141 1638611.76812141 716714.284396097
44 5 31 2009 2009 7327300 2708025 5685114 0 7327300 2355326.0525175 2355326.0525175 1048952.46528281
45 6 7 2009 2009 7327300 3484653 6059766 0 7327300 3404278.51780031 3404278.51780031 1227852.83454238
46 6 14 2009 2009 7327300 4261280 6434419 0 7327300 4632131.35234269 4632131.35234269 999856.655529416
47 6 21 2009 2009 7327300 5037908 6809071 0 7327300 5631988.00787211 5631988.00787211 737774.298439456
48 6 28 2009 2009 7327300 5814535 7183724 0 7327300 6369762.30631156 6369762.30631156 384450.74312376
49 7 5 2009 2009 7327300 6113692 7219618 0 7327300 6754213.04943532 6754213.04943532 279418.9574714
50 7 12 2009 2009 7327300 6412849 7255512 0 7327300 7033632.00690672 7033632.00690672 257773.993093278
51 7 19 2009 2009 7327300 6712005 7291406 0 7327300 7327300 7291406 35894
52 7 26 2009 2009 7327300 7011162 7327300 0 7327300 7327300 7327300 -210759
1 8 2 2009 2010 7327300 7116541 227300 0 7327300 7327300 7116541 105380
2 8 9 2009 2010 7327300 7221921 227300 0 7327300 7327300 7221921 105379
3 8 16 2009 2010 7327300 7327300 227300 0 7327300 7327300 7327300 -5738
4 8 23 2009 2010 7327300 7321562 227300 0 7327300 7327300 7321562 -5739
5 8 30 2009 2010 7327300 7315823 227300 0 7327300 7327300 7315823 -75917
6 9 6 2009 2010 7327300 7239906 227300 0 7327300 7327300 7239906 -75917
7 9 13 2009 2010 7327300 7163989 227300 0 7327300 7327300 7163989 -75918
8 9 20 2009 2010 7327300 7088071 227300 0 7327300 7327300 7088071 -75917
