Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 2006 2007 1420000 1392402 444700 0 1420000 1420000 1392402 0
2 8 13 2006 2007 1420000 1392402 444700 0 1420000 1420000 1392402 0
3 8 20 2006 2007 1420000 1392402 444700 0 1420000 1420000 1392402 0
4 8 27 2006 2007 1420000 1392402 444700 0 1420000 1420000 1392402 0
5 9 3 2006 2007 1420000 1392402 444700 0 1420000 1420000 1392402 -11008
6 9 10 2006 2007 1420000 1381394 444700 0 1420000 1420000 1381394 -11008
7 9 17 2006 2007 1420000 1370386 444700 0 1420000 1420000 1370386 -11009
8 9 24 2006 2007 1420000 1359377 444700 0 1420000 1420000 1359377 -11008
9 10 1 2006 2007 1420000 1348369 444700 0 1420000 1420000 1348369 2420
10 10 8 2006 2007 1420000 1350789 444700 0 1420000 1420000 1350789 2420
11 10 15 2006 2007 1420000 1353209 444700 0 1420000 1420000 1353209 2419
12 10 22 2006 2007 1420000 1355628 444700 0 1420000 1420000 1355628 2420
13 10 29 2006 2007 1420000 1358048 444700 0 1420000 1420000 1358048 2420
14 11 5 2006 2007 1420000 1360468 444700 0 1420000 1420000 1360468 -4364
15 11 12 2006 2007 1420000 1356104 444700 0 1420000 1420000 1356104 -4363
16 11 19 2006 2007 1420000 1351741 444700 0 1420000 1420000 1351741 -4364
17 11 26 2006 2007 1420000 1347377 444700 0 1420000 1420000 1347377 -4364
18 12 3 2006 2007 1420000 1343013 444700 0 1420000 1420000 1343013 -13834
19 12 10 2006 2007 1420000 1329179 444700 0 1420000 1420000 1329179 -13835
20 12 17 2006 2007 1420000 1315344 444700 0 1420000 1420000 1315344 -13834
21 12 24 2006 2007 1420000 1301510 444700 0 1420000 1420000 1301510 -13835
22 12 31 2006 2007 1420000 1287675 444700 0 1420000 1420000 1287675 -31696
23 1 7 2007 2007 1420000 1255979 444700 0 1420000 1420000 1255979 -31696
24 1 14 2007 2007 1420000 1224283 444700 0 1420000 1420000 1224283 -31696
25 1 21 2007 2007 1420000 1192587 444700 0 1420000 1420000 1192587 -31696
26 1 28 2007 2007 1420000 1160891 444700 0 1420000 1420000 1160891 -31696
27 2 4 2007 2007 1420000 1129195 444700 0 1420000 1420000 1129195 -11504
28 2 11 2007 2007 1320000 1117691 444700 0 1420000 1420000 1117691 -11504
29 2 18 2007 2007 1220000 1106187 444700 0 1420000 1420000 1106187 -11504
30 2 25 2007 2007 1120000 1094683 444700 0 1420000 1420000 1094683 -74683
31 3 4 2007 2007 1020000 1083179 444700 0 1420000 1420000 1020000 -15899.3692364778
32 3 11 2007 2007 1004100.63076352 1057047 466568 0 1420000 1420000 1004100.63076352 -15899.3692364779
33 3 18 2007 2007 988201.261527044 1030915 488436 0 1420000 1420000 988201.261527044 -15899.3692364778
34 3 25 2007 2007 972301.892290567 1004782 510303 0 1420000 1420000 972301.892290567 -15899.3692364779
35 4 1 2007 2007 956402.523054089 978650 532171 0 1420000 1420000 956402.523054089 -25000
36 4 8 2007 2007 931402.523054089 998683 630650 0 1420000 1420000 931402.523054089 -25000
37 4 15 2007 2007 906402.523054089 1018716 729130 0 1420000 1420000 906402.523054089 -6798.73847295565
38 4 22 2007 2007 899603.784581133 1041129 827609 0 1420000 1420000 899603.784581133 -6798.73847295565
39 4 29 2007 2007 892805.046108177 1063542 926088 0 1420000 1420000 892805.046108177 207708.953891823
40 5 6 2007 2007 1420000 1100514 979245 0 1420000 1420000 1100514 36972
41 5 13 2007 2007 1420000 1137486 1032402 0 1420000 1420000 1137486 36972
42 5 20 2007 2007 1420000 1174458 1085559 0 1420000 1420000 1174458 36972
43 5 27 2007 2007 1420000 1211430 1138716 0 1420000 1420000 1211430 36972
44 6 3 2007 2007 1420000 1248402 1191873 0 1420000 1420000 1248402 39471
45 6 10 2007 2007 1420000 1287873 1248930 0 1420000 1420000 1287873 39471
46 6 17 2007 2007 1420000 1327344 1305986 0 1420000 1420000 1327344 39471
47 6 24 2007 2007 1420000 1366815 1363043 0 1420000 1420000 1366815 53185
48 7 1 2007 2007 1420000 1406286 1420000 0 1420000 1420000 1420000 0
49 7 8 2007 2007 1420000 1402815 1420000 0 1420000 1420000 1420000 0
50 7 15 2007 2007 1420000 1399344 1420000 0 1420000 1420000 1420000 0
51 7 22 2007 2007 1420000 1395873 1420000 0 1420000 1420000 1420000 0
52 7 29 2007 2007 1420000 1392402 1420000 0 1420000 1420000 1420000 -27598
1 8 5 2007 2008 1420000 1392402 444700 0 1420000 1420000 1392402 0
2 8 12 2007 2008 1420000 1392402 444700 0 1420000 1420000 1392402 0
3 8 19 2007 2008 1420000 1392402 444700 0 1420000 1420000 1392402 0
4 8 26 2007 2008 1420000 1392402 444700 0 1420000 1420000 1392402 0
5 9 2 2007 2008 1420000 1392402 444700 0 1420000 1420000 1392402 -11008
6 9 9 2007 2008 1420000 1381394 444700 0 1420000 1420000 1381394 -11008
7 9 16 2007 2008 1420000 1370386 444700 0 1420000 1420000 1370386 -11009
8 9 23 2007 2008 1420000 1359377 444700 0 1420000 1420000 1359377 -11008
9 9 30 2007 2008 1420000 1348369 444700 0 1420000 1420000 1348369 2420
10 10 7 2007 2008 1420000 1350789 444700 0 1420000 1420000 1350789 2420
11 10 14 2007 2008 1420000 1353209 444700 0 1420000 1420000 1353209 2419
12 10 21 2007 2008 1420000 1355628 444700 0 1420000 1420000 1355628 2420
13 10 28 2007 2008 1420000 1358048 444700 0 1420000 1420000 1358048 2420
14 11 4 2007 2008 1420000 1360468 444700 0 1420000 1420000 1360468 -4364
15 11 11 2007 2008 1420000 1356104 444700 0 1420000 1420000 1356104 -4363
16 11 18 2007 2008 1420000 1351741 444700 0 1420000 1420000 1351741 -4364
17 11 25 2007 2008 1420000 1347377 444700 0 1420000 1420000 1347377 -4364
18 12 2 2007 2008 1420000 1343013 444700 0 1420000 1420000 1343013 -13834
19 12 9 2007 2008 1420000 1329179 444700 0 1420000 1420000 1329179 -13835
20 12 16 2007 2008 1420000 1315344 444700 0 1420000 1420000 1315344 -13834
21 12 23 2007 2008 1420000 1301510 444700 0 1420000 1420000 1301510 -13835
22 12 30 2007 2008 1420000 1287675 444700 0 1420000 1420000 1287675 -31696
23 1 6 2008 2008 1420000 1255979 444700 0 1420000 1420000 1255979 -31696
24 1 13 2008 2008 1420000 1224283 444700 0 1420000 1420000 1224283 -31696
25 1 20 2008 2008 1420000 1192587 444700 0 1420000 1420000 1192587 -31696
26 1 27 2008 2008 1420000 1160891 444700 0 1420000 1420000 1160891 -31696
27 2 3 2008 2008 1420000 1129195 444700 0 1420000 1420000 1129195 -11504
28 2 10 2008 2008 1388998.18299503 1117691 444700 0 1420000 1420000 1117691 -11504
29 2 17 2008 2008 1357996.36599006 1106187 444700 0 1420000 1420000 1106187 -11504
30 2 24 2008 2008 1326994.54898509 1094683 444700 0 1420000 1420000 1094683 -11504
31 3 2 2008 2008 1295992.73198013 1083179 444700 0 1420000 1420000 1083179 -26132
32 3 9 2008 2008 1306326.67098178 1057047 466568 0 1420000 1420000 1057047 -26132
33 3 16 2008 2008 1316660.60998344 1030915 488436 0 1420000 1420000 1030915 -26133
34 3 23 2008 2008 1326994.54898509 1004782 510303 0 1420000 1420000 1004782 -26132
35 3 30 2008 2008 1337328.48798675 978650 532171 0 1420000 1420000 978650 20033
36 4 6 2008 2008 1357996.36599006 998683 630650 0 1420000 1420000 998683 20033
37 4 13 2008 2008 1378664.24399338 1018716 729130 0 1420000 1420000 1018716 22413
38 4 20 2008 2008 1399332.12199669 1041129 827609 0 1420000 1420000 1041129 22413
39 4 27 2008 2008 1420000 1063542 926088 0 1420000 1420000 1063542 36972
40 5 4 2008 2008 1420000 1100514 979245 0 1420000 1420000 1100514 36972
41 5 11 2008 2008 1420000 1137486 1032402 0 1420000 1420000 1137486 36972
