Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 2006 2007 3071500 3071500 1983116 0 2979346 3071500 2979346 -18431
2 8 13 2006 2007 3071500 3071500 1983116 0 2960915 3071500 2960915 -18430
3 8 20 2006 2007 3071500 3071500 1983116 0 2942485 3071500 2942485 -18431
4 8 27 2006 2007 3071500 3049052 1985695 0 2924054 3071500 2924054 -18431
5 9 3 2006 2007 3071500 3026603 1988273 0 2905623 3071500 2905623 -18431
6 9 10 2006 2007 3071500 2951509 1989562 0 2887192 3071500 2887192 -18430
7 9 17 2006 2007 3071500 2876415 1990852 0 2868762 3071500 2868762 -67441
8 9 24 2006 2007 3071500 2801321 1992141 0 2850331 3071500 2801321 -75094
9 10 1 2006 2007 3071500 2726227 1993430 0 2831900 3071500 2726227 8781
10 10 8 2006 2007 3051500 2735008 1999856 0 3071500 3071500 2735008 8781
11 10 15 2006 2007 3031500 2743789 2006283 0 3071500 3071500 2743789 8781
12 10 22 2006 2007 3011500 2752570 2012709 0 3071500 3071500 2752570 8780
13 10 29 2006 2007 2991500 2761350 2019136 0 3071500 3071500 2761350 8781
14 11 5 2006 2007 2971500 2770131 2025562 0 3071500 3071500 2770131 -58175
15 11 12 2006 2007 2971500 2711956 2034537 0 3071500 3071500 2711956 -58175
16 11 19 2006 2007 2971500 2653781 2043513 0 3071500 3071500 2653781 -58176
17 11 26 2006 2007 2971500 2595605 2052488 0 3071500 3071500 2595605 -58175
18 12 3 2006 2007 2971500 2537430 2061463 0 3071500 3071500 2537430 -113840
19 12 10 2006 2007 2934000 2423590 2066967 0 3071500 3071500 2423590 -113839
20 12 17 2006 2007 2896500 2309751 2072471 0 3071500 3071500 2309751 -113840
21 12 24 2006 2007 2859000 2195911 2077975 0 3071500 3071500 2195911 -112431
22 12 31 2006 2007 2821500 2082072 2083480 0 3071500 3071500 2083480 -171098.492794045
23 1 7 2007 2007 2787617.85268588 1994852 2087089 227504 3071500 1912381.50720595 1912381.50720595 -33807.9894636369
24 1 14 2007 2007 2753735.70537175 1907632 2090699 227504 3071500 1878573.51774232 1878573.51774232 -34053.5379804131
25 1 21 2007 2007 2719853.55805763 1820412 2094309 227504 3071500 1844519.97976191 1844519.97976191 -34136.7860914299
26 1 28 2007 2007 2685971.4107435 1733192 2097919 227504 3071500 1810383.19367048 1810383.19367048 -34246.785982908
27 2 4 2007 2007 2652089.26342938 1645972 2101529 227504 3071500 1776136.40768757 1776136.40768757 -29115.8181134951
28 2 11 2007 2007 2613841.59682412 1629575 2106438 180397 3071500 1747020.58957407 1747020.58957407 -29267.3468667392
29 2 18 2007 2007 2575593.93021885 1613178 2111347 133289 3071500 1717753.24270733 1717753.24270733 -29433.3802300431
30 2 25 2007 2007 2537346.26361359 1596781 2116256 86182 3071500 1688319.86247729 1688319.86247729 -28196.5519885761
31 3 4 2007 2007 2499098.59700833 1580384 2121165 39074 3071500 1660123.31048871 1660123.31048871 -6989.46341552492
32 3 11 2007 2007 2456745.91286568 1581704 2133463 33471 3071500 1653133.84707319 1653133.84707319 20461.0685122937
33 3 18 2007 2007 2414393.22872302 1583023 2145760 27868 3071500 1673594.91558548 1673594.91558548 31963.1048283142
34 3 25 2007 2007 2372040.54458037 1584343 2158058 22264 3071500 1705558.0204138 1705558.0204138 -74.7293180210982
35 4 1 2007 2007 2329687.86043771 1585663 2170356 16661 3071500 1705483.29109578 1705483.29109578 2459.14683618792
36 4 8 2007 2007 2288750.53719592 1590310 2202389 9422 3071500 1707942.43793196 1707942.43793196 30881.756895809
37 4 15 2007 2007 2247813.21395414 1594957 2234422 2182 3071500 1738824.19482777 1738824.19482777 24296.1592928113
