Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 2006 2007 9107400 9107400 3921900 0 9107400 9107400 9107400 0
2 8 13 2006 2007 9107400 9107400 3921900 0 9107400 9107400 9107400 0
3 8 20 2006 2007 9107400 9107400 3921900 0 9107400 9107400 9107400 -30702
4 8 27 2006 2007 9107400 9076698 3921900 0 9107400 9107400 9076698 -30703
5 9 3 2006 2007 9107400 9045995 3921900 0 9107400 9107400 9045995 -25537
6 9 10 2006 2007 9107400 9020458 3921900 0 9107400 9107400 9020458 -25537
7 9 17 2006 2007 9107400 8994921 3921900 0 9107400 9107400 8994921 -25538
8 9 24 2006 2007 9107400 8969383 3921900 0 9107400 9107400 8969383 -25537
9 10 1 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
10 10 8 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
11 10 15 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
12 10 22 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
13 10 29 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
14 11 5 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
15 11 12 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
16 11 19 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
17 11 26 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 0
18 12 3 2006 2007 9107400 8943846 3921900 0 9107400 9107400 8943846 -20430
19 12 10 2006 2007 9107400 8923416 3921900 0 9107400 9107400 8923416 -20429
20 12 17 2006 2007 9107400 8902987 3921900 0 9107400 9107400 8902987 -20430
21 12 24 2006 2007 9107400 8882557 3921900 0 9107400 9107400 8882557 -20430
22 12 31 2006 2007 9107400 8862127 3921900 0 9107400 9107400 8862127 -1411833
23 1 7 2007 2007 9107400 8862127 4488260 7450294 9107400 5602339.8740435 7450294 0
24 1 14 2007 2007 9107400 8862127 5054620 7450294 9107400 5169798.17398477 7450294 0
25 1 21 2007 2007 9107400 8862127 5620980 7450294 9107400 4753782.10858201 7450294 0
26 1 28 2007 2007 9107400 8862127 6187339 7450294 9107400 4323286.45311969 7450294 0
27 2 4 2007 2007 9107400 8862127 6753699 7450294 9107400 3921900 7450294 -359206
28 2 11 2007 2007 9107400 8862127 6956311 7091088 9107400 3921900 7091088 -359206
29 2 18 2007 2007 9107400 8862127 7158922 6731882 9107400 3921900 6731882 -359207
30 2 25 2007 2007 9107400 8862127 7361534 6372675 9107400 3921900 6372675 -359206
31 3 4 2007 2007 9107400 8862127 7564145 6013469 9107400 3921900 6013469 -315272
32 3 11 2007 2007 8898743.11852024 8757288 7800574 5698197 9107400 3921900 5698197 -315273
33 3 18 2007 2007 8690186.23704049 8652450 8037004 5382924 9107400 3921900 5382924 -315272
34 3 25 2007 2007 8481629.35556074 8547611 8273434 5067652 9107400 3921900 5067652 -315273
35 4 1 2007 2007 8273072.47408098 8442772 8509863 4752379 9107400 3921900 4752379 0
36 4 8 2007 2007 7695360.77433257 8336161 8529202 4752379 9107400 3921900 4752379 0
37 4 15 2007 2007 7117649.07458415 8229549 8548541 4752379 9107400 3921900 4752379 0
38 4 22 2007 2007 6539937.37483573 7596513 8540508 4752379 9107400 4035968.51890159 4752379 0
39 4 29 2007 2007 5962225.67508731 6963476 8532475 4752379 9107400 3932469.98230182 4752379 168595
40 5 6 2007 2007 5962225.67508731 7048562 8632243 4920974 9107400 3921900 4920974 168595
41 5 13 2007 2007 5962225.67508731 7133648 8732012 5089569 9107400 3921900 5089569 168594
42 5 20 2007 2007 9107400 7218733 8831780 5258163 9107400 4642883.00751838 5258163 1836121.42803028
43 5 27 2007 2007 9107400 7303819 8931549 5426758 9107400 7094284.42803028 7094284.42803028 1937032.57196972
44 6 3 2007 2007 9107400 7388905 9031317 5595353 9107400 9107400 9031317 19021
45 6 10 2007 2007 9107400 7818529 9050338 6372675 9107400 9107400 9050338 19021
46 6 17 2007 2007 9107400 8248153 9069359 7149997 9107400 9107400 9069359 19020
47 6 24 2007 2007 9107400 8677776 9088379 7927318 9107400 9107400 9088379 19021
48 7 1 2007 2007 9107400 9107400 9107400 8704640 9107400 9107400 9107400 0
49 7 8 2007 2007 9107400 9107400 9107400 8805330 9107400 9107400 9107400 0
50 7 15 2007 2007 9107400 9107400 9107400 8906020 9107400 9107400 9107400 0
51 7 22 2007 2007 9107400 9107400 9107400 9006710 9107400 9107400 9107400 0
52 7 29 2007 2007 9107400 9107400 9107400 9107400 9107400 9107400 9107400 0
1 8 5 2007 2008 9107400 9107400 3921900 0 9107400 9107400 9107400 0
2 8 12 2007 2008 9107400 9107400 3921900 0 9107400 9107400 9107400 0
3 8 19 2007 2008 9107400 9107400 3921900 0 9107400 9107400 9107400 -30702
4 8 26 2007 2008 9107400 9076698 3921900 0 9107400 9107400 9076698 -30703
5 9 2 2007 2008 9107400 9045995 3921900 0 9107400 9107400 9045995 -25537
6 9 9 2007 2008 9107400 9020458 3921900 0 9107400 9107400 9020458 -25537
7 9 16 2007 2008 9107400 8994921 3921900 0 9107400 9107400 8994921 -25538
8 9 23 2007 2008 9107400 8969383 3921900 0 9107400 9107400 8969383 -25537
9 9 30 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
10 10 7 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
11 10 14 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
12 10 21 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
13 10 28 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
14 11 4 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
15 11 11 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
16 11 18 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
17 11 25 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 0
18 12 2 2007 2008 9107400 8943846 3921900 0 9107400 9107400 8943846 -20430
19 12 9 2007 2008 9107400 8923416 3921900 0 9107400 9107400 8923416 -20429
20 12 16 2007 2008 9107400 8902987 3921900 0 9107400 9107400 8902987 -20430
21 12 23 2007 2008 9107400 8882557 3921900 0 9107400 9107400 8882557 -20430
22 12 30 2007 2008 9107400 8862127 3921900 0 9107400 9107400 8862127 -1411833
23 1 6 2008 2008 9107400 8862127 4488260 7450294 9107400 5459262.32699811 7450294 0
24 1 13 2008 2008 9107400 8862127 5054620 7450294 9107400 5113876.13325077 7450294 0
25 1 20 2008 2008 9107400 8862127 5620980 7450294 9107400 4735516.6242442 7450294 0
26 1 27 2008 2008 9107400 8862127 6187339 7450294 9107400 4303159.27543839 7450294 0
27 2 3 2008 2008 9107400 8862127 6753699 7450294 9107400 3921900 7450294 -359206
28 2 10 2008 2008 9107400 8862127 6956311 7091088 9107400 3921900 7091088 -359206
29 2 17 2008 2008 9107400 8862127 7158922 6731882 9107400 3921900 6731882 -359207
30 2 24 2008 2008 9107400 8862127 7361534 6372675 9107400 3921900 6372675 -359206
31 3 2 2008 2008 9107400 8862127 7564145 6013469 9107400 3921900 6013469 -315272
32 3 9 2008 2008 8973050 8757288 7800574 5698197 9107400 3921900 5698197 -315273
33 3 16 2008 2008 8838800 8652450 8037004 5382924 9107400 3921900 5382924 -315272
34 3 23 2008 2008 8704550 8547611 8273434 5067652 9107400 3921900 5067652 -315273
35 3 30 2008 2008 8570300 8442772 8509863 4752379 9107400 3921900 4752379 0
36 4 6 2008 2008 8425900.7501996 8336161 8529202 4752379 9107400 3921900 4752379 0
37 4 13 2008 2008 8281501.5003992 8229549 8548541 4752379 9107400 4076690.65849752 4752379 107785.283753573
38 4 20 2008 2008 8137102.2505988 7596513 8540508 4752379 9107400 4860164.28375357 4860164.28375357 399778.39174395
39 4 27 2008 2008 7992703.0007984 6963476 8532475 4752379 9107400 5259942.67549752 5259942.67549752 -338968.675497523
40 5 4 2008 2008 7992703.0007984 7048562 8632243 4920974 9107400 3921900 4920974 168595
41 5 11 2008 2008 7992703.0007984 7133648 8732012 5089569 9107400 4271854.64401984 5089569 168594
42 5 18 2008 2008 9107400 7218733 8831780 5258163 9107400 5016907.9997276 5258163 558939.399224088
43 5 25 2008 2008 9107400 7303819 8931549 5426758 9107400 5817102.39922409 5817102.39922409 338458.039495902
44 6 1 2008 2008 9107400 7388905 9031317 5595353 9107400 6155560.43871999 6155560.43871999 217114.56128001
45 6 8 2008 2008 9107400 7818529 9050338 6372675 9107400 5970348.21960311 6372675 2035721.73215482
46 6 15 2008 2008 9107400 8248153 9069359 7149997 9107400 8408396.73215482 8408396.73215482 636044.714344602
47 6 22 2008 2008 9107400 8677776 9088379 7927318 9107400 9044441.44649942 9044441.44649942 62958.5535005759
48 6 29 2008 2008 9107400 9107400 9107400 8704640 9107400 9107400 9107400 0
49 7 6 2008 2008 9107400 9107400 9107400 8805330 9107400 9107400 9107400 0
50 7 13 2008 2008 9107400 9107400 9107400 8906020 9107400 9107400 9107400 0
51 7 20 2008 2008 9107400 9107400 9107400 9006710 9107400 9107400 9107400 0
52 7 27 2008 2008 9107400 9107400 9107400 9107400 9107400 9107400 9107400 0
1 8 3 2008 2009 9107400 9107400 3921900 0 9107400 9107400 9107400 0
2 8 10 2008 2009 9107400 9107400 3921900 0 9107400 9107400 9107400 0
3 8 17 2008 2009 9107400 9107400 3921900 0 9107400 9107400 9107400 -30702
4 8 24 2008 2009 9107400 9076698 3921900 0 9107400 9107400 9076698 -30703
5 8 31 2008 2009 9107400 9045995 3921900 0 9107400 9107400 9045995 -25537
6 9 7 2008 2009 9107400 9020458 3921900 0 9107400 9107400 9020458 -25537
7 9 14 2008 2009 9107400 8994921 3921900 0 9107400 9107400 8994921 -25538
8 9 21 2008 2009 9107400 8969383 3921900 0 9107400 9107400 8969383 -25537
9 9 28 2008 2009 9107400 8943846 3921900 0 9107400 9107400 8943846 0
10 10 5 2008 2009 9107400 8943846 3921900 0 9107400 9107400 8943846 0
11 10 12 2008 2009 9107400 8943846 3921900 0 9107400 9107400 8943846 0
12 10 19 2008 2009 9107400 8943846 3921900 0 9107400 9107400 8943846 0
13 10 26 2008 2009 9107400 8943846 3921900 0 9107400 9107400 8943846 0
14 11 2 2008 2009 9107400 8943846 3921900 0 9107400 9107400 8943846 0
15 11 9 2008 2009 9107400 8943846 3921900 0 9107400 9107400 8943846 0
