Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 6 2006 2007 5869400 5809367 4289467 0 5770433 5869400 5770433 -98966
2 8 13 2006 2007 5869400 5839383 4289467 0 5671467 5869400 5671467 -98967
3 8 20 2006 2007 5869400 5869400 4289467 0 5572500 5869400 5572500 -98967
4 8 27 2006 2007 5869400 5869004 4338558 0 5473533 5869400 5473533 -98966
5 9 3 2006 2007 5869400 5868607 4387649 0 5374567 5869400 5374567 -98967
6 9 10 2006 2007 5869400 5811434 4404633 0 5275600 5869400 5275600 -98967
7 9 17 2006 2007 5869400 5754260 4421616 0 5176633 5869400 5176633 -98966
8 9 24 2006 2007 5869400 5697087 4438600 0 5077667 5869400 5077667 553952.906646516
9 10 1 2006 2007 5869400 5639913 4455583 0 5631619.90664652 5869400 5631619.90664652 15513.0933534838
10 10 8 2006 2007 5869400 5647133 4453996 0 5869400 5869400 5647133 7220
11 10 15 2006 2007 5869400 5654353 4452409 0 5869400 5869400 5654353 7219
12 10 22 2006 2007 5869400 5661572 4450823 0 5869400 5869400 5661572 7220
13 10 29 2006 2007 5869400 5668792 4449236 0 5869400 5869400 5668792 7220
14 11 5 2006 2007 5869400 5676012 4447649 0 5869400 5869400 5676012 -157190
15 11 12 2006 2007 5744400 5518822 4433542 0 5869400 5869400 5518822 -157190
16 11 19 2006 2007 5619400 5361632 4419434 0 5869400 5869400 5361632 -157190
17 11 26 2006 2007 5494400 5204442 4405327 0 5869400 5869400 5204442 -157190
18 12 3 2006 2007 5369400 5047252 4391219 0 5869400 5869400 5047252 -306297
19 12 10 2006 2007 4994400 4740955 4365905 0 5869400 5869400 4740955 -306297
20 12 17 2006 2007 4619400 4434658 4340591 0 5869400 5869400 4434658 -190258
21 12 24 2006 2007 4244400 4128360 4315277 0 5869400 5869400 4244400 -375000
22 12 31 2006 2007 3869400 3822063 4289963 0 5869400 5869400 3869400 -175528.375493319
23 1 7 2007 2007 3693871.62450668 3781561 4269871 2398527 5869400 3973660.02230352 3693871.62450668 -175528.375493319
24 1 14 2007 2007 3518343.24901336 3741058 4249778 2398527 5869400 3892451.39100681 3518343.24901336 -175528.375493319
25 1 21 2007 2007 3342814.87352004 3700556 4229686 2398527 5869400 3810060.15743551 3342814.87352004 -175528.375493319
26 1 28 2007 2007 3167286.49802672 3660053 4209593 2398527 5869400 3725414.18797296 3167286.49802672 -175528.375493319
27 2 4 2007 2007 2991758.12253341 3619551 4189501 2398527 5869400 3640581.31591686 2991758.12253341 -154873.147703163
28 2 11 2007 2007 2836884.97483024 3565749 4163666 2212131 5869400 3607569.64316569 2836884.97483024 -154873.147703163
29 2 18 2007 2007 2682011.82712708 3511948 4137831 2025734 5869400 3572772.60489455 2682011.82712708 -154873.147703163
30 2 25 2007 2007 2527138.67942392 3458146 4111996 1839338 5869400 3537197.32952447 2527138.67942392 -154873.147703164
31 3 4 2007 2007 2372265.53172075 3404344 4086162 1652941 5869400 3503378.77686668 2372265.53172075 -106470.156455549
32 3 11 2007 2007 2265795.3752652 3358675 4060129 1496396 5869400 3406801.35219268 2265795.3752652 -106470.156455549
33 3 18 2007 2007 2159325.21880965 3313006 4034096 1339850 5869400 3315091.46497242 2159325.21880965 0
34 3 25 2007 2007 2159325.21880965 3267336 4008063 1183305 5869400 3234664.43041773 2159325.21880965 0
35 4 1 2007 2007 2159325.21880965 3221667 3982030 1026759 5869400 3136425.55789185 2159325.21880965 0
36 4 8 2007 2007 2159325.21880965 3136180 3945286 966264 5869400 3119630.31148912 2159325.21880965 0
37 4 15 2007 2007 2159325.21880965 3050692 3908542 905768 5869400 3129579.42156208 2159325.21880965 0
38 4 22 2007 2007 2159325.21880965 3003287 3906360 897834 5869400 3133546.29745644 2159325.21880965 0
39 4 29 2007 2007 2159325.21880965 2955882 3904178 889900 5869400 3246037.72156611 2159325.21880965 1359740.16832385
40 5 6 2007 2007 5869400 3139670 4078605 0 5869400 3519065.3871335 3519065.3871335 310506.71799639
41 5 13 2007 2007 5869400 3323458 4253031 0 5869400 3829572.10512989 3829572.10512989 487644.504092159
42 5 20 2007 2007 5869400 3507247 4427457 0 5869400 4317216.60922205 4317216.60922205 284667.390777951
43 5 27 2007 2007 5869400 3691035 4601884 0 5869400 4809702.37206217 4601884 174426
44 6 3 2007 2007 5869400 3874823 4776310 0 5869400 5302962.4993686 4776310 228397
45 6 10 2007 2007 5869400 4341881 5004707 0 5869400 5460325.62584478 5004707 228396
46 6 17 2007 2007 5869400 4808938 5233103 0 5869400 5603261.73159286 5233103 228397
47 6 24 2007 2007 5869400 5275996 5461500 0 5869400 5711791.25017648 5461500 281553
48 7 1 2007 2007 5869400 5743053 5689896 0 5869400 5869400 5743053 9074
49 7 8 2007 2007 5869400 5752127 5734772 0 5869400 5869400 5752127 117273
50 7 15 2007 2007 5869400 5761202 5869400 0 5869400 5869400 5869400 0
51 7 22 2007 2007 5869400 5770276 5869400 0 5869400 5869400 5869400 0
52 7 29 2007 2007 5869400 5779350 5869400 0 5869400 5869400 5869400 -98967
1 8 5 2007 2008 5869400 5809367 4289467 0 5770433 5869400 5770433 -98966
2 8 12 2007 2008 5869400 5839383 4289467 0 5671467 5869400 5671467 -98967
3 8 19 2007 2008 5869400 5869400 4289467 0 5572500 5869400 5572500 -98967
4 8 26 2007 2008 5869400 5869004 4338558 0 5473533 5869400 5473533 -98966
5 9 2 2007 2008 5869400 5868607 4387649 0 5374567 5869400 5374567 -98967
6 9 9 2007 2008 5869400 5811434 4404633 0 5275600 5869400 5275600 -98967
7 9 16 2007 2008 5869400 5754260 4421616 0 5176633 5869400 5176633 -98966
8 9 23 2007 2008 5869400 5697087 4438600 0 5077667 5869400 5077667 562246
9 9 30 2007 2008 5869400 5639913 4455583 0 5641200 5869400 5639913 7220
10 10 7 2007 2008 5869400 5647133 4453996 0 5869400 5869400 5647133 7220
11 10 14 2007 2008 5869400 5654353 4452409 0 5869400 5869400 5654353 7219
