Wk,WANAP,PRIRA,MCNAR
1,1.56292E-05,3.71029E-05,6.28161E-05
2,1.56292E-05,3.71029E-05,6.28161E-05
3,1.56292E-05,3.71029E-05,6.28161E-05
4,1.56292E-05,3.71029E-05,6.28161E-05
5,1.56292E-05,3.71029E-05,6.28161E-05
6,2.05115E-05,5.47392E-05,7.76893E-05
7,2.05115E-05,5.47392E-05,7.76893E-05
8,2.05115E-05,5.47392E-05,7.76893E-05
9,2.05115E-05,5.47392E-05,7.76893E-05
10,1.54817E-05,4.84521E-05,6.19116E-05
11,1.54817E-05,4.84521E-05,6.19116E-05
12,1.54817E-05,4.84521E-05,6.19116E-05
13,1.54817E-05,4.84521E-05,6.19116E-05
14,1.54817E-05,4.84521E-05,6.19116E-05
15,1.51607E-05,3.485E-05,5.54403E-05
16,1.51607E-05,3.485E-05,5.54403E-05
17,1.51607E-05,3.485E-05,5.54403E-05
18,1.51607E-05,3.485E-05,5.54403E-05
19,1.43759E-05,3.43748E-05,4.92478E-05
20,1.43759E-05,3.43748E-05,4.92478E-05
21,1.43759E-05,3.43748E-05,4.92478E-05
22,1.43759E-05,3.43748E-05,4.92478E-05
23,1.01737E-05,3.23014E-05,4.51271E-05
24,1.01737E-05,3.23014E-05,4.51271E-05
25,1.01737E-05,3.23014E-05,4.51271E-05
26,1.01737E-05,3.23014E-05,4.51271E-05
27,1.01737E-05,3.23014E-05,4.51271E-05
28,1.02453E-05,3.14912E-05,4.75123E-05
29,1.02453E-05,3.14912E-05,4.75123E-05
30,1.02453E-05,3.14912E-05,4.75123E-05
31,1.02453E-05,3.14912E-05,4.75123E-05
32,1.16113E-05,3.38292E-05,6.04291E-05
33,1.16113E-05,3.38292E-05,6.04291E-05
34,1.16113E-05,3.38292E-05,6.04291E-05
35,1.16113E-05,3.38292E-05,6.04291E-05
36,1.42689E-05,5.2451E-05,7.46499E-05
37,1.42689E-05,5.2451E-05,7.46499E-05
38,1.42689E-05,5.2451E-05,7.46499E-05
39,1.42689E-05,5.2451E-05,7.46499E-05
40,1.10584E-05,3.40474E-05,5.72883E-05
41,1.10584E-05,3.40474E-05,5.72883E-05
42,1.10584E-05,3.40474E-05,5.72883E-05
43,1.10584E-05,3.40474E-05,5.72883E-05
44,1.10584E-05,3.40474E-05,5.72883E-05
45,1.44472E-05,3.76662E-05,6.78414E-05
46,1.44472E-05,3.76662E-05,6.78414E-05
47,1.44472E-05,3.76662E-05,6.78414E-05
48,1.44472E-05,3.76662E-05,6.78414E-05
49,1.54817E-05,3.27379E-05,7.12335E-05
50,1.54817E-05,3.27379E-05,7.12335E-05
51,1.54817E-05,3.27379E-05,7.12335E-05
52,1.54817E-05,3.27379E-05,7.12335E-05

