WRIA_NR,WRIA_NM,Year,Month,Total CU(MG) 
29,Wind - White Salmon,2020,January,12 
29,Wind - White Salmon,2020,Febuary,11 
29,Wind - White Salmon,2020,March,12 
29,Wind - White Salmon,2020,April,17 
29,Wind - White Salmon,2020,May,26 
29,Wind - White Salmon,2020,June,33 
29,Wind - White Salmon,2020,July,43 
29,Wind - White Salmon,2020,August,45 
29,Wind - White Salmon,2020,September,35 
29,Wind - White Salmon,2020,October,21 
29,Wind - White Salmon,2020,November,11 
29,Wind - White Salmon,2020,December,11 
29,Wind - White Salmon,2030,January,12 
29,Wind - White Salmon,2030,Febuary,11 
29,Wind - White Salmon,2030,March,13 
29,Wind - White Salmon,2030,April,16 
29,Wind - White Salmon,2030,May,26 
29,Wind - White Salmon,2030,June,34 
29,Wind - White Salmon,2030,July,45 
29,Wind - White Salmon,2030,August,46 
29,Wind - White Salmon,2030,September,36 
29,Wind - White Salmon,2030,October,22 
29,Wind - White Salmon,2030,November,12 
29,Wind - White Salmon,2030,December,11 
29,Wind - White Salmon,2040,January,12 
29,Wind - White Salmon,2040,Febuary,11 
29,Wind - White Salmon,2040,March,13 
29,Wind - White Salmon,2040,April,18 
29,Wind - White Salmon,2040,May,27 
29,Wind - White Salmon,2040,June,35 
29,Wind - White Salmon,2040,July,46 
29,Wind - White Salmon,2040,August,47 
29,Wind - White Salmon,2040,September,37 
29,Wind - White Salmon,2040,October,23 
29,Wind - White Salmon,2040,November,12 
29,Wind - White Salmon,2040,December,11 
30,Klickitat,2020,January,27 
30,Klickitat,2020,Febuary,26 
30,Klickitat,2020,March,28 
30,Klickitat,2020,April,40 
30,Klickitat,2020,May,58 
30,Klickitat,2020,June,74 
30,Klickitat,2020,July,95 
30,Klickitat,2020,August,97 
30,Klickitat,2020,September,76 
30,Klickitat,2020,October,47 
30,Klickitat,2020,November,26 
30,Klickitat,2020,December,26 
30,Klickitat,2030,January,25 
30,Klickitat,2030,Febuary,24 
30,Klickitat,2030,March,27 
30,Klickitat,2030,April,34 
30,Klickitat,2030,May,56 
30,Klickitat,2030,June,71 
30,Klickitat,2030,July,92 
30,Klickitat,2030,August,93 
30,Klickitat,2030,September,73 
30,Klickitat,2030,October,45 
30,Klickitat,2030,November,25 
30,Klickitat,2030,December,24 
30,Klickitat,2040,January,26 
30,Klickitat,2040,Febuary,24 
30,Klickitat,2040,March,28 
30,Klickitat,2040,April,39 
30,Klickitat,2040,May,57 
30,Klickitat,2040,June,73 
30,Klickitat,2040,July,94 
30,Klickitat,2040,August,95 
30,Klickitat,2040,September,74 
30,Klickitat,2040,October,46 
30,Klickitat,2040,November,26 
30,Klickitat,2040,December,24 
31,Rock - Glade,2020,January,77 
31,Rock - Glade,2020,Febuary,70 
31,Rock - Glade,2020,March,96 
31,Rock - Glade,2020,April,180 
31,Rock - Glade,2020,May,274 
31,Rock - Glade,2020,June,340 
31,Rock - Glade,2020,July,412 
31,Rock - Glade,2020,August,404 
31,Rock - Glade,2020,September,291 
31,Rock - Glade,2020,October,185 
31,Rock - Glade,2020,November,88 
31,Rock - Glade,2020,December,75 
31,Rock - Glade,2030,January,88 
31,Rock - Glade,2030,Febuary,81 
31,Rock - Glade,2030,March,110 
31,Rock - Glade,2030,April,200 
31,Rock - Glade,2030,May,313 
31,Rock - Glade,2030,June,389 
31,Rock - Glade,2030,July,470 
31,Rock - Glade,2030,August,461 
31,Rock - Glade,2030,September,332 
31,Rock - Glade,2030,October,211 
31,Rock - Glade,2030,November,101 
31,Rock - Glade,2030,December,86 
31,Rock - Glade,2040,January,98 
31,Rock - Glade,2040,Febuary,89 
31,Rock - Glade,2040,March,122 
31,Rock - Glade,2040,April,228 
31,Rock - Glade,2040,May,346 
31,Rock - Glade,2040,June,429 
31,Rock - Glade,2040,July,518 
31,Rock - Glade,2040,August,509 
31,Rock - Glade,2040,September,366 
31,Rock - Glade,2040,October,233 
31,Rock - Glade,2040,November,112 
31,Rock - Glade,2040,December,95 
32,Walla Walla,2020,January,112 
32,Walla Walla,2020,Febuary,117 
32,Walla Walla,2020,March,116 
32,Walla Walla,2020,April,157 
32,Walla Walla,2020,May,250 
32,Walla Walla,2020,June,375 
32,Walla Walla,2020,July,596 
32,Walla Walla,2020,August,661 
32,Walla Walla,2020,September,550 
32,Walla Walla,2020,October,305 
32,Walla Walla,2020,November,118 
32,Walla Walla,2020,December,119 
32,Walla Walla,2030,January,118 
32,Walla Walla,2030,Febuary,124 
32,Walla Walla,2030,March,124 
32,Walla Walla,2030,April,165 
32,Walla Walla,2030,May,265 
32,Walla Walla,2030,June,397 
32,Walla Walla,2030,July,631 
32,Walla Walla,2030,August,700 
32,Walla Walla,2030,September,581 
32,Walla Walla,2030,October,322 
32,Walla Walla,2030,November,126 
32,Walla Walla,2030,December,127 
32,Walla Walla,2040,January,127 
32,Walla Walla,2040,Febuary,132 
32,Walla Walla,2040,March,132 
32,Walla Walla,2040,April,178 
32,Walla Walla,2040,May,283 
32,Walla Walla,2040,June,424 
32,Walla Walla,2040,July,673 
32,Walla Walla,2040,August,747 
32,Walla Walla,2040,September,621 
