"Week" "Month" "Day" "Year" "BRRunoffAprJul" "DARunoffAprAug" "DARunoffAprSep" "DARunoffJanJul" "DURunoffAprAug" "DWRunoffAprJul" "HHRunoffAprAug" "HHRunoffMaySep" "LBRunoffAprAug" "LGRunoffAprJul" "MIRunoffAprAug" "MIRunoffMayAug" "PayetteResidualInflowJanJun" "OwyheeResidualInflowJanMay" "BoiseResidualInflowJanJul" "HeiseResidualInflowJanJul" "HenryResidualInflowJanJun" "RirieResidualInflowJanJun" "PRResidualInflowJanMar" "GCResidualInflowJanMar" "RetVICWA" "RetVICPR" "RetVICMCN" "ARVariableRefillCurve" "DUVariableRefillCurve" "DWVariableRefillCurve" "GCVariableRefillCurve" "HHVariableRefillCurve" "LBVariableRefillCurve" "MIVariableRefillCurve" "AFMinRefillCurve" "ARMinRefillCurve" "BRMinRefillCurve" "CLMinRefillCurve" "DUMinRefillCurve" "DWMinRefillCurve" "GCMinRefillCurve" "HHMinRefillCurve" "LBMinRefillCurve" "MIMinRefillCurve" "KEMinRefillCurve" "AFOperatingRuleCurve" "AROperatingRuleCurve" "BROperatingRuleCurve" "CLOperatingRuleCurve" "DUOperatingRuleCurve" "DWOperatingRuleCurve" "GCOperatingRuleCurve" "HHOperatingRuleCurve" "LBOperatingRuleCurve" "MIOperatingRuleCurve" "KEOperatingRuleCurve" "FlowLimePoint" "FlowAF" "FlowAM" "FlowAR" "FlowBONF" "FlowBON" "FlowBD" "FlowBC" "FlowBR" "FlowCB" "FlowCH" "FlowCJ" "FlowCOL" "FlowCL" "FlowDA" "FlowDU" "FlowDW" "FlowKE" "FlowHH" "FlowGC" "FlowHC" "FlowIH" "FlowIP" "FlowJD" "FlowJL" "FlowLB" "FlowLIG" "FlowLG" "FlowLM" "FlowLUC" "FlowMCN" "FlowMI" "FlowMIL" "FlowMIN" "FlowNOX" "FlowOWY" "FlowOX" "FlowPAL" "FlowPAY" "FlowPEL" "FlowPR" "FlowREV" "FlowRIR" "FlowRI" "FlowRR" "FlowTF" "FlowWA" "FlowWE" "DemBoiseSys" "DemMinidoka" "DemOwyhee" "DemPayette" "DemUpSnake" "DemCJ" "DemDA" "DemJD" "DemMCN" "DemPR" "DemRR" "DemRI" "DemWA" "DemWE" "CurtCJ" "CurtDA" "CurtJD" "CurtMCN" "CurtPR" "CurtRR" "CurtRI" "CurtWA" "CurtWE" "IflowCJ" "IflowDA" "IflowJD" "IflowMCN" "IflowPR" "IflowRR" "IflowRI" "IflowWA" "IflowWE" "CorrectedDARunoffAprAug" "InitialControlledFlow" "start_refill_wk" "start_refill_wk_GC" "DACorrectedResidualInflowAprAug" "DamYear"
1 8 5 1979 6516204.81433015 78676403.2178243 83781163.1842917 90947841.4882569 1952201.1849673 2127481.32906278 1626659.04126961 1535281.63626749 5378854.47251798 19640472.5142467 7101153.42565655 6888983.07850827 0 0 0 0 0 0 0 0 23347.3956632118 56165.8975654595 137661.511439543 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 145200 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7116541 1392402 593600 1347699 2896389 9107400 2956187.67466892 5770433 19553612 1792000 119856.065474814 205999.823822425 -35745.5173593325 332116.375653614 89570.7659254523 938637.153050945 212374.575713549 218794.009788873 66281.738256737 205420.530224976 11313.0765857146 731021.302372317 36082.0381202195 154363.486793964 849294.631480195 30340.2893195343 13063.1181734811 66535.247827137 10603.3193958618 663388.609638344 67367.1199689434 152233.476941682 5387.13230726084 768069.774555287 4084.2825152907 81797.3602106121 194033.688974273 195878.708514731 199966.647496005 6280.47224387721 790416.811783808 209178.98401067 -101386.730845527 -61815.3377158901 204295.408815723 21338.6549826076 66281.738256737 28398.9082773229 8759.92941625163 67995.0920137645 778659.121408209 304243.436207024 -1133.28031063216 761924.19724789 747595.987487773 217410.894697675 747145.272168103 730437.748217603 42566.6426520491 215688.767773143 12826.3027782469 14982.515286964 86147.5445768665 548.115384620225 6829.793392746 40335.3906357302 75424.014890628 3163.22989783008 2515.60333423664 3896.57679271676 1244.61825958784 12402.002215083 103.01473554578 0.598189147275673 2415.22803470352 2410.92802675999 82.4401820400955 404.047958938571 516.460560069942 3.77359615550753 1583.3468901313 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 62281083.4188351 9999000 37 40 0 1980
2 8 12 1979 4197754.12264119 83195834.0488685 87441923.6337753 105237703.887289 2197905.93849891 1799999.05924978 1931823.69899959 1737500.90056272 8465269.28584082 18074991.2895002 9482791.01989376 9206002.99268077 0 0 0 0 0 0 0 0 23347.3956632118 56165.8975654595 137661.511439543 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 242250.262294055 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7221921 1392402 638280 1386299 2782067 9107400 2933124.90438303 5671467 19814306 1792000 148714.327723717 168409.183779045 18457.0741707572 327849.962740993 78702.4186150576 881375.323602909 172409.319603396 180305.546262052 115918.684447578 163901.135792774 9016.45292526784 686301.772260103 28963.2202443268 144139.49087592 784028.259375839 32876.9848178807 11393.7804112168 55201.1735090296 7855.18616974391 619489.067000771 114486.620303913 166193.320566719 6688.80073632013 712741.493420174 5309.44337162328 75193.6402101944 204213.381084646 207670.801744252 206838.638591415 4748.6803292064 735433.888334507 244991.608121088 -30389.5044071348 -8822.56989461088 165611.08380492 29843.6443233826 115918.684447578 36704.9494738403 7739.84373388375 65014.6510343868 730113.801444062 326494.037526536 -63.62596011726 715294.085651315 701028.211166299 175277.439016325 700598.976813266 687343.38514533 43446.651878956 151178.949612193 22531.6251269501 18747.5091658134 87899.495824004 339.386402693313 8528.6064612587 34815.4513292235 91695.9158803568 1855.05089447781 2728.45065436006 1763.84803803974 573.804732366464 9228.31627205466 141.297075037762 64.5280583651655 2025.13641732247 1959.19682081766 79.7687482042643 792.288844420655 514.142519623978 2.78462402898479 1326.67281862409 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 63404136.0686379 9999000 41 40 0 1980
3 8 19 1979 12845956.1655631 114476915.575922 120703225.305202 133398268.314699 2312989.36732613 3091762.63849613 2395706.95847437 2416534.77819978 6546597.70944217 35284497.8484252 10667959.8302687 10411574.7602343 0 0 0 0 0 0 0 0 23347.3956632118 56165.8975654595 137661.511439543 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 410168.465874533 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7327300 1392402 682960 1424900 2667744 9107400 2910063.13409714 5572500 20075000 1792000 575031.752602585 159747.20616194 132924.011417748 294009.627948361 77375.8842796411 1225685.84572241 162581.126097369 170898.355969677 585629.079559882 158393.122934583 9528.48457986448 669007.152466299 27690.668414857 142523.96672407 1152532.57124059 36418.2251164415 14360.210684292 50542.2472028884 7300.10360410481 610735.442325286 576358.971882371 534180.530281088 9042.90354209558 1091609.62275942 6610.19308408524 74108.9829074958 612530.435899141 638447.766026373 597508.412868702 8439.45099991555 1125473.88156975 234151.98137612 143188.926730276 125607.461168698 160428.597997266 54549.2042137398 585629.079559882 44710.1139999652 12923.0764883262 62104.1128898537 711361.294259899 285364.508369327 423.298900738149 699343.067185999 689911.802814413 170669.621848828 681991.692462828 680606.488464732 14606.5621862889 43433.6512226556 4843.86047375612 6321.80782340382 31754.5815584471 251.534885916263 3275.71200339908 13311.3671845478 38765.1774600549 1720.91710373723 1679.5127535462 2286.33588626842 636.869882093736 5053.96681694994 72.6286612132755 0.523952438444809 769.855253416109 669.128726903752 0 203.532847805194 448.349426784478 0 547.034646380082 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 96305753.5464939 9999000 38 44 0 1980
4 8 26 1979 13085811.6029962 105489534.652215 111182075.799666 130693474.35048 2103275.41956454 2519452.66095639 1760416.67336389 1749734.73744773 6087561.70915352 29586312.8698008 10318624.3347319 9832963.77399529 0 0 0 0 0 0 0 0 23347.3956632118 56165.8975654595 137661.511439543 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 688064.386197748 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7321562 1392402 711282 1423330 2553422 9107400 2887000.36381124 5473533 20073116 1792000 455236.461130095 179017.359941232 91368.9970692404 339371.354398761 77441.1738139714 1429654.35877081 180714.189872451 190024.931966327 405561.539218247 182659.545080335 8731.97594199711 738782.426662136 48043.3466147115 153804.927881599 1331219.68367667 38975.733880397 17022.1668879497 70842.9437597733 7526.87686964141 677883.042541132 412361.39499016 551255.527442562 5914.71730105848 1251887.44227512 4267.63310178789 74697.3047651702 563450.036386748 554669.834760822 586481.350340881 6217.7214413978 1248666.17906925 233542.685199218 98281.9397946324 87893.4619444598 185719.391672915 32218.0431198413 405561.539218247 35302.4773233065 8775.8343294795 66595.2460154 801363.148281095 269756.093233216 122.872292951956 793036.332828258 785995.744742516 197811.368851883 772322.217662635 779392.499822685 20306.7649401999 68285.5968858328 7280.06081029379 10198.8551701008 32109.5486452868 175.082351654613 642.771435387098 13473.0975890673 32586.2883225866 1445.13533654829 1522.42051947271 1803.64075722061 490.806963827041 5864.44329313526 21.0692430109571 0 1179.88512825894 747.726271817202 0 382.919280659948 432.632781108861 3.77359615550753 1016.5156482475 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 88663437.3533628 9999000 38 45 0 1980
5 9 2 1979 15073339.067778 107291012.279127 115265545.967894 122195773.363542 1695379.35147654 3223266.28260734 1613293.42700048 1469870.88384518 4305188.88005599 37532783.7601484 9107644.79933287 8582504.61612181 0 0 0 0 0 0 0 0 23347.3956632118 56165.8975654595 137661.511439543 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7315823 1392402 711282 1421759 2439100 9107400 2863937.85657454 5374567 20071231 1792000 395464.482756818 188689.75758139 72158.5014403311 240409.310586653 77448.9830559112 1283440.98530412 193447.719675507 198518.815207851 364846.210100993 177592.210789122 7848.59159500528 702545.361967121 32098.0076022457 154273.249110769 1223752.5286421 40746.9041451753 13150.2686335603 51862.9249803721 7724.9525193181 644939.390695422 369474.948613826 441886.865501077 5392.77495403486 1142081.96839509 3839.3271884988 71563.9661937372 468205.679973395 468583.034989915 476531.490779011 5861.07513294501 1126052.52395402 199857.634001701 70414.6736318161 67144.2947427087 175329.649061111 21868.6480881224 364846.210100993 27189.464430907 8020.89108343103 75386.9107963402 775752.074666086 229953.145203094 -263.787781989363 757812.315617377 748405.568634673 185672.338183453 745222.751191074 735192.760363602 18471.7736280339 71980.7468699369 4082.8193364989 7680.40766526623 27339.1815776063 210.402691758992 1764.84816014515 14639.7002758368 34055.2598114741 1748.15706214918 1582.48100221538 1325.20292058831 217.897927953998 4944.02102630905 129.107922788953 0 873.054220736832 799.671177943912 74.9574051782363 493.436279290573 428.008692838727 0 272.545242678383 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 90790468.6864454 9999000 41 44 0 1980
6 9 9 1979 4163997.16916531 79555072.524259 87400097.7461588 90563498.9117473 1923658.1115419 3198713.73893868 1691343.01465895 1612348.0444899 4202012.02131417 20242218.1659963 9860596.33752335 9466403.80711508 0 0 0 0 0 0 0 0 31662.1425791378 85625.4653918847 175931.411956534 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1482126 7239906 1381394 737712 1410701 2387014 9107400 2840875.08628865 5275600 20040487 1792000 350614.696994999 162151.932805761 65192.6363564827 322220.461338986 70395.1263518526 1089168.68935204 165003.168139008 163233.420187263 345709.210458758 145961.705453673 7518.20549368046 696525.157161396 29507.6562645298 186400.623382017 1133452.79369212 46518.5473006476 7130.71393452755 38123.7924349234 5674.41429283191 676235.990239088 361100.491262616 390044.978105493 4851.9586530249 1059625.84616247 3061.76912529574 61510.3676885265 410630.733966751 408631.792963061 422902.735721347 5921.25194819046 1047069.14428654 153922.605481618 51447.8061037529 56939.1816617071 137311.133124491 2926.67106220486 345709.210458758 22689.068396629 6920.21425686373 87110.7585560051 735668.63229749 221390.619351526 -118.59421422712 743013.060656367 740340.327202357 151092.693107149 711027.845655629 751698.874610244 27268.7384888156 78681.3937000936 11884.2455152056 11560.5679925126 21466.9842229049 241.096714410072 1937.99432378205 11064.4266649983 26344.0251082647 606.894627620478 617.121885586839 1741.34372112856 183.213010822869 1513.36577021105 81.267862438383 0 337.226350333059 453.900346070791 0 84.5212603902056 39.8942266922817 0 439.697543112061 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 62747168.2406077 9999000 36 39 0 1980
7 9 16 1979 10305415.0513756 85249758.8401512 90062632.5690022 107502516.154902 2002938.29714007 2537927.17384125 1694969.48983388 1469519.71705192 5088240.01850077 25986927.6850259 9527792.20058921 9151912.958813 0 0 0 0 0 0 0 0 31662.1425791378 85625.4653918847 175931.411956534 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1424251 7163989 1370386 764141 1399644 2334849 9107400 2817813.31600276 5176633 20009744 1792000 296412.422838295 137106.023307693 46913.6051024479 385213.456651672 54854.2558811269 1162177.06939697 140090.320896395 138347.936519284 293033.835632764 122903.973949628 5615.05289374858 699794.889730875 23769.7289615127 138777.627779477 1204248.01644861 38430.9018797371 5628.60053474823 32125.6299008849 4269.46742580259 648203.513199961 305218.802480596 307500.778887362 4718.29892370188 1136734.06895076 2834.78581003096 51041.1499104061 333564.102556379 334526.127645932 338040.556199629 5239.50633157798 1087637.32380743 163190.179643805 26689.3333500861 34937.3913405417 116244.445258961 1465.71344662513 293033.835632764 20596.9654890105 7748.44295515594 70222.6886599621 777506.021072615 229349.546676135 -891.964045327151 747905.643145343 734690.595259552 129447.317458268 740857.552519149 720190.212011841 26847.6378879191 68055.3916713573 9757.34914012112 13496.9054632472 36873.9140313828 170.661496678714 7967.50595415921 9756.9981349211 22913.701141542 1040.82315519371 1229.56251227282 1515.05918342808 420.678214219796 3126.22298599858 10.1837247438511 31.4132674996498 496.974844584033 239.283255293299 0 199.410183279 39.2669841183106 0 448.338404602789 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 68652521.5871136 9999000 42 33 0 1980
8 9 23 1979 1220962.45516214 66199286.5130708 69135431.9837255 78870921.9981283 2022789.66155728 1658746.04031012 1419814.24731461 1257981.29765464 5521677.73170153 9793074.3642621 11401619.4998679 10878344.2897449 0 0 0 0 0 0 0 0 31662.1425791378 85625.4653918847 175931.411956534 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1366377 7088071 1359377 790571 1388586 2282683 9107400 2794750.54571686 5077667 19979000 1792000 260533.377387896 110365.091436102 39735.8844376308 148505.32806238 44460.7964006011 956106.838333337 113302.557931183 111576.428544727 263745.936070018 96924.5254021591 4975.33207079378 422927.798085743 15862.5929559687 79645.7087069296 983754.440068631 13435.1223265722 4706.77017867943 24239.8850461207 3134.33109293252 375554.132990776 274054.490364253 265624.878077281 4665.3102974451 912454.624647105 2815.57183060138 41485.75105514 293143.163824854 294474.147349673 295941.722156292 4741.37872681757 826750.804448498 116849.070442818 30689.3900183815 31443.3729659172 90943.5436993061 1988.43474681282 263745.936070018 16599.5613909266 6474.16282996891 60651.7465835581 511950.595201423 157651.281185063 -203.056337130046 471423.54902326 455189.989965197 103050.787243639 479345.84361281 427595.373384552 36525.9453442851 50407.9602375819 7398.11132883223 18911.3187561742 42967.5893792727 284.863609886416 2749.5591773615 7302.46214804335 19093.9137209281 1500.48533688312 848.491476038817 1463.52441475127 802.934822094545 5825.44905072773 11.5873117903609 33.1147908655156 858.18721354123 122.601972530222 0 212.253952392602 674.713825375887 6.4813077047054 733.864870337066 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 49277652.6302145 9999000 38 40 0 1980
9 9 30 1979 -799040.177446206 62990720.2515665 65739825.4267578 72267033.6596079 2056424.21498404 1558447.84511052 1534369.52597504 1301943.74310286 4237880.56706777 8096547.92331205 10596606.5123487 9986657.58364099 0 0 0 0 0 0 0 0 31662.1425791378 85625.4653918847 175931.411956534 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1308502 7012154 1348369 817000 1377528 2230518 9107400 2726227 5414900 19948256 1792000 357788.030926285 110570.411245025 56479.9035749425 161181.95638126 42677.9302669875 756392.694515387 112931.473563806 111551.214029569 375705.315708708 99338.3465639999 4535.54869673005 361245.400983021 14309.9335841363 82641.1421485038 783373.439074511 24658.5753499848 4613.33223407849 20239.932659217 2587.36873405986 337468.159447767 383341.892042216 348254.765748975 5183.26912240838 728792.849423949 3145.87117078371 40590.3603623954 382703.166165819 389303.327531821 379812.51605213 6210.59418370356 683250.39582593 130347.362180386 58852.7843601009 52389.0041418041 93863.5218599759 2979.90394483912 375705.315708708 21584.9027806021 8471.90313448375 58700.0539123118 378749.78928274 171230.346398623 140.332373461039 370823.674167673 365545.436030334 105793.703094013 362980.454324244 359281.378443923 11723.7425438983 40045.9104614219 979.061516513102 3630.42487996034 35295.3527653165 276.547774087423 982.525430740273 5916.47639143351 25571.882358687 1765.23278774796 1185.94579339798 1479.91065854045 477.125661177121 3730.06593062259 147.794143098044 0 312.850350411739 270.617506262697 76.5563984754843 153.258399091905 284.838837107063 0 533.833930841857 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 46684572.9747214 9999000 NA NA 0 1980
10 10 7 1979 5501107.57575556 87579947.335542 93751983.7031816 96729742.7368636 1948145.29199513 3283517.49019139 2242346.09141152 2089738.52901744 5270140.81587587 22019040.6784067 10385721.8575775 9806704.46646615 0 0 0 0 0 0 0 0 28908.9157183184 91682.5712216303 169598.98568602 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1199292 6937496 1350789 817000 1361264 2230875 9107400 2735008 5647133 19891132 1792000 349342.62120335 97130.3340635658 43752.324953832 157696.090528076 37304.8924202611 738734.681554285 106728.495316232 99697.7194153868 314223.865181773 72277.7085976808 3373.43719434844 337100.148465942 11059.3622333936 67779.1733899295 756413.09157067 15971.6012373424 6562.35021561005 15714.9521518383 2180.56722809431 303665.844425373 321236.346280005 357579.196017963 4053.88185751877 663345.842103955 2373.68380290618 37390.9054933554 389266.187830323 386355.989626188 391601.571495674 4899.67571616268 630194.411157858 66324.9620676268 61165.6123140554 54257.4503835167 68235.7791105866 760.36763183575 314223.865181773 16555.8511455713 7031.89847369647 50452.0128821974 340680.460383066 96875.5912113624 72.986163584665 336660.71127482 336358.803792699 77000.5329913168 322455.35812376 343391.439503051 4202.83529034869 37850.1634870472 1128.03726906191 2134.63651281113 26783.2897447927 169.791409606261 2639.79412434903 9308.33801016037 39917.5882723943 1121.27952185232 1238.21337989708 641.167841057909 219.913846984272 4453.5031776492 10.861805412535 0 360.042710096182 712.710525377154 0 541.567430692345 129.66322229874 0 329.39423606709 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 70351383.3437447 9999000 37 40 0 1980
