"Week" "Month" "Day" "Year" "BRRunoffAprJul" "DARunoffAprAug" "DARunoffAprSep" "DARunoffJanJul" "DURunoffAprAug" "DWRunoffAprJul" "HHRunoffAprAug" "HHRunoffMaySep" "LBRunoffAprAug" "LGRunoffAprJul" "MIRunoffAprAug" "MIRunoffMayAug" "PayetteResidualInflowJanJun" "OwyheeResidualInflowJanMay" "BoiseResidualInflowJanJul" "HeiseResidualInflowJanJul" "HenryResidualInflowJanJun" "RirieResidualInflowJanJun" "PRResidualInflowJanMar" "GCResidualInflowJanMar" "RetWA" "RetPR" "RetMCN" "ARVariableRefillCurve" "DUVariableRefillCurve" "DWVariableRefillCurve" "GCVariableRefillCurve" "HHVariableRefillCurve" "LBVariableRefillCurve" "MIVariableRefillCurve" "AFMinRefillCurve" "ARMinRefillCurve" "BRMinRefillCurve" "CLMinRefillCurve" "DUMinRefillCurve" "DWMinRefillCurve" "GCMinRefillCurve" "HHMinRefillCurve" "LBMinRefillCurve" "MIMinRefillCurve" "KEMinRefillCurve" "AFOperatingRuleCurve" "AROperatingRuleCurve" "BROperatingRuleCurve" "CLOperatingRuleCurve" "DUOperatingRuleCurve" "DWOperatingRuleCurve" "GCOperatingRuleCurve" "HHOperatingRuleCurve" "LBOperatingRuleCurve" "MIOperatingRuleCurve" "KEOperatingRuleCurve" "FlowLimePoint" "FlowAF" "FlowAM" "FlowAR" "FlowBONF" "FlowBON" "FlowBD" "FlowBC" "FlowBR" "FlowCB" "FlowCH" "FlowCJ" "FlowCOL" "FlowCL" "FlowDA" "FlowDU" "FlowDW" "FlowKE" "FlowHH" "FlowGC" "FlowHC" "FlowIH" "FlowIP" "FlowJD" "FlowJL" "FlowLB" "FlowLIG" "FlowLG" "FlowLM" "FlowLUC" "FlowMCN" "FlowMI" "FlowMIL" "FlowMIN" "FlowNOX" "FlowOWY" "FlowOX" "FlowPAL" "FlowPAY" "FlowPEL" "FlowPR" "FlowREV" "FlowRIR" "FlowRI" "FlowRR" "FlowTF" "FlowWA" "FlowWE" "DemBoiseSys" "DemMinidoka" "DemOwyhee" "DemPayette" "DemUpSnake" "DemCJ" "DemDA" "DemJD" "DemMCN" "DemPR" "DemRR" "DemRI" "DemWA" "DemWE" "CurtCJ" "CurtDA" "CurtJD" "CurtMCN" "CurtPR" "CurtRR" "CurtRI" "CurtWA" "CurtWE" "IflowCJ" "IflowDA" "IflowJD" "IflowMCN" "IflowPR" "IflowRR" "IflowRI" "IflowWA" "IflowWE" "CorrectedDARunoffAprAug" "InitialControlledFlow" "start_refill_wk" "start_refill_wk_GC" "DACorrectedResidualInflowAprAug" "DamYear"
1 8 6 1950 5219795.68616951 79997897.8815568 83905264.2647306 88010010.5931805 1708815.24398558 2359191.39478059 2033742.13927628 1960290.22441654 7812935.43416236 19086195.8433001 8115888.10868071 7855220.89164797 0 0 0 0 0 0 0 0 187.570244528696 472.407886533436 1253.62349936047 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 172133.57188469 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7116541 1392402 593600 1347699 2896389 9107400 2979346 5770433 19553612 1792000 117502.496048896 197979.249532806 15782.94284043 459412.042053605 107009.365808154 1022411.46253498 200470.774282968 208890.579158931 42908.2097109579 200906.858922554 15027.4116285364 823523.15061806 28344.1480969811 198136.763766762 1002311.0562563 35808.0053067514 11453.2816094882 55367.0498818567 6793.33197184919 740603.796078296 40979.9837188263 81206.7616203964 5306.80415498065 934462.613921101 5565.4552924773 98319.1057744401 145772.78526523 149023.766757504 151807.816375742 4873.19232035781 878990.690183054 237351.974164463 -41130.998953927 -5738.56596226888 189237.376139136 29890.6641465294 42908.2097109579 43125.4944715497 7958.71946827899 72142.5795223728 916761.738669357 412369.208927417 -106.4262942165 888100.01928752 865380.059457612 195398.916275481 870619.179208242 844616.426225787 59909.0625376191 194911.100056654 23075.9103302451 27104.6810262463 79200.5615856169 480.857557345071 5380.39654301532 36930.6958546731 76200.6995033003 3311.8615700052 2626.69333949751 2918.9194356324 581.947581567853 12623.9263568931 75.9567218753364 0 2895.63667598583 2338.5408885698 82.7730844482944 733.653565151478 532.918479123441 0 1477.1044415698 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 60683698.7071291 9999000 40 42 0 1951
2 8 13 1950 4259655.41420108 79818498.4233226 87019041.7053971 85361475.3398367 1848043.41686764 2367791.42095454 2091749.18651649 2079498.50242927 7482362.72191065 17031644.7059982 10021522.0564705 9608570.08490657 0 0 0 0 0 0 0 0 187.570244528696 472.407886533436 1253.62349936047 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 405887.933753256 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7221921 1392402 638280 1386299 2782067 9107400 2960915 5671467 19814306 1792000 290102.945271053 208394.136623808 87247.933528037 462147.468295171 123123.039299744 1175526.98777907 204999.038118615 218168.325574935 212047.885449221 231199.42783267 13385.8073042933 830780.98636543 56092.2231910558 227531.449332031 1182990.01166134 66515.2997977053 15783.0255892205 93364.3829439494 10204.6072961442 759423.212942675 210593.662065892 271353.356244489 6085.514860549 1117443.94285943 6184.19372759821 118744.891358117 341947.055848989 348126.850531166 346016.110600671 4993.42959075883 1063491.29571942 256382.698495406 35974.6674332983 68021.3300056957 221102.682317836 30242.6617227239 212047.885449221 46852.6559236312 8643.88344059155 72954.121812128 902960.57348977 395697.271148701 -725.772522716442 879984.659553443 863146.130189105 231472.910138931 860218.725785155 851340.277795253 36683.6724524353 164722.190646152 12040.5470560519 12804.1228903893 45077.0560634369 381.001279096369 4230.91870883394 33404.3157775213 76052.1088710723 3078.70910146437 2384.20301800295 3257.42302585143 720.357909888376 9729.00489569663 148.147701326028 33.1147908655156 2139.40655506433 1873.24844791396 0 372.134318455777 670.710760352493 3.77359615550753 1477.3596120825 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 61082841.292484 9999000 NA NA 0 1951
3 8 20 1950 4791003.163081 100828919.730018 108683606.164303 113205831.071244 1998570.91960118 3117023.4838175 2063131.50095629 1995422.35834673 7614664.47578667 20532226.5448722 11925511.6273939 11458116.1631674 0 0 0 0 0 0 0 0 187.570244528696 472.407886533436 1253.62349936047 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 579220.33419003 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7327300 1392402 682960 1424900 2667744 9107400 2942485 5572500 20075000 1792000 152564.404456686 202634.679905469 -15522.4830523674 498462.882496156 116753.222982353 1047467.55137333 207972.136186412 216464.550703018 83993.6986341695 194363.474747236 12781.192714427 1026989.30670838 28625.0794205878 234853.180468303 1082288.84694236 57501.3357612138 11112.2821821966 58916.2577023363 6185.75435391723 929724.043208461 87177.7596780641 143915.625214049 4707.29983406189 1041181.98647947 4619.88471655933 101900.528656507 195619.802143207 194470.963796091 207311.95393947 5145.99318196006 1031687.3148285 256929.245214046 -65107.5305149238 -39317.4901683511 178675.987289682 27589.4956896444 83993.6986341695 32814.7176652002 7553.41617799469 62397.4015536553 1077953.39903507 371205.124829257 -1150.15445383842 1064766.35114339 1054181.06313834 179869.640458318 1032948.29716198 1054200.45940355 33628.0054643672 159015.556166548 19562.3345739169 15185.0056499301 89001.4483931762 494.587945284271 5164.15764330573 36827.3488345828 79059.9713775919 2107.76931970319 3183.65421141818 1994.91554590871 627.319325893253 9022.56741087792 90.2316089261678 0.582369118052608 2178.06353501033 2214.00507355139 85.1449482383754 898.027472473713 689.897522981604 0 882.460948554642 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 81470320.3866482 9999000 38 41 0 1951
4 8 27 1950 14109697.34488 123601539.914251 131436207.187802 134564658.803069 2049668.44653875 3336065.96659733 2133754.15366066 2322970.83201736 10586497.4681204 32705810.673207 12743686.7197698 12311068.1349608 0 0 0 0 0 0 0 0 187.570244528696 472.407886533436 1253.62349936047 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 711441.852182643 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7321562 1392402 711282 1423330 2553422 9107400 2924054 5473533 20073116 1792000 100601.716712378 138743.98606788 -28004.9949241313 342981.274971941 84821.0720799728 1044516.23678626 140605.553749984 148260.992117045 52590.3306355728 142294.143401712 11591.9790747361 692131.482033059 21243.0180197773 162341.131406163 1022414.37992998 37910.2259043601 9107.62580515137 40705.3135809542 5062.1972878199 611463.485632212 51253.7709513212 77290.7634779678 4573.18204435333 961255.441737458 4229.74597226918 77771.6851353718 128884.561626789 130543.405171528 136350.431300369 4088.58567827264 858249.323244622 224611.749749588 -63219.5549481645 -46168.1702318407 132301.93437773 25480.4503896037 52590.3306355728 30682.3074561107 7290.48353701268 50689.3049136882 813710.49466904 299520.131458411 -584.743683142798 764388.689033184 745434.0409565 136660.963052576 763345.448791969 717616.751419334 34344.3340525108 115139.813154245 17399.2003230606 18887.0187801221 103102.74735991 369.901392307671 8365.98756390467 33588.5938058741 61631.6985819674 1149.04656203015 1782.13350048486 3445.17017190319 914.286244714026 8557.84261826645 160.90527578132 31.4132674996498 1676.84338222875 1626.17103835728 0 253.854971747591 439.260688016453 6.55817534630308 1088.4623763769 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 103072389.330263 9999000 38 43 0 1951
5 9 3 1950 10170054.4730949 111541659.704814 115899190.316205 134943091.051415 1944914.28411952 3602132.41905383 2369579.79469153 2284277.14354701 8371815.34363918 30505876.7888879 12465042.5996806 11975593.5572584 0 0 0 0 0 0 0 0 187.570244528696 472.407886533436 1253.62349936047 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7315823 1392402 711282 1421759 2439100 9107400 2905623 5374567 20071231 1792000 212831.532476762 119429.812283404 28331.0339901887 289768.390756727 77077.9120143403 801113.968689912 120400.159408863 125088.972645006 171917.412487566 116413.12573017 9007.62668314212 571630.297798429 19409.9494198337 144657.999967374 830509.051489254 29841.194311365 6762.00418599932 32601.9431085883 4164.18786734456 511752.21029252 177393.601779188 173366.555695449 4822.54894029236 781347.588747585 3914.56218553913 73215.7413409422 218396.280708845 220282.431207337 223293.995273865 3444.4590457834 729999.399514197 179049.714846864 21495.5554235866 22785.9479920166 107460.457739192 13938.1636352362 171917.412487566 31124.1072722296 7705.60125233043 46215.0548836804 627060.313313268 252289.792915066 60.089923586777 608988.195171652 597458.295362819 112656.780025033 595078.451023812 587911.406872572 36258.3438051937 79313.4183910239 11534.0493485769 13528.1589102285 55851.3078812421 334.52564642963 2364.57582189024 21175.5103302414 53561.929909982 2275.00937413559 3167.09969473546 1496.64535240275 748.729524612561 8322.02497236212 89.8602566986655 0 1530.45378850636 1617.02382585815 82.3634584315446 767.850359132778 503.577897329892 0 950.272616503332 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 90620567.6318147 9999000 39 42 0 1951
6 9 10 1950 13044491.9278796 106785103.624664 115307831.137053 127368536.678274 1785133.23865408 2948477.67935993 2078146.60080505 2029774.08483116 7837166.82475316 32143931.1012009 10876257.2365837 10326198.9990323 0 0 0 0 0 0 0 0 246.164043626695 696.959800515082 1550.44856539749 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1482126 7239906 1381394 737712 1410701 2387014 9107400 2887192 5275600 20040487 1792000 335590.673666178 128428.039956311 68620.6180062963 234615.721438263 67512.0020497366 898720.676471803 128898.282579847 129454.034971345 304240.609776704 116094.228171214 6424.00241618304 528200.933263074 17038.7029069352 127067.988943309 943699.803405192 22489.9989271587 4252.59704740168 22801.7684288245 3598.69891443322 480184.335234362 320116.077678167 284557.338071942 4531.29673128531 876206.82373965 3723.01234711381 65722.8428094879 323846.474325167 325370.767260685 326017.840367701 4798.26192198781 823939.02243863 127946.935603641 63637.7990688058 64163.2979543595 108562.308219669 1803.39772508534 304240.609776704 28062.1713106835 8608.62042790228 59474.3840776237 581006.009264408 210270.852185759 -371.92658312826 563346.03612406 552373.374476189 115075.483621748 552900.777291651 540286.623481936 21976.2845369893 63600.5838873237 4268.0099567539 7479.19067081804 21600.3682023553 315.009270841921 1465.13333944184 19586.7071433393 39884.2879537299 1967.96939944296 942.130093085071 1954.25665091826 570.445323149866 8424.99725233019 153.73406665677 33.1147908655156 1395.67245279977 1128.18380724606 0 197.272633765128 487.684380651056 3.77359615550753 1260.73423233409 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 87412418.4723766 9999000 39 43 0 1951
7 9 17 1950 5132292.47589475 112261612.639351 119336023.566763 124752946.182326 2092720.93005492 3410645.16212262 2142527.56835403 2050727.09287985 9229544.60010429 22022536.6384101 14671950.2376539 14010506.0477575 0 0 0 0 0 0 0 0 246.164043626695 696.959800515082 1550.44856539749 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1424251 7163989 1370386 764141 1399644 2334849 9107400 2868762 5176633 20009744 1792000 662579.451350306 141156.89786156 147391.146041905 237593.550686982 62178.597633358 1124234.61920288 140561.597395339 141924.874056539 636181.529706124 129946.521569899 6057.09039877638 527938.784411194 21858.5021793364 121074.226046979 1198662.03972084 26098.4419064998 6285.39810095204 28969.1585305585 4874.30588554269 488453.844581205 650025.010567904 555173.193133195 5373.67383941148 1127082.28257483 5462.71376316117 60033.7458144687 630750.003348397 646052.540781246 620741.209155223 8892.82500367355 1080871.72502345 124580.227362886 170081.502961126 147484.278064299 121630.399460272 6399.31264302937 636181.529706124 51137.4325174268 14532.5631324231 86293.5230409442 570793.323701147 196440.944808121 950.498395408053 555222.910516665 547743.245604182 128784.928896021 543575.112042543 542626.292421089 9181.64333536955 15340.6268604798 2943.51570825352 7038.89048396335 3921.07192735714 231.177646272838 2235.56344665178 9433.81674567105 29204.1218847495 1338.87128737996 1570.37077930872 2452.81565053489 200.912243142813 5143.46912193422 63.700335331025 0 492.886233768412 620.932620482551 0 266.88228788856 475.718535266321 0 285.746078062189 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 91674968.5536757 9999000 38 42 0 1951
8 9 24 1950 892416.188448701 55296110.3487154 58866422.072887 61731252.6364787 1484844.07965421 1121038.21100598 1366927.33891025 1275260.66288949 6425186.98917875 7201120.78308827 10976013.1911992 10384850.2484985 0 0 0 0 0 0 0 0 246.164043626695 696.959800515082 1550.44856539749 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1366377 7088071 1359377 790571 1388586 2282683 9107400 2801321 5077667 19979000 1792000 394703.022855125 121510.741585065 71248.9406299942 226314.570484141 62080.4620899914 1066805.00248151 122050.550204736 122627.462893695 347504.44596571 108490.716883503 5947.06126605949 536311.200755513 19101.3858876374 117407.449699602 1113742.46265378 21931.6711522285 4334.01972374668 26709.2536301913 3583.75237089454 482381.388891332 370747.373424688 380016.68555443 4268.8798046329 1031438.11886689 3754.51712116133 60286.3979468203 399248.103427049 389684.647854728 417106.22219221 4961.43242631518 949613.446419018 119456.79735472 60296.644253381 63988.2779763202 100574.493100135 2087.06640327083 347504.44596571 30334.2636368431 7770.94150760909 65570.0555219423 598644.046447999 182428.730337816 183.619080944512 580527.361556998 570658.170488224 106655.51791105 569716.722386481 558537.764475435 28260.7437210761 55412.4800764221 13701.3454221228 15443.3901343064 23011.5230269757 149.641579019301 2317.5384620388 11778.569540525 25060.4125225912 1333.61814199157 1495.92933036404 894.552800886873 309.789281619678 5843.31120391159 35.7647437892611 0 614.994325850062 333.195772404482 0 523.122713304269 172.311638527896 0 844.715979684659 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 38581282.6907518 9999000 41 41 0 1951
9 10 1 1950 2443035.66762421 99440341.934734 105234842.932735 109890734.962929 2173976.36775426 2274769.88174934 2230305.06739772 2217187.41637381 10289398.7163872 15443662.5099745 15464974.8940098 14825267.7021262 0 0 0 0 0 0 0 0 246.164043626695 696.959800515082 1550.44856539749 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1308502 7012154 1348369 817000 1377528 2230518 9107400 2726227 5639913 19948256 1792000 327254.805265805 107624.047021372 67353.075158204 225202.324959414 55498.9518135091 840025.763099017 108656.417702325 109179.226806517 290776.895432557 95737.250045922 5230.39093056404 460599.604271911 14755.1458643341 108649.756670873 866957.417879542 23716.3826124852 4139.82914542138 19821.7381062003 2991.27643584754 418700.990678899 303922.808285706 278348.449953867 4425.72329136504 798115.176468757 3668.87321309812 54781.6672106912 308633.153560009 309308.311759397 312792.350327016 4656.62844482626 737284.389352942 112875.165881302 63688.447744387 60534.5147337749 89757.951356256 1495.90616918601 290776.895432557 29415.9866314379 5820.30839703586 53225.2910225359 501738.720762746 168464.756140484 -392.919743986218 488861.043805967 482777.181068741 96542.091802174 477934.266882907 475847.331756865 20260.3348835942 39959.5284720782 7483.73750346954 9805.34240234936 29472.5021320118 376.599865409899 1790.97538463288 4943.93800895515 29380.5621708849 1681.66691862593 907.710830700915 1721.44714294418 444.163350409019 5025.2465119846 152.736454685337 0 176.458342769476 260.333357114774 80.7288092609593 116.069660679284 254.379204118319 2.70042055404608 598.919789002579 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 79464699.0597725 9999000 38 41 0 1951
10 10 8 1950 6611674.01767229 105270044.016619 110345692.135535 114505387.809068 2206426.36664186 3029488.84845813 2109172.58200683 1875287.53028506 8677605.87213906 23058595.7788357 14591811.1369341 13907019.4107281 0 0 0 0 0 0 0 0 185.800057246686 616.910111045408 1235.57235554269 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1199292 6937496 1350789 817000 1361264 2230875 9107400 2735008 5647133 19891132 1792000 366974.574286904 90706.4570594674 44427.405831684 112933.029340143 46405.7285565296 726673.381850416 95180.7321960428 95597.8398363574 281181.344098541 74273.128468624 3268.0050347995 307511.060075157 10873.3850295109 75969.2828611931 710216.006079731 11583.7596399045 6611.10601016974 8818.62055995702 2392.64956413064 271887.919968934 291885.654718956 341429.907978548 3844.58474369946 632156.383120693 2885.96290678472 48788.4842747839 366310.383345293 363039.250853693 367249.403728642 4777.14186289961 605504.786762223 63996.8577202185 58760.3176828844 43779.3497742313 73834.5012027195 3621.21790702847 281181.344098541 20558.7482415624 7553.30527453544 60147.3021246157 345576.451955915 92548.8434106276 599.759522458307 331882.464527995 324929.700709703 85177.4653473854 326419.244589724 317597.196783487 11987.1408801875 46140.9283780862 1791.41365354655 4271.15465431633 35637.9882782525 260.545839954095 4477.43031695354 3585.40036978504 23152.3378952504 1204.98903918549 835.269637614744 1217.70148672274 754.990450720803 2822.70464527745 10.8808755052667 32.0114566469255 240.484274593727 318.84829011426 0 176.13265129939 226.89546150026 0 86.9678761478522 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 85264052.4167701 9999000 37 40 0 1951
