"Week" "Month" "Day" "Year" "BRRunoffAprJul" "DARunoffAprAug" "DARunoffAprSep" "DARunoffJanJul" "DURunoffAprAug" "DWRunoffAprJul" "HHRunoffAprAug" "HHRunoffMaySep" "LBRunoffAprAug" "LGRunoffAprJul" "MIRunoffAprAug" "MIRunoffMayAug" "PayetteResidualInflowJanJun" "OwyheeResidualInflowJanMay" "BoiseResidualInflowJanJul" "HeiseResidualInflowJanJul" "HenryResidualInflowJanJun" "RirieResidualInflowJanJun" "PRResidualInflowJanMar" "GCResidualInflowJanMar" "RetWA" "RetPR" "RetMCN" "ARVariableRefillCurve" "DUVariableRefillCurve" "DWVariableRefillCurve" "GCVariableRefillCurve" "HHVariableRefillCurve" "LBVariableRefillCurve" "MIVariableRefillCurve" "AFMinRefillCurve" "ARMinRefillCurve" "BRMinRefillCurve" "CLMinRefillCurve" "DUMinRefillCurve" "DWMinRefillCurve" "GCMinRefillCurve" "HHMinRefillCurve" "LBMinRefillCurve" "MIMinRefillCurve" "KEMinRefillCurve" "AFOperatingRuleCurve" "AROperatingRuleCurve" "BROperatingRuleCurve" "CLOperatingRuleCurve" "DUOperatingRuleCurve" "DWOperatingRuleCurve" "GCOperatingRuleCurve" "HHOperatingRuleCurve" "LBOperatingRuleCurve" "MIOperatingRuleCurve" "KEOperatingRuleCurve" "FlowLimePoint" "FlowAF" "FlowAM" "FlowAR" "FlowBONF" "FlowBON" "FlowBD" "FlowBC" "FlowBR" "FlowCB" "FlowCH" "FlowCJ" "FlowCOL" "FlowCL" "FlowDA" "FlowDU" "FlowDW" "FlowKE" "FlowHH" "FlowGC" "FlowHC" "FlowIH" "FlowIP" "FlowJD" "FlowJL" "FlowLB" "FlowLIG" "FlowLG" "FlowLM" "FlowLUC" "FlowMCN" "FlowMI" "FlowMIL" "FlowMIN" "FlowNOX" "FlowOWY" "FlowOX" "FlowPAL" "FlowPAY" "FlowPEL" "FlowPR" "FlowREV" "FlowRIR" "FlowRI" "FlowRR" "FlowTF" "FlowWA" "FlowWE" "DemBoiseSys" "DemMinidoka" "DemOwyhee" "DemPayette" "DemUpSnake" "DemCJ" "DemDA" "DemJD" "DemMCN" "DemPR" "DemRR" "DemRI" "DemWA" "DemWE" "CurtCJ" "CurtDA" "CurtJD" "CurtMCN" "CurtPR" "CurtRR" "CurtRI" "CurtWA" "CurtWE" "IflowCJ" "IflowDA" "IflowJD" "IflowMCN" "IflowPR" "IflowRR" "IflowRI" "IflowWA" "IflowWE" "CorrectedDARunoffAprAug" "InitialControlledFlow" "start_refill_wk" "start_refill_wk_GC" "DACorrectedResidualInflowAprAug" "DamYear"
1 8 6 2006 6849686.44577814 87719495.3891823 94631648.1751179 101866834.580417 1996393.20320478 2462211.94405692 2063578.45897304 1954859.14713095 7306716.52079356 21460600.6054191 9794757.28309601 9381709.05364862 0 0 0 0 0 0 0 0 223.12475145266 549.341516702669 1374.21856737911 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 145200 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7116541 1392402 593600 1347699 2896389 9107400 2979346 5770433 19553612 1792000 118698.901537968 214371.325589161 -46643.7295078102 627645.19874205 218621.35473063 1542008.38367781 225391.759880688 236593.357428273 12215.2522534053 193867.073981324 14172.4425752159 1354428.58565335 52907.2782513652 385341.284989039 1450005.92338458 66707.4325972969 16413.2533041022 95789.442214031 15566.9625382938 1225589.89282426 14053.0087702598 127027.470628648 5191.27288986059 1388115.29107859 6713.15658654753 206501.340623661 169606.497101436 172922.695290372 168661.929730609 8073.53562653747 1403754.32270963 400002.821625182 -118138.396328171 -71668.3749302079 185579.577096857 14141.7248202016 12215.2522534053 40173.5524393341 12888.745995845 76845.9312069406 1403202.52733935 534605.267419947 -1976.34176791297 1396150.40086941 1382540.72402554 190470.803807741 1374358.87513107 1368788.22706699 43025.3338983759 214498.528084202 22868.3419770782 17719.7602471011 116639.377699341 217.419959411516 4080.10386987092 37208.8835884178 78050.0061488362 2395.6292715237 2496.78118358722 3233.02571251699 889.669544570069 10392.5826702091 0 0 2475.6959074018 2538.65150081942 84.0431692180789 308.206367336469 296.618461868763 0 1439.05157485346 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 69066147.218937 9999000 39 40 0 2007
2 8 13 2006 966067.757915783 83267151.2013249 87670504.0052032 94354300.1849582 1918705.46565354 1674029.8763849 1716949.5067259 1471802.06486313 8195323.04359257 11194857.7463563 12615777.7221571 11692680.8439826 0 0 0 0 0 0 0 0 223.12475145266 549.341516702669 1374.21856737911 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 145200 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7221921 1392402 638280 1386299 2782067 9107400 2960915 5671467 19814306 1792000 140233.299030971 177279.309143045 -43847.4492032616 547231.255721267 169631.410506833 1330262.56825224 186202.155845173 199706.96132064 56145.1034892002 159042.963648108 12642.6378895747 1147419.09978336 44933.4700280899 311234.686777966 1244144.07501065 56782.6670246041 16644.459390141 83731.7085951888 13514.3897347859 1028354.24591432 59001.7595863147 139387.611339895 5358.72722273823 1202751.92999491 6247.39940906496 159454.538948762 183159.950479366 187321.688357469 182124.929979784 7818.54626297773 1216241.28049536 365056.307214069 -92690.1493967175 -64721.8595571851 151495.719344511 16229.1398066963 56145.1034892002 40791.9140437093 11757.5362818829 69372.0333140775 1201784.97652355 481892.963093263 -1518.27208398701 1189021.48391868 1176617.3790008 156435.840557687 1174847.51188544 1161855.3822342 47367.8523298633 148871.336062015 21107.415071757 22095.2110032636 109669.817628902 641.35821218384 6446.49568893198 30623.0906211027 71941.6446794569 1501.36266309441 2452.36903733926 1405.50547975449 379.695256302821 8793.81032681832 223.58915934696 31.4132674996498 1633.7667850899 1621.9027002506 0 838.36160457823 521.345243677404 0 1022.44280983662 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 63703465.4678768 9999000 43 41 0 2007
3 8 20 2006 7092178.35154077 113643746.276 118513901.667268 139100485.328882 2266820.57626466 4259693.09420074 2433226.28849469 2153644.64219724 10044585.3348915 29410443.1546225 13156680.0855514 12549659.8601328 0 0 0 0 0 0 0 0 223.12475145266 549.341516702669 1374.21856737911 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 267187.727490603 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7327300 1392402 682960 1424900 2667744 9107400 2942485 5572500 20075000 1792000 293066.816652438 192583.908264304 38476.1133185549 517297.803692023 139695.334790601 1366369.21260796 201201.674110157 214463.369219003 206916.09533476 175231.405054295 12226.6085989407 1076359.38905894 40828.7327566509 264880.189983546 1292173.49408118 44963.7966815353 15163.4330513271 75283.4208698052 12588.7214070531 971815.160567206 208137.926995374 295269.102071564 5322.6299945283 1252113.2305604 5768.40065266532 130968.005576929 334151.969020847 337615.723963414 333835.741503701 6430.2308441927 1272524.10150799 343697.041311996 28857.0461248425 36291.0836375808 167342.118073901 14504.5384849276 206916.09533476 41671.2136209928 10757.8659769782 65780.3196763271 1101576.70523082 443199.09941804 -160.196949494278 1102078.38989303 1096326.53621732 171226.372854097 1082250.17642936 1088304.38852067 30808.7970179956 108892.221184608 10355.9755648463 16038.4069216663 71091.7292424773 140.550766256626 2618.47768549291 20215.5143239208 44145.7345370251 2169.81221474821 1876.97261282841 2391.18113450602 962.188109343332 9022.00372750374 21.0692430109571 0 1408.9666964786 1130.05466596569 83.0333560377651 147.486027545369 482.675629696399 3.77359615550753 1279.89702869199 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 92286098.0891619 9999000 31 NA 0 2007
4 8 27 2006 5547125.06258462 92698370.0606742 95754209.6945659 105604961.544318 1967416.61288556 2142065.30203164 1963467.11619443 1591460.21257608 8684679.33154487 18819870.5301571 11998781.5809308 11243896.3983397 0 0 0 0 0 0 0 0 223.12475145266 549.341516702669 1374.21856737911 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 636739.308093438 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7321562 1392402 711282 1423330 2553422 9107400 2924054 5473533 20073116 1792000 315612.767145304 173282.489329739 77804.467821368 469071.85139107 114982.091840063 1285397.6258146 181495.646543746 193608.260741284 230739.907554045 157790.708061041 11093.0310102836 942383.14179588 35086.9418468063 220577.226868637 1219586.33242331 36620.6522262881 13778.3532293434 67608.3242247271 11742.5406216538 850441.972062673 234919.060230849 319518.133272197 5433.86201015323 1179047.02479133 6130.15356019102 106952.579004898 356732.044928536 359271.833064189 355892.181320402 6031.47732624261 1187615.91783514 328141.825912425 64876.5398508783 73083.3839236125 150787.175567337 11999.5174725057 230739.907554045 45435.3173335306 9668.15951290314 62019.8073083503 968839.565004201 412742.209151395 -291.617933631141 965410.061597895 960643.165275774 154950.65112992 950147.117258611 954223.555598534 33868.8149136751 112933.0622232 11786.9873442496 10520.8316049937 32804.2380715996 513.219289241656 3059.56241068574 21910.2711177259 52096.7685236713 2021.25599524079 2467.74458896845 2728.11566770904 591.573243253873 7365.78066207611 244.074410585475 0 1368.65432870313 1345.67467198359 0 821.036773483194 842.025560151335 0 417.35403270123 1180123 1666056 1666056 1666056 1318961 1249542 1318961 1318961 1249542 72855196.037881 9999000 38 40 0 2007
5 9 3 2006 5587765.72112805 98383639.1906943 102725579.272917 117266290.865372 1982262.53122794 2445217.50351192 2488299.96307625 2190160.07219375 7799377.51448053 20854663.2460253 11449644.5450978 10670770.1345421 0 0 0 0 0 0 0 0 223.12475145266 549.341516702669 1374.21856737911 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1540000 7315823 1392402 711282 1421759 2439100 9107400 2905623 5374567 20071231 1792000 322767.546450443 175958.217756718 81465.6548209477 360906.308296013 98315.4839590365 1128402.10622506 179167.688015408 191615.967915659 266125.28589668 159440.298106125 8798.36009584775 773865.373981387 31452.4114926189 171373.751596238 1088301.5713588 30111.9948458679 9447.49270182128 58801.9061112162 10505.4114373584 693294.357643453 274720.960750806 290544.589270005 5403.41491396681 1038894.49665135 5432.86218854967 89829.6049659665 335278.439410589 339695.276368588 331037.641196115 6647.81883743449 1027561.66148385 246511.071995883 70298.546554117 74971.292819931 154805.616273627 8123.40244945081 266125.28589668 34693.8672009848 10482.7095130569 68682.8622603258 821637.79878401 327451.188789891 227.690957561633 806087.857913584 796831.82507968 157747.12327088 797578.519007557 782053.418135927 42684.6008495391 90001.4533779173 17591.5426679297 22030.8414337485 24743.8254667274 92.8308334498228 5100.46624730562 20743.1362623918 49934.9315002985 1957.71411888861 1287.6150629886 1958.66581209316 668.923966023061 8934.94448937305 0 33.1147908655156 1040.4434270973 456.899154774615 0 184.055189917427 268.236685926894 6.51367943757837 1320.04115425888 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 78679983.9286238 9999000 40 41 0 2007
6 9 10 2006 6519761.06353762 98256455.5147654 104785123.105348 113423045.702985 2227184.31657436 2422398.42494101 2078396.48524637 1959625.19145968 10093991.5807259 20340951.3589047 15077962.9353713 13631328.7071478 0 0 0 0 0 0 0 0 292.825182313954 810.462663325258 1699.59737307292 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1482126 7239906 1381394 737712 1410701 2387014 9107400 2887192 5275600 20040487 1792000 383344.630604396 163221.936196628 70380.2349611138 296551.901648895 87556.1494277881 1058233.49076188 161495.986968738 173949.153845546 331888.542414235 139391.183575906 6431.92456107921 584223.391658133 24115.8669261255 130903.727292149 1049798.20099912 23758.8183872752 3802.80113820001 43232.0268949929 8619.163597262 523610.192320372 347444.103524414 328752.145918815 5054.53522000259 990035.190417723 4780.64208550984 78863.88983196 368599.426394383 369962.118873795 369483.111222113 7547.13354823708 926287.802879391 182669.504571573 60207.4938270696 61384.8723857055 136736.205241648 685.91465212555 331888.542414235 32791.8639172072 10823.3763516164 72586.8117902385 638759.184371752 269965.879622479 -325.67460189386 613563.99943655 602423.953888364 136876.539257007 609123.97113248 588411.484393861 34693.1377478004 66079.9832237632 10442.5371056606 13383.2132417218 31900.4805711558 438.874412967168 6586.59375997786 8465.42281741825 32202.2246923573 1850.90135508496 1346.69971827075 2285.92088984417 325.281060958885 6731.61362939989 165.759258739537 32.0114566469255 430.488350907875 413.211575554663 84.5651295254964 292.115198191921 406.975480282903 0 421.302746779397 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 78224307.4791014 9999000 38 41 0 2007
7 9 17 2006 593117.164002348 94320016.0697023 100433800.172062 105130748.632684 2464187.41656468 1653912.65619262 1769317.83996427 1511425.30780354 11214390.3823195 10657490.4830648 15956642.4289083 15081716.1912655 0 0 0 0 0 0 0 0 292.825182313954 810.462663325258 1699.59737307292 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1424251 7163989 1370386 764141 1399644 2334849 9107400 2868762 5176633 20009744 1792000 332688.169341546 153352.762269273 32164.3063642909 282995.168173752 80190.5993827879 1003915.18111884 151469.244249244 163252.575514566 278436.121940683 132643.148022776 6301.11484842557 571073.151483538 22428.0737330198 121666.815240573 994595.211814985 24289.1732594175 3616.3707256424 38807.336722583 8072.04272204707 514329.715168812 294948.733719519 289652.108790981 4685.89344399824 935507.048465386 4320.6215760761 72522.5806173273 326554.060971203 326692.242592528 328503.424221655 6646.13678094188 874797.030395142 177964.784327792 23898.8653425113 22354.9739957999 130474.644039882 -1038.81814058729 278436.121940683 24973.1051271847 9300.97944156915 65370.014034978 621865.826009811 253052.222144346 -469.66165092206 599057.868641841 588941.086190829 130984.440136372 594278.02070243 577039.52689288 20148.0161035633 72510.8777441724 3746.54478311136 11635.412953626 52362.0871192759 175.992370029575 1085.30015145505 7552.52981719585 28441.5271681354 1711.15383897997 2624.21610414734 1818.31203925152 706.754190141976 5532.14739477436 10.885518267106 0 551.727953985314 360.100288334576 0 627.566514947489 375.161222480732 0 982.138394792799 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 74512939.1275449 9999000 42 45 0 2007
8 9 24 2006 4613851.77282461 111329469.497248 117889258.206013 136838881.738784 2182581.22831002 3489531.64142139 2411538.37089352 2108559.84573747 8798681.44401007 22601963.7689635 13926338.1165373 13352994.2920636 0 0 0 0 0 0 0 0 292.825182313954 810.462663325258 1699.59737307292 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1366377 7088071 1359377 790571 1388586 2282683 9107400 2801321 5077667 19979000 1792000 402325.91436847 157051.808250161 62037.3258548739 272488.504039751 76435.3865954284 1037463.52883448 155074.104042874 166689.231121992 352841.266554361 137417.09382175 5600.22755714102 578870.123624744 21924.5276642304 116216.532316573 1031715.23968728 20066.9015365196 3484.60861493529 37446.6755727953 7527.30728424627 524286.769219479 365219.123055555 355971.580256847 4811.17843747203 980569.420505851 4282.07666454896 68632.1205737395 393248.966652169 394799.425958047 393019.980078999 6000.97456559393 937326.054975611 168206.78652546 65583.0337285339 59596.7517032186 135312.461372037 394.63165392381 352841.266554361 30251.113864882 9660.46270089493 61972.6282022119 627523.320637605 234708.817422286 -115.533377675039 606643.352718959 597510.32415707 135820.698510754 601189.254072826 586365.755999564 5642.98919172719 44601.5279527092 1484.60393907224 4118.55861382973 31812.776365606 388.978147697454 3379.38245562659 11300.9930073002 33899.0794562791 1566.10784156744 550.752138377567 933.921422794345 422.134922424241 6257.37470810337 79.3501077747955 0 581.126552539016 416.144240659151 0 78.8401821479682 267.643419558719 0 447.094595410046 555352 1249542 1180123 833028 555352 555352 555352 555352 555352 90441319.6891796 9999000 37 41 0 2007
9 10 1 2006 5370995.63246699 96954884.3631108 101988153.26424 110831100.021009 2155017.74483579 2095059.34017658 1978671.2385487 1582960.31755267 9318720.54582782 18417627.7423225 13219185.7771881 12576900.3650307 0 0 0 0 0 0 0 0 292.825182313954 810.462663325258 1699.59737307292 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1308502 7012154 1348369 817000 1377528 2230518 9107400 2726227 5631619.90664652 19948256 1792000 329204.805296307 149390.519291146 67492.602081903 214524.672847536 70499.5849812159 896776.42719986 148727.271720176 158058.536516281 286513.108923055 129447.126796649 5356.95012041976 498414.069286653 23178.9106824737 102189.251765085 888838.444380578 15904.7851726278 4424.05802075111 35292.8154979146 7378.06003255594 445600.917459199 297293.39293746 290188.603618301 5156.70838791289 841118.665519622 4895.12380590425 64426.9831756436 328157.700281093 329885.174691772 326287.342006274 5839.76412195035 791521.998889284 148808.055340903 61273.7378526112 63384.8423028859 127926.004248673 -545.61985094043 286513.108923055 30503.2334508298 9105.82857092974 53525.3138887069 550096.86003336 202045.583088041 576.181071056722 528627.519091399 519753.54348274 129529.119004784 525473.177372782 507233.387095939 14811.8488454725 54669.7780954461 9910.54596232088 7883.07728448088 23861.10083952 176.807749737934 5795.71210264633 14146.7307302815 44967.5774563323 1277.34968874878 782.621094601602 1038.31818977263 530.583545188292 4217.66304287289 25.5328345141725 0.574184056071158 449.056138680136 815.160984489006 0 138.186561602605 151.322479946016 3.77359615550753 134.081427630544 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 77041240.2537476 9999000 38 41 0 2007
10 10 8 2006 2250227.29261633 90861914.5157831 95587777.3287788 104209713.616477 2465890.65550109 1101758.19607053 1668442.63800693 1627342.05350226 10628987.9335982 9475220.18449942 20465994.7763643 19596542.3097215 0 0 0 0 0 0 0 0 221.01901981961 717.376542033894 1354.43095410489 7327300 1424900 3468000 9107400 3071500 5869400 20075000 1540000 7327300 1420000 817000 1424900 3468000 9107400 3071500 5869400 20075000 1792000 1199292 6937496 1350789 817000 1361264 2230875 9107400 2735008 5647133 19891132 1792000 381010.506204316 145704.432749994 70236.7163151074 152789.284018571 66274.0591408933 860549.260481921 151767.795750361 151186.371429879 301871.400972145 114704.333789239 3552.50772525477 393002.433113575 19096.2085995441 93053.1439546833 854316.418104862 14761.2468225585 9273.66737055918 25609.360235092 6539.59851061161 339654.558284629 310221.435191369 373107.726796563 4316.50992973645 771546.314557724 3516.37134168871 65862.6886269642 410736.931112308 411331.653002868 409154.732719169 5243.8830112928 722009.626147862 101888.935711435 76520.6690738627 76411.534985604 112146.327765861 -385.57680184363 301871.400972145 28257.524474337 10927.7331842716 68045.8654734167 410800.105872308 141784.101100971 812.104709803551 405720.151584737 400919.659699345 111733.592867114 396222.055219242 401105.267379917 15263.0853102402 51543.8032173119 6426.84832746737 11414.0328651864 19621.6330753931 14.0852912995483 1633.7540406166 7207.66927261009 29353.5435776961 807.795507336036 971.501082966582 1106.49937240286 254.822188090954 3648.03864092077 0 33.1147908655156 578.949685291302 174.267214444632 82.2152866499911 143.474618774412 196.985741065773 2.70427563930471 474.255091342115 416514 1249542 1180123 833028 555352 485933 555352 555352 485933 71390436.5157831 9999000 40 43 0 2007
