"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS" "LUCKY" "AMERI" "MINAD" "THOMF" "CHELA" "BOXCA" "JLAKE" "IPARK" "RIRDM" "PAYHS" "MILNE" "OWYHE" "PELTO" "BoiseSys" "Minidoka" "Owyhee" "UpSnake" "Payette" "SNKHE" "HFORK" "LIMEP"
1 8 5 1979 152.376698082345 171.564300832476 15.3872931160956 3937.03331625958 10.0664647076754 296359.736561294 0 548.115384620225 0 1810.51867822741 6829.793392746 0 0 3343.31029029878 0 107100.655818226 1305.85009495161 2552.13842975791 40335.3906357302 306.639887082515 14.7877932874196 26446.5996829149 3073.17786829544 75424.014890628 32.9787538651683 105.867105117204 0 9126.07946416301 3163.22989783008 0 3896.57679271676 2515.60333423664 1244.61825958784 12402.002215083 255.547628816685 160844.921855193 27975.4600339176 18548.2534967552 138.525317596697 0 0 0 2289.5448385755 617.263251711558 54968.4184851263 6221.28602462728 10700.3202268968 42566.6426520491 215688.767773143 12826.3027782469 86147.5445768665 14982.515286964 12848.5724115486 64138.3497053534 7938.24992817517
2 8 12 1979 448.171697285513 212.400939928289 33.7817766763499 6660.34143856054 10.0664647076754 250760.775576041 0 339.386402693313 0 3417.43408900979 8528.6064612587 0 0 2587.37842988911 0 105414.063104507 3261.5999844749 3140.37176638076 34815.4513292235 877.956157024876 14.7877932874196 25392.6199707555 2692.04705803526 91695.9158803568 59.6882911247425 0 0 4986.80118113354 1855.05089447781 0 1763.84803803974 2728.45065436006 573.804732366464 9228.31627205466 1210.38953165198 121596.546042336 23991.4910657271 31475.5116288364 361.113240186927 0 0 0 1078.66831341123 629.237021826343 38059.9547452189 3768.8382793774 13042.3122209757 43446.651878956 151178.949612193 22531.6251269501 87899.495824004 18747.5091658134 1911.27096922992 32864.4475625134 9286.69948446108
3 8 19 1979 128.831878481514 5.92209373912287 41.5972738744912 8660.67222183616 10.0664647076754 99817.6441110094 0 251.534885916263 0 1307.16808792972 3275.71200339908 0 0 4199.8593330679 0 74315.2230624195 1445.56582232841 753.926497704186 13311.3671845478 221.395298724436 14.7877932874196 15797.0425016847 1309.37199948119 38765.1774600549 11.7504086168886 0 0 1643.84964673237 1720.91710373723 0 2286.33588626842 1679.5127535462 636.869882093736 5053.96681694994 692.817630154139 37483.0952126763 4740.10625062853 34496.5028094909 56.0208857416988 0 0 0 471.33068883379 0 7986.47801579217 2090.92986042787 13701.0147134415 14606.5621862889 43433.6512226556 4843.86047375612 31754.5815584471 6321.80782340382 592.961179315909 5606.88316374714 9932.47755868218
4 8 26 1979 152.042594634514 66.1974427742123 64.8005744940586 706.53093297169 10.0664647076754 153963.050102551 0 175.082351654613 0 921.73029079395 642.771435387098 0 0 2925.32909092455 0 71438.624111617 165.226650345569 2159.90324964111 13473.0975890673 229.604729899331 14.7877932874196 12786.0664631327 2743.62185021923 32586.2883225866 29.652721502004 0 0 1544.85432396085 1445.13533654829 0 1803.64075722061 1522.42051947271 490.806963827041 5864.44329313526 194.281806751869 44757.2205300293 5881.5483880386 22485.2828933323 336.551180092243 0 0 0 529.512984013477 264.430195077914 9496.73774896434 2675.49868999941 7568.90052339154 20306.7649401999 68285.5968858328 7280.06081029379 32109.5486452868 10198.8551701008 1023.43007705331 12153.7547917027 7680.65925757614
5 9 2 1979 90.093482121656 3.87752385685569 0 993.334479982319 6.09185755968955 116981.316714433 0 210.402691758992 0 566.7943299703 1764.84816014515 0 0 2243.37635390555 0 42218.5827424517 116.459186772566 924.23663719758 14639.7002758368 18.1115763539234 98.8165754356258 11614.4286493723 1802.92769349842 34055.2598114741 0 0 0 3689.86680519257 1748.15706214918 0 1325.20292058831 1582.48100221538 217.897927953998 4944.02102630905 10.257759042926 39391.7909104483 6142.98540890833 10600.2308180713 90.2933453572176 0 0 0 1044.92868064306 426.131916240142 11326.4964323927 1692.09105147999 3415.77737964073 18471.7736280339 71980.7468699369 4082.8193364989 27339.1815776063 7680.40766526623 2451.7931388681 10645.7448746169 6563.92416283798
6 9 9 1979 90.093482121656 0 0 154.920862938136 6.09185755968955 150458.098576955 0 241.096714410072 0 44.1163977975643 1937.99432378205 0 0 672.792425477394 0 31318.2131651387 180.431976400913 187.494640814259 11064.4266649983 68.2066380337035 8.64797852558058 17755.4046992137 1015.88000772774 26344.0251082647 0 0 0 4394.39331265425 606.894627620478 0 1741.34372112856 617.121885586839 183.213010822869 1513.36577021105 494.573202855705 38646.9093363565 9976.81998236456 13498.6082150052 331.699966488974 0 0 0 1333.27223824058 1779.18028988394 14728.2457004332 2384.92540824355 1870.75193060977 27268.7384888156 78681.3937000936 11884.2455152056 21466.9842229049 11560.5679925126 2556.36469213316 15956.832659559 10328.4748074715
7 9 16 1979 90.093482121656 42.3564895421269 0 3450.68251945631 6.09185755968955 138880.25965876 0 170.661496678714 0 454.155683501869 7967.50595415921 0 0 155.409766152977 0 49745.6509347445 413.23386866025 308.203789332773 9756.9981349211 18.1115763539234 8.64797852558058 16128.0159226137 1935.19153914179 22913.701141542 0 0 0 4870.36905978325 1040.82315519371 0 1515.05918342808 1229.56251227282 420.678214219796 3126.22298599858 673.434326900914 49603.8302027839 14130.4047284852 17004.2502989883 9.93148832211614 0 0 0 1633.38934952696 379.699047860687 16864.6882228136 3402.23976835323 1275.1738231759 26847.6378879191 68055.3916713573 9757.34914012112 36873.9140313828 13496.9054632472 1319.76790879409 13043.537612134 5047.43230395519
8 9 23 1979 90.093482121656 66.0053201014328 62.2718756348454 4154.96356367419 6.09185755968955 150472.038158821 0 284.863609886416 0 1103.629251705 2749.5591773615 0 0 689.503358743796 0 49235.808158358 1436.41340030814 1455.74058191239 7302.46214804335 125.924190449873 8.64797852558058 17931.8486373058 1203.92976285527 19093.9137209281 0 0 0 8404.00919764019 1500.48533688312 0 1463.52441475127 848.491476038817 802.934822094545 5825.44905072773 815.269917486221 50502.5816073298 10525.8983453119 30148.6246498821 26.6008737585442 0 0 0 791.365294360933 1318.97446560607 9093.95730542764 2670.05701552564 3475.61475499272 36525.9453442851 50407.9602375819 7398.11132883223 42967.5893792727 18911.3187561742 1265.22412155147 7061.1334008666 9468.49050504911
9 9 30 1979 90.093482121656 19.1580640634138 30.440693651624 1327.98157051405 6.09185755968955 81107.8349056449 0 276.547774087423 0 755.135406129754 982.525430740273 0 0 2715.26338605119 0 31791.8624074273 136.414823388316 232.278792654867 5916.47639143351 0 8.64797852558058 11963.589147091 1651.22134156735 25571.882358687 0 0 0 5350.77306142876 1765.23278774796 0 1479.91065854045 1185.94579339798 477.125661177121 3730.06593062259 1041.80620562166 42257.9009287901 5778.78535691541 20437.8778489899 355.075972617556 0 0 0 490.599667243635 1143.39174585746 3909.59803600519 2349.29812169651 4927.5786566717 11723.7425438983 40045.9104614219 979.061516513102 35295.3527653165 3630.42487996034 779.117582538831 6674.03024817841 7383.99137412224
10 10 7 1979 90.3197598960367 53.1733997567501 26.6554331883875 2181.43780327319 4.33656216962156 66591.3259892204 0 169.791409606261 0 1146.99100752444 2639.79412434903 0 0 1453.76364581735 0 20086.1461670506 4728.2454682514 512.715431594367 9308.33801016037 368.209603434794 5.29391773392323 13237.6226264362 1521.01297781132 39917.5882723943 0 0 0 5782.49569737715 1121.27952185232 0 641.167841057909 1238.21337989708 219.913846984272 4453.5031776492 0 34899.1135924795 2637.46997539612 23569.7322492708 107.511684590482 0 0 0 473.153616091582 556.641633801196 7234.25585711329 3587.30288603647 4046.56179934726 4202.83529034869 37850.1634870472 1128.03726906191 26783.2897447927 2134.63651281113 1085.82540934179 7503.15205443659 5637.41929237543
