Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 5 1979 1980 1540000 1540000 384800 0 1540000 1540000 1540000 0
2 8 12 1979 1980 1540000 1540000 384800 0 1540000 1540000 1540000 0
3 8 19 1979 1980 1540000 1540000 384800 0 1540000 1540000 1540000 0
4 8 26 1979 1980 1540000 1540000 384800 0 1540000 1540000 1540000 0
5 9 2 1979 1980 1540000 1540000 384800 0 1540000 1540000 1540000 -57874
6 9 9 1979 1980 1540000 1482126 384800 0 1540000 1540000 1482126 -57875
7 9 16 1979 1980 1540000 1424251 384800 0 1540000 1540000 1424251 -57874
8 9 23 1979 1980 1540000 1366377 384800 0 1540000 1540000 1366377 -57875
9 9 30 1979 1980 1540000 1308502 384800 0 1540000 1540000 1308502 -109210
10 10 7 1979 1980 1493700 1199292 384800 0 1540000 1540000 1199292 -109210
11 10 14 1979 1980 1447400 1090082 384800 0 1540000 1540000 1090082 -109209
12 10 21 1979 1980 1401100 980873 384800 0 1540000 1540000 980873 -109210
13 10 28 1979 1980 1354800 871663 384800 0 1540000 1540000 871663 -109210
14 11 4 1979 1980 1308500 762453 384800 0 1540000 1540000 762453 -65851
15 11 11 1979 1980 1185067 696602 384800 0 1540000 1540000 696602 -65851
16 11 18 1979 1980 1061633 630751 384800 0 1540000 1540000 630751 -65852
17 11 25 1979 1980 938200 564899 384800 0 1540000 1540000 564899 -65851
18 12 2 1979 1980 938200 499048 384800 0 1540000 1540000 499048 0
19 12 9 1979 1980 938200 499048 384800 0 1540000 1540000 499048 0
20 12 16 1979 1980 938200 499048 384800 0 1540000 1540000 499048 0
21 12 23 1979 1980 938200 499048 384800 0 1540000 1540000 499048 0
22 12 30 1979 1980 938200 499048 384800 0 1540000 1540000 499048 0
23 1 6 1980 1980 1012260 499048 384800 0 1540000 1540000 499048 0
24 1 13 1980 1980 1086320 499048 384800 0 1540000 1540000 499048 0
25 1 20 1980 1980 1160380 499048 384800 0 1540000 1540000 499048 0
26 1 27 1980 1980 1234440 499048 384800 0 1540000 1540000 499048 0
27 2 3 1980 1980 1308500 499048 384800 0 1540000 1540000 499048 0
28 2 10 1980 1980 1308500 499048 384800 0 1540000 1540000 499048 0
29 2 17 1980 1980 1308500 499048 384800 0 1540000 1540000 499048 0
30 2 24 1980 1980 1308500 499048 384800 0 1540000 1540000 499048 0
31 3 2 1980 1980 1308500 499048 384800 0 1540000 1540000 499048 0
32 3 9 1980 1980 1215925 499048 384800 0 1540000 1540000 499048 0
33 3 16 1980 1980 1123350 499048 384800 0 1540000 1540000 499048 0
34 3 23 1980 1980 1030775 499048 384800 0 1540000 1540000 499048 0
35 3 30 1980 1980 938200 499048 384800 0 1540000 1540000 499048 0
36 4 6 1980 1980 938200 499048 384800 0 1540000 1540000 499048 0
37 4 13 1980 1980 938200 499048 384800 0 1540000 1540000 499048 131703
38 4 20 1980 1980 938200 630751 384800 0 1540000 1540000 630751 131702
39 4 27 1980 1980 938200 762453 384800 0 1540000 1540000 762453 35147
40 5 4 1980 1980 1058560 797600 384800 0 1540000 1540000 797600 35147
41 5 11 1980 1980 1178920 832747 384800 0 1540000 1540000 832747 35147
42 5 18 1980 1980 1299280 867894 384800 0 1540000 1540000 867894 35147
43 5 25 1980 1980 1419640 903041 384800 0 1540000 1540000 903041 35147
44 6 1 1980 1980 1540000 938188 384800 0 1540000 1540000 938188 150453
45 6 8 1980 1980 1540000 1088641 585527 0 1540000 1540000 1088641 150453
46 6 15 1980 1980 1540000 1239094 786254 0 1540000 1540000 1239094 150453
47 6 22 1980 1980 1540000 1389547 986981 0 1540000 1540000 1389547 150453
48 6 29 1980 1980 1540000 1540000 1187708 0 1540000 1540000 1540000 0
49 7 6 1980 1980 1540000 1540000 1275781 0 1540000 1540000 1540000 0
50 7 13 1980 1980 1540000 1540000 1363854 0 1540000 1540000 1540000 0
51 7 20 1980 1980 1540000 1540000 1451927 0 1540000 1540000 1540000 0
52 7 27 1980 1980 1540000 1540000 1540000 0 1540000 1540000 1540000 0
1 8 3 1980 1981 1540000 1540000 384800 0 1540000 1540000 1540000 0
2 8 10 1980 1981 1540000 1540000 384800 0 1540000 1540000 1540000 0
3 8 17 1980 1981 1540000 1540000 384800 0 1540000 1540000 1540000 0
4 8 24 1980 1981 1540000 1540000 384800 0 1540000 1540000 1540000 0
5 8 31 1980 1981 1540000 1540000 384800 0 1540000 1540000 1540000 -57874
6 9 7 1980 1981 1540000 1482126 384800 0 1540000 1540000 1482126 -57875
7 9 14 1980 1981 1540000 1424251 384800 0 1540000 1540000 1424251 -57874
8 9 21 1980 1981 1540000 1366377 384800 0 1540000 1540000 1366377 -57875
9 9 28 1980 1981 1540000 1308502 384800 0 1540000 1540000 1308502 -109210
10 10 5 1980 1981 1493700 1199292 384800 0 1540000 1540000 1199292 -109210
11 10 12 1980 1981 1447400 1090082 384800 0 1540000 1540000 1090082 -109209
12 10 19 1980 1981 1401100 980873 384800 0 1540000 1540000 980873 -109210
13 10 26 1980 1981 1354800 871663 384800 0 1540000 1540000 871663 -109210
14 11 2 1980 1981 1308500 762453 384800 0 1540000 1540000 762453 -65851
15 11 9 1980 1981 1185067 696602 384800 0 1540000 1540000 696602 -65851
16 11 16 1980 1981 1061633 630751 384800 0 1540000 1540000 630751 -65852
17 11 23 1980 1981 938200 564899 384800 0 1540000 1540000 564899 -65851
18 11 30 1980 1981 938200 499048 384800 0 1540000 1540000 499048 0
19 12 7 1980 1981 938200 499048 384800 0 1540000 1540000 499048 0
20 12 14 1980 1981 938200 499048 384800 0 1540000 1540000 499048 0
21 12 21 1980 1981 938200 499048 384800 0 1540000 1540000 499048 0
22 12 28 1980 1981 938200 499048 384800 0 1540000 1540000 499048 0
23 1 4 1981 1981 1012260 499048 384800 0 1540000 1540000 499048 0
24 1 11 1981 1981 1086320 499048 384800 0 1540000 1540000 499048 0
25 1 18 1981 1981 1160380 499048 384800 0 1540000 1540000 499048 0
26 1 25 1981 1981 1234440 499048 384800 0 1540000 1540000 499048 0
27 2 1 1981 1981 1308500 499048 384800 0 1540000 1540000 499048 0
28 2 8 1981 1981 1308500 499048 384800 0 1540000 1540000 499048 0
29 2 15 1981 1981 1308500 499048 384800 0 1540000 1540000 499048 0
30 2 22 1981 1981 1308500 499048 384800 0 1540000 1540000 499048 0
31 3 1 1981 1981 1308500 499048 384800 0 1540000 1540000 499048 0
32 3 8 1981 1981 1215925 499048 384800 0 1540000 1540000 499048 0
33 3 15 1981 1981 1123350 499048 384800 0 1540000 1540000 499048 0
34 3 22 1981 1981 1030775 499048 384800 0 1540000 1540000 499048 0
35 3 29 1981 1981 938200 499048 384800 0 1540000 1540000 499048 0
36 4 5 1981 1981 938200 499048 384800 0 1540000 1540000 499048 0
37 4 12 1981 1981 938200 499048 384800 0 1540000 1540000 499048 131703
38 4 19 1981 1981 938200 630751 384800 0 1540000 1540000 630751 131702
39 4 26 1981 1981 938200 762453 384800 0 1540000 1540000 762453 35147
40 5 3 1981 1981 1058560 797600 384800 0 1540000 1540000 797600 35147
41 5 10 1981 1981 1178920 832747 384800 0 1540000 1540000 832747 35147
42 5 17 1981 1981 1299280 867894 384800 0 1540000 1540000 867894 35147
43 5 24 1981 1981 1419640 903041 384800 0 1540000 1540000 903041 35147
44 5 31 1981 1981 1540000 938188 384800 0 1540000 1540000 938188 150453
45 6 7 1981 1981 1540000 1088641 585527 0 1540000 1540000 1088641 150453
46 6 14 1981 1981 1540000 1239094 786254 0 1540000 1540000 1239094 150453
47 6 21 1981 1981 1540000 1389547 986981 0 1540000 1540000 1389547 150453
48 6 28 1981 1981 1540000 1540000 1187708 0 1540000 1540000 1540000 0
49 7 5 1981 1981 1540000 1540000 1275781 0 1540000 1540000 1540000 0
50 7 12 1981 1981 1540000 1540000 1363854 0 1540000 1540000 1540000 0
51 7 19 1981 1981 1540000 1540000 1451927 0 1540000 1540000 1540000 0
52 7 26 1981 1981 1540000 1540000 1540000 0 1540000 1540000 1540000 0
1 8 2 1981 1982 1540000 1540000 384800 0 1540000 1540000 1540000 0
2 8 9 1981 1982 1540000 1540000 384800 0 1540000 1540000 1540000 0
3 8 16 1981 1982 1540000 1540000 384800 0 1540000 1540000 1540000 0
4 8 23 1981 1982 1540000 1540000 384800 0 1540000 1540000 1540000 0
5 8 30 1981 1982 1540000 1540000 384800 0 1540000 1540000 1540000 -57874
6 9 6 1981 1982 1540000 1482126 384800 0 1540000 1540000 1482126 -57875
7 9 13 1981 1982 1540000 1424251 384800 0 1540000 1540000 1424251 -57874
8 9 20 1981 1982 1540000 1366377 384800 0 1540000 1540000 1366377 -57875
9 9 27 1981 1982 1540000 1308502 384800 0 1540000 1540000 1308502 -109210
10 10 4 1981 1982 1493700 1199292 384800 0 1540000 1540000 1199292 -109210
11 10 11 1981 1982 1447400 1090082 384800 0 1540000 1540000 1090082 -109209
12 10 18 1981 1982 1401100 980873 384800 0 1540000 1540000 980873 -109210
13 10 25 1981 1982 1354800 871663 384800 0 1540000 1540000 871663 -109210
14 11 1 1981 1982 1308500 762453 384800 0 1540000 1540000 762453 -65851
15 11 8 1981 1982 1185067 696602 384800 0 1540000 1540000 696602 -65851
16 11 15 1981 1982 1061633 630751 384800 0 1540000 1540000 630751 -65852
17 11 22 1981 1982 938200 564899 384800 0 1540000 1540000 564899 -65851
18 11 29 1981 1982 938200 499048 384800 0 1540000 1540000 499048 0
19 12 6 1981 1982 938200 499048 384800 0 1540000 1540000 499048 0
20 12 13 1981 1982 938200 499048 384800 0 1540000 1540000 499048 0
21 12 20 1981 1982 938200 499048 384800 0 1540000 1540000 499048 0
22 12 27 1981 1982 938200 499048 384800 0 1540000 1540000 499048 0
23 1 3 1982 1982 1012260 499048 384800 0 1540000 1540000 499048 0
24 1 10 1982 1982 1086320 499048 384800 0 1540000 1540000 499048 0
