Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 5 1979 1980 7327300 7116541 227300 0 7327300 7327300 7116541 105380
2 8 12 1979 1980 7327300 7221921 227300 0 7327300 7327300 7221921 105379
3 8 19 1979 1980 7327300 7327300 227300 0 7327300 7327300 7327300 -5738
4 8 26 1979 1980 7327300 7321562 227300 0 7327300 7327300 7321562 -5739
5 9 2 1979 1980 7327300 7315823 227300 0 7327300 7327300 7315823 -75917
6 9 9 1979 1980 7327300 7239906 227300 0 7327300 7327300 7239906 -75917
7 9 16 1979 1980 7327300 7163989 227300 0 7327300 7327300 7163989 -75918
8 9 23 1979 1980 7327300 7088071 227300 0 7327300 7327300 7088071 -75917
9 9 30 1979 1980 7327300 7012154 227300 0 7327300 7327300 7012154 -74658
10 10 7 1979 1980 7277300 6937496 227300 0 7327300 7327300 6937496 -74658
11 10 14 1979 1980 7227300 6862838 227300 0 7327300 7327300 6862838 -74657
12 10 21 1979 1980 7177300 6788181 227300 0 7327300 7327300 6788181 -74658
13 10 28 1979 1980 7127300 6713523 227300 0 7327300 7327300 6713523 -74658
14 11 4 1979 1980 7077300 6638865 227300 0 7327300 7327300 6638865 -118066
15 11 11 1979 1980 7077300 6520799 227300 0 7327300 7327300 6520799 -118066
16 11 18 1979 1980 7077300 6402733 227300 0 7327300 7327300 6402733 -118066
17 11 25 1979 1980 7077300 6284667 227300 0 7327300 7327300 6284667 -118066
18 12 2 1979 1980 7077300 6166601 227300 0 7327300 7327300 6166601 -211785
19 12 9 1979 1980 6964800 5954816 594639 0 7327300 7327300 5954816 -211785
20 12 16 1979 1980 6852300 5743031 961977 0 7327300 7327300 5743031 -211785
21 12 23 1979 1980 6739800 5531246 1329316 0 7327300 7327300 5531246 -211785
22 12 30 1979 1980 6627300 5319461 1696654 0 7327300 7327300 5319461 -2352063.80533876
23 1 6 1980 1980 6420513.56447566 4916142 1998419 1249183 7327300 2967397.19466124 2967397.19466124 201447.411182315
24 1 13 1980 1980 6213726.86423197 4512824 2300184 1249183 7327300 3168844.60584355 3168844.60584355 200302.843876661
