Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 5 1979 1980 1420000 1392402 444700 0 1420000 1420000 1392402 0
2 8 12 1979 1980 1420000 1392402 444700 0 1420000 1420000 1392402 0
3 8 19 1979 1980 1420000 1392402 444700 0 1420000 1420000 1392402 0
4 8 26 1979 1980 1420000 1392402 444700 0 1420000 1420000 1392402 0
5 9 2 1979 1980 1420000 1392402 444700 0 1420000 1420000 1392402 -11008
6 9 9 1979 1980 1420000 1381394 444700 0 1420000 1420000 1381394 -11008
7 9 16 1979 1980 1420000 1370386 444700 0 1420000 1420000 1370386 -11009
8 9 23 1979 1980 1420000 1359377 444700 0 1420000 1420000 1359377 -11008
9 9 30 1979 1980 1420000 1348369 444700 0 1420000 1420000 1348369 2420
10 10 7 1979 1980 1420000 1350789 444700 0 1420000 1420000 1350789 2420
11 10 14 1979 1980 1420000 1353209 444700 0 1420000 1420000 1353209 2419
12 10 21 1979 1980 1420000 1355628 444700 0 1420000 1420000 1355628 2420
13 10 28 1979 1980 1420000 1358048 444700 0 1420000 1420000 1358048 2420
14 11 4 1979 1980 1420000 1360468 444700 0 1420000 1420000 1360468 -4364
15 11 11 1979 1980 1420000 1356104 444700 0 1420000 1420000 1356104 -4363
16 11 18 1979 1980 1420000 1351741 444700 0 1420000 1420000 1351741 -4364
17 11 25 1979 1980 1420000 1347377 444700 0 1420000 1420000 1347377 -4364
18 12 2 1979 1980 1420000 1343013 444700 0 1420000 1420000 1343013 -13834
19 12 9 1979 1980 1420000 1329179 444700 0 1420000 1420000 1329179 -13835
20 12 16 1979 1980 1420000 1315344 444700 0 1420000 1420000 1315344 -13834
21 12 23 1979 1980 1420000 1301510 444700 0 1420000 1420000 1301510 -13835
22 12 30 1979 1980 1420000 1287675 444700 0 1420000 1420000 1287675 -31696
23 1 6 1980 1980 1420000 1255979 444700 0 1420000 1420000 1255979 -31696
24 1 13 1980 1980 1420000 1224283 444700 0 1420000 1420000 1224283 -31696
25 1 20 1980 1980 1420000 1192587 444700 0 1420000 1420000 1192587 -31696
26 1 27 1980 1980 1420000 1160891 444700 0 1420000 1420000 1160891 -31696
27 2 3 1980 1980 1420000 1129195 444700 0 1420000 1420000 1129195 -11504
28 2 10 1980 1980 1320000 1117691 444700 0 1420000 1420000 1117691 -11504
29 2 17 1980 1980 1220000 1106187 444700 0 1420000 1420000 1106187 -11504
30 2 24 1980 1980 1120000 1094683 444700 0 1420000 1420000 1094683 -74683
31 3 2 1980 1980 1020000 1083179 444700 0 1420000 1420000 1020000 3308.99195543933
32 3 9 1980 1980 1023308.99195544 1057047 466568 0 1420000 1420000 1023308.99195544 3308.99195543944
33 3 16 1980 1980 1026617.98391088 1030915 488436 0 1420000 1420000 1026617.98391088 -21835.9839108788
34 3 23 1980 1980 1029926.97586632 1004782 510303 0 1420000 1420000 1004782 -26132
35 3 30 1980 1980 1033235.96782176 978650 532171 0 1420000 1420000 978650 20033
36 4 6 1980 1980 1055662.94368808 998683 630650 0 1420000 1420000 998683 20033
37 4 13 1980 1980 1078089.91955439 1018716 729130 0 1420000 1420000 1018716 22413
38 4 20 1980 1980 1109707.90346527 1041129 827609 0 1420000 1420000 1041129 22413
39 4 27 1980 1980 1141325.88737615 1063542 926088 0 1420000 1420000 1063542 36972
40 5 4 1980 1980 1420000 1100514 979245 0 1420000 1420000 1100514 36972
41 5 11 1980 1980 1420000 1137486 1032402 0 1420000 1420000 1137486 36972
42 5 18 1980 1980 1420000 1174458 1085559 0 1420000 1420000 1174458 36972
43 5 25 1980 1980 1420000 1211430 1138716 0 1420000 1420000 1211430 36972
44 6 1 1980 1980 1420000 1248402 1191873 0 1420000 1420000 1248402 39471
45 6 8 1980 1980 1420000 1287873 1248930 0 1420000 1420000 1287873 39471
