Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 5 1979 1980 1424900 1347699 25000 0 1424900 1424900 1347699 38600
2 8 12 1979 1980 1424900 1386299 25000 0 1424900 1424900 1386299 38601
3 8 19 1979 1980 1424900 1424900 25000 0 1424900 1424900 1424900 -1570
4 8 26 1979 1980 1424900 1423330 87182 0 1424900 1424900 1423330 -1571
5 9 2 1979 1980 1424900 1421759 149364 0 1424900 1424900 1421759 -11058
6 9 9 1979 1980 1424900 1410701 182240 0 1424900 1424900 1410701 -11057
7 9 16 1979 1980 1424900 1399644 215116 0 1424900 1424900 1399644 -11058
8 9 23 1979 1980 1424900 1388586 247992 0 1424900 1424900 1388586 -11058
9 9 30 1979 1980 1424900 1377528 280868 0 1424900 1424900 1377528 -16264
10 10 7 1979 1980 1424900 1361264 293046 0 1424900 1424900 1361264 -16265
11 10 14 1979 1980 1424900 1344999 305225 0 1424900 1424900 1344999 -16264
12 10 21 1979 1980 1424900 1328735 317403 0 1424900 1424900 1328735 -16265
13 10 28 1979 1980 1424900 1312470 329582 0 1424900 1424900 1312470 -16264
14 11 4 1979 1980 1424900 1296206 341760 0 1424900 1424900 1296206 -45769
15 11 11 1979 1980 1424900 1250437 350438 0 1424900 1424900 1250437 -45768
16 11 18 1979 1980 1424900 1204669 359115 0 1424900 1424900 1204669 -45769
17 11 25 1979 1980 1424900 1158900 367793 0 1424900 1424900 1158900 -45769
18 12 2 1979 1980 1424900 1113131 376471 0 1424900 1424900 1113131 -70661
19 12 9 1979 1980 1324900 1042470 382024 0 1424900 1424900 1042470 -70661
20 12 16 1979 1980 1224900 971809 387578 0 1424900 1424900 971809 -70661
21 12 23 1979 1980 1124900 901148 393132 0 1424900 1424900 901148 -70661
22 12 30 1979 1980 1024900 830487 398686 0 1424900 1424900 830487 -453950.642054126
23 1 6 1980 1980 938279.905202616 776735 402732 123380 1424900 376536.357945874 376536.357945874 -3978.31745639013
24 1 13 1980 1980 851658.810405232 722983 406778 123380 1424900 372558.040489484 372558.040489484 -5126.93992659164
25 1 20 1980 1980 765038.715607847 669231 410824 123380 1424900 367431.100562892 367431.100562892 -6089.73769534618
26 1 27 1980 1980 678417.620810463 615479 414871 123380 1424900 361341.362867546 361341.362867546 -5466.96680698992
27 2 3 1980 1980 591797.526013079 561727 418917 123380 1424900 355874.396060556 355874.396060556 1426.52572149644
28 2 10 1980 1980 505176.431215695 515611 423479 105579 1424900 357300.921782052 357300.921782052 -50.9107068003505
29 2 17 1980 1980 418556.336418311 469496 428041 87777 1424900 357250.011075252 357250.011075252 -25314.7694543256
30 2 24 1980 1980 331935.241620927 423380 432603 69976 1424900 356742.981091127 331935.241620927 -86620.0947973842
31 3 2 1980 1980 245315.146823542 377264 437165 52174 1424900 360154.454440591 245315.146823542 -21308.1658954223
32 3 9 1980 1980 224006.98092812 348553 444157 45579 1424900 349921.861355394 224006.98092812 -21308.1658954223
33 3 16 1980 1980 202698.815032698 319843 451148 38984 1424900 340463.928632404 202698.815032698 0
34 3 23 1980 1980 202698.815032698 291132 458140 32388 1424900 328306.885927206 202698.815032698 0
35 3 30 1980 1980 202698.815032698 262421 465132 25793 1424900 323012.932559532 202698.815032698 116596.386369032
36 4 6 1980 1980 1424900 246752 477231 25397 1424900 319295.201401729 319295.201401729 -2165.4833684389
37 4 13 1980 1980 1424900 231082 489330 25000 1424900 317129.71803329 317129.71803329 16830.2867566707
38 4 20 1980 1980 1424900 232173 501330 25000 1424900 333960.004789961 333960.004789961 62291.9965396233
39 4 27 1980 1980 1424900 233264 513330 25000 1424900 396252.001329584 396252.001329584 75401.8747519054
40 5 4 1980 1980 1424900 278249 558474 0 1424900 471653.87608149 471653.87608149 97218.53511174
41 5 11 1980 1980 1424900 323234 603618 0 1424900 568872.41119323 568872.41119323 75699.9052772338
42 5 18 1980 1980 1424900 368220 648761 0 1424900 644572.316470464 644572.316470464 49332.6835295365
43 5 25 1980 1980 1424900 413205 693905 0 1424900 836114.349172179 693905 45144
44 6 1 1980 1980 1424900 458190 739049 0 1424900 957180.675481425 739049 89702
45 6 8 1980 1980 1424900 592074 828751 0 1424900 1024239.72347735 828751 89703
46 6 15 1980 1980 1424900 725958 918454 0 1424900 1093001.02935343 918454 89702
47 6 22 1980 1980 1424900 859842 1008156 0 1424900 1179156.96417276 1008156 89703
