Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 5 1979 1980 3468000 2911906 1986353 0 2896389 3468000 2896389 -114322
2 8 12 1979 1980 3468000 2824105 1986353 0 2782067 3468000 2782067 -114323
3 8 19 1979 1980 3468000 2736303 1986353 0 2667744 3468000 2667744 -114322
4 8 26 1979 1980 3468000 2587741 1975543 0 2553422 3468000 2553422 -114322
5 9 2 1979 1980 3468000 2439179 1964733 0 2439100 3468000 2439100 -52086
6 9 9 1979 1980 3468000 2387014 1956006 0 2388825 3468000 2387014 -52165
7 9 16 1979 1980 3468000 2334849 1947279 0 2338550 3468000 2334849 -52166
8 9 23 1979 1980 3468000 2282683 1938552 0 2288275 3468000 2282683 -52165
9 9 30 1979 1980 3468000 2230518 1929824 0 2238000 3468000 2230518 357
10 10 7 1979 1980 3328000 2230875 1927762 0 3468000 3468000 2230875 357
11 10 14 1979 1980 3188000 2231232 1925699 0 3468000 3468000 2231232 357
12 10 21 1979 1980 3048000 2231589 1923636 0 3468000 3468000 2231589 357
13 10 28 1979 1980 2908000 2231946 1921573 0 3468000 3468000 2231946 357
14 11 4 1979 1980 2768000 2232303 1919510 0 3468000 3468000 2232303 -1735
15 11 11 1979 1980 2768000 2230568 1921097 0 3468000 3468000 2230568 -1736
16 11 18 1979 1980 2768000 2228832 1922684 0 3468000 3468000 2228832 -1735
17 11 25 1979 1980 2768000 2227097 1924271 0 3468000 3468000 2227097 -1736
18 12 2 1979 1980 2768000 2225361 1925857 0 3468000 3468000 2225361 -5901
19 12 9 1979 1980 2768000 2219460 1919362 0 3468000 3468000 2219460 -5900
20 12 16 1979 1980 2768000 2213560 1912866 0 3468000 3468000 2213560 -5901
21 12 23 1979 1980 2768000 2207659 1906370 0 3468000 3468000 2207659 -5901
22 12 30 1979 1980 2768000 2201758 1899874 0 3468000 3468000 2201758 -93818
23 1 6 1980 1980 2747895.01028826 2195173 1899676 2107940 3468000 1515919.27160228 2107940 0
24 1 13 1980 1980 2727790.02057653 2188588 1899477 2107940 3468000 1516851.67999055 2107940 0
25 1 20 1980 1980 2707685.03086479 2182002 1899279 2107940 3468000 1517059.81843753 2107940 0
26 1 27 1980 1980 2687580.04115305 2175417 1899081 2107940 3468000 1513814.10150542 2107940 0
27 2 3 1980 1980 2667475.05144131 2168832 1898882 2107940 3468000 1507428.35082875 2107940 -5554
28 2 10 1980 1980 2664390.57260828 2162188 1902403 2102386 3468000 1505429.66939334 2102386 -5553
29 2 17 1980 1980 2661306.09377525 2155543 1905924 2096833 3468000 1499832.08120928 2096833 -5554
30 2 24 1980 1980 2658221.61494223 2148899 1909444 2091279 3468000 1527300.05072802 2091279 -5554
31 3 2 1980 1980 2655137.1361092 2142254 1912965 2085725 3468000 1589360.83208477 2085725 10909
32 3 9 1980 1980 2703879.96542266 2163378 1964089 2096634 3468000 1645244.17232583 2096634 10909
33 3 16 1980 1980 2752622.79473613 2184502 2015213 2107543 3468000 1676762.15385414 2107543 10909
34 3 23 1980 1980 2801365.6240496 2205626 2066337 2118452 3468000 1704366.92193107 2118452 10909
35 3 30 1980 1980 2850108.45336306 2226750 2117461 2129361 3468000 1730320.30671782 2129361 57025
36 4 6 1980 1980 2936248.72828299 2248172 2255708 2186386 3468000 1742434.71032806 2186386 57025
37 4 13 1980 1980 3022389.00320292 2269593 2393956 2243411 3468000 1778226.01879552 2243411 -338385.287204897
38 4 20 1980 1980 3468000 2375015 2497890 1848106 3468000 1905025.7127951 1905025.7127951 220220.263030165
39 4 27 1980 1980 3468000 2480436 2601824 1452800 3468000 2125245.97582527 2125245.97582527 214968.926488497
40 5 4 1980 1980 3468000 2629434 2745149 0 3468000 2340214.90231377 2340214.90231377 185079.164203999
41 5 11 1980 1980 3468000 2778432 2888475 0 3468000 2525294.06651776 2525294.06651776 129436.070133186
42 5 18 1980 1980 3468000 2927431 3031800 0 3468000 2654730.13665095 2654730.13665095 116965.17417164
43 5 25 1980 1980 3468000 3076429 3175126 0 3468000 2771695.31082259 2771695.31082259 175317.791952975
44 6 1 1980 1980 3468000 3225427 3318451 0 3468000 2947013.10277557 2947013.10277557 173432.232712539
45 6 8 1980 1980 3468000 3286070 3355839 0 3468000 3120445.3354881 3120445.3354881 148283.012233249
46 6 15 1980 1980 3468000 3346714 3393226 0 3468000 3268728.34772135 3268728.34772135 130576.954388745
47 6 22 1980 1980 3468000 3407357 3430613 0 3468000 3399305.3021101 3399305.3021101 68694.6978899012
48 6 29 1980 1980 3468000 3468000 3468000 0 3468000 3468000 3468000 -114322
49 7 6 1980 1980 3468000 3350927 3468000 0 3353678 3468000 3353678 -114322
50 7 13 1980 1980 3468000 3233854 3468000 0 3239356 3468000 3239356 -114323
51 7 20 1980 1980 3468000 3116781 3468000 0 3125033 3468000 3125033 -114322
52 7 27 1980 1980 3468000 2999708 3468000 0 3010711 3468000 3010711 -114322
1 8 3 1980 1981 3468000 2911906 1986353 0 2896389 3468000 2896389 -114322
2 8 10 1980 1981 3468000 2824105 1986353 0 2782067 3468000 2782067 -114323
3 8 17 1980 1981 3468000 2736303 1986353 0 2667744 3468000 2667744 -114322
4 8 24 1980 1981 3468000 2587741 1975543 0 2553422 3468000 2553422 -114322
5 8 31 1980 1981 3468000 2439179 1964733 0 2439100 3468000 2439100 -52086
