Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 5 1979 1980 5869400 5809367 4289467 0 5770433 5869400 5770433 -98966
2 8 12 1979 1980 5869400 5839383 4289467 0 5671467 5869400 5671467 -98967
3 8 19 1979 1980 5869400 5869400 4289467 0 5572500 5869400 5572500 -98967
4 8 26 1979 1980 5869400 5869004 4338558 0 5473533 5869400 5473533 -98966
5 9 2 1979 1980 5869400 5868607 4387649 0 5374567 5869400 5374567 -98967
6 9 9 1979 1980 5869400 5811434 4404633 0 5275600 5869400 5275600 -98967
7 9 16 1979 1980 5869400 5754260 4421616 0 5176633 5869400 5176633 -98966
8 9 23 1979 1980 5869400 5697087 4438600 0 5077667 5869400 5077667 337233
9 9 30 1979 1980 5869400 5639913 4455583 0 5414900 5869400 5414900 232233
10 10 7 1979 1980 5869400 5647133 4453996 0 5869400 5869400 5647133 7220
11 10 14 1979 1980 5869400 5654353 4452409 0 5869400 5869400 5654353 7219
12 10 21 1979 1980 5869400 5661572 4450823 0 5869400 5869400 5661572 7220
13 10 28 1979 1980 5869400 5668792 4449236 0 5869400 5869400 5668792 7220
14 11 4 1979 1980 5869400 5676012 4447649 0 5869400 5869400 5676012 -157190
15 11 11 1979 1980 5744400 5518822 4433542 0 5869400 5869400 5518822 -157190
16 11 18 1979 1980 5619400 5361632 4419434 0 5869400 5869400 5361632 -157190
17 11 25 1979 1980 5494400 5204442 4405327 0 5869400 5869400 5204442 -157190
18 12 2 1979 1980 5369400 5047252 4391219 0 5869400 5869400 5047252 -306297
19 12 9 1979 1980 4994400 4740955 4365905 0 5869400 5869400 4740955 -306297
20 12 16 1979 1980 4619400 4434658 4340591 0 5869400 5869400 4434658 -190258
21 12 23 1979 1980 4244400 4128360 4315277 0 5869400 5869400 4244400 -375000
22 12 30 1979 1980 3869400 3822063 4289963 0 5869400 5869400 3869400 120000
23 1 6 1980 1980 3989400 3781561 4269871 2398527 5869400 5056086.6498971 3989400 120000
24 1 13 1980 1980 4109400 3741058 4249778 2398527 5869400 4962683.12533755 4109400 120000
25 1 20 1980 1980 4229400 3700556 4229686 2398527 5869400 4867769.28671713 4229400 -19807
26 1 27 1980 1980 4349400 3660053 4209593 2398527 5869400 4770579.23838762 4209593 -20092
27 2 3 1980 1980 4469400 3619551 4189501 2398527 5869400 4671657.06107302 4189501 -25835
28 2 10 1980 1980 4569400 3565749 4163666 2212131 5869400 4625353.74066008 4163666 -25835
29 2 17 1980 1980 4669400 3511948 4137831 2025734 5869400 4575319.24089941 4137831 -25835
30 2 24 1980 1980 4769400 3458146 4111996 1839338 5869400 4530255.46470263 4111996 -25834
31 3 2 1980 1980 4869400 3404344 4086162 1652941 5869400 4498051.31743383 4086162 -26033
32 3 9 1980 1980 4969400 3358675 4060129 1496396 5869400 4380850.85649715 4060129 -26033
33 3 16 1980 1980 5069400 3313006 4034096 1339850 5869400 4258332.7526193 4034096 -26033
34 3 23 1980 1980 5087571.8291223 3267336 4008063 1183305 5869400 4133909.65193844 4008063 -26033
35 3 30 1980 1980 5105743.65824461 3221667 3982030 1026759 5869400 4016467.22303806 3982030 -36744
36 4 6 1980 1980 5117858.21099281 3136180 3945286 966264 5869400 3969851.3833882 3945286 -36744
37 4 13 1980 1980 5129972.76374101 3050692 3908542 905768 5869400 3925166.19631273 3908542 -2182
38 4 20 1980 1980 5142087.31648921 3003287 3906360 897834 5869400 3937064.53288906 3906360 -2182
39 4 27 1980 1980 5154201.86923741 2955882 3904178 889900 5869400 4082499.55334355 3904178 174427
40 5 4 1980 1980 5869400 3139670 4078605 0 5869400 4416327.76178803 4078605 174426
41 5 11 1980 1980 5869400 3323458 4253031 0 5869400 4759163.60054689 4253031 174426
42 5 18 1980 1980 5869400 3507247 4427457 0 5869400 4999598.47018109 4427457 174427
43 5 25 1980 1980 5869400 3691035 4601884 0 5869400 5343261.71342864 4601884 174426
44 6 1 1980 1980 5869400 3874823 4776310 0 5869400 5805568.46559497 4776310 228397
45 6 8 1980 1980 5869400 4341881 5004707 0 5869400 5848503.62550431 5004707 228396
46 6 15 1980 1980 5869400 4808938 5233103 0 5869400 5869400 5233103 228397
47 6 22 1980 1980 5869400 5275996 5461500 0 5869400 5869400 5461500 281553
48 6 29 1980 1980 5869400 5743053 5689896 0 5869400 5869400 5743053 9074
49 7 6 1980 1980 5869400 5752127 5734772 0 5869400 5869400 5752127 117273
50 7 13 1980 1980 5869400 5761202 5869400 0 5869400 5869400 5869400 0
51 7 20 1980 1980 5869400 5770276 5869400 0 5869400 5869400 5869400 0
52 7 27 1980 1980 5869400 5779350 5869400 0 5869400 5869400 5869400 -98967
1 8 3 1980 1981 5869400 5809367 4289467 0 5770433 5869400 5770433 -98966
2 8 10 1980 1981 5869400 5839383 4289467 0 5671467 5869400 5671467 -98967
3 8 17 1980 1981 5869400 5869400 4289467 0 5572500 5869400 5572500 -98967
4 8 24 1980 1981 5869400 5869004 4338558 0 5473533 5869400 5473533 -98966
5 8 31 1980 1981 5869400 5868607 4387649 0 5374567 5869400 5374567 -98967
6 9 7 1980 1981 5869400 5811434 4404633 0 5275600 5869400 5275600 -98967
7 9 14 1980 1981 5869400 5754260 4421616 0 5176633 5869400 5176633 -98966
8 9 21 1980 1981 5869400 5697087 4438600 0 5077667 5869400 5077667 562246
9 9 28 1980 1981 5869400 5639913 4455583 0 5641200 5869400 5639913 7220
10 10 5 1980 1981 5869400 5647133 4453996 0 5869400 5869400 5647133 7220
11 10 12 1980 1981 5869400 5654353 4452409 0 5869400 5869400 5654353 7219
12 10 19 1980 1981 5869400 5661572 4450823 0 5869400 5869400 5661572 7220
13 10 26 1980 1981 5869400 5668792 4449236 0 5869400 5869400 5668792 7220
14 11 2 1980 1981 5869400 5676012 4447649 0 5869400 5869400 5676012 -157190
15 11 9 1980 1981 5744400 5518822 4433542 0 5869400 5869400 5518822 -157190
16 11 16 1980 1981 5619400 5361632 4419434 0 5869400 5869400 5361632 -157190
17 11 23 1980 1981 5494400 5204442 4405327 0 5869400 5869400 5204442 -157190
18 11 30 1980 1981 5369400 5047252 4391219 0 5869400 5869400 5047252 -306297
19 12 7 1980 1981 4994400 4740955 4365905 0 5869400 5869400 4740955 -306297
20 12 14 1980 1981 4619400 4434658 4340591 0 5869400 5869400 4434658 -190258
21 12 21 1980 1981 4244400 4128360 4315277 0 5869400 5869400 4244400 -375000
22 12 28 1980 1981 3869400 3822063 4289963 0 5869400 5869400 3869400 -956266.594337733
23 1 4 1981 1981 3557400 3781561 4269871 2398527 5869400 2913133.40566227 2913133.40566227 -68175.4827858014
24 1 11 1981 1981 3245400 3741058 4249778 2398527 5869400 2844957.92287647 2844957.92287647 -71339.0620706729
25 1 18 1981 1981 2933400 3700556 4229686 2398527 5869400 2773618.86080579 2773618.86080579 -152218.860805792
26 1 25 1981 1981 2621400 3660053 4209593 2398527 5869400 2702386.92051973 2621400 -312000
27 2 1 1981 1981 2309400 3619551 4189501 2398527 5869400 2636289.49176852 2309400 -270000
28 2 8 1981 1981 2039400 3565749 4163666 2212131 5869400 2612525.93744358 2039400 -270000
29 2 15 1981 1981 1769400 3511948 4137831 2025734 5869400 2587893.40070667 1769400 -270000
30 2 22 1981 1981 1499400 3458146 4111996 1839338 5869400 2632673.72159257 1499400 -270000
31 3 1 1981 1981 1229400 3404344 4086162 1652941 5869400 2658803.91095901 1229400 -170000
32 3 8 1981 1981 1059400 3358675 4060129 1496396 5869400 2573106.00091437 1059400 -170000
33 3 15 1981 1981 889400 3313006 4034096 1339850 5869400 2494457.99884525 889400 0
34 3 22 1981 1981 889400 3267336 4008063 1183305 5869400 2438093.8637068 889400 0
35 3 29 1981 1981 889400 3221667 3982030 1026759 5869400 2356080.89143996 889400 0
36 4 5 1981 1981 889400 3136180 3945286 966264 5869400 2367789.87117457 889400 0
37 4 12 1981 1981 889400 3050692 3908542 905768 5869400 2359293.04688784 889400 0
38 4 19 1981 1981 889400 3003287 3906360 897834 5869400 2371952.15422845 889400 0
39 4 26 1981 1981 889400 2955882 3904178 889900 5869400 2576082.09027067 889400 1960680.17888373
40 5 3 1981 1981 5869400 3139670 4078605 0 5869400 2850080.17888373 2850080.17888373 305706.833225683
