Week Month Day Year DY Flood Critical AssuredRefill LowerLimit BiOp VariableRefill OperatingRuleCurve RefillReq
1 8 5 1979 1980 20075000 19553612 13176890 0 20075000 20075000 19553612 260694
2 8 12 1979 1980 20075000 19814306 13176890 0 20075000 20075000 19814306 260694
3 8 19 1979 1980 20075000 20075000 13176890 0 20075000 20075000 20075000 -1884
4 8 26 1979 1980 20075000 20073116 13754972 0 20075000 20075000 20073116 -1885
5 9 2 1979 1980 20075000 20071231 14333054 0 20075000 20075000 20071231 -30744
6 9 9 1979 1980 20075000 20040487 14631765 0 20075000 20075000 20040487 -30743
7 9 16 1979 1980 20075000 20009744 14930475 0 20075000 20075000 20009744 -30744
8 9 23 1979 1980 20075000 19979000 15229186 0 20075000 20075000 19979000 -30744
9 9 30 1979 1980 20075000 19948256 15527896 0 20075000 20075000 19948256 -57124
10 10 7 1979 1980 20035000 19891132 15598746 0 20075000 20075000 19891132 -57124
11 10 14 1979 1980 19995000 19834008 15669595 0 20075000 20075000 19834008 -57123
12 10 21 1979 1980 19955000 19776885 15740445 0 20075000 20075000 19776885 -57124
13 10 28 1979 1980 19915000 19719761 15811294 0 20075000 20075000 19719761 -57124
14 11 4 1979 1980 19875000 19662637 15882144 0 20075000 20075000 19662637 -157289
15 11 11 1979 1980 19875000 19505348 15914524 0 20075000 20075000 19505348 -157289
16 11 18 1979 1980 19875000 19348059 15946904 0 20075000 20075000 19348059 -157290
17 11 25 1979 1980 19875000 19190769 15979284 0 20075000 20075000 19190769 -157289
18 12 2 1979 1980 19875000 19033480 16011665 0 20075000 20075000 19033480 -294644
19 12 9 1979 1980 19827500 18738836 16019846 0 20075000 20075000 18738836 -294644
20 12 16 1979 1980 19780000 18444192 16028028 0 20075000 20075000 18444192 -294645
21 12 23 1979 1980 19732500 18149547 16036210 0 20075000 20075000 18149547 -294644
22 12 30 1979 1980 19685000 17854903 16044392 0 20075000 20075000 17854903 -288833
23 1 6 1980 1980 19421109.6039655 17566070 16042329 13919604 20075000 18959130.1962859 17566070 -288833
24 1 13 1980 1980 19157219.4726504 17277237 16040266 13919604 20075000 18911780.4849839 17277237 -288832
25 1 20 1980 1980 18893329.0766159 16988405 16038203 13919604 20075000 18863930.4155452 16988405 -288833
26 1 27 1980 1980 18629438.2100201 16699572 16036141 13919604 20075000 18815588.7114347 16699572 -288833
27 2 3 1980 1980 18365547.8139856 16410739 16034078 13919604 20075000 18765268.825128 16410739 -325339
28 2 10 1980 1980 18101657.6826705 16085400 16007946 13758249 20075000 18735742.1950514 16085400 -103587
29 2 17 1980 1980 17837767.286636 15760062 15981813 13596894 20075000 18705740.7846665 15981813 -26132
30 2 24 1980 1980 17573877.1553208 15434723 15955681 13435538 20075000 18675328.4400265 15955681 -26132
31 3 2 1980 1980 17309986.7592863 15109384 15929549 13274183 20075000 18646100.4274077 15929549 3372
32 3 9 1980 1980 17046095.8926906 14976938 15932921 13220530 20075000 18568470.8636579 15932921 3372
33 3 16 1980 1980 16782205.4966561 14844492 15936293 13166878 20075000 18488872.8776939 15936293 3372
34 3 23 1980 1980 16518315.3653409 14712046 15939665 13113225 20075000 18408476.8588093 15939665 3371
35 3 30 1980 1980 16254424.9693064 14579600 15943036 13059572 20075000 18329562.8622856 15943036 -40264
36 4 6 1980 1980 20075000 14248559 15902772 13046481 20075000 18291584.4855547 15902772 -40264
37 4 13 1980 1980 20075000 13917518 15862508 13033390 20075000 18256956.3886427 15862508 -2182
38 4 20 1980 1980 20075000 13708758 15860326 10532795 20075000 18241132.103856 15860326 -2182
39 4 27 1980 1980 20075000 13499997 15858144 8032200 20075000 18249571.6094339 15858144 79418
40 5 4 1980 1980 20075000 13630113 15937562 0 20075000 18327019.6965477 15937562 79418
41 5 11 1980 1980 20075000 13760228 16016980 0 20075000 18498782.7329959 16016980 79418
42 5 18 1980 1980 20075000 13890344 16096398 0 20075000 18652288.4374874 16096398 79418
43 5 25 1980 1980 20075000 14020459 16175816 0 20075000 18893288.6327357 16175816 79419
44 6 1 1980 1980 20075000 14150575 16255235 0 20075000 19127820.5339327 16255235 743900
45 6 8 1980 1980 20075000 14945054 16999135 0 20075000 19309250.9222593 16999135 743900
46 6 15 1980 1980 20075000 15739533 17743035 0 20075000 19492708.2419996 17743035 743900
47 6 22 1980 1980 20075000 16534011 18486935 0 20075000 19794998.9556816 18486935 743900
48 6 29 1980 1980 20075000 17328490 19230835 0 20075000 20073961.2612206 19230835 211042
49 7 6 1980 1980 20075000 17819597 19441877 0 20075000 20075000 19441877 211041
50 7 13 1980 1980 20075000 18310704 19652918 0 20075000 20052044.5008983 19652918 211041
51 7 20 1980 1980 20075000 18801811 19863959 0 20075000 20075000 19863959 211041
52 7 27 1980 1980 20075000 19292918 20075000 0 20075000 20075000 20075000 -521388
1 8 3 1980 1981 20075000 19553612 13176890 0 20075000 20075000 19553612 260694
