"date" "month" "week" "day" "year" "GC_VDL_df[1, ]"
1979-08-05 8 1 5 1979 9107400
1979-08-12 8 2 12 1979 9107400
1979-08-19 8 3 19 1979 9107400
1979-08-26 8 4 26 1979 9107400
1979-09-02 9 5 2 1979 9107400
1979-09-09 9 6 9 1979 9107400
1979-09-16 9 7 16 1979 9107400
1979-09-23 9 8 23 1979 9107400
1979-09-30 9 9 30 1979 9107400
1979-10-07 10 10 7 1979 9107400
1979-10-14 10 11 14 1979 9107400
1979-10-21 10 12 21 1979 9107400
1979-10-28 10 13 28 1979 9107400
1979-11-04 11 14 4 1979 9107400
1979-11-11 11 15 11 1979 9107400
1979-11-18 11 16 18 1979 9107400
1979-11-25 11 17 25 1979 9107400
1979-12-02 12 18 2 1979 9107400
1979-12-09 12 19 9 1979 9107400
1979-12-16 12 20 16 1979 9107400
1979-12-23 12 21 23 1979 9107400
1979-12-30 12 22 30 1979 9107400
1980-01-06 1 23 6 1980 7450294
1980-01-13 1 24 13 1980 7450294
1980-01-20 1 25 20 1980 7450294
1980-01-27 1 26 27 1980 7450294
1980-02-03 2 27 3 1980 7450294
1980-02-10 2 28 10 1980 7144542
1980-02-17 2 29 17 1980 7554113
1980-02-24 2 30 24 1980 8021800
1980-03-02 3 31 2 1980 8349854
1980-03-09 3 32 9 1980 8424628
1980-03-16 3 33 16 1980 8456362
1980-03-23 3 34 23 1980 8482147
1980-03-30 3 35 30 1980 8518839
1980-04-06 4 36 6 1980 8529550
1980-04-13 4 37 13 1980 8488800
1980-04-20 4 38 20 1980 8448050
1980-04-27 4 39 27 1980 8407300
1980-05-04 5 40 4 1980 8407300
1980-05-11 5 41 11 1980 8407300
1980-05-18 5 42 18 1980 9107400
1980-05-25 5 43 25 1980 9107400
1980-06-01 6 44 1 1980 9107400
1980-06-08 6 45 8 1980 9107400
1980-06-15 6 46 15 1980 9107400
1980-06-22 6 47 22 1980 9107400
1980-06-29 6 48 29 1980 9107400
1980-07-06 7 49 6 1980 9107400
