"date" "month" "week" "day" "year" "FirmEnergy" "NonFirmEnergy" "ColFallsFlow" "LowerGraniteFlow" "VernitaBarFlow" "McNaryFlow" "GCRec" "DallesFlood" "IHNav" "BonnevillFlow" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "TotalSysEnergy" "BonnevilleFlow"
1979-08-05 8 1 5 1979 0 0 0 0 0 0 0 0 18667.6475660852 NA 0 67315034.64 NA 3354103.12238074 0
1979-08-12 8 2 12 1979 0 682320.138520901 0 2963.13307163147 0 75782.1315638409 0 0 54385.2596425593 0 1494765.25363046 67315034.64 NA 2144242.3854791 0
1979-08-19 8 3 19 1979 0 763108.79922531 0 0 0 73792.5469231432 0 0 45918.8137580749 0 2057300.90404245 67315034.64 NA 2063453.72477469 0
1979-08-26 8 4 26 1979 0 745971.549237705 0 0 0 66850.3552226139 0 0 42008.186959314 0 2480264.32479706 65856194.88 NA 2038909.83876229 0
1979-09-02 9 5 2 1979 0 751578.511774791 0 149.427118283769 0 69823.8808648007 0 0 50506.9091618707 0 2839199.08599683 65856194.88 NA 2033302.87622521 0
1979-09-09 9 6 9 1979 0 757358.696029505 0 0 0 0 0 0 55637.9686837048 0 3288088.56437521 60923927.12 NA 1971315.95597049 0
1979-09-16 9 7 16 1979 0 807639.453288087 41.8073400498365 0 0 0 1.11435194820206 0 59289.5576538452 0 3668865.93582036 60923927.12 NA 1921035.19871191 0
1979-09-23 9 8 23 1979 80422.1912558214 987991.02 611.257779089829 0 9232.74534268847 0 0 0 62220.6841435644 0 4027960.75006066 58048226.4989262 NA 1658520.75711218 0
1979-09-30 9 9 30 1979 279066.666049336 987991.02 0 0 26100.8837108155 0 0 0 60917.5499301171 0 4443648.98143458 51095669.8811532 NA 1459876.28231866 0
1979-10-07 10 10 7 1979 227310.236672305 1124594.28 2375.40363516412 0 22812.9810143887 0 0 0 66645.7918652033 0 4462042.15925176 48951396.6972693 NA 1398611.3342077 0
1979-10-14 10 11 14 1979 218334.923242479 1124594.28 2356.77354871956 0 19017.7233790763 0 0 0 71999.440597043 0 4500296.45862751 49265532.6673132 NA 1407586.64763752 0
