"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
1979-08-05 8 1 5 1979 321312.1491535 50402.027217534 490409.048041958 188537.765925453 3023174.66446171 327686.901044623 334106.335119947 470250.996037042 320732.855556051 11313.0765857146 -9999 276768.60313161 2933832.14289096 30340.2893195343 13063.1181734811 181847.573158211 10603.3193958618 1346784.86326881 471336.377749249 1127813.73472199 5387.13230726084 2852607.28596606 4084.2825152907 81797.3602106121 1169613.94675458 1171458.96629504 1175546.90527631 6280.47224387721 3012615.83463412 209178.98401067 200449.581504482 240020.974634119 319607.734146798 21338.6549826076 470250.996037042 57845.6713193148 8759.92941625163 67995.0920137645 1887616.37503867 462536.108595368 -1133.28031063216 1870881.45087835 1856553.24111824 332723.22002875 1879449.92146178 1832312.00184807
1979-08-12 8 2 12 1979 191471.95406494 106356.569994761 430346.755793649 177668.418615058 1730119.20562281 195472.089889291 203368.316547947 439722.916055495 186963.906078669 9016.45292526784 1062237.42267208 258310.717522747 1632772.14139574 32876.9848178807 11393.7804112168 78263.9437949243 7855.18616974391 855932.717412751 465888.851911829 631917.552174636 6688.80073632013 1561485.37544007 5309.44337162328 75193.6402101944 669937.612692563 673395.033352169 672562.870199332 4748.6803292064 1721839.28179395 244991.608121088 208688.941029062 230255.875541586 188673.854090815 29843.6443233826 467320.916055494 66750.5606140453 7739.84373388375 65014.6510343868 1113133.45185604 428990.830579192 -63.62596011726 1098313.73606329 1084047.86157828 198340.20930222 1106966.02288846 1063279.03555731
1979-08-19 8 3 19 1979 182808.976447834 164678.592976195 387821.89707717 176342.884279641 1712012.72974158 185642.896383263 193960.126255571 686589.542824434 181454.893220477 9528.48457986448 932967.573220919 300176.348063988 1638859.45525976 36418.2251164415 14360.210684292 73604.0174887826 7300.10360410481 735202.863079907 677319.435146922 749463.993545639 9042.90354209558 1577936.50677859 6610.19308408524 74108.9829074958 827813.899163692 853731.229290925 812791.876133253 8439.45099991555 1749462.27702846 234151.98137612 218377.159511379 200795.693949801 183490.36828316 54549.2042137398 686589.542824434 55564.3947951058 12923.0764883262 62104.1128898537 982404.715014519 379176.777498136 423.298900738149 970386.487940619 960955.223569033 193731.392134722 976382.50888066 944566.909219352
1979-08-26 8 4 26 1979 202080.130227126 123478.545714527 333182.84334442 176408.173813972 1889172.94642229 203776.960158345 213087.702252221 543742.365669961 205722.315366229 8731.97594199711 938715.187861903 234718.128067205 1790738.27132815 38975.733880397 17022.1668879497 93905.7140456673 7526.87686964141 738323.8037409 550542.221441874 803758.353894276 5914.71730105848 1711406.0299266 4267.63310178789 74697.3047651702 815952.862838462 807172.661212536 838984.176792595 6217.7214413978 1845846.27816027 233542.685199218 198677.085325752 188288.607475579 208782.161958809 32218.0431198413 543742.365669961 46278.0921825253 8775.8343294795 66595.2460154 1008378.90948086 263567.582178875 122.872292951956 1000052.09402803 993011.505942283 220874.139137777 1002685.37452561 979325.261022452
1979-09-02 9 5 2 1979 211752.264818086 99497.6830179374 280467.380139599 176414.983055911 1824289.39275984 216510.226912203 221581.322444547 494401.139178335 200654.718025818 7848.59159500528 992432.840345496 266117.075850303 1764600.93609782 40746.9041451753 13150.2686335603 74925.4322170684 7724.9525193181 795333.869073796 499029.877691168 685763.794578419 5392.77495403486 1682930.37585081 3839.3271884988 71563.9661937372 712082.609050737 712459.964067257 720408.419856353 5861.07513294501 1804562.44284928 199857.634001701 169734.602079359 166464.223190252 198392.156297807 21868.6480881224 494401.139178335 36534.4829759155 8020.89108343103 75386.9107963402 1072723.55304446 270011.21475604 -263.787781989363 1054783.79399575 1045377.04701305 208734.845420149 1065541.62523266 1025080.23874198
1979-09-09 9 6 9 1979 185214.703091655 86659.6205793876 385508.473179349 169362.126351852 1627890.99071673 245939.938424902 244170.190473157 496571.14037829 169024.475739567 7518.20549368046 1003684.2462424 363259.306968569 1672175.09505681 46518.5473006476 7130.71393452755 61186.5627208176 5674.41429283191 1091878.07932009 533494.703546303 614525.19038918 4851.9586530249 1598348.14752716 3061.76912529574 61510.3676885265 635110.946250438 633112.005246748 647382.948005034 5921.25194819046 1761722.85760776 153922.605481618 151596.184026751 157087.559584706 160373.903410385 2926.67106220486 518103.422742445 30026.8654370778 6920.21425686373 87110.7585560051 1049910.72137849 284678.631191889 -118.59421422712 1057255.14973737 1054582.41628336 174155.463393043 1056932.07731577 1058857.96369125
1979-09-16 9 7 16 1979 160167.793593587 83787.5191338307 443568.68690746 153821.255881127 1692670.0818313 221027.091182289 219284.706805178 448065.033826791 145965.744235522 5615.05289374858 957594.421607022 316280.15911394 1734741.02888294 38430.9018797371 5628.60053474823 55187.4001867792 4269.46742580259 1014486.04507611 509380.283038778 563827.259445544 4718.29892370188 1667227.08138509 2834.78581003096 51041.1499104061 589890.583114561 590852.608204114 594367.036757811 5239.50633157798 1794061.74819829 163190.179643805 131618.639052826 139866.697043282 139306.215544855 1465.71344662513 497195.316190946 33201.1251809222 7748.44295515594 70222.6886599621 1051672.55294876 287704.776931923 -891.964045327151 1022072.17502149 1008857.1271357 152509.087744162 1046686.22697443 977989.743887988
1979-09-23 9 8 23 1979 133427.861721997 82703.4738169035 244094.924106839 143426.796400601 1544671.9947534 194239.328217078 192513.198830622 419956.861116164 119987.295688054 4975.33207079378 737319.747095502 276506.291386337 1572319.59648869 13435.1223265722 4706.77017867943 47302.6553320155 3134.33109293252 798429.082000536 479395.697774553 523132.085487581 4665.3102974451 1500719.78106716 2815.57183060138 41485.75105514 550650.371235154 551981.354759973 553448.929566592 4741.37872681757 1590947.37282509 116849.070442818 124064.939635236 124818.922582772 114006.313985201 1988.43474681282 469087.143480318 31286.647704897 6474.16282996891 60651.7465835581 842708.544211182 253240.877229522 -203.056337130046 802181.498033019 785947.938974956 126113.557529534 841765.935201707 741987.322394311
1979-09-30 9 9 30 1979 179093.956961888 91775.256340259 218754.709710329 57622.7699045921 1179427.36449969 239330.019280669 237949.759746432 467379.807875818 167861.892280863 4535.54869673005 574643.29643606 149530.524991735 1206408.10905882 24658.5753499848 4613.33223407849 88763.4783760801 2587.36873405986 659349.054900807 524146.666573481 541224.54028024 5183.26912240838 1151527.51940825 3145.87117078371 40590.3603623954 575672.940697084 582273.102063086 572782.290583395 6210.59418370356 1281916.47776677 130347.362180386 134194.047586839 127730.267368542 162387.067576839 2979.90394483912 516510.090239973 33649.482153917 8471.90313448375 58700.0539123118 608514.684735779 228803.099727692 140.332373461039 600588.569620712 595310.331483373 174317.248810876 624407.492356421 572679.273896962
1979-10-07 10 10 7 1979 125843.541911728 70535.6146986247 307125.99985769 55449.1869269057 1158639.49536538 244651.703164394 237620.927263549 386874.952499327 100990.916445843 3373.43719434844 640189.956275306 119263.110680749 1176317.90538176 15971.6012373424 6562.35021561005 19087.904923744 2180.56722809431 715239.652234737 413865.335379543 461694.774901891 4053.88185751877 1080944.22879725 2373.68380290618 37390.9054933554 493381.766714251 490471.568510116 495717.150379602 4899.67571616268 1217391.78353717 66324.9620676268 125799.065545895 118890.903615357 96948.9869587483 760.36763183575 406852.854281311 25710.855974481 7031.89847369647 50452.0128821974 654163.26819243 246305.500540977 72.986163584665 650143.519084184 649841.611602063 105713.740839479 664847.081651442 646481.247312415
1979-10-14 10 11 14 1979 134363.660456417 68568.0088575746 272771.63392454 55663.8655029896 1264684.83223642 252831.292561907 246049.521025061 321890.848191076 110431.034695232 3246.4400934504 651179.898444106 109252.068164769 1266166.65544692 8361.57567738728 6324.64284288387 17675.2543467444 1957.06121159812 718643.717005759 349542.767920034 387365.786638775 3943.05165716428 1158243.06083461 2259.90678579908 33565.5003457089 417271.257286325 417224.689864849 417039.781528177 4522.34510430087 1266621.02800992 55195.4354746979 127589.12069311 127344.945223826 106525.006883567 1177.33009246414 341868.74997306 26114.6471376339 6841.96951281761 42409.051287185 706855.866149581 254615.301117481 -649.577197135321 686251.93780332 680502.979713266 115166.637560408 712214.215613061 661498.900876574
1979-10-21 10 12 21 1979 141804.954718713 97849.5525389479 282124.020339783 60482.6858648785 1176921.6281833 258953.989132823 252905.342459109 439080.872632845 122714.103488444 3625.88454724299 610095.667339776 112928.102930124 1182623.35887018 18917.4030370748 20724.1734591559 27871.3838689004 3866.0993410344 695900.367794443 460894.829412574 479826.42197049 6857.82237967249 1092041.6712975 3574.86792244217 40131.1168535818 530848.803003967 548064.862853189 527991.822279323 15065.4547130999 1222532.504157 57348.2275981331 137926.022681217 119881.290846461 118451.783332564 4321.91284448908 459058.774414829 32294.198709825 19235.4352962427 75893.0514975245 623734.206194312 241054.121698339 1737.6415386565 621794.465742196 623319.738585068 129886.329878455 635071.21961493 623819.552984072
1979-10-28 10 13 28 1979 174483.118973155 134802.2704738 257782.267917671 71761.0881887156 1729934.38145152 295900.397222211 286860.021086994 700740.968704744 140069.356718647 6050.70804877559 736336.408738384 116445.983975964 1749652.6372057 20718.8303565016 36016.3648797788 34539.7304432152 6561.84911027504 744271.679754782 736067.220982709 789257.654300669 6113.35980449885 1581185.37570892 5136.24158453762 47330.1791768114 845385.037316147 853999.82113405 854539.471440811 19806.395480287 1707493.81346102 55931.5663380684 183531.168219194 155858.951548536 131571.205378511 6805.19429118592 720718.870486728 40936.2641599073 22606.5821905657 108447.241316632 812160.148166092 204212.510023155 1078.56079103253 798912.214029109 793178.976140687 142255.801521144 809116.815850736 785727.85586386
1979-11-04 11 14 4 1979 180519.876814087 99717.5389736117 281589.444621202 65537.2090989815 2058661.90974422 300906.743538634 295314.940680677 496687.170257298 145745.135148044 4332.97416388124 984638.374605881 133572.363129002 2057609.40231696 15084.8515366952 18019.3356465355 31774.8635718124 4067.30175667053 919150.759248105 528287.252434989 706236.816781768 4843.71926423706 1924227.3530651 3474.97458034047 42502.5033035923 710594.052046421 698115.15845947 733054.307493096 9552.08038668599 1988431.69716388 63643.5280664648 132481.35179996 118211.907089785 141770.439455286 2445.00996717001 516665.072039282 26985.5045018712 12462.8303470798 73261.9480473591 1085594.09365282 200883.232380968 423.040377808495 1059935.28376409 1050121.88391671 151417.866985077 1060100.49429978 1039263.30036764
1979-11-11 11 15 11 1979 152799.299928641 87209.9931281014 245535.661834568 58471.4677961889 2093632.49975346 160266.268046426 158637.432551811 313150.092224204 132817.992081886 3779.23917290111 1150087.55744713 109450.221453178 2037305.59246381 6912.33168148854 8609.59683089465 25455.37991702 2919.92182476179 1072145.16757614 284018.642784857 374407.782637679 5298.42552516963 1905273.448334 3319.30721258276 26861.9128168639 397741.988852426 401469.028387946 401927.822968329 8362.51127964104 1913243.63035926 58331.2537021154 32159.7901211258 20472.0282861248 135214.683282317 993.517129050411 279523.262428387 23129.2620943604 11482.344696645 70017.9854861908 1246913.15100362 235906.576262183 762.367092565954 1206947.78476798 1193649.31913776 147161.326060179 1227615.38565844 1169309.44390247
1979-11-18 11 16 18 1979 171168.371294839 54060.1158338889 352714.802982908 56661.2675592888 1686307.58065712 308232.232662691 306815.299132504 278982.887950835 153215.277995768 3286.39378418542 1098570.81748752 131518.551170936 1667633.16663215 6101.34364187533 7584.3874669003 77362.4059904858 2837.55025286545 973008.293518609 251465.773449497 341300.90081201 4467.17297131156 1585317.78711134 3065.72580773396 24007.0854900509 361806.572005463 364890.879645861 364917.271702908 7056.64488711629 1657851.07903325 56877.9285968595 27713.6047443659 18867.0844283756 155894.446414297 723.284109358758 245357.058155018 21312.6874695207 9413.1374900068 61828.1558731689 1140564.87571661 350081.105907697 140.924793189748 1127309.73904093 1120990.16870817 167639.493234915 1138293.85981607 1108061.8892744
