"date" "month" "week" "day" "year" "ALBEN" "AMERI" "ARROW" "BONFE" "BONNE" "BOUND" "BOXCA" "BROWN" "CABIN" "CHELA" "CHIEF" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "IPARK" "JDAYY" "JLAKE" "LIBBY" "LGOOS" "LGRAN" "LMONU" "BOISE" "MCNAR" "MICAA" "MILNE" "MINAD" "NOXON" "OWYHE" "OXBOW" "PALIS" "PAYHS" "PELTO" "PRIRA" "REVEL" "RIRDM" "RISLA" "ROCKY" "THOMF" "WANAP" "WELLS"
1979-08-05 8 1 5 1979 321312.149153499 266090.794990677 554395.187615356 188537.765925453 3023174.66446171 327686.901044623 334106.335119947 470250.996037042 320732.855556051 18396.0765857147 1832895.55600278 500168.60313161 2933832.14289096 53778.4056571802 584674.118173481 181847.573158212 125915.644726936 1765262.86326881 471336.377749249 1127813.73472199 10071.0730097226 2852607.28596606 33531.0455572826 180764.360210612 1169613.94675458 1171458.96629504 1175546.90527631 48847.1148959263 3012615.83463412 367471.656399014 200449.581504482 240020.974634119 319607.734146798 34164.9577608545 470250.996037042 106380.865462645 55499.9294162516 67995.0920137645 1887616.37503867 462536.108595368 2348.36637845041 1870881.45087835 1856553.24111824 332723.22002875 1879449.92146178 1832312.00184807
1979-08-12 8 2 12 1979 306784.279396014 257535.519606954 332246.845908901 276635.418615058 3011130.65937044 310784.415220365 318680.641879021 467715.406889681 302276.231409743 23183.4529252679 1764160.38558553 521256.125416474 2913783.59514337 33340.619358435 697326.780411217 193576.269125999 146230.281786713 1697347.6803262 466283.342746016 1203923.04300882 11467.9970353924 2842496.82918771 35355.0545118282 273126.640210195 1241943.10352675 1245400.52418636 1244568.36103352 48195.3322081624 3002850.73554158 248122.78977222 208688.941029062 230255.875541586 303986.179421889 52375.2694503327 467715.406889681 116272.797328665 54479.8437338837 65014.6510343868 1822139.41476949 329625.219177668 3488.82570998933 1807319.69897675 1793053.82449173 313652.534633294 1815971.98580191 1765201.99847076
1979-08-19 8 3 19 1979 182808.976447834 208112.244198851 325161.691519236 176342.884279641 1743228.30971508 185642.896383263 193960.126255571 714187.542824434 181454.893220477 16611.4845798644 936585.153194417 216395.13359542 1670075.03523326 56002.3919877915 128683.210684292 73604.0174887825 30361.873889999 878313.443053404 704917.435146922 777061.993545639 10769.4365243391 1609152.08675209 17464.4738792258 173075.982907495 855411.899163692 881329.229290925 840389.876133253 23046.0131862045 1780677.85700196 266569.746463771 218377.159511379 200795.693949801 183490.36828316 59393.0646874959 714187.542824434 73454.8034939198 19244.88431173 62104.1128898537 986022.294988017 317782.273456978 1706.65798298712 974004.067914117 964572.803542531 193731.392134722 980000.088854158 948184.48919285
1979-08-26 8 4 26 1979 202080.130227126 191764.14260036 326215.787744696 176408.173813972 1878800.79552773 203776.960158345 213087.702252221 543742.365669961 205722.315366229 15814.975941997 928343.036967344 193966.334554979 1780366.12043359 24560.4278522038 131344.16688795 93905.7140456673 30589.6471555354 867443.65284634 550542.221441874 803758.353894276 7660.55025051811 1701033.87903204 15243.2479610067 173664.30476517 815952.862838462 807172.661212536 838984.176792595 26524.4863815977 1835474.12726571 214649.118545153 198677.085325752 188288.607475579 208782.161958809 39498.1039301351 543742.365669961 64368.4879681319 18974.6894995803 66595.2460154 998006.758586303 250862.526579151 1420.57734395371 989679.943133466 982639.355047724 220874.139137777 992313.223631055 968953.110127893
1979-09-02 9 5 2 1979 211752.264818086 171478.429887874 274798.778787694 176414.983055911 1802162.99916478 216510.226912203 221581.322444547 494401.139178335 200654.718025818 14932.5915950052 970306.446750439 225089.35845635 1742474.54250276 53343.7322046243 127472.26863356 74925.4322170685 30787.4597560144 912700.47547874 499029.877691168 685763.794578419 6879.23758036177 1660803.98225575 13184.3457335073 170529.966193737 712082.609050737 712459.964067257 720408.419856353 24332.8487609789 1782436.04925422 228508.102202742 169734.602079359 166464.223190252 198392.156297807 25951.4674246213 494401.139178335 51937.2723659824 15701.2987486973 75386.9107963402 1050597.1594494 258603.613404135 841.123234214583 1032657.4004007 1023250.65341799 208734.845420149 1043415.2316376 1002953.84514692
1979-09-09 9 6 9 1979 243088.703091655 165341.014279481 490667.043600222 169362.126351852 1652689.22609074 245939.938424902 244170.190473157 518103.422742445 169024.475739567 14601.2054936804 1028482.48161641 377457.595289903 1696973.33043082 108223.513196239 59216.7139345277 61186.5627208175 28737.1845787261 1008193.3146941 533494.703546303 614525.19038918 6019.14318108828 1623146.38290117 10399.5661657445 160477.367688526 635110.946250438 633112.005246748 647382.948005034 33189.9904370061 1786521.09298178 246452.187742854 151596.184026751 157087.559584706 160373.903410385 14810.9165774105 518103.422742445 42121.2815002175 18480.7822493763 87110.7585560051 1074708.95675251 313920.201612762 748.992377025941 1082053.38511138 1079380.65165737 174155.463393043 1081730.31268978 1083656.19906526
1979-09-16 9 7 16 1979 218042.793593587 151842.910805188 571994.322313522 153821.255881127 1727780.69211827 221027.091182289 219284.706805178 497195.316190946 145965.744235522 21982.0528937485 992705.031893989 272453.133994845 1769851.63916991 99568.4080951054 57793.6005347483 55187.4001867792 27331.2377116969 941113.655363075 509380.283038778 563827.259445544 6723.17587799003 1702337.69167206 15438.9455019427 150008.149910406 589890.583114561 590852.608204114 594367.036757811 32087.1442194971 1829172.35848526 274054.045305655 131618.639052826 139866.697043282 139306.215544855 11223.0625867462 497195.316190946 53975.7460378262 21245.3484184031 70222.6886599622 1086783.16323573 340213.412337985 598.292482951825 1057182.78530846 1043967.73742267 152509.087744162 1081796.8372614 1013100.35417496
1979-09-23 9 8 23 1979 191301.861721997 133111.434054485 384898.905743542 143426.796400601 1604667.14215302 194239.328217078 192513.198830622 469087.143480318 119987.295688054 21341.3320707937 797314.894495123 245185.457149254 1632314.74388831 106438.870768896 56872.7701786794 47302.6553320156 26197.1013788274 749941.229400156 479395.697774553 523132.085487581 7001.50736224553 1560714.92846679 17502.6581445718 140451.75105514 550650.371235154 551981.354759973 553448.929566592 41267.3240711027 1650942.52022471 277324.64812398 124064.939635236 124818.922582772 114006.313985201 9386.54607564505 469087.143480318 55494.4217353353 25385.4815861431 60951.7465835582 902703.691610803 318126.858866226 1533.47563293351 862176.64543264 845943.086374577 126113.557529534 901761.082601328 801982.469793932
1979-09-30 9 9 30 1979 236968.956961888 131821.166801681 368070.113449722 57622.7699045921 1277934.2286867 239330.019280669 237949.759746432 517752.956991802 167861.892280863 20902.5486967301 671907.293871241 168499.332251399 1304914.97324582 100468.712251399 56778.3322340786 88763.47837608 71110.9144509229 648130.052335987 525389.53332531 542467.407032069 7102.31789201902 1250034.38359526 15210.4505440986 55535.2 576915.807448913 583515.968814915 574025.157335224 17934.3367276019 1380423.34195378 261318.519248848 134194.047586839 127730.267368542 162387.067576839 5201.83221318084 517752.956991802 53534.7476856984 12102.3280144441 59000.0539123118 705778.68217096 302201.503467085 1566.79146407062 697852.567055893 692574.328918554 174317.248810876 721671.489791602 669943.271332143
1979-10-07 10 10 7 1979 235053.541911728 108385.778185672 421343.577300126 55449.1869269057 1227073.25701793 244651.703164394 237620.927263549 406852.854281311 100990.916445843 13766.4371943485 708623.717927859 146216.048231634 1244751.66703432 78185.4282316342 18048.94 44428.16 5553.52 675189.41388729 413865.335379543 461694.774901891 5510.12000798081 1149377.9904498 11528.6886318158 55535.2 493381.766714251 490471.568510116 495717.150379602 9102.51100651137 1285825.54518972 255314.448839677 125799.065545895 118890.903615357 96948.9869587483 1888.40490089766 406852.854281311 40800.4580513074 9718.66 52758.44 722597.029844983 285865.077983413 1155.43085217928 718577.280736737 718275.373254616 105713.740839479 733280.843303996 714915.008964968
1979-10-14 10 11 14 1979 243573.660456416 123091.661621827 375803.545803655 55663.8655029896 1316570.71145214 252831.292561907 246049.521025061 341868.74997306 110431.034695232 13640.4400934505 703065.777659826 138292.023034627 1318052.53466264 70261.4030346272 18048.94 44428.16 5553.52 662046.596221479 349542.767920034 387365.786638775 5445.08966809962 1210128.94005032 11702.8438761066 55535.2 417271.257286325 417224.689864849 417039.781528177 11072.4893939061 1318506.90722564 262177.901040107 127589.12069311 127344.945223826 106525.006883567 7423.16568908602 341868.74997306 41678.8293300114 12177.0350889377 52758.44 758741.7453653 282989.212996596 466.911247071633 738137.817019039 732388.858928985 115166.637560408 764100.09482878 713384.780092293
1979-10-21 10 12 21 1979 251013.954718713 111577.363080145 374218.575606581 60482.6858648785 1206928.37035839 258953.989132823 252905.342459109 459058.774414829 122714.103488444 14018.8845472429 640102.40951486 121975.394207621 1212630.10104526 53944.7742076213 18048.94 44428.16 5553.52 617424.109969527 460894.829412574 479826.42197049 7108.65168618495 1122048.41347258 5151.76900254714 55535.2 530848.803003967 548064.862853189 527991.822279323 19932.2652600659 1252539.24633208 236940.391320914 137926.022681217 119881.290846461 118451.783332564 7018.94397584493 459058.774414829 34893.3027253862 22144.3499562053 64137.2356669069 653740.948369395 258491.676965138 1924.08690165715 651801.207917279 653326.480760151 129886.329878455 665077.961790014 653826.295159156
1979-10-28 10 13 28 1979 283693.118973155 139659.10030041 337680.583670313 71761.0881887156 1738793.17758866 295900.397222211 286860.021086994 720718.870486728 140069.356718647 16443.7080487756 745195.204875526 98447.405553353 1758511.43334284 28412.2903422401 18048.94 44428.16 5553.52 699618.475891924 736067.220982709 789257.654300669 6177.74005367831 1590044.17184606 5540.98409999593 55535.2 845385.037316147 853999.82113405 854539.471440811 21006.7873532817 1716352.60959816 189400.364224911 183531.168219194 155858.951548536 131571.205378511 7413.74474069942 720718.870486728 41603.3750589157 22880.4097572447 108747.241316632 821018.944303234 209452.825775796 1126.41564138966 807771.01016625 802037.772277828 142255.801521144 817975.611987877 794586.652001001
1979-11-04 11 14 4 1979 289729.876814087 102628.83814919 353198.380519564 65537.2090989815 2097584.22807971 300906.743538634 295314.940680677 559231.714691331 145745.135148044 14726.9741638813 980994.050289325 132977.102914083 2096531.72065245 25737.5967204076 18048.94 44428.16 5553.52 915506.434931548 570853.895087038 748803.459433817 4908.02288228782 1963149.67140059 3879.23533506954 55535.2 753160.69469847 740681.801111519 775620.950145145 93534.0814883744 2027354.01549938 188588.762926072 132481.35179996 118211.907089785 141770.439455286 2752.51093039281 559231.714691331 27651.8213458423 12533.217503431 73561.9480473591 1081949.76933626 197834.168279329 470.838267044108 1056290.95944753 1046477.55960015 151417.866985077 1056456.16998323 1035618.97605108
1979-11-11 11 15 11 1979 142489.699475124 4165.14 737859.364673156 58471.4677961889 2082191.28114874 149179.037447244 147550.201952629 279523.262428387 132817.992081886 14172.239172901 1138646.3388424 110977.908816193 2025864.37385909 37854.4567736532 18048.94 44428.16 8056.20047243405 1100109.94897141 284018.642784857 374407.782637678 416.514 1893832.22972928 1388.38 55535.2 397741.988852425 401469.028387945 401927.822968328 8362.51127964107 1901802.41175453 240160.185668701 32159.7901211258 20472.0282861248 135214.683282317 0 279523.262428387 9718.66 9718.66 70317.9854861908 1235471.93239889 234024.900893622 26062.0748574045 1195506.56616326 1182208.10053303 147161.326060179 1216174.16705371 1157868.22529774
1979-11-18 11 16 18 1979 313179.971748356 4165.14 494892.342036612 56661.2675592888 1697805.44480359 319319.463261872 317902.529731685 245357.058155018 153215.277995768 13679.3937841854 1110068.681634 135666.120459867 1679131.03077862 67635.5004598674 18048.94 68889.8693841662 61012.5502528654 1085986.15766508 251465.773449497 341300.900812009 416.514 1596815.65125781 1388.38 55535.2 361806.572005462 364890.87964586 364917.271702907 7056.64488711627 1669348.94317972 354045.932310638 27713.6047443659 18867.0844283756 155894.446414297 0 245357.058155018 9718.66 9718.66 62128.155873169 1152062.73986308 347599.023168552 140.924793189748 1138807.60318741 1132488.03285464 167639.493234915 1149791.72396255 1119559.75342088
1979-11-25 11 17 25 1979 240248.840954574 4165.14 414205.322875122 57963.9536717795 1599433.27624017 246193.624020558 244988.516841289 242124.339902247 155704.848895287 13363.3954039784 971188.447497895 146396.691657586 1596052.75340682 78366.0716575863 18048.94 69075.7310227708 61243.7901448228 948970.424740272 246590.75701272 376631.260615902 416.514 1498596.80680824 1388.38 55535.2 390972.010902701 394638.497584064 404464.563160849 8293.03026533185 1534801.98216798 416123.654143814 28453.569365137 19104.2254301638 157976.770503933 0 242124.339902247 9718.66 9718.66 78938.4306233377 997499.132823531 409834.365190626 327.530895639909 986562.548420248 982530.43423017 169455.692002601 994647.849273278 974511.086198957
1979-12-02 12 18 2 1979 229950.576054681 4165.14 379737.488159807 57133.6797152739 1561402.03619511 234560.507852289 234198.687097391 344875.399869774 153872.689544249 13898.3112104633 909499.836782687 132366.872049382 1543507.48564977 63334.7444246791 18048.94 68063.0976801015 61265.9130961167 884229.3412154 353174.515522463 433160.56453856 416.514 1474213.37189758 1388.38 55535.2 450993.36576461 452190.612448369 455207.493542195 6364.51308117283 1530818.46936924 378220.353990332 23370.286801241 15963.4678300654 156060.825195365 0 344875.399869774 9718.66 118992.806764915 56215.5062 945962.60481576 374183.395191567 302.321197263867 932044.320840025 925882.859938494 175137.118050925 944418.292594915 912363.812655633
1979-12-09 12 19 9 1979 238906.063822427 4165.14 1061826.36847357 164478.290497637 2114909.3708954 237237.073367768 242170.931314345 314806.085252488 258780.612020323 18510.311507049 1532505.47238878 206220.490548296 2096161.12033485 21320.2718104667 21313.7602363234 139828.385635444 123717.64387274 1514140.62311822 330030.384786186 371196.368619268 1901.09777230956 2009156.59217998 1388.38 155930.111849303 381262.819984099 392873.164508741 414591.681821918 14736.0835713091 2041420.58796149 257447.855961261 19399.5491189298 11992.9571575122 259518.619919929 2595.25004065642 314806.085252488 9718.66 17251.9096778689 119278.568125075 1562235.13194805 258246.572146985 540.933716390973 1552398.74643669 1545449.51956447 310841.595857711 1561039.79450589 1539446.83038403
1979-12-16 12 20 16 1979 253907.718902309 4165.14 871311.62301667 363811.732855826 2397071.55329554 255940.15751417 258948.257850535 299642.439825391 259681.163527186 19743.8969582028 1679604.09146331 430092.22639913 2361207.07964871 32183.2094800917 34564.0020205291 145995.63057243 122718.071943741 1635795.15799097 323643.176778291 460755.853374168 5064.16528937264 2311452.44659562 1388.38 352760.990576427 449579.952036409 443942.247143584 484493.152443885 9419.08642101206 2361837.84700477 277303.409661085 17813.7972032702 11774.9099274994 258259.99686218 5594.66267352598 299642.439825391 9718.66 12055.4707250901 68470.1924100511 1792466.98525706 278667.158172497 244.363165677758 1729232.24345111 1712310.83977845 304582.113060031 1738453.10045329 1697663.3151429
1979-12-23 12 21 23 1979 247964.349342944 4165.14 806429.584974367 262564.891414272 2336808.20611302 248395.190929769 251896.134632328 305752.591886303 256159.201821437 32038.8327387874 1507338.88202003 336072.592094203 2263945.44944427 46094.3716233812 49692.2624435388 150919.263494667 126123.361144044 1466502.11979451 323580.944455718 430746.282750083 5203.34935736633 2212749.12911001 1388.38 253339.969517297 449795.27185849 456277.097038285 463871.786436002 9775.00021808501 2289983.53947635 306768.178070826 15160.3365878138 9937.44741312129 256072.879121206 5511.05189037835 305752.591886303 9718.66 13927.7604469697 74570.9062701187 1657229.69286771 307679.839992075 360.961134363351 1603073.15943005 1563399.77058683 302271.150376559 1618403.72229444 1528501.13775553
1979-12-30 12 22 30 1979 269346.764905594 4165.14 553254.851779578 397289.301371408 2201529.52031923 271764.310419047 274221.293807224 325542.402428625 263305.765062506 20163.7383625947 1474419.49266048 490570.095086124 2152461.18704647 63404.5170206909 32800.9540941804 157559.824785448 120734.280253776 1426194.78126348 344582.59441823 425723.483491277 4957.84361268385 2108911.60162453 1388.38 388064.374221229 434538.830840203 434529.045216657 451776.090990461 8338.79423421738 2169540.55555334 346469.988965213 17336.1168226834 10992.4952961243 260584.080267792 6104.74852973176 325542.402428625 9718.66 12033.6534615651 62477.1 1589269.94497995 347838.737532378 583.789155270359 1540998.27326021 1516746.58252205 297594.480411875 1558333.74205969 1489357.44757477
1980-01-06 1 23 6 1980 227531.738846499 4165.14 69419 77693.072080044 2960864.85934387 237673.827933727 233935.098566277 244199.746200368 202781.133664172 18122.7260798453 2013002.92714621 335810.549619063 2873927.47890701 234483.505321776 117611.004664696 127931.288337075 50928.7518316179 1987527.08538462 249336.140258335 450738.063012185 6271.25733344106 2752763.11758578 1388.38 67708.4204337266 451012.566218132 445480.15283504 482461.766203663 1388.38 3316475.6640033 324339.753651496 24515.0125900329 17736.5458525159 201528.671230917 5784.4625493614 244199.746200368 9718.66 12600.9302411332 62477.1 2139119.43966154 328000.727317251 292.103162896005 2082657.79993681 2044552.58343087 211499.90489917 2185884.35048286 2028013.3253218
