"date" "month" "week" "day" "year" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 31180374.613172 910935.493145131 0 3128932.63845324 881334.072398667 0
1979-08-12 8 2 12 1979 50631587.6867195 0 3545.16514000879 1938974.40589999 0 897534.098100009
1979-08-19 8 3 19 1979 1554864.09727205 0 305006.871570605 1637512.69946939 0 913221.8
1979-08-26 8 4 26 1979 1108306.76411923 16281.1222924162 54837.2985662164 1845584.32511378 0 913221.8
1979-09-02 9 5 2 1979 887464.647585253 60680.2787899728 124008.3144602 1776413.3092198 0 913221.8
1979-09-09 9 6 9 1979 1060884.31987859 240646.929478632 409720.21857726 1348370.24974274 33601.9978427377 998869.8
1979-09-16 9 7 16 1979 1044619.21481183 364652.710491087 536979.305686578 1221111.16263342 40435.824980632 998869.8
1979-09-23 9 8 23 1979 736733.277922145 308323.1503308 579370.773621102 1178719.6946989 0 998869.8
1979-09-30 9 9 30 1979 600305.91421032 365541.459205484 659514.582840623 1098575.88547938 0 998869.8
1979-10-07 10 10 7 1979 693681.019794568 389662.110970822 656900.543883492 986924.067316508 0 1136977.2
1979-10-14 10 11 14 1979 666395.799046249 346852.297528447 679936.831577737 963887.779622263 0 1136977.2
1979-10-21 10 12 21 1979 698243.895030667 380225.384698351 622478.790449987 1021345.82075001 0 1136977.2
1979-10-28 10 13 28 1979 779107.354643242 431738.359382615 362702.481456417 1281122.12974358 60673.4521481285 1136977.2
1979-11-04 11 14 4 1979 922881.198547854 455733.679817946 351115.230155509 1292709.38104449 82434.1357701604 1215131
1979-11-11 11 15 11 1979 1051364.35194247 199759.112969736 375999.245594718 1606613.60864528 0 1215131
1979-11-18 11 16 18 1979 1201154.3275802 319912.673587903 778612.061695672 1204000.79254433 0 1117706.4
1979-11-25 11 17 25 1979 1038543.97248766 243867.029223376 904295.697097285 1078317.15714271 0 1117706.4
1979-12-02 12 18 2 1979 817326.97104981 230197.752439048 859448.969678479 1123163.88456152 0 1008505.2
1979-12-09 12 19 9 1979 1009216.74517369 418080.457215292 329670.487442709 1979702.62487729 167330.164619111 1008505.2
1979-12-16 12 20 16 1979 1265282.74782534 566544.935376272 398891.326230093 1910481.78608991 247266.602602502 1008505.2
1979-12-23 12 21 23 1979 1433477.56977508 402640.414644709 454577.548718555 1854795.56360144 114264.70889488 1008505.2
1979-12-30 12 22 30 1979 1525050.69859557 458795.551406961 617315.687456652 1692057.42486335 67784.4937471763 1008505.2
1980-01-06 1 23 6 1980 2261503.18762776 1391724.29116988 904863.071639034 1394486.71988097 537839.910037265 1020281.8
1980-01-13 1 24 13 1980 1502869.71372632 375055.173216186 1335474.74583681 963875.045683187 274.03157151334 1020281.8
1980-01-20 1 25 20 1980 1675990.95726342 445094.017487722 755455.020875439 1543894.77064456 136.345276368488 1020281.8
1980-01-27 1 26 27 1980 1838373.95643054 456842.74050437 744791.258932393 1554558.53258761 0 1020281.8
1980-02-03 2 27 3 1980 2022411.2053115 520805.101874598 838340.448694821 1461009.34282518 0 1033129
1980-02-10 2 28 10 1980 1676466.69407147 592023.803661401 799451.973775592 1339524.68494441 0 1103788.6
1980-02-17 2 29 17 1980 1603800.03558128 518801.876408819 1095716.83563432 1043259.82308568 0 1033129
1980-02-24 2 30 24 1980 1277561.36774797 362036.210327249 876200.506464018 1262776.15225598 12715.3767863636 1033129
1980-03-02 3 31 2 1980 1242273.60486216 388541.137837163 482439.740639438 1656536.91808056 45008.0881964879 1033129
1980-03-09 3 32 9 1980 895741.73653707 369610.246652255 80067.0725612477 1800307.90951875 42733.3187366839 1103788.6
