"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN"
1979-08-05 8 1 5 1979 19553612 7116541 1347699 593600 5770433 2956187.67466893 8688922 2896389 1392402 1792000 1540000
1979-08-12 8 2 12 1979 19814306 7221921 1386299 638280 5671467 2933124.90438303 8549430 2782067 1392402 1792000 1540000
1979-08-19 8 3 19 1979 20075000 7327300 1424900 682960 5572500 2910063.13409714 8409937 2667744 1392402 1792000 1540000
1979-08-26 8 4 26 1979 20073116 7321562 1423330 711282 5473533 2887000.36381124 8270445 2553422 1392402 1792000 1540000
1979-09-02 9 5 2 1979 20071231 7315823 1421759 711282 5374567 2863937.85657455 8130952 2439100 1392402 1792000 1540000
1979-09-09 9 6 9 1979 20040487 7239906 1410701 737712 5275600 2840875.08628865 8239435 2387014 1370869.71763585 1792000 1482126
1979-09-16 9 7 16 1979 20009744 7163989 1399644 764141 5176633 2817813.31600276 8347918 2334849 1321739.43527169 1792000 1424251
1979-09-23 9 8 23 1979 19979000 7088071 1388586 790571 5077667 2794750.54571686 8456401 2282683 1272609.15290754 1792000 1366377
1979-09-30 9 9 30 1979 19948256 7012154 1377528 817000 5414900 2726227 8564884 2230518 1223478.87054338 1792000 1308502
1979-10-07 10 10 7 1979 19891132 6937496 1361264 817000 5647133 2735008 8673368 2230875 1203500.9687614 1792000 1199292
1979-10-14 10 11 14 1979 19834008 6862838 1344999 817000 5654353 2743789 8781851 2231232 1183523.06697941 1792000 1090082
1979-10-21 10 12 21 1979 19776885 6788181 1328735 817000 5661572 2752570 8890334 2231589 1163545.16519743 1792000 980873
1979-10-28 10 13 28 1979 19719761 6713523 1312470 817000 5668792 2761350 8943846 2231946 1143567.26341545 1792000 871663
1979-11-04 11 14 4 1979 19662637 6638865 1296206 817000 5676012 2770131 8943846 2232303 1123589.36163346 1792000 762453
1979-11-11 11 15 11 1979 19505348 6520799 1250437 817000 5518822 2711956 8943846 2230568 1157216.19142928 1790869 696602
1979-11-18 11 16 18 1979 19348059 6402733 1204669 817000 5361632 2653781 8943846 2228832 1190842.0212251 1789739 630751
1979-11-25 11 17 25 1979 19190769 6284667 1158900 817000 5204442 2595605 8943846 2227097 1224468.85102091 1788608 564899
1979-12-02 12 18 2 1979 19033480 6166601 1113131 817000 5047252 2537430 8943846 2225361 1258094.68081673 1787477 499048
1979-12-09 12 19 9 1979 18738836 5954816 1042470 817000 4740955 2423590 8923416 2219460 1291721.51061255 1769824 499048
1979-12-16 12 20 16 1979 18444192 5743031 971809 817000 4434658 2309751 8902987 2213560 1315344 1752171 499048
1979-12-23 12 21 23 1979 18149547 5531246 901148 817000 4244400 2195911 8882557 2207659 1301510 1734518 499048
1979-12-30 12 22 30 1979 17854903 5319461 830487 817000 3869400 2083480 8862127 2201758 1287675 1716865 499048
1980-01-06 1 23 6 1980 17566070 4916142 376536.357945874 810693 3989400 2087089 7450294 2107940 1255979 1657718 499048
1980-01-13 1 24 13 1980 17277237 4512824 372558.040489484 804386 4109400 2090699 7450294 2107940 1224283 1598571 499048
1980-01-20 1 25 20 1980 16988405 4109505 367431.100562892 779185 4229400 2094309 7450294 2107940 1192587 1539424 499048
1980-01-27 1 26 27 1980 16699572 3706187 361341.362867546 741641 4209593 2097919 7450294 2107940 1160891 1480277 499048
1980-02-03 2 27 3 1980 16410739 3302868 355874.396060556 704096 4189501 2101529 7450294 2107940 1129195 1421130 499048
1980-02-10 2 28 10 1980 16085400 3246041 357300.921782052 670000 4163666 2106438 7144542 2102386 1117691 1297560 499048
1980-02-17 2 29 17 1980 15981813 3286603 357250.011075252 626375 4137831 2111347 7554113 2096833 1106187 1173990 499048
1980-02-24 2 30 24 1980 15955681 3327165 331935.241620928 582750 4111996 2116256 8021800 2091279 1094683 1050419 499048
1980-03-02 3 31 2 1980 15929549 3367727 245315.146823544 539125 4086162 2114303.21173869 8349854 2085725 1020000 926849 499048
1980-03-09 3 32 9 1980 15932921 3394851 224006.980928122 495500 4060129 2106147.43897482 8424628 2096634 1023308.99195544 838337 499048
1980-03-16 3 33 16 1980 15936293 3421975 202698.8150327 413175 4034096 2095455.97411359 8456362 2107543 1026617.98391088 749825 499048
1980-03-23 3 34 23 1980 15939665 3449099 202698.8150327 330850 4008063 2084834.62950932 8482147 2118452 1004782 661312 499048
1980-03-30 3 35 30 1980 15943036 3476223 202698.8150327 248525 3982030 2074367.38597812 8509863 2129361 978650 572800 499048
1980-04-06 4 36 6 1980 15902772 3542861.20141879 319295.201401729 166200 3945286 2064001.81962374 8529202 2186386 998683 572800 499048
1980-04-13 4 37 13 1980 15862508 3509504.93731331 317129.71803329 191341 3908542 2054229.41287635 8488800 2243411 1018716 572800 499048
1980-04-20 4 38 20 1980 15860326 3579913.41389137 333960.004789961 216482 3906360 2081951.53186268 8448050 1905025.7127951 1041129 592932 630751
1980-04-27 4 39 27 1980 15858144 3601082 396252.001329584 241624 3904178 2254117.17577265 8407300 2125245.97582527 1063542 613064 762453
1980-05-04 5 40 4 1980 15937562 4017889 471653.87608149 266765 4078605 2445721 5129300 2340214.90231377 1100514 774122 797600
1980-05-11 5 41 11 1980 16016980 4434695 568872.41119323 283646 4253031 2575796 5129300 2525294.06651776 1137486 935180 832747
1980-05-18 5 42 18 1980 16096398 4851501 644572.316470464 283646 4427457 2699917.22519453 5677987.99156446 2654730.13665095 1174458 1096237 867894
1980-05-25 5 43 25 1980 16175816 5268307 693905 283646 4601884 2768398.85848248 7208710.90925665 2771695.31082259 1211430 1257295 903041
1980-06-01 6 44 1 1980 16255235 5685114 739049 283646 4776310 2929494.36462169 9031317 2947013.10277557 1248402 1418353 938188
1980-06-08 6 45 8 1980 16999135 6059766 828751 390555 5004707 2992380 9050338 3120445.3354881 1287873 1511765 1088641
1980-06-15 6 46 15 1980 17743035 6434419 918454 417612 5233103 3018735 9069359 3268728.34772135 1327344 1605177 1239094
1980-06-22 6 47 22 1980 18486935 6809071 1008156 442753 5461500 3045090 9088379 3399305.3021101 1366815 1698588 1389547
1980-06-29 6 48 29 1980 19230835 7183724 1097859 467894 5743053 3071500 9107400 3468000 1420000 1792000 1540000
1980-07-06 7 49 6 1980 19441877 7219618 1179619 493035 5752127 3048437.4927633 9107400 3353678 1420000 1792000 1540000
1980-07-13 7 50 13 1980 19652918 7255512 1261379 518176 5869400 3025374.72247741 9107400 3239356 1420000 1792000 1540000
1980-07-20 7 51 20 1980 19863959 7291406 1343140 543318 5869400 3002312.95219152 8967907 3125033 1420000 1792000 1540000
1980-07-27 7 52 27 1980 20075000 7327300 1424900 568459 5869400 2979250.18190562 8828415 3010711 1420000 1792000 1540000
1980-08-03 8 1 3 1980 19553612 7116541 1347699 593600 5770433 2979346 8688922 2896389 1392402 1792000 1540000
1980-08-10 8 2 10 1980 19814306 7221921 1386299 638280 5671467 2960915 8549430 2782067 1392402 1792000 1540000
1980-08-17 8 3 17 1980 20075000 7327300 1424900 682960 5572500 2942485 8409937 2667744 1392402 1792000 1540000
1980-08-24 8 4 24 1980 20073116 7321562 1423330 711282 5473533 2924054 8270445 2553422 1392402 1792000 1540000
1980-08-31 8 5 31 1980 20071231 7315823 1421759 711282 5374567 2905623 8130952 2439100 1392402 1792000 1540000
1980-09-07 9 6 7 1980 20040487 7239906 1410701 737712 5275600 2887192 8239435 2387014 1381394 1792000 1482126
1980-09-14 9 7 14 1980 20009744 7163989 1399644 764141 5176633 2868762 8347918 2334849 1358200 1792000 1424251
1980-09-21 9 8 21 1980 19979000 7088071 1388586 790571 5077667 2801321 8456401 2282683 1327300 1792000 1366377
1980-09-28 9 9 28 1980 19948256 7012154 1377528 817000 5639913 2726227 8564884 2230518 1296400 1792000 1308502
1980-10-05 10 10 5 1980 19891132 6937496 1361264 817000 5647133 2735008 8673368 2230875 1286140 1792000 1199292
1980-10-12 10 11 12 1980 19834008 6862838 1344999 817000 5654353 2743789 8781851 2231232 1275880 1792000 1090082
1980-10-19 10 12 19 1980 19776885 6788181 1328735 817000 5661572 2752570 8890334 2231589 1265620 1792000 980873
1980-10-26 10 13 26 1980 19719761 6713523 1312470 817000 5668792 2761350 8943846 2231946 1255360 1792000 871663
1980-11-02 11 14 2 1980 19662637 6638865 1296206 817000 5676012 2770131 8943846 2232303 1245100 1792000 762453
1980-11-09 11 15 9 1980 19505348 6520799 1250437 817000 5518822 2711956 8943846 2230568 1263538 1790869 696602
1980-11-16 11 16 16 1980 19348059 6402733 1204669 817000 5361632 2653781 8943846 2228832 1281975 1789739 630751
1980-11-23 11 17 23 1980 19190769 6284667 1158900 817000 5204442 2595605 8943846 2227097 1300413 1788608 564899
1980-11-30 11 18 30 1980 19033480 6166601 1113131 817000 5047252 2537430 8943846 2225361 1318850 1787477 499048
1980-12-07 12 19 7 1980 18738836 5954816 1042470 817000 4740955 2423590 8923416 2219460 1329179 1769824 499048
1980-12-14 12 20 14 1980 18444192 5743031 971809 817000 4434658 2309751 8902987 2213560 1315344 1752171 499048
1980-12-21 12 21 21 1980 18149547 5531246 901148 817000 4244400 2195911 8882557 2207659 1301510 1734518 499048
1980-12-28 12 22 28 1980 17854903 5319461 830487 817000 3869400 2083480 8862127 2201758 1287675 1716865 499048
1981-01-04 1 23 4 1981 17381844.0970918 4916142 233429.954636383 810693 2913133.40566227 1780128.58642758 7450294 2107940 1255979 1657718 499048
1981-01-11 1 24 11 1981 17277237 4512824 237697.622895594 804386 2844957.92287647 1766355.49069497 7450294 2107940 1224283 1598571 499048
1981-01-18 1 25 18 1981 16988405 4109505 240924.464418388 779185 2773618.86080579 1750827.53808475 7450294 2107940 1192587 1539424 499048
1981-01-25 1 26 25 1981 16699572 3706187 243845.701504995 741641 2621400 1737079.66963465 7450294 2107940 1160891 1480277 499048
1981-02-01 2 27 1 1981 16410739 3302868 246022.12870851 704096 2309400 1724972.00111852 7450294 2107940 1129195 1421130 499048
1981-02-08 2 28 8 1981 16085400 3246041 250678.744519346 670000 2039400 1717355.33609935 7109310.89859705 2102386 1117691 1297560 499048
1981-02-15 2 29 15 1981 15981813 3286603 254872.362401774 626375 1769400 1709349.65550218 7518881.89859705 2096833 1106187 1173990 499048
1981-02-22 2 30 22 1981 15955681 3327165 277376.564818142 582750 1499400 1749575.79597864 7986568.89859705 2091279 1094683 1050419 499048
1981-03-01 3 31 1 1981 15929549 3367727 210900 539125 1229400 1764356.40045558 8314622.89859705 2085725 1083179 926849 499048
1981-03-08 3 32 8 1981 15932921 3394851 182900 495500 1059400 1767508.10629703 8389396.89859705 2096634 1057047 838337 499048
1981-03-15 3 33 15 1981 15936293 3421975 154900 413175 889400 1782846.14799778 8421130.89859705 2107543 1030915 749825 499048
1981-03-22 3 34 22 1981 15939665 3449099 154900 330850 889400 1803033.60367204 8446915.89859705 2118452 1004782 661312 499048
1981-03-29 3 35 29 1981 15943036 3476223 154900 248525 889400 1818418.01976939 8483607.89859705 2129361 978650 572800 499048
1981-04-05 4 36 5 1981 15902772 3556256 270482.210664963 166200 889400 1841412.3102649 8494318.89859705 2186386 998683 572800 499048
1981-04-12 4 37 12 1981 15862508 3625401.46302738 270229.036585352 191341 889400 1851084.79402332 8418337.7971941 2243411 1018716 572800 499048
1981-04-19 4 38 19 1981 15860326 3578509.52112687 271392.913682009 216482 889400 1898354.33637668 8342356.69579115 2234029.8977308 1041129 592932 630751
1981-04-26 4 39 26 1981 15858144 3601082 306224.817095041 241624 889400 2081065.98575595 8266375.59438821 2393397.27670578 1063542 613064 762453
1981-05-03 5 40 3 1981 15937562 3948286.90934098 351677.011853846 266765 2850080.17888373 2273511.68073281 5129300 2583354.33755964 1100514 774122 797600
