"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "BOISE" "PAYHS" "OWYHE" "PELTO"
1979-08-05 8 1 5 1979 20075000 7327300 1424900 593600 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1668917 847000 1401000 135205 100500 1011000 800452 1120000 558270
1979-08-12 8 2 12 1979 20075000 7327300 1424900 638280 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1661833 847000 1401000 135205 100500 1011000 800452 1120000 558270
1979-08-19 8 3 19 1979 20075000 7327300 1424900 682960 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1654750 847000 1401000 135205 100500 1011000 800452 1120000 558270
1979-08-26 8 4 26 1979 20075000 7327300 1424900 727640 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1647667 847000 1401000 135205 100500 1011000 800452 1120000 558270
1979-09-02 9 5 2 1979 20075000 7327300 1424900 772320 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1640583 847000 1401000 135205 100500 1011000 800452 1120000 558270
1979-09-09 9 6 9 1979 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1633500 847000 1401000 135205 100500 1011000 800452 1120000 558270
1979-09-16 9 7 16 1979 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1617133 847000 1401000 135205 100500 1011000 800452 1120000 558270
1979-09-23 9 8 23 1979 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1600767 847000 1401000 135205 100500 1011000 800452 1120000 557970
1979-09-30 9 9 30 1979 20075000 7327300 1424900 817000 5869400 3071500 9107400 3468000 1420000 1792000 1540000 1584400 847000 1401000 135205 100500 1011000 800452 1050000 557670
1979-10-07 10 10 7 1979 20035000 7277300 1424900 817000 5869400 3051500 9107400 3328000 1420000 1792000 1493700 1574007 847000 1401000 135205 100500 1011000 800452 1050000 557370
1979-10-14 10 11 14 1979 19995000 7227300 1424900 817000 5869400 3031500 9107400 3188000 1420000 1792000 1447400 1563613 847000 1401000 135205 100500 1011000 800452 1050000 557070
1979-10-21 10 12 21 1979 19955000 7177300 1424900 817000 5869400 3011500 9107400 3048000 1420000 1792000 1401100 1553220 847000 1401000 135205 100500 1011000 800452 1050000 556770
1979-10-28 10 13 28 1979 19915000 7127300 1424900 817000 5869400 2991500 9107400 2908000 1420000 1792000 1354800 1542827 847000 1401000 135205 100500 1011000 800452 1050000 556470
