"date" "month" "week" "day" "year" "MICAA" "ARROW" "DUNCA" "CORRA" "LIBBY" "FLASF" "GCOUL" "DWORS" "BROWN" "FLAPO" "ALBEN" "CHELA" "JLAKE" "PALIS" "IPARK" "RIRDM" "AMERI" "MINAD" "BOISE" "PAYHS" "OWYHE" "PELTO"
1979-08-05 8 1 5 1979 19916707.3276117 7263313.8604266 1401461.88366235 593600 5770433 2956187.67466893 8688922 2896389 1420000 1792000 1540000 1668917 820553.236958008 1352464.80585667 130521.059297538 97018.3533109174 1456901.23222686 95180 968433.357347951 800452 1107173.69722175 558270
1979-08-12 8 2 12 1979 19814210.534559 7221921 1386256.65701553 638280 5671467 2933124.90438303 8549430 2782067 1392402 1792000 1540000 1661833 790507.625817803 1302942.56914205 125741.862998466 93465.9016408108 1305722.28261466 95180 924986.705468995 781704.490834187 1084642.0720948 558270
1979-08-19 8 3 19 1979 19720398.2654302 7327300 1327571.27567561 682960 5572500 2910063.13409714 8409937 2667744 1392402 1792000 1540000 1654750 779653.345022663 1285052.16044324 124015.330016222 92182.5425585619 1262288.63139201 95180 910380.143282706 775382.683010783 1079798.21162105 558270
1979-08-26 8 4 26 1979 19726586.7764845 7321562 1345625.07549 726044.698217392 5473533 2887000.36381124 8270445 2553422 1392402 1792000 1540000 1647667 768677.730163444 1266961.76465763 122269.497066763 90884.8375075601 1194003.03450618 95180 890073.378342506 765183.827840682 1072518.15081075 558270
1979-09-02 9 5 2 1979 19686528.7069316 7315823 1332747.24875047 756353.623368193 5374567 2863937.85657455 8130952 2439100 1392402 1792000 1540000 1640583 759332.711618435 1251558.97526756 120783.034440436 89779.9264913562 1122022.28763624 95180 871601.604714472 757503.420175416 1068435.33147425 558270
1979-09-09 9 6 9 1979 19623240.6950912 7239906 1254855.56516392 737712 5275600 2840875.08628865 8239435 2387014 1370869.71763585 1792000 1482126 1633500 751994.914577986 1239464.55920442 119615.849912373 88912.3399001031 1043340.89393615 95180 844332.866225657 745942.852182903 1056551.08595905 558270
1979-09-16 9 7 16 1979 19564885.4648354 7163989 1176320.03382945 764141 5176633 2817813.31600276 8347918 2334849 1321739.43527169 1792000 1424251 1617133 739390.754886075 1218689.93834752 117610.972958084 87422.0833718241 975285.502264788 95180 817485.228337737 732445.946719656 1046793.73681893 558270
1979-09-23 9 8 23 1979 19469295.868791 7088071 1078425.45115005 790571 5077667 2794750.54571686 8456401 2282683 1272609.15290754 1792000 1366377 1600767 724703.668572104 1194482.16431708 115274.775893284 85685.5514017606 924877.542027206 95180 780959.282993452 713534.627963482 1039395.6254901 557970
1979-09-30 9 9 30 1979 19411723.1154619 7012154 1026480.90794442 795467.786436124 5062722.1603624 2726227 8564884 2230518 1223478.87054338 1792000 1308502 1584400 712639.089198789 1174596.8987853 113355.727123673 84259.092311151 884831.631565784 95180 769235.540449554 709904.203083521 1038416.56397358 557670
1979-10-07 10 10 7 1979 19262293.2061323 6937496 993141.265160246 797389.033095355 5044577.86585575 2722854.04722809 8673368 2219031.41021561 1203500.9687614 1766659.74492374 1199292 1574007 703484.08436988 1159507.29670847 111899.488973211 83176.6476225564 846981.468078737 95180 765032.705159205 707217.441557218 1037288.52670452 555363.572882197
1979-10-14 10 11 14 1979 19083684.652446 6862838 954753.40513961 791861.045562101 5022608.16620146 2719257.58843969 8781851 2207307.11305849 1183523.06697941 1739906.83927049 1090082 1563613 694041.147279572 1143943.1145161 110397.450962276 82060.1591783494 792457.815314484 95180 758482.5608696 701882.375981098 1031042.6911079 545014.184169382
1979-10-21 10 12 21 1979 18921530.04399 6788181 932295.220877349 795382.941192889 5007204.08305504 2717570.16778073 8890334 2209982.34651765 1163545.16519743 1723350.06313939 980873 1553220 692464.246199467 1141344.01050053 110146.621655763 81873.7138153488 778730.004773287 95180 753615.750322634 698973.461321135 1028345.65997654 556770
1979-10-28 10 13 28 1979 18793301.5618558 6713523 928220.241276111 817000 4998999.06223185 2718578.496891 8943846 2227949.77139743 1143567.26341545 1713461.6335826 871663 1542827 692059.503684009 1140676.89960153 110082.241406584 81825.8589649916 773873.174946677 95180 752415.358449639 698699.633754456 1027737.10952703 556470
1979-11-04 11 14 4 1979 18665307.2628946 6638865 916972.23587748 817000 4985966.36553544 2717092.27864767 8943846 2227920.16704396 1123589.36163346 1700808.33715442 762453 1532433 691655.24292928 1140010.58275755 110017.937788533 81778.061075756 770961.875771099 95180 711000 698629.246598105 1027429.60856381 556170
1979-11-11 11 15 11 1979 18481596.6555594 6144659.62179285 887557.79814833 817000 4957293.07835231 2711956 8904440 2218480.82387486 1157216.19142928 1681835.55707144 761675.369854335 1522040 693586.170141863 1153421.18485191 114899.849313703 59960 854006.7288992 95180 711000 700392.93129475 1028423.12569286 555870
1979-11-18 11 16 18 1979 18181946.5691065 6e+06 828916.357616777 815745.146997508 4925764.96384236 2653781 8802960 2208016.27134176 1190842.0212251 1690308.09367776 630751 1511647 695263.515949597 1165015.21232144 118950.508285014 59960 903901.704733089 95180 711000 700087.408784757 1029146.40980222 555570
1979-11-25 11 17 25 1979 17825128.3672417 6e+06 761203.712857286 816650.238013481 4893506.71665592 2595605 8701480 2200675.51149914 1224468.85102091 1699599.74894533 564899 1501253 696788.767677819 1175441.92483302 123093.111273095 59960 955655.319583846 95180 711000 701246.437125979 1029889.47647896 555270
1979-12-02 12 18 2 1979 17500280.7658916 6e+06 706113.733089544 817000 4860838.20882417 2537430 8600000 2189671.53821236 1258094.68081673 1708756.01373147 499048 1490860 698479.703002077 1184691.69932227 127128.391898241 59960 1002593.28039956 95180 711000 610000 1031870.91240899 552552.967558368
1979-12-09 12 19 9 1979 17288263.2630045 5221003.20531083 698675.011388366 817000 4740955 2423590 8628571 2219460 1291721.51061255 1722582.22615295 499048 1480467 700948.752441906 1198651.28086442 132005.643069848 59960 1055238.97332404 95180 711000 610000 1041011.81401424 554670
1979-12-16 12 20 16 1979 17055378.6431866 4658774.76281145 683249.946881777 817000 4434658 2309751 8660276.3418157 2213560 1315344 1732355.70169355 499048 1470073 703346.861066042 1210273.23036192 135205 59960 1106576.36680659 95180 711000 610000 1046606.47668776 554370
1979-12-23 12 21 23 1979 16790032.4245636 4177401.05926379 647868.067548131 817000 4215671.35663345 2195911 8699610.46767082 2207659 1301510 1734518 499048 1459680 705828.58596991 1223189.37942643 135205 59960 1158612.09009863 95180 711000 610000 1050000 551179
1979-12-30 12 22 30 1979 16481713.1913225 4e+06 588710.949917755 817000 3854670.09202598 2083480 8714286 2201758 1287675 1716865 499048 1449287 708196.270511365 1234107.40947457 135205 59960 1214188.7191394 95180 711000 610000 1050000 544946.755958141
1980-01-06 1 23 6 1980 16200334.3250442 4283530.29987219 376536.357945874 810693 3819471.30957328 2039901.01432452 7450294 2107940 1255979 1657718 499048 1438893 713092.304711915 1253422.91194743 135205 59960 1274519.05616782 95180 717987.528991581 610000 1050000 520730.928363672
1980-01-13 1 24 13 1980 15685636.4996497 4512824 358490.018095923 804386 3757010.01843882 1937345.92087227 7450294 2107940 1224283 1598571 499048 1428500 718343.667356542 1274072.48003911 135205 59960 1337258.04393342 95180 726807.093331379 610000 1050000 501603.022677737
1980-01-20 1 25 20 1980 15417387.2785005 4109505 345644.760422799 779185 3721001.1143009 1876210.8715399 7450294 2107940 1192587 1539424 499048 1418107 723495.382921571 1297265.66554786 135205 59960 1422648.52764636 95180 756534.108400522 610000 1050000 538415
1980-01-27 1 26 27 1980 15143570.0195448 3706187 323644.676116475 741641 3683001.9031512 1808743.03283292 7450294 2104694.28306788 1246605.63723476 1480277 549977.81354154 1407713 728465.798333048 1317037.35112375 135205 59960 1484169.82563469 95180 768584.089889825 610000 1050000 535225
1980-02-03 2 27 3 1980 14854497.1235874 3302868 294489.208614052 704096 3642841.87747884 1733484.15545807 7450294 2098308.53239122 1212869.67163703 1421130 565962.464767921 1397320 733503.625611215 1335386.22704493 135205 59960 1540688.31612633 95180 780930.404474601 610000 1050000 532034
1980-02-10 2 28 10 1980 14575516.9650778 3156987.98531417 261261.878806572 670000 3597729.6571334 1675558.42456026 7144542 2096309.8509558 1175148.06957018 1297560 582310.979234866 1386927 738633.009844527 1352444.43474562 135205 59960 1595831.86579208 95180 795923.932488441 609781.592625286 1050000 528843
1980-02-17 2 29 17 1980 14271099.1270499 2898636.93554436 208565.691365113 626375 3538237.97463341 1627019.36370133 7554113 2090712.26277175 1106187 1173990 499048 1376533 743701.136354633 1369476.77257426 135205 59960 1650624.37072324 95180 812736.737914475 609719.197973591 1050000 525652
1980-02-24 2 30 24 1980 13999983.3117849 2605406.50586592 162902.634592502 582750 3483112.97555811 1596951.81856634 8021800 2091279 1094683 1050419 499048 1366140 748592.495175032 1391497.6425171 135205 59960 1672590 95180 861000 610000 1048310.43892606 522461
1980-03-02 3 31 2 1980 13783427.8319572 2429749.43406894 144616.572970782 539125 3450227.76348751 1580384 8349854 2085725 1020000 926849 499048 1355747 753153.099256201 1401000 135205 61545.594963717 1672590 95180 861000 610000 1045364.8753236 519270
1980-03-09 3 32 9 1980 13611606.0197514 2388086.65813703 144577.427499338 495500 3423925.56743924 1581704 8424628 2096634 1023308.99195544 838337 499048 1345353 757057.106379202 1401000 135205 62741.4419051482 1672590 95180 897013.891005283 610000 1050307.67569633 528045
1980-03-16 3 33 16 1980 13521320 2189270.93985503 125242.29783838 413175 3373021.16076298 1583023 8456362 2107543 1026617.98391088 749825 499048 1334960 760838.899214274 1401000 135205 64114.2014655446 1672590 95180 876199.853581968 610000 1059756.5130241 536820
1980-03-23 3 34 23 1980 13439452 1986472.70871277 93008.9121388836 330850 3309173.4942403 1584343 8482147 2118452 1004782 661312 499048 1324567 764549.662205967 1401000 135205 65489.3024349209 1672590 95180 854610.024137771 610000 1071265.80251372 545595
1980-03-30 3 35 30 1980 13357584 1846703.4992101 67944.8216019275 248525 3251217.33369607 1585663 8473100.27682968 2129361 978650 572800 499048 1314173 768220.48133127 1401000 135205 66862.3917231376 1672590 95180 838402.102539003 632971.937879896 1083556.76386973 551136.550697634
1980-04-06 4 36 6 1980 13244527 1664805.23637695 54800.5568254423 166200 3169527.407807 1585016.43364562 8421579.23905516 2141475.40361024 998683 572800 499048 1303780 769208.119372141 1401000 135205 69653.7160613316 1672590 95180 799746.734160469 626294.983392447 1087916.68474098 548679.226915854
1980-04-13 4 37 13 1980 13131469 1481156.27126511 52688.6545542015 191341 3096312.53086996 1584963.02689822 8375397.37043399 2177266.7120777 1018716 572800 507111.752762403 1293387 769834.699062739 1401000 135205 72926.6818986891 1672590 95180 777708.86231117 602136.104622839 1092753.10051535 550554.956890918
1980-04-20 4 38 20 1980 13104494 1530348.35646869 72020.6889999377 216482 3098127.98723233 1622404.14588456 8318454.47856252 1905025.7127951 1041129 592932 590321.30399605 1282993 782199.35310762 1401000 135205 76391.7185711575 1672590 90332.7930323147 770426.691446134 591882.574488395 1097671.62350322 557295
1980-04-27 4 39 27 1980 13077518 1953208.2513307 142940.685539561 241624 3250505.00768681 1799236.71746355 8407300 2125245.97582527 1063542 613064 1133955.665135 1272600 833868.568361441 1370150.05583148 135205 79278.9002996425 1672590 95180 815814.23838688 612155.747190102 1103593.90096072 558270
1980-05-04 5 40 4 1980 13192083 2553485.53129333 224173.560291466 266765 3589173.2161313 2021757.92730921 8007705.81433997 2340214.90231376 1420000 774122 1237114.1602004 1314040 821430.927805655 1332040.98711222 135205 81197.9492851955 1672590 95180 819821.635114553 637588.609104465 1106637.59620038 558270
1980-05-11 5 41 11 1980 13344093.0364482 3215054.52158426 327223.095403206 291906 3936849.05489016 2191353.19461413 8852046.72631838 2525294.06651776 1420000 935180 1243044.31990618 1355480 808336.578202903 1307419.49180826 135205 83543.1527758553 1672590 87426.227164421 861967.471709199 668586.683061617 1110225.52385486 558270
1980-05-18 5 42 18 1980 13547264.7409397 3815503.45206036 408754.00068044 244319.727272727 4182123.92452436 2269326.90222346 9107400 2654730.13665095 1346742.2628789 982496.44359149 1299280 1396920 804571.080424938 1284135.43170355 135205 86022.8959479685 1672590 95180 894495.676181874 696517.019713282 1119559.65493146 558270
1980-05-25 5 43 25 1980 13768511.936188 4515064.48822759 606127.033382155 331351.824145883 4457899.89504463 2344221.22318043 7459044.08138608 2771695.31082259 1211430 1072290.25606496 1324017.06928255 1438360 807596.970006218 1310071.41303494 135205 88716.7314331454 1672590 62542.464896922 932513.994498512 724891.286579724 1120000 558270
1980-06-01 6 44 1 1980 13983290.837385 5050963.30519234 733024.359691402 367329 4776310 2511729.41698865 8783920.26220318 2947013.10277556 1248402 1346776.63979352 1540000 1479800 819662.721990453 1336196.60627541 135205 92171.6341409642 1672590 43560.9093127681 937596.89514314 738369.288698773 1120000 546041.308369364
1980-06-08 6 45 8 1980 14312046.4168291 5514448.10194553 840198.867687327 392471 5070415.68718206 2671008.76019015 9050338 3120445.3354881 1368355.06300866 1400514.11855009 1540000 1512500 814907.972493835 1328445.5155272 134420.694591882 91636.9593054783 1630570.67030054 95180 939477.902196234 761995.881246363 1116591.64601905 548642.715964915
1980-06-15 6 46 15 1980 14642828.9276869 5960212.6601586 918454 417612 5233103 2784513.22506807 9069359 3268728.34772135 1327344 1435724.83167426 1239094 1545200 770635.005005985 1256272.6725762 127117.780346058 86658.4338069472 1411142.36239708 95180 952215.121316988 782508.239581509 1105220.99314826 558270
1980-06-22 6 47 22 1980 15092444.8324865 6422946.62866932 1008156 442753 5461500 2869026.94483469 9088379 3399305.30211009 1366815 1474459.99115645 1389547 1577900 724605.547352422 1181236.4369938 119525.129545815 81482.3897869769 1234295.68842582 95180 971726.443236733 762185.826447516 1079271.28890015 558270
