"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn" "TotalDamProtectExcess"
1979-08-05 8 1 5 1979 1323360.65607764 0 809348 0 0 0 136914.072781923 0 0 0 NA NA 146772.860426602 0 0 1e+10 234395.161402923 1101067.93496942 235855.834634119
1979-08-12 8 2 12 1979 1660438.48385159 0 283115.935732745 0 0 27598 157692.756723861 0 0 0 NA NA 1.86264514923096e-09 0 0 1e+10 213632.180513908 572678.973254534 226090.735541586
1979-08-19 8 3 19 1979 1651065.27924036 0 0 0 0 27598 201085.726957297 0 0 0 NA NA 2.79396772384644e-09 0 0 1e+10 489958.988874633 521780.386118618 196630.553949801
1979-08-26 8 4 26 1979 1434513.72367887 0 5738 0 0 27598 140813.478088152 0 0 0 NA NA 9.31322574615479e-10 0 0 1e+10 359618.898194382 692359.773747411 184123.467475579
1979-09-02 9 5 2 1979 1521807.11956994 0 11477 0 0 27598 159870.127344175 0 0 0 NA NA 9.31322574615479e-10 0 0 1e+10 332102.055988083 683995.438002633 162299.083190252
1979-09-09 9 6 9 1979 1650008.86248393 0 87394 0 0 0 185582.913463759 0 1189.96501448194 0 NA NA 9.31322574615479e-10 0 0 1e+10 343648.720793585 665927.611110909 152922.419584705
1979-09-16 9 7 16 1979 1643794.6424499 0 163311 0 0 0 187109.812794469 0 2934.72010376913 0 NA NA 9.31322574615479e-10 0 0 1e+10 312363.47678351 484281.581962313 135701.557043282
1979-09-23 9 8 23 1979 1470085.87179466 0 107574.257619562 0 0 0 193700.958682122 0 6431.85779797658 0 NA NA 9.31322574615479e-10 0 0 1e+10 299303.078533392 345117.171165722 120653.782582772
1979-09-30 9 9 30 1979 1220967.82344888 0 142125.670103284 0 0 0 208405.684782423 0 10566.6306068062 0 NA NA 9.31322574615479e-10 0 0 1e+10 343814.680507276 246866.849672978 123565.127368542
1979-10-07 10 10 7 1979 1333205.76133898 0 166029.128460449 0 0 0 72405.518901768 0 0 0 NA NA 0 0 0 1e+10 272149.18888397 244852.446443802 114725.763615357
1979-10-14 10 11 14 1979 1324817.85738154 0 113625.644763548 0 0 0 71743.982053026 0 0 0 NA NA 0 0 0 1e+10 198711.04296725 276652.56692678 123179.805223826
1979-10-21 10 12 21 1979 1293549.45320187 0 137278.184285667 0 0 0 77581.945002255 0 0 0 NA NA 9.31322574615479e-10 0 0 1e+10 323364.721786383 242491.385436611 115716.150846461
1979-10-28 10 13 28 1979 1246332.46535657 0 148280.219445403 0 0 0 64069.6495040191 0 0 0 NA NA 0 0 0 1e+10 549047.157156208 299106.062906216 151693.811548536
1979-11-04 11 14 4 1979 1310869.84677646 0 190697.778470981 803474.617593492 26088.1608774886 0 67795.819604293 0 0 0 NA NA 1.86264514923096e-09 0 0 1e+10 382640.403167512 442602.160877489 114046.767089785
1979-11-11 11 15 11 1979 2056611.72633739 0 121559.800797306 642358.800797306 0 0 74922.61964353 0 0 0 NA NA 0 0 0 1e+10 296843.20393808 338262.008049475 16306.8882861248
1979-11-18 11 16 18 1979 2115773.36393922 0 24461.7093841662 210265.409725975 0 0 73309.284705521 0 0 0 NA NA 0 0 0 1e+10 264280.94352246 235140.923420247 14701.9444283756
