"date" "month" "week" "day" "year" "TotalFloodSpace" "TotalRelReducReq" "TotalMcNarySharedWater" "TotalBONSharedWater" "GCSupForVernitaBar" "BRLGSup" "BRRelForJBandLP" "DWLGSup" "DWFirmEngSup" "GCFirmEngSup" "TotalEnergySup" "UpstreamFloodEvacGC" "TotalFloodRelSharedWater" "GCMinFloodRelReq" "ARMinFloodRelReq" "ControlledFlow" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 1298618.90607764 0 809348 0 0 0 136914.072781923 0 0 0 NA NA 146772.860426602 0 0 1e+10 234395.161402923 1101067.93496942
1979-08-12 8 2 12 1979 907449.473557249 0 404674 0 0 0 157692.756723861 0 0 0 NA NA 104113.298483224 0 0 1e+10 241624.671348095 1134517.16261774
1979-08-19 8 3 19 1979 1036482.73511044 0 0 0 0 27598 201085.726957297 0 0 0 NA NA 2.79396772384644e-09 0 0 1e+10 489958.988874633 683223.694902717
1979-08-26 8 4 26 1979 1092210.62220219 0 7308 0 0 27598 140813.478088152 0 0 0 NA NA 0 0 0 1e+10 359618.898194382 709899.326215904
1979-09-02 9 5 2 1979 1202378.31398844 0 14618 0 0 27598 159870.127344175 0 0 0 NA NA 1.86264514923096e-09 0 0 1e+10 332102.055988083 719027.055845133
1979-09-09 9 6 9 1979 1564710.34288796 0 105884.757195856 0 0 0 185582.913463759 0 668.466652737143 0 NA NA 9.31322574615479e-10 0 0 1e+10 343648.720793585 704571.837612499
1979-09-16 9 7 16 1979 1727854.20855189 0 163311 0 0 0 187109.812794469 0 1921.98737242266 0 NA NA 0 0 0 1e+10 312363.47678351 484281.581962313
1979-09-23 9 8 23 1979 1640961.54011308 0 107574.257619562 0 0 0 193700.958682122 0 3985.2420956806 0 NA NA 0 0 0 1e+10 299303.078533392 345117.171165722
1979-09-30 9 9 30 1979 1469494.42929769 0 142125.670103284 0 0 0 208405.684782423 0 6889.39620762712 0 NA NA 0 0 0 1e+10 345057.547259104 246866.849672978
1979-10-07 10 10 7 1979 1476764.77223701 0 166029.128460449 0 0 0 72405.518901768 0 0 0 NA NA 0 0 0 1e+10 272149.18888397 244852.446443802
1979-10-14 10 11 14 1979 1426661.23832527 0 113625.644763548 0 0 0 71743.982053026 0 0 0 NA NA 0 0 0 1e+10 198711.04296725 276652.56692678
1979-10-21 10 12 21 1979 1348906.89472725 0 137278.184285667 0 0 0 77581.945002255 0 0 0 NA NA 0 0 0 1e+10 323364.721786383 242491.385436611
1979-10-28 10 13 28 1979 1253098.17193716 0 148280.219445403 0 0 0 64069.6495040191 0 0 0 NA NA 0 0 0 1e+10 549047.157156208 299106.062906216
1979-11-04 11 14 4 1979 1286481.32823121 0 190697.778470981 803474.617593492 26088.1608774886 0 67795.819604293 0 0 0 NA NA 0 0 0 1e+10 425207.045819561 442602.160877489
1979-11-11 11 15 11 1979 2027052.9381534 0 121559.800797306 642358.800797306 0 0 74922.61964353 0 0 0 NA NA 0 0 0 1e+10 296843.20393808 338262.008049475
1979-11-18 11 16 18 1979 2107802.74192261 0 24461.7093841662 210265.409725975 0 0 73309.284705521 0 0 0 NA NA 0 0 0 1e+10 264280.94352246 235140.923420247
1979-11-25 11 17 25 1979 2000109.30543998 0 24647.5710227708 67500.6687313085 0 0 74951.582889527 0 0 0 NA NA 0 0 0 1e+10 260812.084267901 241012.769252989
1979-12-02 12 18 2 1979 1853543.38495924 0 23634.9376801015 70936.1341694761 0 0 71118.884347311 0 0 0 NA NA 0 0 0 1e+10 366702.901835526 236069.112576233
1979-12-09 12 19 9 1979 3177424.5672654 0 338375.105348538 2097395.96786379 0 0 64193.700466302 0 1367.22905267852 0 NA NA 0 0 0 1e+10 340605.097890794 316025.587162451
1979-12-16 12 20 16 1979 3329215.10560416 0 286309.47057243 1406423.41728881 0 0 55417.2630471 0 6706.73687186799 0 NA NA 0 0 0 1e+10 315655.159285344 451731.444386829
1979-12-23 12 21 23 1979 2976869.38626147 0 99852.9160757693 890928.299599005 0 0 61589.647430585 0 14703.2956079789 0 NA NA 0 0 0 1e+10 286146.284473182 506076.613962355
1979-12-30 12 22 30 1979 2661278.80106472 0 174795.053627728 582279.835474225 88815.9726598598 0 60377.808010395 0 8534.56412010148 0 NA NA 0 0 0 1e+10 304880.047132501 667133.030637021
1980-01-06 1 23 6 1980 2581007.94971433 0 1380806.32610439 0 414153.645723072 0 74281.605942033 0 26933.8940006952 329210.412931881 NA NA 0 0 0 1e+10 198932.340347852 300233.200782614
1980-01-13 1 24 13 1980 2145393.81185787 0 9440.99999999988 0 0 0 78129.033211872 0 641.150978107283 0 NA NA 0 0 0 1e+10 186010.702397806 282678.233011235
