"date" "month" "week" "day" "year" "shortfall_1" "shortfall_2" "shortfall_5" "shortfall_6" "shortfall_7" "shortfall_8" "shortfall_9" "shortfall_10" "shortfall_11" "NumOfLowFlowBonn" "BelowFCC" "FirmEnergySales" "NonFirmSpotSales" "MaxSystemEnergy"
1979-08-05 8 1 5 1979 0 0 0 88.7150497570183 0 0 0 0 74949.3354937821 0 0 30702000 19056000 1624267.5192405
1979-08-12 8 2 12 1979 0 439038.459139618 0 6416.11433773008 0 88841.6184299068 0 0 83120.2924569848 0 0 33600000 1607117.17215715 1000481.54086038
1979-08-19 8 3 19 1979 231306.20778784 479520 0 17994.1421964555 0 94100.6163322929 0 0 81650.4966697055 0 0 28365784.7274256 0 810450.99221216
1979-08-26 8 4 26 1979 477375.093450986 479520 0 31068.8459465605 0 106387.358801213 0 0 83440.0039704033 0 0 22648475.7292155 0 647099.306549014
1979-09-02 9 5 2 1979 609660.334895244 479520 0 0 0 0 0 0 83208.4670608912 0 0 20913594.2786664 0 597531.265104755
1979-09-09 9 6 9 1979 641433.36464613 179820 0 0 0 0 0 0 84360.9799936411 0 0 21312026.2373854 0 608915.03535387
1979-09-16 9 7 16 1979 674449.004345988 179820 0 0 0 0 0 0 85839.2760870326 0 0 21666966.8478904 0 619056.195654012
1979-09-23 9 8 23 1979 691246.249145622 179820 0 0 0 0 0.59842434571965 0 86357.0947346651 0 0 22589551.2799032 0 645415.750854378
1979-09-30 9 9 30 1979 714662.635529959 179820 0 0 0 0 4.40539083555268 0 86211.2609114836 0 0 23280465.7564515 0 665156.164470041
1979-10-07 10 10 7 1979 659022.797377294 359640 0 0 0 0 8.21790756831433 0 86217.8897216284 0 0 26436250.4917947 0 755321.442622706
1979-10-14 10 11 14 1979 683685.744139436 359640 0 0 0 0 12.9917065776035 0 83726.1714186935 0 0 26781437.7551198 0 765183.935860564
1979-10-21 10 12 21 1979 719082.233656519 359640 0 0 0 0 16.7278607698574 0 81398.9733261581 0 0 26750951.0220218 0 764312.886343481
1979-10-28 10 13 28 1979 758892.144351968 359640 0 0 0 0 19.5537996554817 0 82613.3170569811 0 0 26565994.5476811 0 759028.415648032
1979-11-04 11 14 4 1979 1138278.6501982 359640 0 0 0 0 0 0 83338.914615698 995175.12979441 0 14495857.2430631 0 414167.349801802
1979-11-11 11 15 11 1979 493529.192240395 3236760 0 0 0 0 0 0 83469.5621777076 0 0 35551600.2715862 0 1015760.00775961
1979-11-18 11 16 18 1979 933734.6800328 3236760 0 0 0 0 0 0 82972.5585653784 731836.335450308 0 18633920.198852 0 532397.719967199
1979-11-25 11 17 25 1979 1011358.62481588 3236760 0 0 0 0 0 0 83547.9792873709 988259.547437572 0 14406594.131444 0 411616.975184115
1979-12-02 12 18 2 1979 737379.322869175 3236760 0 0 0 0 0 0 79951.8783563784 466363.871531858 0 22485381.6995789 0 642439.477130825
1979-12-09 12 19 9 1979 410548.742560681 1817800.38 0 0 0 0 0 0 80691.8192887702 0 0 36945428.0103762 0 1055583.65743932
1979-12-16 12 20 16 1979 510775.901474068 1811266.92 0 0 0 0 0 0 79627.5972627915 0 0 36458453.4484076 0 1041670.09852593
1979-12-23 12 21 23 1979 823186.988872673 1804733.46 0 0 0 0 0 0 80245.8636458112 0 0 28545041.3894564 0 815572.611127327
1979-12-30 12 22 30 1979 1129892.30985346 1438560 0 0 0 0 0 0 78955.3886019266 402374.553242134 0 20831331.1551289 0 595180.890146541
1980-01-06 1 23 6 1980 887480.396128959 719280 0 0 0 0 0 0 59197.727919281 0 0 29433230.5354865 0 840949.443871042
1980-01-13 1 24 13 1980 863072.367644668 719280 0 0 0 0 0 0 64181.9994351073 0 0 30404993.9324366 0 868714.112355332
1980-01-20 1 25 20 1980 996502.370082375 719280 0 0 0 0 0 0 71703.5560149239 0 0 25852426.2471169 0 738640.749917625
