"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLES" "BONNE"
1979-08-05 8 1 5 1979 474158.762357143 606445.48102857 695854.422614285 68491.2519 91221.8344714286 617718.845589005 733897.279674719 11375.2086428571 55432.3094857143 104598.599257143 124012.8176 124389.677171428 480620.011642621 1925465.37798877 2381750.94718571 2406385.66232857 2423983.02084285 2437147.32071428 2438301.70108571 2380140.36838571 63556.2454007319 187875.454436136 112673.077971429 258203.077971429 262419.938228571 17565.6229714286 692264.107992184 692696.504763613 358995.162085715 346410.035871429 2776760 2744344.12644285 2796687.93744285 2843948.11117142
1979-08-12 8 2 12 1979 497385.212785714 638868.213257142 730766.411485713 69504.8058 72914.3931857143 182558.213768138 297095.754882424 10103.8034571429 53670.9868571429 98620.4163714287 116523.229485714 121694.1395 169145.733571665 1222856.49959695 1351596.89058572 1373305.98537143 1388408.13682857 1400205.82488572 1399600.8661 1307159.1967 70648.0790841517 190665.481142162 82103.816314286 151227.246014286 154789.5607 19035.3753 604415.761757823 600298.075072108 247752.883085714 232966.103585714 1540523.97804286 1498843.30944286 1549955.38468572 1593395.39244286
1979-08-19 8 3 19 1979 519060.588557143 656911.852842857 771816.336171429 74390.0959285714 83264.1471 92495.2231285711 214274.418428571 11198.6796857143 52976.7718571429 100516.615057143 117229.345314286 124744.718557143 125468.685628571 1145990.52075714 1179840.44415714 1205296.31647143 1221275.1623 1234435.49522857 1234776.65231429 1190682.09898571 78548.3564045325 233974.418520081 118202.996314286 136694.747551428 143105.327208571 18827.1108 443668.738572851 444890.556972851 255046.504222856 253372.454337142 1467509.10296571 1430477.69139428 1484703.81678 1534855.89185143
1979-08-26 8 4 26 1979 475346.861742857 601019.611457144 699506.90177143 69455.2190142857 75843.9804857143 88274.3959285711 197843.341114286 12940.1676 52459.0858142858 103132.813871429 117479.262714286 126271.991557143 127315.297528572 1039039.75785714 1078885.71538572 1105890.67888572 1121117.78904285 1132770.68368572 1132971.01430001 1028759.42544285 62439.0475180383 192063.073748272 146096.555014286 129889.258732858 135097.854704286 20271.078 262142.166647143 261479.687190001 235733.244575715 228527.292875715 1296922.42787572 1266648.70346143 1324345.90384715 1375928.06181858
1979-09-02 9 5 2 1979 375641.719971429 719891.968073522 822338.267359236 57810.2582571429 72642.6576 46510.7970769151 148941.765838356 11722.3161428571 53760.2430714286 107472.649357143 114539.758057143 134892.158385714 141960.249892892 1226293.14523511 962120.843617904 991617.047232191 1006510.93418933 1020998.20950362 1021839.20138933 924230.588917904 52549.4503146695 152708.543935158 114771.590742857 136723.706234285 143903.872805714 15445.2920142857 263911.689454243 265690.863325671 237480.087862857 231741.90502 1200152.3365379 1186793.65646647 1241214.16205219 1316451.20028076
1979-09-09 9 6 9 1979 275512.115314286 337404.202331604 423768.515274461 42918.3547714286 67356.7062428571 65411.1516858653 146832.439918663 8154.05104285714 52244.8709 99578.4330714286 106175.459042857 121412.486557143 150966.107958372 818803.293183733 971512.299169059 998868.337111916 1011245.1988262 1022031.31645477 1023348.34148334 994978.749640487 46631.0288458146 126616.586204072 125857.212557143 134836.829864285 140910.219378571 13120.6635 251591.110148569 252192.101991426 217307.588392856 215740.645964285 1267014.28169049 1255371.30440478 1315220.57129049 1381101.57479049
1979-09-16 9 7 16 1979 285719.059285714 367693.65765733 438412.347971616 45235.0494 56941.4977714286 101055.712929614 174927.117815432 6815.20782857143 51977.1022571429 96995.9532714287 103126.863457143 121436.288214286 147876.632512287 741618.757109576 1008607.00560799 1031048.00135085 1041124.03620799 1049331.64097942 1049381.22776514 993441.383065136 43848.4572141586 119540.875238331 150971.927785714 127387.50622 133395.441177143 9586.11741428571 235068.573027621 235859.978127621 201914.461677143 195216.278662857 1211852.37661371 1192233.86071371 1249726.76354228 1310768.09675657
1979-09-23 9 8 23 1979 240047.646171429 344323.436043302 400316.834471873 33838.0225714286 52042.3233428571 121454.943820028 180814.743790958 4837.68681428571 51687.5154285714 87157.9349857143 92904.0517142858 106546.3682 139709.854769531 757996.721564244 1070511.69456639 1090570.54112353 1099948.39403782 1107931.86653782 1108336.49470925 1064523.59432353 43049.9702689104 115564.8504152 151442.010514286 128445.48988 133531.110622857 10756.3655571429 232650.417515144 231900.665315144 196754.262408571 188026.988122857 1276951.24796068 1257882.15364639 1315740.01521782 1373794.24046068
1979-09-30 9 9 30 1979 156539.532085714 340332.101574343 379325.166388628 20128.2680571429 45609.9255 83828.7657439532 124621.064060288 5918.67874285714 51754.9534571428 75255.122942857 86390.331542857 98874.3007142856 133200.890246895 819052.435799358 1109617.6768134 1124614.70428483 1133673.21829912 1141232.2279134 1142765.45132769 1107314.86648483 46376.5780997164 122533.206438046 161861.185928571 127947.241857143 131011.705214286 10397.3572285714 233803.198044629 233783.363330343 196115.187914286 190051.715757143 1352380.14578483 1322959.31408483 1382054.86182769 1442895.86442769
1979-10-07 10 10 7 1979 157293.251228571 422495.822964063 452985.745764063 26459.5088571429 44199.6773142857 85135.0256175763 132373.278966781 5625.12497142857 52351.9783571428 84890.8271428571 96789.6722428571 114759.923385714 111090.501242857 968416.894373122 1310700.4892441 1323180.49147267 1329515.69921553 1334988.09688696 1335029.74978696 1290060.48555839 37727.9331221553 120198.384844236 183217.2228 122543.472297142 124836.365268571 8903.80324285714 229471.9220698 229791.2609698 190626.129082856 189959.682682856 1499388.76674125 1462329.58656982 1521879.34926982 1580661.50852696
1979-10-14 10 11 14 1979 158116.391871429 430885.227037467 471026.721808895 22056.2022857143 48349.0995428571 89855.4550502632 153602.04361719 7947.77001428571 51875.9452142857 88068.3483714286 99562.5653000001 125081.9087 120521.907885714 1057338.18068533 1316712.54496661 1332134.03532376 1337390.23460947 1344003.12835233 1343894.03742376 1306273.53483804 35957.1938613511 111377.419061786 121860.517628571 139387.905057143 142882.781714286 20925.6235714286 258598.919926371 254959.249854943 216187.918771429 224554.201257143 1540570.54775233 1496061.44889518 1558995.01385233 1622771.55416661
